program_type,program,site_name,borough_community,agency,contact_number,grade_level_age_group,number_and_street_address,postcode,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,location_1,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih
After-School Programs,High School,Intermediate School 232 - WInthrop School,Brooklyn,"Sesame Flyers International, Inc.",718.693.0500,,905 Winthrop Street,11203,40.65843,-73.929076,17.0,41.0,880.0,3099733.0,3046060025.0,Prospect Lefferts Gardens-Wingate                                          ,"{'latitude': '40.658451422174', 'longitude': '-73.929131359882', 'human_address': '{""address"": ""905 Winthrop Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11203""}'}",16866.0,61.0,2.0,17.0,40.0
After-School Programs,High School,Mullaly Academy ,Bronx,Supportive Childrens Advocacy Network (SCAN),212.683.2522,High School,40 East 164th Street,10450,40.830951,-73.925077,4.0,16.0,63.0,2116393.0,2024930009.0,West Concourse                                                             ,"{'latitude': '40.830483836308', 'longitude': '-73.923788925785', 'human_address': '{""address"": ""40 164th Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10450""}'}",10930.0,50.0,5.0,35.0,27.0
After-School Programs,High School,Bronx International H.S.,Bronx,Bronx Arts Ensemble,718.601.7399,High School,1100 Boston Road,10456,40.827514,-73.904622,3.0,16.0,135.0,2004526.0,2026340001.0,Morrisania-Melrose                                                         ,"{'latitude': '40.827438058055', 'longitude': '-73.904676763458', 'human_address': '{""address"": ""1100 Boston Road"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10456""}'}",10934.0,34.0,5.0,42.0,25.0
After-School Programs,High School,SCO Family of Services,Brooklyn,SCO Family of Services,718.455.1166,,75 Lewis Avenue,11206,40.694962,-73.937422,3.0,36.0,287.0,3379533.0,3015920001.0,Stuyvesant Heights                                                         ,"{'latitude': '40.695007999414', 'longitude': '-73.937422302529', 'human_address': '{""address"": ""75 Lewis Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11206""}'}",17213.0,69.0,2.0,49.0,52.0
After-School Programs,High School,Middle School 203,Bronx,"East Side House, Inc.",718.665.5250,High School,339 Morris Avenue,10451,40.813641,-73.925313,1.0,8.0,51.0,2000957.0,2023330070.0,Mott Haven-Port Morris                                                     ,"{'latitude': '40.813386726364', 'longitude': '-73.92553701094', 'human_address': '{""address"": ""339 Morris Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10451""}'}",10929.0,49.0,5.0,35.0,23.0
After-School Programs,High School,"Mid-Bronx Council Services, Inc.",Bronx,"Mid-Bronx Council Services, Inc.",718.588.8200,,1125 Grand Concourse,10452,40.832627,-73.919398,4.0,16.0,195.0,2002893.0,2024720034.0,West Concourse                                                             ,"{'latitude': '40.837724263364', 'longitude': '-73.923332211412', 'human_address': '{""address"": ""1125 Grand"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10452""}'}",10930.0,50.0,5.0,42.0,27.0
After-School Programs,High School,Public School 4 - Duke Ellington School,New York,"Community League of the Heights, Inc",212.795.4779,High School,500 West 160th Street,10032,40.834899,-73.941085,12.0,7.0,245.0,1062792.0,1021180022.0,Washington Heights South                                                   ,"{'latitude': '40.834727600747', 'longitude': '-73.940717802375', 'human_address': '{""address"": ""500 160th Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10032""}'}",13090.0,47.0,4.0,23.0,21.0
After-School Programs,High School,St. Stephen Outreach Inc.,Brooklyn,St. Stephen Outreach Inc.,718.384.8854,High School,874 Myrtle Ave,11206,40.695579,-73.947375,3.0,36.0,25901.0,3048641.0,3017550032.0,Bedford                                                                    ,"{'latitude': '40.695576730553', 'longitude': '-73.947239332629', 'human_address': '{""address"": ""874 Myrtle Ave"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11206""}'}",17213.0,69.0,2.0,49.0,51.0
After-School Programs,High School,Phipps West Farms Career Center,Bronx,Phipps Community Development,212.243.9090,High School,1030 East 178th Street,10460,40.841154,-73.879864,6.0,15.0,361.0,2013245.0,2031300100.0,East Tremont                                                               ,"{'latitude': '40.841345048101', 'longitude': '-73.880303879158', 'human_address': '{""address"": ""1030 178th Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10460""}'}",11269.0,35.0,5.0,22.0,31.0
After-School Programs,High School,Public School 89 ,Bronx,Reading Excellence and Discovery (READ) Foundation,212.849.6840,High School,980 Mace Avenue,10469,40.863055,-73.859387,11.0,13.0,324.0,2051571.0,2044440016.0,Bronxdale                                                                  ,"{'latitude': '40.863037136786', 'longitude': '-73.859406213982', 'human_address': '{""address"": ""980 Mace Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10469""}'}",11607.0,59.0,5.0,12.0,32.0
After-School Programs,High School,Woodycrest Center,Bronx,Woodycrest Center For Human Development,718.992.2178,,153 West 165th Street,10452,40.834544,-73.928932,4.0,8.0,193.0,2003478.0,2025260034.0,Highbridge                                                                 ,"{'latitude': '40.83108457688', 'longitude': '-73.920857534442', 'human_address': '{""address"": ""153 165th Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10452""}'}",10930.0,50.0,5.0,42.0,27.0
After-School Programs,High School,Henry Street Settlement,New York,Henry Street Settlement,212.766.9200,High School,301 Henry Street,10002,40.714054,-73.982797,3.0,1.0,202.0,1003737.0,1002880021.0,Lower East Side                                                            ,"{'latitude': '40.71399949306', 'longitude': '-73.983398773047', 'human_address': '{""address"": ""301 Henry Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10002""}'}",11723.0,70.0,4.0,32.0,4.0
After-School Programs,High School,St. Stephen Outreach,Brooklyn,St. Stephen Outreach,718.384.8854,,874 Myrtle Avenue,11206,40.695579,-73.947375,3.0,36.0,25901.0,3048641.0,3017550032.0,Bedford                                                                    ,"{'latitude': '40.695576730553', 'longitude': '-73.947239332629', 'human_address': '{""address"": ""874 Myrtle Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11206""}'}",17213.0,69.0,2.0,49.0,51.0
After-School Programs,High School,St Raymond Grammar School Annex,Bronx,St. Raymond Community Outreach,718.824.0353,High School,1725 Castle Hill Avenue,10462,40.840999,-73.853094,9.0,18.0,21001.0,2041260.0,2039580140.0,Parkchester                                                                ,"{'latitude': '40.841029569022', 'longitude': '-73.853121849806', 'human_address': '{""address"": ""1725 Castle Hill Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10462""}'}",11271.0,58.0,5.0,31.0,26.0
After-School Programs,High School,Asian Outreach Clinic,Queens,The Child Center of NY,718.458.4243,High School,87-08 Justice Avenue,11373,40.737456,-73.876222,4.0,25.0,473.0,4045404.0,4018427501.0,Elmhurst                                                                   ,"{'latitude': '40.738710402563', 'longitude': '-73.878351155182', 'human_address': '{""address"": ""87 08 Justice Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11373""}'}",14784.0,66.0,3.0,5.0,68.0
After-School Programs,High School,Flatbush Development Corp.,Brooklyn,Flatbush Development Corporation                            ,718.859.4763,,1616 Newkirk Avenue,11226,40.63604,-73.962241,14.0,40.0,518.0,3121203.0,3052370006.0,Flatbush                                                                   ,"{'latitude': '40.63599627408', 'longitude': '-73.962302128878', 'human_address': '{""address"": ""1616 Newkirk Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11226""}'}",13510.0,60.0,2.0,11.0,43.0
After-School Programs,High School,New Settlement Apartments,Bronx,New Settlement Apartments,718.716.8000,High School,1512 Townsend Avenue,10452,40.842478,-73.914915,4.0,14.0,209.0,2092057.0,2028450007.0,West Concourse                                                             ,"{'latitude': '40.842289963686', 'longitude': '-73.915026305893', 'human_address': '{""address"": ""1512 Townsend Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10452""}'}",10930.0,50.0,5.0,29.0,27.0
After-School Programs,High School,Harlem RBI (Reviving Baseball in Inner Cities),New York,Harlem RBI (Reviving Baseball in Inner Cities),212.722.1608,,333 East 100 Street,10029,40.786209,-73.943789,11.0,8.0,164.0,1087440.0,1016720017.0,East Harlem South                                                          ,"{'latitude': '40.786495147586', 'longitude': '-73.944398806435', 'human_address': '{""address"": ""333 100 Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10029""}'}",12426.0,7.0,4.0,35.0,14.0
After-School Programs,High School,LaGuardia Memorial House,New York,Supportive Childrens Advocacy Network (SCAN),212.683.2522,High School,307 East 116th Street,10029,40.796935,-73.93759,11.0,8.0,188.0,1079357.0,1016880045.0,East Harlem North                                                          ,"{'latitude': '40.796945376281', 'longitude': '-73.937551616236', 'human_address': '{""address"": ""307 116th Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10029""}'}",13093.0,7.0,4.0,35.0,16.0
After-School Programs,High School,Flatbush Development Corporation,Brooklyn,Flatbush Development Corporation,718.859.3800,,1616 Newkirk Avenue,11226,40.63604,-73.962241,14.0,40.0,518.0,3121203.0,3052370006.0,Flatbush                                                                   ,"{'latitude': '40.63599627408', 'longitude': '-73.962302128878', 'human_address': '{""address"": ""1616 Newkirk Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11226""}'}",13510.0,60.0,2.0,11.0,43.0
After-School Programs,High School,Miccio Center ,Brooklyn,"Police Athletic League, Inc.",212.477.9450,,110 West 9th Street,11231,40.676024,-74.002318,6.0,38.0,85.0,3339411.0,3005380001.0,Carroll Gardens-Columbia Street-Red Hook                                   ,"{'latitude': '40.67578212491', 'longitude': '-74.001523292383', 'human_address': '{""address"": ""110 9th Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11231""}'}",13514.0,14.0,2.0,7.0,48.0
After-School Programs,High School,"Riverdale Neighborhood House, Inc.",Bronx,"Riverdale Neighborhood House, Inc.",718.549.8100,,5521 Mosholu Avenue,10471,40.903039,-73.90375,8.0,11.0,337.0,2119685.0,2058501585.0,North Riverdale-Fieldston-Riverdale                                        ,"{'latitude': '40.902965724328', 'longitude': '-73.9038424045', 'human_address': '{""address"": ""5521 Mosholu Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10471""}'}",11609.0,48.0,5.0,40.0,33.0
After-School Programs,High School,Public School 94 - Henry Longfellow Elementary School,Brooklyn,Brooklyn Chinese American Association,718.438.9312,High School,5010 6th Avenue,11220,40.64366,-74.008252,7.0,38.0,98.0,3332126.0,3007920026.0,Sunset Park East                                                           ,"{'latitude': '40.643728173956', 'longitude': '-74.008206095721', 'human_address': '{""address"": ""5010 6th Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11220""}'}",18180.0,9.0,2.0,7.0,45.0
After-School Programs,High School,"Claremont Neighborhood Centers, Inc.",Bronx,"Claremont Neighborhood Centers, Inc.",718.588.1000,,489 East 169th Street,10456,40.832965,-73.905669,3.0,16.0,14701.0,2092082.0,2029100001.0,Claremont-Bathgate                                                         ,"{'latitude': '40.833009438875', 'longitude': '-73.905735217316', 'human_address': '{""address"": ""489 169th Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10456""}'}",10934.0,34.0,5.0,42.0,25.0
After-School Programs,High School,Martha Udell Early Childhood Academy,Brooklyn,Faith Hope and Charity,718.649.8610,High School,505 St. Marks Avenue,11238,40.676277,-73.95769,8.0,35.0,305.0,3028319.0,3011490072.0,Crown Heights North                                                        ,"{'latitude': '40.676264287477', 'longitude': '-73.957453266333', 'human_address': '{""address"": ""505 St Marks Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11238""}'}",13829.0,16.0,2.0,48.0,49.0
After-School Programs,High School,St. Dominic's School ,Bronx,Reading Excellence and Discovery (READ) Foundation,212.849.6840,High School,1684 White Plains Road,10462,40.843523,-73.865496,11.0,13.0,238.0,2097571.0,2040370001.0,Van Nest-Morris Park-Westchester Square                                    ,"{'latitude': '40.843529284683', 'longitude': '-73.865475170873', 'human_address': '{""address"": ""1684 White Plains Road"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10462""}'}",11271.0,59.0,5.0,12.0,32.0
After-School Programs,High School,"Southeast Bronx Neighborhood Center, Inc. (SEBNC)",Bronx,"Southeast Bronx Neighborhood Center, Inc. (SEBNC)",718.542.2727,,751 East 163rd Street,10456,40.822935,-73.904021,3.0,16.0,133.0,,,Morrisania-Melrose                                                         ,"{'latitude': '40.822935441102', 'longitude': '-73.903938061911', 'human_address': '{""address"": ""751 163rd Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10456""}'}",10934.0,34.0,5.0,42.0,25.0
After-School Programs,High School,"Project Care of Brooklyn, Inc",Brooklyn,"Project Care of Brooklyn, Inc",718.387.4500,,164 Clymer Street,11211,40.706902,-73.963077,1.0,33.0,535.0,3059866.0,3021730016.0,Williamsburg                                                               ,"{'latitude': '40.706632200839', 'longitude': '-73.963450637046', 'human_address': '{""address"": ""164 Clymer Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11211""}'}",17613.0,36.0,2.0,38.0,56.0
After-School Programs,High School,"The East New York Learning Center, Inc",Brooklyn,"The East New York Learning Center, Inc",718.345.4775,High School,1495 Herkimer Street,11233,40.67715,-73.903953,16.0,37.0,367.0,3042309.0,3015540016.0,Ocean Hill                                                                 ,"{'latitude': '40.677165928285', 'longitude': '-73.904009132322', 'human_address': '{""address"": ""1495 Herkimer Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11233""}'}",13516.0,55.0,2.0,37.0,46.0
After-School Programs,High School,"Concord Family Services, Inc.",Brooklyn,"Concord Family Services, Inc.",718.398.3499,,583-593 Vermont Street,11207,40.664807,-73.892065,5.0,42.0,1126.0,3400390.0,3038250021.0,East New York (Pennsylvania Ave)                                           ,"{'latitude': '40.670802431187', 'longitude': '-73.893841150049', 'human_address': '{""address"": ""583 593 Vermont Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11207""}'}",17214.0,45.0,2.0,25.0,47.0
After-School Programs,High School,Transfiguration School,Brooklyn,"Southside Community Mission, Inc.",718.782.8181,High School,250 Hooper Street,11211,40.705898,-73.955611,1.0,33.0,529.0,3379706.0,3022070002.0,Williamsburg                                                               ,"{'latitude': '40.705817851705', 'longitude': '-73.955664076834', 'human_address': '{""address"": ""250 Hooper Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11211""}'}",17613.0,36.0,2.0,38.0,56.0
After-School Programs,High School,Junior High School 258 (K) - David Ruggles School ,Brooklyn,"Vannguard Urban Improvement Association, Inc.",718.453.3330,,141 Macon Street,11216,40.681572,-73.945446,3.0,36.0,269.0,3053075.0,3018450001.0,Bedford                                                                    ,"{'latitude': '40.681569834988', 'longitude': '-73.945596139676', 'human_address': '{""address"": ""141 Macon Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11216""}'}",17618.0,69.0,2.0,49.0,51.0
After-School Programs,High School,Wildcat High School,Bronx,Wildcat Service Corporation,718 620.0748,High School,1231 Lafayette Avenue,10474,40.816486,-73.890277,2.0,17.0,93.0,2005939.0,2027390015.0,Hunts Point                                                                ,"{'latitude': '40.816553883224', 'longitude': '-73.890202479365', 'human_address': '{""address"": ""1231 Lafayette Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10474""}'}",12343.0,8.0,5.0,43.0,24.0
After-School Programs,High School,Samuel J. Tilden High School - H.S. 415,Brooklyn,"Church Avenue Merchants Block Association, Inc.",718.629.4523,,5800 Tilden Avenue,11203,40.648657,-73.922171,17.0,45.0,936.0,3104598.0,3047420001.0,Rugby-Remsen Village                                                       ,"{'latitude': '40.648631368632', 'longitude': '-73.922285497256', 'human_address': '{""address"": ""5800 Tilden Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11203""}'}",16866.0,61.0,2.0,26.0,40.0
After-School Programs,High School,Intermediate School 43,Queens,Federation Employment & Guidance Services (FEGS),718.471.7875,High School,160 Beach 29th Street,11691,40.593834,-73.76174,14.0,31.0,99802.0,4467711.0,4158200001.0,Far Rockaway-Bayswater                                                     ,"{'latitude': '40.594515128003', 'longitude': '-73.761826540295', 'human_address': '{""address"": ""160 Beach 29th Street"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11691""}'}",20529.0,51.0,3.0,47.0,59.0
After-School Programs,High School,"Loisaida, Inc.",New York,"Loisaida, Inc.",212.353.0272,High School,710 East 9th Street,10009,40.725093,-73.977534,3.0,2.0,2602.0,1004530.0,1003780010.0,Lower East Side                                                            ,"{'latitude': '40.725137287259', 'longitude': '-73.977695683633', 'human_address': '{""address"": ""710 9th Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10009""}'}",11729.0,70.0,4.0,50.0,5.0
After-School Programs,High School,Citizens Advice Bureau / Girls Club of New York,Bronx,"Citizens Advice Bureau, Inc.",718.293.0727,High School,1130 Grand Concourse,10456,40.832331,-73.91959,4.0,16.0,18102.0,2002833.0,2024620042.0,East Concourse-Concourse Village                                           ,"{'latitude': '40.831694143639', 'longitude': '-73.916041046959', 'human_address': '{""address"": ""1130 Grand"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10456""}'}",10934.0,50.0,5.0,42.0,27.0
After-School Programs,High School,Community Association of Progressive Dominicans,Bronx,Community Association of Progressive Dominicans,212.781.5500,High School,1865 Morris Avenue,10453,40.848516,-73.908427,5.0,14.0,23301.0,2007902.0,2028270001.0,Mount Hope                                                                 ,"{'latitude': '40.848548418407', 'longitude': '-73.908435068196', 'human_address': '{""address"": ""1865 Morris Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10453""}'}",10931.0,6.0,5.0,29.0,29.0
After-School Programs,High School,Police Athletic League #1A (PAL) ,Brooklyn,"Police Athletic League, Inc.",212.477.9450,,127 Pennsylvania Avenue,11207,40.674814,-73.896606,5.0,37.0,1198.0,3083515.0,3036870001.0,East New York                                                              ,"{'latitude': '40.674740211809', 'longitude': '-73.896576353025', 'human_address': '{""address"": ""127 Pennsylvania Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11207""}'}",17214.0,45.0,2.0,37.0,47.0
After-School Programs,High School,Secondary School of Law Research & Journalism ,Brooklyn,"Project Reach Youth, Inc.",718.768.0778,High School,237 7th Avenue,11215,40.669629,-73.979287,6.0,39.0,155.0,3025510.0,3010820001.0,Park Slope-Gowanus                                                         ,"{'latitude': '40.669623280409', 'longitude': '-73.979240969103', 'human_address': '{""address"": ""237 7th Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11215""}'}",17617.0,14.0,2.0,27.0,50.0
After-School Programs,High School,Henry Street School for International Studies,New York,"Loisaida, Inc.",212.353.0272,High School,220 Henry Street,10002,40.713684,-73.986336,3.0,1.0,201.0,1003223.0,1002690041.0,Lower East Side                                                            ,"{'latitude': '40.713663660512', 'longitude': '-73.986511242953', 'human_address': '{""address"": ""220 Henry Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10002""}'}",11723.0,70.0,4.0,32.0,4.0
After-School Programs,High School,Rafael Academy School ,Bronx,"Simpson Street Development Association, Inc.",718.589.1510,,977 Fox Street,10459,40.822443,-73.893902,2.0,17.0,159.0,2005660.0,2027140004.0,Hunts Point                                                                ,"{'latitude': '40.822428225918', 'longitude': '-73.89392410103', 'human_address': '{""address"": ""977 Fox Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10459""}'}",10937.0,8.0,5.0,43.0,24.0
After-School Programs,High School,Central Harlem Services,New York,"Northside Center For Child Development, Inc.",212.426.3400,High School,247-249 West 135th Street,10030,40.815905,-73.945101,10.0,9.0,228.0,1082378.0,1019410001.0,Central Harlem North-Polo Grounds                                          ,"{'latitude': '40.818435176043', 'longitude': '-73.942765303576', 'human_address': '{""address"": ""247 249 West 135th Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10030""}'}",12427.0,18.0,4.0,36.0,20.0
After-School Programs,High School,"STEPS, Inc ",New York,"Support For Training and Educational Services, Inc.",212.831.9080,,1325 5th Avenue,10029,40.797706,-73.948608,11.0,9.0,17402.0,1086046.0,1016170001.0,East Harlem South                                                          ,"{'latitude': '40.797578953153', 'longitude': '-73.948664533901', 'human_address': '{""address"": ""1325 5th Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10029""}'}",12426.0,7.0,4.0,36.0,14.0
After-School Programs,High School,Southside Community Mission,Brooklyn,"Southside Community Mission, Inc.                           ",718.541.9555,High School,280 Marcy Avenue,11211,40.705055,-73.955919,1.0,33.0,533.0,3060375.0,3022060034.0,Williamsburg                                                               ,"{'latitude': '40.704994493888', 'longitude': '-73.95589166068', 'human_address': '{""address"": ""280 Marcy Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11211""}'}",17613.0,36.0,2.0,38.0,56.0
After-School Programs,High School,Public School 314 - Luis Munoz Marin Elementary School,Brooklyn,Turning Point,718.439.0077,High School,330 59th Street,11220,40.642121,-74.018997,7.0,38.0,74.0,3016258.0,3008620012.0,Sunset Park West                                                           ,"{'latitude': '40.642201614799', 'longitude': '-74.019175801725', 'human_address': '{""address"": ""330 59th Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11220""}'}",18180.0,9.0,2.0,7.0,45.0
After-School Programs,High School,"Jewish Community Center of Staten Island, Inc.",Staten Island,"Jewish Community Center of Staten Island, Inc.",718.981.1500,High School,475 Victory Boulevard,10301,40.630635,-74.088475,1.0,49.0,75.0,5002887.0,5001200112.0,New Brighton-Silver Lake                                                   ,"{'latitude': '40.630627751644', 'longitude': '-74.088519564089', 'human_address': '{""address"": ""475 Victory Boulevard Staten Island"", ""city"": ""NEW YORK"", ""state"": """", ""zip"": ""10301""}'}",10369.0,4.0,1.0,13.0,74.0
After-School Programs,High School,P.S. 92,Queens,La Asociaciï¿½n Benï¿½fica Cultural Father Billini,718.651.8427,High School, 99-01 34th Ave,11368,40.755418,-73.869017,3.0,21.0,377.0,4042496.0,4017140018.0,North Corona                                                               ,"{'latitude': '40.749678220374', 'longitude': '-73.853040688577', 'human_address': '{""address"": ""99 01 34th Ave"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11368""}'}",14510.0,66.0,3.0,21.0,68.0
After-School Programs,High School,Intermediate School 96 - Seth Low School ,Brooklyn,Federation of Italian-American Organizations of Brooklyn,718.259.2829,High School,99 Avenue P,11204,40.60754,-73.984661,11.0,44.0,430.0,3174076.0,3065950033.0,Bensonhurst East                                                           ,"{'latitude': '40.619055848049', 'longitude': '-73.984798598876', 'human_address': '{""address"": ""99 Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11204""}'}",16867.0,1.0,2.0,45.0,37.0
After-School Programs,High School,Make the Road New York -Brooklyn,Brooklyn,Make the Road New York,718.418.7690 ,High School,301 Grove Street,11237,40.698448,-73.915629,4.0,37.0,433.0,3075926.0,3033170041.0,Bushwick North                                                             ,"{'latitude': '40.698428502523', 'longitude': '-73.915623474994', 'human_address': '{""address"": ""301 Grove Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11237""}'}",13828.0,42.0,2.0,37.0,53.0
After-School Programs,High School,Oasis Community Corporation,Brooklyn,Oasis Community Corporation,718.596.4900,High School,180 Chauncey Street,11233,40.680727,-73.926597,3.0,36.0,381.0,3047914.0,3016920017.0,Crown Heights North                                                        ,"{'latitude': '40.680598605112', 'longitude': '-73.9274984332', 'human_address': '{""address"": ""180 Chauncey Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11233""}'}",13516.0,69.0,2.0,49.0,52.0
After-School Programs,High School,Public School 173 ,New York,"Childrens Arts & Science Workshops, Inc.",212.923.7766,High School,306 Fort Washington,10033,,,,,,,,,"{'latitude': '40.856219929206', 'longitude': '-73.945859000193', 'human_address': '{""address"": ""306 Fort"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10033""}'}",,,,,
After-School Programs,High School,Mott Hall Bronx H.S.,Bronx,South Bronx Overall Economic Development Corp.,718.585.2600,High School,1595 Bathgate Avenue,10457,40.839244,-73.901316,3.0,16.0,167.0,2009555.0,2029130001.0,Claremont-Bathgate                                                         ,"{'latitude': '40.839639584081', 'longitude': '-73.90113044101', 'human_address': '{""address"": ""1595 Bathgate Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10457""}'}",10935.0,34.0,5.0,42.0,25.0
After-School Programs,High School,Public School 247,Brooklyn,St. Rosalia-Regina Pacis Neighborhood Improvement,718.236.5266,High School,7000 21st Avenue,11204,40.612273,-73.986713,11.0,47.0,258.0,3157466.0,3061740036.0,Bensonhurst West                                                           ,"{'latitude': '40.612350730897', 'longitude': '-73.986664031314', 'human_address': '{""address"": ""7000 21st Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11204""}'}",16867.0,1.0,2.0,45.0,37.0
After-School Programs,High School,Prospect Heights High School - H.S. 440,Brooklyn,Research Foundation of CUNY,718.951.5015,High School,883 Classon Avenue,11225,40.670349,-73.961695,9.0,35.0,213.0,3029686.0,3011870001.0,Crown Heights South                                                        ,"{'latitude': '40.670458657699', 'longitude': '-73.961628275734', 'human_address': '{""address"": ""883 Classon Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11225""}'}",13509.0,17.0,2.0,48.0,44.0
After-School Programs,High School,Public School 122 - Mamie Fay Elementary School ,Queens,"Sports and Arts In Schools Foundation, Inc.",718.417.8135,High School,21-21 Ditmars Boulevard,11105,40.780347,-73.916655,1.0,22.0,103.0,4019633.0,4008800001.0,Steinway                                                                   ,"{'latitude': '40.780092072491', 'longitude': '-73.90960650024', 'human_address': '{""address"": ""21 21 Ditmars Boulevard"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11105""}'}",16862.0,39.0,3.0,4.0,72.0
After-School Programs,High School,YWCA of Queens,Queens,YWCA of Queens                                              ,718.353.4553,,42-07 Parsons Boulevard,11355,40.757857,-73.819077,7.0,20.0,861.0,4583346.0,4053750006.0,East Flushing                                                              ,"{'latitude': '40.751299796948', 'longitude': '-73.821478547897', 'human_address': '{""address"": ""42 07 Parsons Boulevard"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11355""}'}",14190.0,22.0,3.0,3.0,67.0
After-School Programs,High School,Italian American Civil Rights League (Italian American Civil),Brooklyn,Italian American Civil Rights League (Italian American Civil),718.642.2180,,1460 Pennsylvania Avenue,11239,40.646068,-73.879786,5.0,42.0,105804.0,3340241.0,3044520020.0,Starrett City                                                              ,"{'latitude': '40.646077795287', 'longitude': '-73.879950181902', 'human_address': '{""address"": ""1460 Pennsylvania Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11239""}'}",13830.0,45.0,2.0,25.0,47.0
