primaryprojecttype,subtype,projectstatus,startdateactual,finishdateactual,projectsitename,projectsiteaddress,acronym,co2e_mt_calculated,postcode,borough,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta
Lighting System Upgrade,Retrofit,Completed,12-Dec-08,20-Jul-09,Pier 36 Precinct,PIER 36 & SOUTH STREET,NYPD,15.9,10002.0,MANHATTAN,40.709677,-73.98617800000001,3.0,1.0,201.0,1000000.0,1002410013.0,Lower East Side                                                            
Comprehensive,Retrofit,Design,,,P.S.307K Daniel Hale Williams School,209 York Street,DOE,80.52,11201.0,BROOKLYN ,40.701343,-73.982314,2.0,33.0,21.0,3000158.0,3000560007.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Other,Retro-commissioning,Survey,,,K329- Surfside,2929 West 30th Street,DOE,0.0,11224.0,BROOKLYN ,40.574607,-73.99629200000001,13.0,47.0,342.0,3189517.0,3070510001.0,Seagate-Coney Island                                                       
Energy Audit,None,Completed,,,J.H.S. 218 James P. Sinnott,370 Fountain Avenue,,101.97,11208.0,BROOKLYN ,40.670724,-73.874208,5.0,42.0,1118.0,3095977.0,3042780001.0,East New York                                                              
Energy Audit,None,Completed,,2-Mar-11,Co-op City Educational Campus,850 Baychester Ave,DOE,1042.82,10475.0,BRONX    ,40.875894,-73.833863,10.0,12.0,46201.0,2116161.0,2051410150.0,Co-op City                                                                 
HVAC System Upgrade,Retrofit,Completed,7-Nov-09,10-Mar-11,Museum Of The Moving Image,36-01 35th Ave,DCLA,143.86,11106.0,QUEENS   ,40.756206,-73.924377,1.0,26.0,57.0,4439074.0,4006440001.0,Astoria                                                                    
Other,Retro-commissioning,Survey,,,Queens Vocational and Technical High School,37-02 47th Avenue,,,11101.0,QUEENS   ,40.742205,-73.928219,2.0,26.0,189.0,4003259.0,4002280020.0,Hunters Point-Sunnyside-West Maspeth                                       
Lighting System Upgrade,Retrofit,Completed,12-Sep-11,2-Dec-11,NYPD Central Repair Shop,53-15 5bth Street,NYPD,98.39,,,,,,,,,,
Other,Photovoltaic,Substantially Completed,24-Oct-11,22-Feb-12,Sunrise Yard,88-20 Pitkin Ave and Linden Blvd,DOT,22.7,11417.0,QUEENS   ,40.673778999999996,-73.847572,10.0,32.0,58.0,,,Ozone Park                                                                 
Comprehensive,Retrofit,Design,,,Staten Island 3 District,2 Muldoon Ave Staten Island,DSNY,264.6,10309.0,STATEN IS,40.575016999999995,-74.19664499999999,3.0,51.0,228.0,5158124.0,5059000500.0,New Springville-Bloomfield-Travis                                          
HVAC System Upgrade,Retrofit,Design,,,Mario Merola Building,851 Grand Concourse Bronx NY,DFMC,777.76,10451.0,BRONX    ,40.825998999999996,-73.92313100000001,4.0,8.0,63.0,2002869.0,2024680001.0,West Concourse                                                             
Comprehensive,Retrofit,Design,,,Queens Vocational and Technical High School,37-02 47th Avenue,DOE,495.79,11101.0,QUEENS   ,40.742205,-73.928219,2.0,26.0,189.0,4003259.0,4002280020.0,Hunters Point-Sunnyside-West Maspeth                                       
Lighting System Upgrade,Retrofit,Design,,,Studio Museum In Harlem - 144 West 125th Street,"144 West 125th Street  NY, NY  10027",DCLA,53.29,10027.0,MANHATTAN,40.808523,-73.947278,10.0,9.0,222.0,1057819.0,1019090009.0,Central Harlem South                                                       
Lighting System Upgrade,Retrofit,Substantially Completed,1-Jul-11,14-Dec-11,K009 - P.S. 9K Teunis G. Bergen School Lighting,80 Underhill Ave,DOE,68.25,11238.0,BROOKLYN ,40.678297,-73.965541,8.0,35.0,205.0,3028204.0,3011450026.0,Prospect Heights                                                           
Lighting System Upgrade,Retrofit,Design,,,J.H.S.220K John J. Pershing,4812 9th Avenue,DOE,,11220.0,BROOKLYN ,40.640545,-74.000731,12.0,38.0,108.0,3012824.0,3007780023.0,Sunset Park East                                                           
Comprehensive,Retrofit,Design,,,J.H.S.142X John Philip Sousa Middle School,3750 Baychester Avenue,DOE,268.4,10466.0,BRONX    ,40.884953,-73.840524,12.0,12.0,484.0,2066190.0,2049350001.0,Eastchester-Edenwald-Baychester                                            
Comprehensive,Retrofit,Design,,,P.S.131K,4305 Fort Hamilton Parkway,DOE,64.16,11219.0,BROOKLYN ,40.641157,-73.993482,12.0,39.0,224.0,3136085.0,3056030001.0,Borough Park                                                               
HVAC System Upgrade,Retrofit,Install,17-Jan-12,,NYPD Forensic Investigation Division,150-18 Jamaica Avenue Queens NY,NYPD,804.2,11432.0,QUEENS   ,40.702202,-73.804163,12.0,27.0,240.0,4215603.0,4100920006.0,Jamaica                                                                    
Comprehensive,Retrofit,Design,,,Co-op City Educational Campus,850 Baychester Ave,DOE,860.45,10475.0,BRONX    ,40.875894,-73.833863,10.0,12.0,46201.0,2116161.0,2051410150.0,Co-op City                                                                 
Comprehensive,Retrofit,Design,,,NYPD 72nd Precinct,830 4th Avenue Brooklyn NY 11232,NYPD,23.76,11232.0,BROOKLYN ,40.65815,-74.00044,7.0,38.0,101.0,3009843.0,3006680029.0,Sunset Park West                                                           
Lighting System Upgrade,Retrofit,Cancelled,8-Apr-11,31-May-11,Queens Museum,Flushing Meadows Corona Park,DCLA,,11368.0,QUEENS   ,40.742377000000005,-73.842157,81.0,21.0,38302.0,,,park-cemetery-etc-Queens                                                   
Energy Audit,None,Completed,,,The Daniel Muctatel School,"1500 E 92 Street Brooklyn, NY",DOE,73.31,11236.0,BROOKLYN ,40.635015,-73.897262,18.0,46.0,1008.0,3232559.0,3082560001.0,Canarsie                                                                   
Energy Audit,None,Completed,6-Feb-12,15-Jun-12,Manhattan 3 District Garage,South Street &Pier 36 New York NY 10002,DSNY,259.46,,,,,,,,,,
Energy Audit,None,Completed,14-Apr-11,8-May-12,M099 Academy of Environmental Science Secondary Shool,410 East 100th Street,DOE,79.16,10029.0,MANHATTAN,40.785671,-73.942548,11.0,8.0,162.0,1052998.0,1016930001.0,East Harlem South                                                          
Other,Retro-commissioning,Survey,,,Twin Parks Upper School,2055 Mapes Ave,DOE,,10460.0,BRONX    ,40.845878000000006,-73.886184,6.0,15.0,371.0,2012957.0,2031090001.0,East Tremont                                                               
Energy Audit,None,Completed,16-Aug-11,12-Dec-11,Queens Civil Court,89-17 Sutphin Boulevard,DCAS,,11435.0,QUEENS   ,40.703617,-73.808685,12.0,24.0,240.0,4448759.0,4096800001.0,Jamaica                                                                    
Energy Audit,None,In Progress,,,Q191 Mayflower,85-15 258th Street,DOE,,11001.0,QUEENS   ,40.734318,-73.709137,13.0,23.0,157903.0,4180083.0,4088010014.0,Glen Oaks-Floral Park-New Hyde Park                                        
Energy Audit,None,Completed,21-Jan-11,11-May-11,Brooklyn North Narcotics Division,245 Glenmore Ave,NYPD,113.17,11207.0,BROOKLYN ,40.672360999999995,-73.901617,5.0,37.0,1144.0,3083636.0,3036980032.0,East New York (Pennsylvania Ave)                                           
Lighting System Upgrade,Retrofit,Design,,,P.S. 181 Brooklyn,1023 New York Avenue,DOE,133.2,11203.0,BROOKLYN ,40.648215,-73.946374,17.0,45.0,856.0,3327776.0,3049040010.0,East Flatbush-Farragut                                                     
HVAC System Upgrade,Solar Thermal,Design,,,Engine Company 266,92-20 Rockaway Beach,FDNY,1.7,11694.0,QUEENS   ,40.570817,-73.85437900000001,14.0,32.0,928.0,,,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
Other,Retro-commissioning,Survey,,,P.S. 115 Daniel Mucatel School,1500 East 92 Street,DOE,,11236.0,BROOKLYN ,40.635015,-73.897262,18.0,46.0,1008.0,3232559.0,3082560001.0,Canarsie                                                                   
Other,Retro-commissioning,Survey,,,Q092 - PS 92Q,99-01 34 Avenue,DOE,,11368.0,QUEENS   ,40.755418,-73.869017,3.0,21.0,377.0,4042496.0,4017140018.0,North Corona                                                               
Energy Audit,None,Completed,15-Aug-12,,X101- MS X101- Edward R. Byrne,2750 Lafayette Avenue,DOE,0.0,10465.0,BRONX    ,40.827471,-73.829753,10.0,13.0,152.0,2080231.0,2055470001.0,Schuylerville-Throgs Neck-Edgewater Park                                   
Energy Audit,Retrofit,In Progress,9-Aug-12,,M661,240 2nd Avenue,DOE,0.0,10003.0,MANHATTAN,40.732715999999996,-73.984665,6.0,2.0,48.0,1020416.0,1009210064.0,Gramercy                                                                   
Lighting System Upgrade,Retrofit,Completed,8-Sep-11,5-Dec-11,Energy Efficient lighting at FDNY-Engine Company 71,"720 Melrose Ave Bronx, NY",FDNY,30.63,10455.0,BRONX    ,40.820422,-73.915778,1.0,17.0,69.0,2001400.0,2023770001.0,Melrose South-Mott Haven North                                             
Energy Audit,None,Completed,13-Oct-10,3-Jun-11,K302 - IS 302K Rafael Cordero Middle School,350 Linwook St,DOE,147.7,,,,,,,,,,
Energy Audit,None,Completed,3-Mar-11,3-Apr-12,J.H.S.142X John Philip Sousa Middle School,3750 Baychester Avenue,DOE,254.33,10466.0,BRONX    ,40.884953,-73.840524,12.0,12.0,484.0,2066190.0,2049350001.0,Eastchester-Edenwald-Baychester                                            
Energy Audit,None,Completed,16-Aug-11,19-Jan-12,Excelsior Building,133-137 Centre Street,DCAS,69.66,10013.0,MANHATTAN,40.717036,-74.000747,1.0,1.0,31.0,1002358.0,1001970017.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
Lighting System Upgrade,Retrofit,Completed,17-Sep-08,2-Jun-09,Bronx East 6 Garage,"807 EAST 175TH STREET, 800 East 176th Street",DSNY,119.18,10460.0,BRONX    ,40.841043,-73.890374,6.0,17.0,367.0,2097276.0,2029530021.0,East Tremont                                                               
Other,Retro-commissioning,Survey,,,PS 9K Teunis G. Bergen School,80 Underhill Ave,DOE,,11238.0,BROOKLYN ,40.678297,-73.965541,8.0,35.0,205.0,3028204.0,3011450026.0,Prospect Heights                                                           
Lighting System Upgrade,Retrofit,Completed,19-Jan-11,15-Dec-11,14K250 - 108 Montrose Avenue,108 Montrose Avenue,DOE,88.18,11206.0,BROOKLYN ,40.707104,-73.945475,1.0,34.0,505.0,3071199.0,3030600001.0,East Williamsburg                                                          
Lighting System Upgrade,Retrofit,Completed,6-Jun-08,10-Jun-09,P.S. 246X (Poe Ctr)/P.S. 310X/Ms 118X,2641 Grand Concourse,DOE,66.7,10468.0,BRONX    ,40.865593,-73.894758,7.0,14.0,401.0,2013830.0,2031680027.0,Bedford Park-Fordham North                                                 
Comprehensive,Retrofit,Design,,,"Kingsborough Community College, T-2 Building",2111 Oriental Blvd,CUNY,57.81,11235.0,BROOKLYN ,40.578119,-73.932585,15.0,48.0,616.0,3397342.0,3087600060.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
Lighting System Upgrade,Retrofit,Completed,5-Sep-08,13-Jan-10,Park West High School,525 WEST 50TH STREET,DOE,89.09,10019.0,MANHATTAN,40.765184000000005,-73.992953,4.0,3.0,135.0,1083802.0,1010790029.0,Clinton                                                                    
HVAC System Upgrade,Retrofit,Substantially Completed,14-May-12,,Betts Avenue Boiler Room - 57-73 53rd Avenue,58-73 53rd Avenue,DSNY,150.44,11377.0,QUEENS   ,40.734136,-73.909403,2.0,30.0,243.0,4462505.0,4023610268.0,Elmhurst-Maspeth                                                           
Energy Audit,None,In Progress,2-Aug-12,,X121- PS 121- Throop,2750 Throop Avenue Bronx NY,DOE,0.0,10469.0,BRONX    ,40.86608,-73.850982,11.0,13.0,348.0,2054253.0,2045260001.0,Allerton-Pelham Gardens                                                    
Other,Retro-commissioning,Survey,,,P.S.81K Thaddeus Stevens School,990 Dekalb Avenue,DOE,,11221.0,BROOKLYN ,40.693160999999996,-73.935765,3.0,36.0,289.0,3043248.0,3016020019.0,Stuyvesant Heights                                                         
Energy Audit,Retrofit,In Progress,18-Jul-12,,K279 - Herman Schreiber,1076 East 104th Street,DOE,0.0,11236.0,BROOKLYN ,40.644139,-73.89219200000001,18.0,46.0,986.0,3326733.0,3082300001.0,Canarsie                                                                   
Lighting System Upgrade,Retrofit,Completed,31-May-11,28-Sep-11,Staten Island 1, 539 Jersey St.,DSNY,104.8,10301.0,STATEN IS,40.636097,-74.084519,1.0,49.0,11.0,5106487.0,5000340001.0,West New Brighton-New Brighton-St. George                                  
Comprehensive,Retrofit,Cancelled,1-Jan-12,,Jamaica Center for Arts,161-04 Jamaica Avenue,DCLA,,11432.0,QUEENS   ,40.704025,-73.79843699999999,12.0,27.0,44601.0,4215617.0,4101010011.0,Jamaica                                                                    
Other,Retro-commissioning,Survey,,,A. Philip Randolph Campus High School,443 West 135 Street,DOE,,10031.0,MANHATTAN,40.818188,-73.950356,9.0,9.0,21703.0,1059409.0,1019570078.0,Manhattanville                                                             
Lighting System Upgrade,Retrofit,Substantially Completed,24-Oct-11,15-Mar-12,Wakefield Branch,4100 Lowerre Place,NYPL,15.48,10466.0,BRONX    ,40.891052,-73.859841,12.0,12.0,420.0,2063175.0,2048320020.0,Williamsbridge-Olinville                                                   
Other,Retro-commissioning,Survey,,,New Explorations into Science Technology and Math (NEST) High School,111 Columbia Street,DOE,,10002.0,MANHATTAN,40.718895,-73.97930799999999,3.0,2.0,2201.0,1004070.0,1003350001.0,Lower East Side                                                            
Energy Audit,None,Completed,16-Aug-11,14-Dec-11,Sun Building,280 Broadway,DCAS,,10007.0,MANHATTAN,40.714417,-74.006089,1.0,1.0,31.0,1079215.0,1001530001.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
Comprehensive,Retrofit,Design,,,Bronx Concourse Plaza,198 East 161st Street,DCAS,314.72,10451.0,BRONX    ,40.826353999999995,-73.921024,4.0,16.0,61.0,2099027.0,2024430094.0,East Concourse-Concourse Village                                           
Other,Cogen,Survey,,,Flushing Meadows Aquatic Center,Flushing Meadows Park,DPR,727.96,11368.0,QUEENS   ,40.742377000000005,-73.842157,81.0,21.0,38302.0,,,park-cemetery-etc-Queens                                                   
Lighting System Upgrade,Retrofit,Completed,12-Jul-10,10-Sep-10,Human Resources Administration - 30 Thornton Street,"731 Flushing Avenue, 30 Thornton Street",HRA,67.82,11206.0,BROOKLYN ,40.700565000000005,-73.943321,1.0,33.0,507.0,3061504.0,3022760012.0,Bedford                                                                    
Other,Retrofit,Survey,,,Museum Of Jewish Heritage,18 First Place,DCLA,,10280.0,MANHATTAN,40.706319,-74.018276,1.0,1.0,31704.0,1084594.0,1000160010.0,Battery Park City-Lower Manhattan                                          
Energy Audit,None,Completed,7-Oct-10,19-May-11,Q20 - PS 20Q John Bowne,142-30 Barclay Ave,DOE,291.94,11355.0,QUEENS   ,40.758689000000004,-73.824832,7.0,20.0,855.0,4114657.0,4050470001.0,Flushing                                                                   
Energy Audit,None,Completed,15-Feb-11,19-Apr-12,Queens Vocational and Technical High School,37-02 47th Avenue,DOE,141.0,11101.0,QUEENS   ,40.742205,-73.928219,2.0,26.0,189.0,4003259.0,4002280020.0,Hunters Point-Sunnyside-West Maspeth                                       
Energy Audit,None,Completed,13-Apr-11,4-May-12,JHS 43M,509 West 129th St,DOE,51.39,,,,,,,,,,
Lighting System Upgrade,Retrofit,Completed,1-Apr-11,30-Sep-11, Engine Co. 211- Lighting Upgrade,26 Hooper Street,FDNY,45.41,11249.0,BROOKLYN ,40.701506,-73.962398,1.0,33.0,539.0,3060298.0,3022030016.0,Williamsburg                                                               
Other,Retro-commissioning,Proposed,,,P.S.68X The Bronx School,4011 Monticello Avenue,DOE,,10466.0,BRONX    ,40.891732,-73.838471,12.0,12.0,426.0,2067852.0,2049860081.0,Woodlawn-Wakefield                                                         
Lighting System Upgrade,Retrofit,Design,,,Academy of Environmental Science Secondary HS / Renaissance School of the Arts,410 East 100th Street,DOE,,10029.0,MANHATTAN,40.785671,-73.942548,11.0,8.0,162.0,1052998.0,1016930001.0,East Harlem South                                                          
HVAC System Upgrade,Solar Thermal,Design,,,Engine Company 329,402 Beach 169 Street,FDNY,1.7,11695.0,QUEENS   ,40.566034,-73.881874,84.0,32.0,918.0,4307098.0,4163250001.0,park-cemetery-etc-Queens                                                   
Lighting System Upgrade,Retrofit,Completed,15-Jul-11,5-Nov-11,5 Dubois Avenue,5 Dubois Avenue,DOT,24.23,,,,,,,,,,
HVAC System Upgrade,Retrofit,Install,14-Jun-12,,Brooklyn High School of the Arts,345 Dean Street,DOE,23.32,11217.0,BROOKLYN ,40.683559,-73.98026999999999,2.0,33.0,39.0,3001190.0,3001920013.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Other,Retro-commissioning,Survey,,,P.S.21Q Edward Hart School,147-36 26th Avenue,DOE,,11354.0,QUEENS   ,40.774512,-73.819284,7.0,19.0,1047.0,4108665.0,4048030001.0,Murray Hill                                                                
Comprehensive,Retrofit,Cancelled,,,122nd Precinct,2320 Hylan Blvd,NYPD,7.13,10306.0,STATEN IS,40.5743,-74.10588800000001,2.0,50.0,11202.0,5107580.0,5039060001.0,New Dorp-Midland Beach                                                     
Comprehensive,Retrofit,Design,,,A. Philip Randolph Campus High School,443 West 135 Street,DOE,,10031.0,MANHATTAN,40.818188,-73.950356,9.0,9.0,21703.0,1059409.0,1019570078.0,Manhattanville                                                             
Energy Audit,None,Completed,3-Feb-11,23-Nov-11,P.S.307K Daniel Hale Williams School,209 York Street,DOE,55.7,11201.0,BROOKLYN ,40.701343,-73.982314,2.0,33.0,21.0,3000158.0,3000560007.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Other,Retro-commissioning,Survey,,,Q125 - JHS 125Q Thom J. McCann Woodside,46-02 47 Ave,DOE,,11377.0,QUEENS   ,40.741131,-73.918945,2.0,26.0,235.0,4052874.0,4022840006.0,Hunters Point-Sunnyside-West Maspeth                                       
Energy Audit,None,In Progress,,,Q011- PS 011- Kathryn Phelan,54-25 Skillman Avenue,DOE,,11377.0,QUEENS   ,40.745244,-73.90872,2.0,26.0,251.0,4552510.0,4012390001.0,Woodside                                                                   
Lighting System Upgrade,Retrofit,Completed,13-May-08,9-Mar-09,P.S. 15X(Inst For Enviro)/P.S. 91X Mini/I.S. 206B (Ann Merser),2195 Andrews Ave,DOE,90.41,,,,,,,,,,
Energy Audit,None,In Progress,15-Feb-12,15-May-12,Borden Avenue Shelter,21-10 Borden Avenue,DHS,84.54,11101.0,QUEENS   ,40.740367,-73.949566,2.0,26.0,1.0,4000526.0,4000680002.0,Hunters Point-Sunnyside-West Maspeth                                       
Energy Audit,None,Completed,27-Oct-10,3-Aug-11,Brooklyn Supreme Court,292-360 AdamsSt,DFMC,2151.65,,,,,,,,,,
Lighting System Upgrade,Retrofit,Completed,23-Jun-09,2-Feb-10,Totten Intermediate School (I.S. 34R),"Academy St. & Yetman Ave., 528 Academy Avenue",DOE,94.19,,,,,,,,,,
Lighting System Upgrade,Retrofit,Completed,12-Feb-10,24-Nov-10,Group 5 - 71st/76th/90th/94th/77 Annex Pcts,211 UNION AVE,NYPD,91.94,11211.0,BROOKLYN ,40.706540000000004,-73.950399,1.0,34.0,527.0,3063633.0,3024650100.0,North Side-South Side                                                      
Other,Retro-commissioning,Survey,,,P.S. / I.S. 54 (X054),2703 Webster Ave,DOE,,10458.0,BRONX    ,40.864527,-73.88782900000001,7.0,15.0,40502.0,2113630.0,2032780014.0,Bedford Park-Fordham North                                                 
Comprehensive,Retrofit,Design,,,P.S. 115 Daniel Mucatel School,1500 East 92 Street,DOE,73.31,11236.0,BROOKLYN ,40.635015,-73.897262,18.0,46.0,1008.0,3232559.0,3082560001.0,Canarsie                                                                   
HVAC System Upgrade,Retrofit,Design,,,Central Building,10 Grand Army Plaza,BPL,832.88,11238.0,BROOKLYN ,40.672833000000004,-73.96906899999999,55.0,35.0,177.0,3029665.0,3011830002.0,park-cemetery-etc-Brooklyn                                                 
Lighting System Upgrade,Retrofit,Completed,17-Dec-10,11-Apr-11,Andrew Heiskell Library,40 West 20th Street,NYPL,26.63,10011.0,MANHATTAN,40.740246,-73.992324,5.0,3.0,54.0,1076145.0,1008217501.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
Energy Audit,None,Completed,16-Feb-11,12-Apr-12,I.S.131X Albert Einstein,885 Bolton Avenue,DOE,95.1,10473.0,BRONX    ,40.823526,-73.859662,9.0,18.0,42.0,2103869.0,2036440001.0,Soundview-Castle Hill-Clason Point-Harding Park                            
Lighting System Upgrade,Retrofit,Completed,23-Jun-09,2-Feb-10,I.S. 51R,20 Houston St.,DOE,92.93,,,,,,,,,,
Other,Retro-commissioning,Survey,,,P.S.68X The Bronx School,4011 Monticello Avenue,DOE,,10466.0,BRONX    ,40.891732,-73.838471,12.0,12.0,426.0,2067852.0,2049860081.0,Woodlawn-Wakefield                                                         
HVAC System Upgrade,Retrofit,Install,,,"Queensborough Community College, Medical Arts Building",222-05 56th Avenue,CUNY,273.65,11364.0,QUEENS   ,40.75349,-73.75795699999999,11.0,23.0,138501.0,4439440.0,4074900002.0,Oakland Gardens                                                            
Energy Audit,None,Completed,3-Feb-11,10-Nov-11,PS 68X The Bronx School,4011 Monticello Avenue,DOE,101.91,10466.0,BRONX    ,40.891732,-73.838471,12.0,12.0,426.0,2067852.0,2049860081.0,Woodlawn-Wakefield                                                         
Energy Audit,None,In Progress,,,R031 - PS 031 William T. Davis,55 Layton Avenue,DOE,0.0,10301.0,STATEN IS,40.641595,-74.085135,1.0,49.0,9.0,5001150.0,5000490182.0,West New Brighton-New Brighton-St. George                                  
Energy Audit,None,In Progress,21-Aug-12,,K287- Bailey K. Ashford,50 Navy Street,DOE,0.0,11201.0,BROOKLYN ,40.697901,-73.98054,2.0,35.0,23.0,3000203.0,3001110001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Energy Audit,None,Completed,26-Oct-10,9-Jun-11,Q092 - PS 92Q,99-01 34 Avenue,DOE,36.28,11368.0,QUEENS   ,40.755418,-73.869017,3.0,21.0,377.0,4042496.0,4017140018.0,North Corona                                                               
Energy Audit,None,Completed,21-Oct-10,25-May-11,Q125 - JHS 125Q Thom J. McCann Woodside,46-02 47 Ave,DOE,79.69,11377.0,QUEENS   ,40.741131,-73.918945,2.0,26.0,235.0,4052874.0,4022840006.0,Hunters Point-Sunnyside-West Maspeth                                       
Lighting System Upgrade,Retrofit,Completed,10-Jan-11,29-Sep-11,Ranaqua Garage And Shops - 1 Bronx River Pkwy, 1 Bronx River Pkwy,DPR,54.15,,,,,,,,,,
Lighting System Upgrade,Retrofit,Install,,,48-01 58th Road Queens NY  11378,58-01 48th Street Queens NY 11378,DSNY,15.64,11378.0,QUEENS   ,40.720809,-73.922145,5.0,30.0,219.0,,,Hunters Point-Sunnyside-West Maspeth                                       
Other,Photovoltaic,Substantially Completed,30-Nov-11,22-Feb-12,Queens 3 East - Photovoltaic,153-67 146th Avenue,DSNY,22.21,11434.0,QUEENS   ,40.664629,-73.784675,13.0,31.0,306.0,4433112.0,4150010073.0,Springfield Gardens South-Brookville                                       
HVAC System Upgrade,Retrofit,Completed,,13-May-10,NYPD Shop # 1,11 Front Street Brooklyn NY,NYPD,136.02,11201.0,BROOKLYN ,40.702563,-73.992913,2.0,33.0,21.0,3000080.0,3000350021.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Comprehensive,Retrofit,Design,,,I.S.238Q Susan B Anthony School,88-15 182nd Street,DOE,170.25,11423.0,QUEENS   ,40.713094,-73.780468,12.0,27.0,470.0,4212425.0,4099190006.0,Jamaica                                                                    
Energy Audit,None,Completed,7-Apr-11,14-Feb-12,K220 JHS 220K John J. Pershing,4812 9th Ave,DOE,48.9,11220.0,BROOKLYN ,40.640545,-74.000731,12.0,38.0,108.0,3012824.0,3007780023.0,Sunset Park East                                                           
Energy Audit,None,In Progress,21-Aug-12,,K321- William Penn,180 Seventh Avenue,DOE,0.0,11215.0,BROOKLYN ,40.671459999999996,-73.977783,6.0,39.0,155.0,3337516.0,3009710028.0,Park Slope-Gowanus                                                         
Other,Photovoltaic,Substantially Completed,14-Dec-11,7-Mar-12,48th Precinct - Photovoltaic,450 Cross Bronx Expressway,NYPD,13.51,10457.0,BRONX    ,40.844149,-73.900604,6.0,15.0,165.0,2009509.0,2029070010.0,Claremont-Bathgate                                                         
Other,Retro-commissioning,Survey,,,P.S.111X Seton Falls School,3740 Baychester Avenue,DOE,,10466.0,BRONX    ,40.884343,-73.840254,12.0,12.0,484.0,2065992.0,2049160001.0,Eastchester-Edenwald-Baychester                                            
Lighting System Upgrade,Retrofit,Completed,1-Apr-11,30-Apr-11,Metropolitan Museum,1000 Fifth Avenue Manhattan,DCLA,291.41,10028.0,MANHATTAN,40.778633,-73.962546,64.0,6.0,143.0,1083810.0,1011110001.0,park-cemetery-etc-Manhattan                                                
Lighting System Upgrade,Retrofit,Completed,20-May-09,28-Jan-10,66th Precinct,5822 16TH AVENUE,NYPD,12.23,11204.0,BROOKLYN ,40.62583,-73.990943,12.0,44.0,242.0,3397270.0,3055020043.0,Borough Park                                                               
Lighting System Upgrade,Retrofit,Install,15-Aug-12,,K093 - P.S. 093 William H. Prescott,31 New York Avenue,DOE,54.44,11216.0,BROOKLYN ,40.679097,-73.94684000000001,3.0,36.0,247.0,3053993.0,3018680007.0,Crown Heights North                                                        
Energy Audit,None,Completed,20-Jan-11,10-May-11,Fresh Kills Landfill - SI 3 DG; RBS,600 West Service Rd,DSNY,264.6,10314.0,STATEN IS,40.583094,-74.19289599999999,2.0,50.0,228.0,5156879.0,5026850100.0,New Springville-Bloomfield-Travis                                          
Energy Audit,None,Survey,8-Aug-12,,K329- Surfside,2929 West 30th Street,DOE,0.0,11224.0,BROOKLYN ,40.574607,-73.99629200000001,13.0,47.0,342.0,3189517.0,3070510001.0,Seagate-Coney Island                                                       
Other,Retro-commissioning,Survey,,,26th Street Repair Garage,640 West 26th Street,DSNY,,10001.0,MANHATTAN,40.751183000000005,-74.00659399999999,4.0,3.0,99.0,1012267.0,1006700050.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
Energy Audit,None,Completed,10-Dec-10,30-Jun-11,"Queens West 2,3,4,6 District Garage",58-00 52nd Road,DSNY,0.0,11377.0,QUEENS   ,40.734943,-73.909723,2.0,30.0,243.0,,,Elmhurst-Maspeth                                                           
Lighting System Upgrade,Retrofit,Completed,6-Jun-08,10-Aug-09,P.S. 246X (Poe Ctr)/P.S. 310X/Ms 118X,260 West Kingsbridge Road,DOE,54.8,10463.0,BRONX    ,40.872895,-73.905244,7.0,14.0,269.0,2096486.0,2032390041.0,Kingsbridge Heights                                                        
Other,Retro-commissioning,Survey,,,Academy of Environmental Science Secondary HS / Renaissance School of the Arts,410 East 100th Street,,,10029.0,MANHATTAN,40.785671,-73.942548,11.0,8.0,162.0,1052998.0,1016930001.0,East Harlem South                                                          
Other,Retro-commissioning,Survey,,,P.S.39X,965 Longwood Avenue,,,10459.0,BRONX    ,40.817512,-73.898212,2.0,17.0,87.0,2005616.0,2027100001.0,Longwood                                                                   
Lighting System Upgrade,Retrofit,Cancelled,,,Flushing Town Hall - 137-35 Northern Blvd,137-35 Northern Blvd,DCLA,23.3,11354.0,QUEENS   ,40.763478000000006,-73.829992,7.0,20.0,869.0,4112147.0,4049600001.0,Flushing                                                                   
HVAC System Upgrade,Retrofit,Completed,28-Apr-09,29-Jun-09,NYBG - Operations Building,"2800 Southern Blvd Visitor's Center, 2667 Dr. Theodore Kazimiroff Blvd",DCLA,7.89,10458.0,BRONX    ,40.865064000000004,-73.883913,6.0,15.0,397.0,,,Belmont                                                                    
Other,Photovoltaic,Substantially Completed,16-Dec-11,24-Feb-12,R&T Repair Shop,48-34 35th Street,FDNY,13.51,11101.0,QUEENS   ,40.740165000000005,-73.930693,2.0,26.0,199.0,4003451.0,4002540001.0,Hunters Point-Sunnyside-West Maspeth                                       
