school_dbn,school_name,is_cte_designated_high_school,cte_program_name,cte_program_industry_cluster,nysed_approval_status,cte_enrolled_student_count,enrolled_student_grades,number_of_industry_partners
28Q505,Hillcrest High School,0.0,"Business/Commerce, General",Business Management and Administration,Approved,127,9101112.0,3.0
28Q505,Hillcrest High School,0.0,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science,Approved,193,101112.0,2.0
28Q620,Thomas A. Edison Career and Technical Education High School,1.0,Commercial and Advertising Art,"Arts, Audio/Video Technology and Communications",Non-Approved,110,9101112.0,
28Q620,Thomas A. Edison Career and Technical Education High School,1.0,"Graphic and Printing Equipment Operator, General Production",Manufacturing Production,Non-Approved,112,9101112.0,
28Q620,Thomas A. Edison Career and Technical Education High School,1.0,Electrician,Architecture and Construction,Non-Approved,116,9101112.0,
28Q620,Thomas A. Edison Career and Technical Education High School,1.0,Web/Multimedia Management and Webmaster,Information Technology,Non-Approved,144,9101112.0,
28Q620,Thomas A. Edison Career and Technical Education High School,1.0,"Clinical/Medical Laboratory Science and Allied Professions, Other",Health Science,Non-Approved,197,9101112.0,
28Q620,Thomas A. Edison Career and Technical Education High School,1.0,Autobody/Collision and Repair Technology/Technician,"Transportation, Distribution and Logistics",Approved,105,9101112.0,2.0
28Q620,Thomas A. Edison Career and Technical Education High School,1.0,Robotics Technology/Technician,Manufacturing Production,Approved,117,9101112.0,2.0
28Q620,Thomas A. Edison Career and Technical Education High School,1.0,Mechanical Drafting and Mechanical Drafting CAD/CADD,Manufacturing Production,Approved,210,9101112.0,2.0
28Q620,Thomas A. Edison Career and Technical Education High School,1.0,Computer Installation and Repair Technology/Technician,Information Technology,Approved,300,9101112.0,2.0
28Q620,Thomas A. Edison Career and Technical Education High School,1.0,Computer Systems Networking and Telecommunications,Information Technology,Approved,300,9101112.0,2.0
28Q620,Thomas A. Edison Career and Technical Education High School,1.0,Automobile/Automotive Mechanics Technology/Technician,"Transportation, Distribution and Logistics",Approved,354,9101112.0,2.0
29Q243,Institute for Health Professions at Cambria Heights,1.0,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science,Non-Approved,0,,
29Q243,Institute for Health Professions at Cambria Heights,1.0,Emergency Care Attendant (EMT Ambulance),Health Science,Non-Approved,163,91011.0,
29Q272,George Washington Carver High School for the Sciences,0.0,Veterinary/Animal Health Technology/Technician and Veterinarian Assistant,Health Science,Non-Approved,179,9101112.0,
29Q313,Benjamin Franklin High School for Finance & Information Technology,1.0,Accounting and Finance,Business Management and Administration,Non-Approved,87,910.0,3.0
29Q313,Benjamin Franklin High School for Finance & Information Technology,1.0,Information Technology,Information Technology,Non-Approved,114,910.0,
29Q326,Cambria Heights Academy,0.0,"Computer Programming/Programmer, General",Information Technology,Non-Approved,0,,
30Q258,Energy Tech High School,1.0,"Engineering Technology, General",Scientific Research and Engineering,Non-Approved,330,91011.0,
30Q301,Academy for Careers in Television and Film,1.0,Cinematography and Film/Video Production,"Arts, Audio/Video Technology and Communications",Approved,493,9101112.0,2.0
30Q445,William Cullen Bryant High School,0.0,"Corrections and Criminal Justice, Other",Law and Public Safety,Non-Approved,347,9101112.0,
30Q445,William Cullen Bryant High School,0.0,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration,Non-Approved,600,9101112.0,
30Q450,Long Island City High School,0.0,Tourism and Travel Services Management,Hospitality and Tourism,Non-Approved,213,9101112.0,
30Q450,Long Island City High School,0.0,Culinary Arts/Chef Training,Hospitality and Tourism,Approved,353,9101112.0,2.0
30Q501,Frank Sinatra School of the Arts High School,0.0,"Dance, General","Arts, Audio/Video Technology and Communications",Non-Approved,112,9101112.0,
30Q501,Frank Sinatra School of the Arts High School,0.0,"Drama and Dramatics/Theatre Arts, General","Arts, Audio/Video Technology and Communications",Non-Approved,124,9101112.0,
30Q502,Information Technology High School,0.0,"Computer Programming, Specific Applications",Information Technology,Pending NYSED approval,77,101112.0,
30Q502,Information Technology High School,0.0,"Web Page, Digital/Multimedia and Information Resources Design",Information Technology,Approved,93,101112.0,2.0
30Q502,Information Technology High School,0.0,Cinematography and Film/Video Production,"Arts, Audio/Video Technology and Communications",Approved,99,9101112.0,2.0
31R440,New Dorp High School,0.0,"Computer Programming/Programmer, General",Information Technology,Non-Approved,101,910.0,
31R440,New Dorp High School,0.0,"Corrections and Criminal Justice, Other",Law and Public Safety,Non-Approved,314,9101112.0,
31R440,New Dorp High School,0.0,Culinary Arts/Chef Training,Hospitality and Tourism,Approved,54,9101112.0,2.0
31R440,New Dorp High School,0.0,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration,Approved,263,9101112.0,7.0
31R440,New Dorp High School,0.0,Digital Communication and Media/Multimedia,"Arts, Audio/Video Technology and Communications",Approved,450,9101112.0,2.0
31R445,Port Richmond High School,0.0,Tourism and Travel Services Management,Hospitality and Tourism,Non-Approved,73,9101112.0,
31R445,Port Richmond High School,0.0,Biomedical Technology/Technician,Scientific Research and Engineering,Non-Approved,78,101112.0,
31R445,Port Richmond High School,0.0,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration,Non-Approved,124,9101112.0,1.0
31R445,Port Richmond High School,0.0,Culinary Arts/Chef Training,Hospitality and Tourism,Non-Approved,334,9101112.0,
31R450,Curtis High School,0.0,Licensed Practical/Vocational Nurse Training,Health Science,Non-Approved,51,91112.0,
31R450,Curtis High School,0.0,"Dance, General","Arts, Audio/Video Technology and Communications",Non-Approved,116,9101112.0,
31R450,Curtis High School,0.0,Data Processing Technology/Technician,Information Technology,Non-Approved,196,9101112.0,
31R450,Curtis High School,0.0,Graphic Design,"Arts, Audio/Video Technology and Communications",Non-Approved,207,9101112.0,
31R450,Curtis High School,0.0,Mass Communications/Media Studies,"Arts, Audio/Video Technology and Communications",Non-Approved,218,9101112.0,
31R450,Curtis High School,0.0,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science,Non-Approved,274,9101112.0,
31R450,Curtis High School,0.0,Criminal Justice/Police Science,Law and Public Safety,Non-Approved,332,9101112.0,
31R455,Tottenville High School,0.0,Advertising,"Arts, Audio/Video Technology and Communications",Non-Approved,95,9101112.0,4.0
31R455,Tottenville High School,0.0,Accounting and Finance,Business Management and Administration,Non-Approved,102,101112.0,5.0
31R455,Tottenville High School,0.0,Computer Systems Networking and Telecommunications,Information Technology,Non-Approved,102,9101112.0,
31R455,Tottenville High School,0.0,"Corrections and Criminal Justice, Other",Law and Public Safety,Non-Approved,132,101112.0,
31R455,Tottenville High School,0.0,Culinary Arts/Chef Training,Hospitality and Tourism,Non-Approved,143,101112.0,
31R455,Tottenville High School,0.0,"Clinical/Medical Laboratory Science and Allied Professions, Other",Health Science,Non-Approved,154,1112.0,
31R455,Tottenville High School,0.0,"Dental Services and Allied Professions, Other",Health Science,Approved,87,101112.0,2.0
31R455,Tottenville High School,0.0,Dental Laboratory Technology/Technician,Health Science,Approved,91,101112.0,2.0
31R455,Tottenville High School,0.0,Automobile/Automotive Mechanics Technology/Technician,"Transportation, Distribution and Logistics",Approved,140,9101112.0,2.0
31R460,Susan E. Wagner High School,0.0,Accounting and Finance,Business Management and Administration,Non-Approved,132,9101112.0,3.0
31R460,Susan E. Wagner High School,0.0,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration,Non-Approved,138,9101112.0,1.0
31R460,Susan E. Wagner High School,0.0,"Corrections and Criminal Justice, Other",Law and Public Safety,Non-Approved,359,9101112.0,
31R600,Ralph R. McKee Career and Technical Education High School,1.0,"Cosmetology/Cosmetologist, General",Marketing Sales and Services,Non-Approved,36,9101112.0,
31R600,Ralph R. McKee Career and Technical Education High School,1.0,"Computer Programming/Programmer, General",Information Technology,Non-Approved,49,91011.0,
31R600,Ralph R. McKee Career and Technical Education High School,1.0,Computer Systems Networking and Telecommunications,Information Technology,Non-Approved,66,9101112.0,
31R600,Ralph R. McKee Career and Technical Education High School,1.0,"Engineering Technology, General",Scientific Research and Engineering,Approved,60,9101112.0,2.0
31R600,Ralph R. McKee Career and Technical Education High School,1.0,"Graphic and Printing Equipment Operator, General Production",Manufacturing Production,Approved,74,9101112.0,2.0
31R600,Ralph R. McKee Career and Technical Education High School,1.0,Carpentry/Carpenter,Architecture and Construction,Approved,78,9101112.0,2.0
31R600,Ralph R. McKee Career and Technical Education High School,1.0,Automobile/Automotive Mechanics Technology/Technician,"Transportation, Distribution and Logistics",Approved,78,9101112.0,2.0
31R605,Staten Island Technical High School,0.0,"Engineering Technology, General",Scientific Research and Engineering,Pending NYSED approval,1278,9101112.0,
Total,,,,,,62893,,293.0
