,sampling_location,sample_date,sample_time,weather_condition_dry_or_wet,top_sample_temperature_c,site_actual_depth_ft,top_sample_depth_ft,top_salinity_psu,top_conductivity_s_m,ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l,percentage_o2_saturation_top_sample,light_trans_transparency_top_sample,top_sigma_t_kg_m3,top_fluorometer_mg_m3,top_sample_par_ue_s_m2,oxidation_reduction_potential_mv_top_sample,current_speed_knot,current_direction_current_direction,wind_speed_mph,wind_direction_wind_direction,sea_state,winkler_method_top_dissolved_oxygen_mg_l,secchi_depth_ft,top_ph,top_fecal_coliform_bacteria_cells_100ml,top_enterococci_bacteria_cells_100ml,top_nitrate_nitrite_mg_l,top_ammonium_mg_l,top_ortho_phosphorus_mg_l,top_total_kjeldhal_nitrogen_mg_l,top_silica_mg_l,total_phosphorus_mg_l,top_total_suspended_solid_mg_l,top_active_chlorophyll_a_g_l,top_dissolved_organic_carbon_mg_l,long,lat,type,bottom_sample_temperature_c,bottom_salinity_psu,winkler_method_bottom_dissolved_oxygen_mg_l,top_total_coliform_cells_100_ml,top_bottom_coliform_cells_100_ml,top_five_day_biochemical_oxygen_demand_mg_l,bottom_five_day_biochemical_oxygen_demand_mg_l,oakwood_bod_top_sample_mg_l,oakwood_bod_bottom_sample_mg_l,bottom_sample_depth_ft,bottom_conductivity_s_m,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,percentage_o2_saturation_bottom_sample,bottom_sigma_t_kg_m3,bottom_fluorometer_mg_m3,bottom_ph,bottom_fecal_coliform_bacteria_cells_100ml,enterococcus_top_sample_less_than_or_greater_than_result,enterococcus_bottom_sample_less_than_or_greater_than_result,bottom_enterococci_bacteria_cells_100ml,bottom_total_suspended_solid_mg_l,sampling_comment,top_pcb_plate_count_thous_ml,bottom_pcb_plate_count_thous_ml,oxidation_reduction_potential_mv_bottom_sample,light_trans_transparency_bottom_sample,ctd_conductivity_temperature_depth_profiler_ph_top_sample,ctd_conductivity_temperature_depth_profiler_ph_bottom_sample,top_sample_photosysthetically_active_radiation_reference_400_700nm_light_ue_s,duplicate_sample,bottom_sample_par_ue_s_ue_s_m2,bottom_silica_mg_l,top_sample_salinity_ysi_psu,top_sample_temperature_ysi_c,top_coliform_log_no_ml,bottom_coliform_log_no_ml,fecal_coliform_top_sample_less_than_or_greater_than_result,chlorophyll_top_sample_field_u_l_ysi,top_dissolved_organic_carbon_ysi_mg_l,bottom_dissolved_organic_carbon_ysi_mg_l,bottom_sample_salinity_ysi_psu,bottom_sample_temperature_ysi_c,top_bacteria_per_c_c_1909,bottom_bacteria_per_c_c_1909,top_turbidity_nephelometric_turbidity_units,top_total_organic_carbon_mg_l,chlorophyll_bottom_sample_field_u_l_ysi,bottom_turbidity_ysi_nephelometric_turbidity_units,fecal_coliform_bottom_sample_less_than_or_greater_than_result,bottom_nitrate_nitrite_mg_l,bottom_ammonium_mg_l,bottom_ortho_phosphorus_mg_l,bottom_total_phosphorus_mg_l,bottom_total_kjeldhal_nitrogen_mg_l,top_sample_depth_ysi_ft,bottom_depth_ysi_ft,bottom_active_chlorophyll_a_g_l
197,TNB,1985-09-17T00:00:00.000,12:00 PM,,21.5,,,21.0,,,,,,,,,,E,,,,6.0,,,,,,,,,,,,,,-73.79216,40.803,Permanent,21.4,21,6.2,200,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,J8,2013-06-05T00:00:00.000,,Dry,,,,,,,,,,,,,,,,,,8.0,3.0,,200,2,0.258,1.14,,2.112,2.5,0.301,10.0,25.54,4.6,-73.851167,40.642833,Permanent,,,8.89,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,E4,1993-06-22T00:00:00.000,10:05 AM,,,60.0,,,,,,,,,,,,E,,,,5.51,3.5,7.3,196,,0.3,0.49,0.093,,,0.16,60.0,4.8,,-73.922,40.7825,Permanent,,,5.26,3000,3000,,,1.9,0.9,,,,,,,7.34,184.0,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,N9,2000-08-10T00:00:00.000,10:23 AM,Dry,22.72,15.0,3.3,27.84,41.32,4.29,58.61,0.48,18.59,,,,,E,4,N,1,6.35,11.5,7.41,6,,0.135,0.116,0.122,0.558,0.737,0.093,5.0,5.79,2.82,-73.983333,40.568333,Permanent,22.19,29.5,7.23,,,,,,,16.4,43.04,5.09,69.48,19.99,,7.49,,,,,5.0,,,,,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,N5,2006-08-28T00:00:00.000,1:13 PM,Wet,23.0,48.0,3.0,21.43,3.28,5.1,67.41,,13.67,,,60.623,1.3,N,5,NW,2,5.69,8.0,7.4,280,91,0.334,0.364,0.118,0.666,1.315,0.148,3.6,1.77,3.39,-74.03,40.7045,Permanent,22.27,25.94,5.85,,,,,,,47.0,3.84,4.88,65.36,17.28,,7.52,,,,,4.5,,,,76.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,K4,1931-07-22T00:00:00.000,11:55 AM,,26.7,35.0,,19.6,,,,,,,,,,N,,,,0.79,,,,,,,,,,,,,,-74.211667,40.567,Permanent,26.1,19.95,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,E7,2006-02-07T00:00:00.000,11:12 AM,Dry,4.92,52.0,5.0,18.22,1.84,10.86,95.77,,14.41,,,108.09,0.9,SE,13,W,1,11.91,3.0,8.06,37,18,0.292,0.31,0.057,0.726,1.23,0.136,2.5,15.6,3.78,-73.8205,40.805,Permanent,4.46,24.31,12.0,,,,,,,35.0,2.37,11.11,100.82,19.26,,8.12,,,,,1.25,,,,110.228,,,,1751.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,GI1,2009-09-02T00:00:00.000,10:04 AM,Dry,22.69,36.0,3.0,18.01,2.78,5.33,68.67,,11.18,4.8291,105.05,140.602,0.6,SW,7,N,1,5.53,4.0,,60,4,,,,,,,,,,-74.02134,40.69298,Permanent,,,,,,,,,,,,,,,,,,E,,,,,,,,,5.29,,1623.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,NR1,2016-09-06T00:00:00.000,10:52 AM,Dry,24.11,64.0,3.0,15.32,2.5,6.25,81.2,65.7,8.78,2.64,496.0,231.54,0.0,0.0,21.0,N,1,6.1,3.0,7.64,64,3,0.499,0.178,0.093,0.5,1.78,0.134,7.0,2.59,2.87,-73.95816,40.826333,Permanent,23.66,25.26,5.03,,,,,,,64.0,3.9,4.66,63.5,16.38,3.05,7.58,,,,,16.0,,,,230.61,61.4,7.75,7.7,1109.0,,0.0,1.559,,,,,,,,,,,,,,,,,,,,,,,,,
206,LN1,2012-07-09T00:00:00.000,11:42 AM,Wet,23.84,6.0,3.0,25.22,3.87,11.18,153.36,51.26,16.3,84.4848,2587.6,228.716,0.2,S,5,NNE,1,11.67,2.0,8.09,21,2,0.01,0.015,0.049,0.477,0.905,0.126,10.0,21.1,3.0,-73.760833,40.778,Permanent,,,,,,,,,,,,,,,,,,<,,,,,,,,,8.28,,1816.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,H4,1936-07-10T00:00:00.000,12:15 PM,,27.8,20.0,,23.45,,,,,,,,,,S,,,,0.21,,,,,,,,,,,,,,-73.929168,40.803613,Permanent,26.7,24.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,N9,1985-04-10T00:00:00.000,8:50 AM,,6.0,,,20.0,,,,,,,,,,N,,,,11.5,,,,,,,,,,,,,,-73.983333,40.568333,Permanent,6,23.3,11.0,11000,7900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,K1,1959-08-25T00:00:00.000,9:00 AM,,23.3,35.0,,28.35,,,,,,,,,,SL,,,,1.4,,,,,,,,,,,,,,-74.081945,40.651112,Permanent,22.8,28.7,2.0,460,460,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,x476_1909_DO,1909-07-26T00:00:00.000,11:43 AM,,,,,,,,,,,,,,,Ebb,,,,,,,,,,,,,,,,,,-73.995833,40.773611,Permanent,19,,3.56,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,H3,1965-07-02T00:00:00.000,10:47 AM,,21.7,15.0,,18.55,,,,,,,,,,S,,,,3.3,,,,,,,,,,,,,,-73.933833,40.828,Permanent,21.1,19.95,3.5,280,540,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,x251_1909,1909-05-03T00:00:00.000,5:42 PM,,,,1.0,,,,,,,,,,,Flood,,,,,,,,,,,,,,,,,,-73.924444,40.915278,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300.0,,,,,,,,,,,,,,
213,E4,1937-07-07T00:00:00.000,11:10 AM,,23.3,76.0,,23.45,,,,,,,,,,W,,,,1.8,,,,,,,,,,,,,,-73.922,40.7825,Permanent,22.2,24.5,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,HR2,2015-06-11T00:00:00.000,10:17 AM,Dry,,12.1,,,,,,,,,,,0.4,SE,0,,1,,,,950,207,0.219,0.091,0.085,1.789,2.267,0.326,35.0,18.3,4.45,-73.824031,40.887911,Permanent,,,,,,,,,,,,,,,,,,,,,,PH probe not working properly.,,,,,,,,,,,24.07,20.82,,,,30.04,3.24,,,,,,,,,,,,,,,,,,
215,E15,2014-09-08T00:00:00.000,1:27 PM,Dry,23.75,15.0,3.0,25.05,3.84,4.64,63.33,71.84,16.2,5.3611,854.33,148.943,0.5,W,9,NE,1,4.75,3.5,7.4,234,1,0.276,0.236,0.167,0.552,2.844,0.298,18.0,10.7,2.59,-73.8495,40.763,Permanent,23.73,25.11,4.81,,,,,,,11.0,3.84,4.36,59.55,16.25,3.2132,7.45,,<,,,17.0,,,,144.717,74.99,,,642.62,,44.79,2.862,,,,,,,,,,,,,,,,,,,,,,,,,
216,K3,1991-06-18T00:00:00.000,12:25 PM,,23.5,41.0,,22.2,,,,,,,,,,N,,,,4.2,4.0,,,,0.47,1.1,0.2,,,0.3,47.0,2.8,,-74.195833,40.6375,Permanent,23.2,22.2,4.4,24000,24000,,,1.1,2.0,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,N1,1959-07-01T00:00:00.000,11:20 AM,,23.3,46.0,,9.45,,,,,,,,,,S,,,,8.1,,,,,,,,,,,,,,-73.916167,40.9145,Permanent,21.1,19.95,3.1,23,93,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,J1,1985-06-25T00:00:00.000,11:53 AM,,18.4,,,31.9,,,,,,,,,,E,,,,5.4,,,830,,,,,,,,,,,-73.884667,40.573333,Permanent,18.6,31.2,6.8,2400,16000,,,3.3,3.1,,,,,,,,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PB2,2013-10-16T00:00:00.000,1:09 PM,Dry,18.16,12.0,3.0,27.82,3.75,10.38,129.84,131.73,19.74,15.2992,789.01,,0.3,N,3,NNE,1,9.34,2.5,7.85,139,1,0.299,0.532,0.15,1.555,0.96,0.239,3.0,38.4,4.28,-73.909667,40.628,Permanent,17.55,28.2,9.54,,,,,,,8.0,3.74,7.06,87.58,20.17,20.8534,7.92,,<,,,1.0,,,,,43.15,,,991.21,,135.96,,,,,,,,,,,,,,,,,,,,,,,,,,
220,J17,2011-12-20T00:00:00.000,11:49 AM,Dry,,7.6,,,,,,,,,,,0.5,FLOW,0.8,NW,1,,,8.02,172,10,0.894,0.538,0.174,0.921,2.29,0.233,2.0,9.1,2.44,-73.847385,40.627967,Permanent,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,25.21,6.03,,,,2.5,10.08,,,,,,1.4,,,,,,,,,,,,
221,H2,1938-09-14T00:00:00.000,10:50 AM,,21.7,16.0,,12.95,,,,,,,,,,E,,,,4.25,,,,,,,,,,,,,,-73.91861,40.858609,Permanent,21.7,12.95,4.42,,,2.0,2.0,,,,,,,,,,,,,,,,1.5,1.4,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
222,N1,2009-05-26T00:00:00.000,3:29 PM,Dry,17.11,49.0,3.0,12.6,1.78,7.92,88.78,,8.38,,38.2,,1.7,S,5,S,1,9.37,1.5,7.44,10,5,0.379,0.32,0.083,0.648,1.87,0.116,19.4,4.5,3.1,-73.916167,40.9145,Permanent,16.52,15.29,9.14,,,,,,,44.0,2.1,7.47,84.07,10.55,,7.52,,E,,,21.6,,,,,,,,706.2,,0.0,,,,,,E,,,,,,,,,,,,,,,,,,,,
223,H4,1952-07-23T00:00:00.000,1:50 PM,,27.8,20.0,,22.4,,,,,,,,,,S,,,,1.2,,,,,,,,,,,,,,-73.929168,40.803613,Permanent,27.8,23.45,1.3,,,1.0,3.0,,,,,,,,,,,,,,,,1.14,1.56,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
224,N7,1983-09-08T00:00:00.000,9:10 AM,,22.8,,,28.3,,,,,,,,,,N,,,,5.4,,,,,,,,,,,,,,-74.053833,40.643833,Permanent,22.2,29.5,5.2,2000,4500,,,2.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,N7,1983-09-08T00:00:00.000,9:10 AM,,22.8,,,28.3,,,,,,,,,,N,,,,5.4,,,,,,,,,,,,,,-74.053833,40.643833,Permanent,22.2,29.5,5.2,2000,4500,,,2.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,K2,2003-08-27T00:00:00.000,3:31 PM,Dry,,21.0,,,,,,,,,,,,SW,5,N,1,9.19,3.0,7.9,,2,0.196,0.068,0.087,0.868,0.2,0.18,11.4,39.56,4.39,-74.153,40.641167,Permanent,,,9.29,,,,,,,,,,,,,7.98,,,,,41.4,,,,,,,,,,,,24.4,,,,,25.1,,,24.2,,,,,,,,,,,,,,,,
227,N8,2015-08-11T00:00:00.000,3:08 PM,Wet,23.2,92.0,3.0,26.37,3.97,6.1,83.08,76.4,17.35,5.5589,3232.3,226.1,0.9,N,8,SSW,1,6.36,4.0,7.55,42,2,0.18,0.356,,0.591,1.122,0.096,27.0,,2.74,-74.0455,40.606167,Permanent,22.67,29.04,6.14,,,,,,,88.0,4.29,5.85,80.13,19.51,8.5434,7.7,,<,,,27.0,,,,218.486,64.07,,,,,0.0,0.802,,,,,,,,,,,,,,,,,,,,,,,,,
228,E10,2001-10-23T00:00:00.000,4:06 PM,Dry,16.65,89.0,5.0,25.54,3.35,,,,18.35,,,,,N,13,SE,1,7.1,6.0,7.91,7,,0.159,0.195,0.112,0.815,0.937,0.162,2.2,2.29,2.49,-73.765333,40.843667,Permanent,16.7,27.48,6.8,,,,,,,79.0,3.59,,,19.82,,7.82,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,N1,1951-07-18T00:00:00.000,11:30 AM,,23.3,46.0,,15.05,,,,,,,,,,S,,,,4.0,,,,,,,,,,,,,,-73.916167,40.9145,Permanent,23.3,16.1,3.7,,,1.0,1.0,,,,,,,,,,,,,,,,0.09,0.28,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
230,N4,2001-10-23T00:00:00.000,12:24 PM,Dry,16.43,49.0,6.0,18.13,2.45,,,,12.73,,,,,NE,10,S,1,6.8,4.0,7.77,35,,0.706,0.358,0.144,0.942,1.65,0.198,2.0,2.0,3.4,-74.005833,40.7645,Permanent,17.09,17.23,6.2,,,,,,,49.0,2.37,,,11.91,,7.74,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,E2A,1997-09-23T00:00:00.000,10:41 PM,,21.54,20.0,3.28,23.85,3.51,4.06,52.99,70.37,15.89,0.33,3.97,,,W,17,W,2,4.73,6.0,7.25,52,,0.526,0.531,0.144,0.941,,0.206,9.0,5.9,,-73.959173,40.737771,Permanent,21.48,23.11,4.5,,,,,,,19.68,3.4,3.04,39.5,15.35,0.27,7.28,62.0,,,,10.0,,,,,67.27,,,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,N5,1909-04-07T00:00:00.000,3:26 PM,,,,2.0,,,,,,,,,,,Ebb,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200.0,,,,,,,,,,,,,,
233,K4,2002-06-05T00:00:00.000,5:39 PM,Dry,,39.0,,,,,,,,,,,,N,4,S,1,6.96,4.0,7.55,22,,0.502,0.582,0.156,1.71,2.02,0.202,7.2,4.6,2.92,-74.211667,40.567,Permanent,,,6.37,,,,,,,,,,,,,7.59,,,,,43.8,,,,,,,,,,,,,20.5,,,,,,,,19.3,,,,,,,,,,,,,,,
234,HC2,2008-09-03T00:00:00.000,,Dry,,,,,,,,,,,,,,,,,,,,,4,4,4.53,12.7,2.21,16.5,6.08,2.46,6.4,16.0,,-73.876836,40.650775,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,N7,1960-07-21T00:00:00.000,9:35 AM,,21.7,47.0,,27.3,,,,,,,,,,S,,,,2.9,,,,,,,,,,,,,,-74.053833,40.643833,Permanent,21.1,29.75,3.2,1100,1100,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,N16,2014-12-03T00:00:00.000,,Dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.943667,40.529667,Permanent,,,,,,,,,,,,,,,,,,,,,,Rough waters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,H3,1935-08-30T00:00:00.000,11:15 AM,,22.2,15.0,,12.6,,,,,,,,,,SE,,,,3.17,,,,,,,,,,,,,,-73.933833,40.828,Permanent,22.2,12.6,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,J2,1994-11-15T00:00:00.000,12:13 PM,,11.13,39.0,2.0,27.72,3.17,,,,21.09,,,,,W,,,,8.49,6.5,7.89,,,0.78,0.8,0.15,,,0.2,24.0,15.9,,-73.885835,40.608055,Permanent,11.07,27.88,7.76,,,,,2.6,1.8,12.0,3.19,,,21.23,,7.89,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,HC1,2010-08-24T00:00:00.000,10:47 AM,Wet,,5.88,,,,,,,,,,,,,,,,,,7.03,"43,000",480,3.7,1.23,0.458,6.92,15.0,0.583,8.0,4.4,16.1,-73.878914,40.653589,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.94,24.09,,,,4.7,1.34,,,,,,9.8,,,,,,,,,,,,
240,N4,2003-02-12T00:00:00.000,12:18 PM,Wet,1.4,48.0,5.0,19.51,1.78,17.21,140.78,,15.62,,,,,S-3.8,20,NW,2,12.61,3.5,7.86,,18,0.584,0.391,0.068,1.75,3.24,0.1,20.4,1.3,3.44,-74.005833,40.7645,Permanent,3.03,30.48,12.33,,,,,,,38.0,2.8,15.33,139.86,24.27,,8.12,,,,,92.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,NC2,2006-12-20T00:00:00.000,10:38 AM,Dry,8.01,20.0,5.0,20.41,2.22,8.75,84.38,,15.84,,,,0.1,W,4,W,1,8.7,4.0,7.5,20,15,0.493,0.64,0.08,1.146,3.058,0.155,5.25,23.5,3.31,-73.9355,40.728833,Permanent,8.76,21.85,8.56,,,,,,,18.0,2.41,8.78,86.99,16.87,,7.53,40.0,,,2.0,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,J3,1984-09-14T00:00:00.000,10:31 AM,,22.2,,,28.8,,,,,,,,,,E,,,,6.5,,,,,,,,,,,,,,-73.882833,40.627,Permanent,22.2,28.8,7.4,200,200,,,4.5,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,J3,1984-09-14T00:00:00.000,10:31 AM,,22.2,,,28.8,,,,,,,,,,E,,,,6.5,,,,,,,,,,,,,,-73.882833,40.627,Permanent,22.2,28.8,7.4,200,200,,,4.5,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,GC4,2016-03-24T00:00:00.000,10:00 AM,Dry,,11.0,,,,,,,,,,,,,,,,,,7.8,4,8,0.234,0.275,0.034,0.754,1.365,0.13,24.0,3.66,2.23,-73.989073,40.678034,Permanent,,,,,,,,,,,,,,,,7.8,4.0,E,E,4.0,22.0,,,,,,,,,,,1.384,25.94,7.31,,,,3.09,12.07,12.02,25.95,7.3,,,14.45,,2.94,13.53,,,,,,,,,
245,E10,2013-03-04T00:00:00.000,11:39 AM,Dry,2.61,84.0,3.0,26.69,2.45,1.3,11.44,,21.29,2.2966,,,0.3,E,23,N,1,12.98,3.5,8.39,3,1,0.06,0.05,,0.641,0.067,0.096,5.0,18.2,3.0,-73.765333,40.843667,Permanent,2.46,26.91,13.13,,,,,,,79.0,2.46,1.1,9.7,21.47,40.1112,8.42,,<,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,J8,2010-01-12T00:00:00.000,1:22 PM,Dry,-0.25,18.0,3.0,26.34,2.22,13.83,112.6,68.6,21.13,53.61,54.0,65.92,0.8,E,18,NNW,1,14.76,4.0,8.13,38,10,0.55,0.708,,2.43,0.057,0.18,7.2,38.7,2.5,-73.851167,40.642833,Permanent,-0.34,26.49,14.51,,,,,,,16.0,2.23,13.48,109.6,21.25,61.51,8.14,,,,,3.6,,,,63.16,68.8,9.61,9.59,1569.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
247,NW13,1994-05-09T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.27,0.052,,,0.084,,,,-74.05233,40.60577,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,H4,1921-08-09T00:00:00.000,10:50 AM,,21.5,20.0,,24.85,,,,,,,,,,S,,,,0.31,,,,,,,,,,,,,,-73.929168,40.803613,Permanent,21,24.85,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,H5,1961-07-17T00:00:00.000,9:55 AM,,21.7,22.0,,26.25,,,,,,,,,,SL,,,,1.2,,,,,,,,,,,,,,-73.935832,40.787777,Permanent,20.6,24.5,1.1,1100,1100,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,H4,1972-06-07T00:00:00.000,#N/A,,16.7,,,19.2,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,-73.929168,40.803613,Permanent,16.7,19.9,3.5,43000,70000,,,4.6,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,H4,1939-09-06T00:00:00.000,,,22.8,20.0,,25.2,,,,,,,,,,,,,,1.35,,,,,,,,,,,,,,-73.929168,40.803613,Permanent,22.8,25.2,1.95,,,2.0,2.0,,,,,,,,,,,,,,,,0.35,0.51,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
252,HC2,2012-06-25T00:00:00.000,11:50 AM,Wet,,12.47,,,,,,,,,,,,,,,,,,7.07,560,100,3.25,7.38,2.66,16.435,5.92,3.017,10.0,5.4,7.3,-73.876836,40.650775,Permanent,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,8.85,23.59,,,,7.5,5.52,,,,,,7.8,,,,,,,,,,,,
253,TNQ,1972-06-29T00:00:00.000,4:10 PM,,16.7,,,24.4,,,,,,,,,,NE,,,,5.7,,,,,,,,,,,,,,-73.79204,40.79494,Permanent,17.8,23.4,6.4,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,J5,2008-07-29T00:00:00.000,1:40 PM,Dry,25.35,17.0,4.0,26.8,4.21,2.73,38.81,,17.05,9.6883,35.56,,1.8,E,8,SW,1,3.25,4.0,7.66,,1,0.088,0.46,0.269,1.48,0.846,0.405,14.4,22.7,4.1,-73.809,40.597667,Permanent,25.35,26.8,3.32,,,,,,,16.0,4.21,2.7,38.42,17.06,8.952,7.67,,,,,8.4,Fecal Top sample is questionable,,,,,,,816.99,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
255,E1,1930-08-27T00:00:00.000,10:35 AM,,22.8,41.0,,23.1,,,,,,,,,,N,,,,1.44,,,,,,,,,,,,,,-74.006548,40.7,Permanent,22.2,25.2,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,X1,1922-06-01T00:00:00.000,10:30 AM,,18.3,,,19.6,,,,,,,,,,S,,,,4.62,,,,,,,,,,,,,,-74.007222,40.6875,Permanent,18.3,19.6,6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,NC1,2012-12-27T00:00:00.000,10:17 AM,Wet,6.65,24.0,3.0,14.34,1.55,3.46,31.11,41.56,11.22,4.0023,130.55,76.586,0.7,SE,12,NW,1,4.88,2.0,7.09,940,430,0.307,1.11,0.157,2.33,3.14,0.304,7.0,1.3,4.6,-73.92704,40.724545,Permanent,6.97,20.82,5.33,,,,,,,24.0,2.2,6.07,57.21,16.27,3.876,7.19,390.0,,E,360.0,4.0,,,,79.642,78.97,,,233.38,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,
258,GC4,2009-08-20T00:00:00.000,9:46 AM,Dry,,14.5,,,,,,,,,,,,,,,,,,7.33,132,28,0.343,0.385,0.132,1.97,1.39,0.176,5.4,1.1,4.7,-73.989073,40.678034,Permanent,,,,,,,,,,,,,,,,7.37,52.0,E,E,36.0,13.8,,,,,,,,,,,1.31,22.73,24.36,,,,1.0,2.75,4.96,23.12,24.22,,,4.6,,1.8,8.5,E,,,,,,,,
259,N8,1913-02-18T00:00:00.000,3:25 PM,,6.6,,1.0,,,,,,,,,,,Flood,,,,,,,,,,,,,,,,,,-74.0455,40.606167,Permanent,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,HC2,2015-03-10T00:00:00.000,9:54 AM,Dry,,10.0,,,,,,,,,,,,,,,,,,,19,62,1.414,0.567,0.67,1.909,4.31,0.976,12.0,12.5,5.13,-73.876836,40.650775,Permanent,,,,,,,,,,,,,,,,,,,,,,PH readings were removed from the data.Probe was recalibrated.,,,,,,,,,,,15.37,7.22,,,,4.85,10.57,,,,,,1.87,,,,,,,,,,,,
261,E10,1999-10-05T00:00:00.000,1:32 PM,,19.49,88.0,3.28,26.19,36.54,6.66,84.83,70.66,18.18,,,,,S,6,NE,1,7.54,7.0,6.79,,,,,,,,,,,,-73.765333,40.843667,Permanent,19.42,26.28,7.67,,,,,,,91.84,36.61,6.46,82.2,18.26,,6.81,,,,,,,,,,71.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
