development_name,borough,account_name,location,meter_amr,meter_scope,tds,edp,rc_code,funding_source,amp,vendor_name,umis_bill_id,revenue_month,service_start_date,service_end_date,days,meter_number,estimated,current_charges,rate_class,bill_analyzed,consumption_therms,es_commodity,underlying_utility
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 12,AMR,,205.0,322,K020500,FEDERAL,NY005011670P,National Grid NYC,8107151,2019-08,2019-07-26T00:00:00.000,2019-08-27T00:00:00.000,32,03907797,N,43.47,T1B TRAN RES HEAT,Yes,18.0,UTILITY GAS,NatGrid NYC
RED HOOK WEST,BROOKLYN,RED HOOK WEST,BLD 19,AMR,BLD 19-22,79.0,230,K007900,FEDERAL,NY005000790P,National Grid NYC,8107020,2019-08,2019-07-26T00:00:00.000,2019-08-27T00:00:00.000,32,17291569,N,2931.96,T3 TRAN MULT FAM,Exception,8569.0,UTILITY GAS,NatGrid NYC
RED HOOK WEST,BROOKLYN,RED HOOK WEST,BLD 25,Not Applicable,,79.0,230,K007900,FEDERAL,NY005000790P,DIRECT ENERGY BUSINESS (32179),8114383,2019-08,2019-07-27T00:00:00.000,2019-08-27T00:00:00.000,31,00198900551,N,5439.25,,Yes,13417.0,BROKERED GAS,NatGrid NYC
REDFERN,QUEENS,REDFERN,BLD 02,Not Applicable,,55.0,525,Q005500,FEDERAL,NY005000550P,DIRECT ENERGY BUSINESS (32179),8114298,2019-08,2019-07-25T00:00:00.000,2019-08-22T00:00:00.000,28,9393956001,N,11382.42,,Yes,28077.0,BROKERED GAS,NatGrid LI
REHAB PROGRAM (DOUGLASS REHABS),MANHATTAN,REHAB PROGRAM (DOUGLASS REHABS),BLD 01,NONE,,515.0,299,M051500,FEDERAL,NY005013170P,CONSOLIDATED EDISON COMPANY OF NY,8074557,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3861172,Y,21.96,Trans Res MultiDwell Heat,Yes,0.0,UTILITY GAS,ConEd
REHAB PROGRAM (DOUGLASS REHABS),MANHATTAN,REHAB PROGRAM (DOUGLASS REHABS),BLD 03,Not Applicable,,515.0,255,M051500,FEDERAL,NY005013170P,EAST COAST POWER & GAS,8186978,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,495416065110009,N,301.18,,Yes,744.0,BROKERED GAS,ConEd
REHAB PROGRAM (DOUGLASS REHABS),MANHATTAN,REHAB PROGRAM (DOUGLASS REHABS),BLD 04,Not Applicable,,515.0,255,M051500,FEDERAL,NY005013170P,EAST COAST POWER & GAS,8186979,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,495416065200008,N,178.12,,Yes,440.0,BROKERED GAS,ConEd
REHAB PROGRAM (TAFT REHABS),MANHATTAN,REHAB PROGRAM (TAFT REHABS),BLD 02,Not Applicable,,516.0,295,M051600,FEDERAL,NY005013170P,EAST COAST POWER & GAS,8186982,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,495416067200006,N,472.01,,Yes,1166.0,BROKERED GAS,ConEd
REHAB PROGRAM (TAFT REHABS),MANHATTAN,REHAB PROGRAM (TAFT REHABS),BLD 04,Not Applicable,,516.0,295,M051600,FEDERAL,NY005013170P,EAST COAST POWER & GAS,8186985,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,495416067502005,N,334.77,,Yes,827.0,BROKERED GAS,ConEd
REID APARTMENTS,BROOKLYN,REID APARTMENTS,BLD 01,AMR,,167.0,283,K016700,FEDERAL,NY005011670P,National Grid NYC,8107143,2019-08,2019-07-26T00:00:00.000,2019-08-27T00:00:00.000,32,05768291,N,1303.92,T3 TRAN MULT FAM,Yes,3510.0,UTILITY GAS,NatGrid NYC
RICHMOND TERRACE,STATEN ISLAND,RICHMOND TERRACE,BLD 03,Not Applicable,,117.0,241,S011700,FEDERAL,NY005011170P,DIRECT ENERGY BUSINESS (32179),8114547,2019-08,2019-07-27T00:00:00.000,2019-08-27T00:00:00.000,31,03068905010,N,6162.89,,Yes,15202.0,BROKERED GAS,NatGrid NYC
ROOSEVELT I,BROOKLYN,ROOSEVELT I/ROOSEVELT II,ROOSEVELT I BLD 03,AMR,,135.0,227,K013500,FEDERAL,NY005011350P,National Grid NYC,8107005,2019-08,2019-07-26T00:00:00.000,2019-08-27T00:00:00.000,32,00811377-69.7%,N,8964.65,T3 TRAN MULT FAM,Yes,27479.22,UTILITY GAS,NatGrid NYC
ROOSEVELT II,BROOKLYN,ROOSEVELT I/ROOSEVELT II,ROOSEVELT I BLD 03,Not Applicable,,177.0,281,K017700,FEDERAL,NY005011350P,DIRECT ENERGY BUSINESS (32179),8114376,2019-08,2019-07-27T00:00:00.000,2019-08-27T00:00:00.000,31,0148920020-30.3%,N,4842.82,,Yes,11945.78,BROKERED GAS,NatGrid NYC
RUTGERS,MANHATTAN,RUTGERS,BLD 04,NONE,,99.0,439,M009900,MIXED FINANCE/LLC1,NY005020990P,CONSOLIDATED EDISON COMPANY OF NY,8072125,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3691685,N,2383.45,Trans Res MultiDwell Heat,Yes,3521.0,UTILITY GAS,ConEd
RUTGERS,MANHATTAN,RUTGERS,BLD 05,Not Applicable,,99.0,439,M009900,MIXED FINANCE/LLC1,NY005020990P,EAST COAST POWER & GAS,8186942,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,495416037106002,N,1606.67,,Yes,3969.0,BROKERED GAS,ConEd
RUTLAND TOWERS,BROOKLYN,RUTLAND TOWERS,BLD 01,AMR,,282.0,508,K028200,FEDERAL,NY005011670P,National Grid NYC,8107437,2019-08,2019-07-26T00:00:00.000,2019-09-03T00:00:00.000,39,05091364,Y,330.61,T3 TRAN MULT FAM,Exception,621.0,UTILITY GAS,NatGrid NYC
SACK WERN,BRONX,SACK WERN,BLD 03,NONE,,280.0,506,B028000,FEDERAL,NY005012800P,CONSOLIDATED EDISON COMPANY OF NY,8078636,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3512688,Y,21.96,Trans Res MultiDwell Heat,Yes,0.0,UTILITY GAS,ConEd
SACK WERN,BRONX,SACK WERN,BLD 06,AMR,,280.0,506,B028000,FEDERAL,NY005012800P,CONSOLIDATED EDISON COMPANY OF NY,8078606,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3492113,N,484.28,Trans Gen Non-Res,Yes,1005.71,UTILITY GAS,ConEd
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 08,Not Applicable,,205.0,322,K020500,FEDERAL,NY005011670P,DIRECT ENERGY BUSINESS (32179),8114449,2019-08,2019-07-27T00:00:00.000,2019-08-27T00:00:00.000,31,00328925440,N,18.24,,Yes,45.0,BROKERED GAS,NatGrid NYC
SACK WERN,BRONX,SACK WERN,BLD 02,NONE,,280.0,506,B028000,FEDERAL,NY005012800P,CONSOLIDATED EDISON COMPANY OF NY,8078576,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3515987,N,297.87,Trans Gen Non-Res,Yes,591.88,UTILITY GAS,ConEd
SAINT MARY'S PARK,BRONX,SAINT MARYS PARK,BLD 03,NONE,BLD 1-6,93.0,673,B009300,MIXED FINANCE/LLC1,NY005020930P,CONSOLIDATED EDISON COMPANY OF NY,8080424,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3377608,N,14653.47,Trans Res MultiDwell Heat Dual,Yes,26963.0,UTILITY GAS,ConEd
131 SAINT NICHOLAS AVENUE,MANHATTAN,SAINT NICHOLAS AVENUE,BLD 01,Not Applicable,,154.0,264,M015400,FEDERAL,NY005010970P,EAST COAST POWER & GAS,8186862,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,495416019010008,N,719.34,,Yes,1777.0,BROKERED GAS,ConEd
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 36,Not Applicable,,377.0,650,M037700,MIXED FINANCE/LLC1,NY005023770P,EAST COAST POWER & GAS,8186897,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,495416031631005,N,238.84,,Exception,590.0,BROKERED GAS,ConEd
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 01,NONE,,377.0,650,M037700,MIXED FINANCE/LLC1,NY005023770P,CONSOLIDATED EDISON COMPANY OF NY,8075408,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3231357,Y,310.44,Trans Res MultiDwell Heat,Yes,389.0,UTILITY GAS,ConEd
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 06,NONE,,377.0,650,M037700,MIXED FINANCE/LLC1,NY005023770P,CONSOLIDATED EDISON COMPANY OF NY,8075162,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3231320,N,21.96,Trans Res MultiDwell Heat,Yes,0.0,UTILITY GAS,ConEd
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 15,NONE,,377.0,650,M037700,MIXED FINANCE/LLC1,NY005023770P,CONSOLIDATED EDISON COMPANY OF NY,8075207,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3192735,N,533.88,Trans Res MultiDwell Heat,Exception,710.0,UTILITY GAS,ConEd
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 31,NONE,,377.0,650,M037700,MIXED FINANCE/LLC1,NY005023770P,CONSOLIDATED EDISON COMPANY OF NY,8075122,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3234093,N,261.0,Trans Res MultiDwell Heat,Exception,318.0,UTILITY GAS,ConEd
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 18,NONE,,377.0,650,M037700,MIXED FINANCE/LLC1,NY005023770P,CONSOLIDATED EDISON COMPANY OF NY,8075127,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3591834,N,247.08,Trans Res MultiDwell Heat,Yes,298.0,UTILITY GAS,ConEd
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 11,NONE,,377.0,650,M037700,MIXED FINANCE/LLC1,NY005023770P,CONSOLIDATED EDISON COMPANY OF NY,8074457,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3192778,N,397.47,Trans Res MultiDwell Heat,Yes,514.0,UTILITY GAS,ConEd
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 17,Not Applicable,,377.0,650,M037700,MIXED FINANCE/LLC1,NY005023770P,EAST COAST POWER & GAS,8186914,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,495416034231001,N,228.72,,Yes,565.0,BROKERED GAS,ConEd
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 30,NONE,,377.0,650,M037700,MIXED FINANCE/LLC1,NY005023770P,CONSOLIDATED EDISON COMPANY OF NY,8074393,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3661332,N,21.96,Trans Res MultiDwell Heat,Exception,0.0,UTILITY GAS,ConEd
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 12,NONE,,377.0,650,M037700,MIXED FINANCE/LLC1,NY005023770P,CONSOLIDATED EDISON COMPANY OF NY,8072833,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3192701,N,21.96,Trans Res MultiDwell Heat,Exception,0.0,UTILITY GAS,ConEd
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 34,NONE,,377.0,650,M037700,MIXED FINANCE/LLC1,NY005023770P,CONSOLIDATED EDISON COMPANY OF NY,8075103,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3267802,N,285.37,Trans Res MultiDwell Heat,Yes,353.0,UTILITY GAS,ConEd
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 37,NONE,,377.0,650,M037700,MIXED FINANCE/LLC1,NY005023770P,CONSOLIDATED EDISON COMPANY OF NY,8075009,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3267634,N,195.56,Trans Res MultiDwell Heat,Yes,224.0,UTILITY GAS,ConEd
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 24,Not Applicable,,377.0,650,M037700,MIXED FINANCE/LLC1,NY005023770P,EAST COAST POWER & GAS,8186936,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,495416036731008,N,112.53,,Yes,278.0,BROKERED GAS,ConEd
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 23,Not Applicable,,377.0,650,M037700,MIXED FINANCE/LLC1,NY005023770P,EAST COAST POWER & GAS,8186937,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,495416036831006,N,89.06,,Yes,220.0,BROKERED GAS,ConEd
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 26,NONE,,377.0,650,M037700,MIXED FINANCE/LLC1,NY005023770P,CONSOLIDATED EDISON COMPANY OF NY,8074965,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3267825,Y,238.06,Trans Res MultiDwell Heat,Yes,285.0,UTILITY GAS,ConEd
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD48 - Community Center,Not Applicable,Community Center,377.0,650,M237700,MIXED FINANCE/LLC1,NY005023770P,EAST COAST POWER & GAS,8186946,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,495416037632007,N,127.92,,Exception,316.0,BROKERED GAS,ConEd
SAMUEL (MHOP) I,MANHATTAN,SAMUEL (MHOP) I,BLD 41,NONE,,389.0,847,M038900,FEDERAL,NY005013170P,CONSOLIDATED EDISON COMPANY OF NY,8074947,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3267973,N,146.84,Trans Res MultiDwell Heat,Yes,154.0,UTILITY GAS,ConEd
SAMUEL (MHOP) I,MANHATTAN,SAMUEL (MHOP) I,BLD 40,NONE,,389.0,847,M038900,FEDERAL,NY005013170P,CONSOLIDATED EDISON COMPANY OF NY,8074514,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3267784,N,101.58,Trans Res MultiDwell Heat,Yes,89.0,UTILITY GAS,ConEd
SAMUEL (MHOP) III,MANHATTAN,SAMUEL (MHOP) III,BLD 47,Not Applicable,,399.0,483,M039900,FEDERAL,NY005013170P,EAST COAST POWER & GAS,8186894,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,495416030920003,N,25.51,,Yes,63.0,BROKERED GAS,ConEd
SARATOGA VILLAGE,BROOKLYN,SARATOGA VILLAGE,BLD 01,Not Applicable,,158.0,274,K015800,FEDERAL,NY005011620P,DIRECT ENERGY BUSINESS (32179),8114483,2019-08,2019-07-27T00:00:00.000,2019-08-27T00:00:00.000,31,00488915010,N,1679.57,,Exception,4143.0,BROKERED GAS,NatGrid NYC
SEDGWICK,BRONX,SEDGWICK,BLD 03,Not Applicable,,45.0,368,B004500,FEDERAL,NY005010450P,EAST COAST POWER & GAS,8186691,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,395416100000000,N,12713.3,,Yes,31406.0,BROKERED GAS,ConEd
SHEEPSHEAD BAY,BROOKLYN,SHEEPSHEAD BAY/NOSTRAND,NOSTRAND BLD 17,AMR,,36.0,314,K003600,FEDERAL,NY005010360P,National Grid NYC,8107336,2019-08,2019-07-26T00:00:00.000,2019-08-27T00:00:00.000,32,04651348-47.7%,N,10498.24,T3 TRAN MULT FAM,Yes,32363.97,UTILITY GAS,NatGrid NYC
SHELTON HOUSE,QUEENS,SHELTON HOUSE,BLD 01,Not Applicable,,279.0,505,Q027900,FEDERAL,NY005010910P,DIRECT ENERGY BUSINESS (32179),8114527,2019-08,2019-07-27T00:00:00.000,2019-08-27T00:00:00.000,31,01078910000,N,8.11,,Yes,20.0,BROKERED GAS,NatGrid NYC
SOTOMAYOR HOUSES,BRONX,SOTOMAYOR HOUSES,BLD 31 - Community Center,Not Applicable,Community Center,67.0,222,B206700,FEDERAL,NY005010670P,EAST COAST POWER & GAS,8186738,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,395416143015007,N,10.12,,Exception,25.0,BROKERED GAS,ConEd
SOUTH BRONX AREA (SITE 402),BRONX,SOUTH BRONX AREA (SITE 402),BLD 03,NONE,,305.0,550,B030500,FEDERAL,NY005013420P,CONSOLIDATED EDISON COMPANY OF NY,8080943,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3466661,Y,21.96,Trans Res MultiDwell Heat,Exception,0.0,UTILITY GAS,ConEd
SOUTH BRONX AREA (SITE 402),BRONX,SOUTH BRONX AREA (SITE 402),BLD 01,NONE,,305.0,550,B030500,FEDERAL,NY005013420P,CONSOLIDATED EDISON COMPANY OF NY,8080927,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3691783,N,21.96,Trans Res MultiDwell Heat,Exception,0.0,UTILITY GAS,ConEd
STANTON STREET,MANHATTAN,STANTON STREET,BLD 01,Not Applicable,,559.0,841,M055900,FEDERAL,NY005013590P,EAST COAST POWER & GAS,8186859,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,495416017610007,N,157.88,,Yes,390.0,BROKERED GAS,ConEd
STAPLETON,STATEN ISLAND,STAPLETON,BLD 07 - Community Center,Not Applicable,Community Center,114.0,436,S211400,MIXED FINANCE/LLC1,NY005021140P,DIRECT ENERGY BUSINESS (32179),8114550,2019-08,2019-08-01T00:00:00.000,2019-08-30T00:00:00.000,29,03143512110,N,0.41,,Exception,1.0,BROKERED GAS,NatGrid NYC
STEBBINS AVENUE-HEWITT PLACE,BRONX,STEBBINS AVENUE-HEWITT PLACE,BLD 01,NONE,,353.0,770,B035300,FEDERAL,NY005013420P,CONSOLIDATED EDISON COMPANY OF NY,8080413,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3078811,N,604.89,Trans Res MultiDwell Heat,Exception,812.0,UTILITY GAS,ConEd
STEBBINS AVENUE-HEWITT PLACE,BRONX,STEBBINS AVENUE-HEWITT PLACE,BLD 01,Not Applicable,,353.0,770,B035300,FEDERAL,NY005013420P,EAST COAST POWER & GAS,8186728,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,395416130611008,N,328.7,,Exception,812.0,BROKERED GAS,ConEd
FIRST HOUSES,MANHATTAN,FIRST HOUSES,BLD 06,NONE,BLD 4-8,1.0,370,M000100,FEDERAL,NY005012920P,CONSOLIDATED EDISON COMPANY OF NY,8085637,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3534565,Y,21.96,Trans Res MultiDwell Heat,Yes,0.0,UTILITY GAS,ConEd
FORT WASHINGTON AVENUE REHAB,MANHATTAN,FORT WASHINGTON AVENUE REHAB,BLD 01,NONE,,309.0,341,M030900,FEDERAL,NY005013090P,CONSOLIDATED EDISON COMPANY OF NY,8074684,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3127361,Y,1546.07,Trans Res MultiDwell Heat,Yes,2164.0,UTILITY GAS,ConEd
STERLING PLACE REHABS (SAINT JOHNS-STERLING),BROOKLYN,STERLING PLACE REHABS (SAINT JOHNS-STERLING),BLD 05,AMR,,366.0,801,K036600,FEDERAL,NY005013510P,National Grid NYC,8107092,2019-08,2019-07-26T00:00:00.000,2019-08-27T00:00:00.000,32,05318946,N,268.31,T3 TRAN MULT FAM,Yes,505.0,UTILITY GAS,NatGrid NYC
STERLING PLACE REHABS (SAINT JOHNS-STERLING),BROOKLYN,STERLING PLACE REHABS (SAINT JOHNS-STERLING),BLD 02,AMR,,366.0,801,K036600,FEDERAL,NY005013510P,National Grid NYC,8107103,2019-08,2019-07-26T00:00:00.000,2019-08-27T00:00:00.000,32,05151826,N,224.82,T3 TRAN MULT FAM,Yes,407.0,UTILITY GAS,NatGrid NYC
HOLMES TOWERS,MANHATTAN,HOLMES TOWERS,BLD 01,Not Applicable,,159.0,277,M015900,FEDERAL,NY005011390P,EAST COAST POWER & GAS,8186881,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,495416024100000,N,5093.25,,Yes,12582.0,BROKERED GAS,ConEd
HERNANDEZ,MANHATTAN,HERNANDEZ,BLD 01,NONE,,184.0,286,M018400,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,8085870,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,2545255,N,21.96,Trans Res MultiDwell Heat,Exception,0.0,UTILITY GAS,ConEd
HARRISON AVENUE REHAB (GROUP B),BRONX,HARRISON AVENUE REHAB (GROUP B),BLD 03,NONE,,547.0,773,B054700,FEDERAL,NY005013410P,CONSOLIDATED EDISON COMPANY OF NY,8079641,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3048282,N,1441.63,Trans Res MultiDwell Heat,Exception,2014.0,UTILITY GAS,ConEd
HERNANDEZ,MANHATTAN,HERNANDEZ,BLD 01,NONE,,184.0,286,M018400,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,8085835,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3319211,N,1576.85,Trans Gen Non-Res,Yes,2764.0,UTILITY GAS,ConEd
HOPE GARDENS,BROOKLYN,HOPE GARDENS,BLD 04 - Community Center,AMR,,247.0,546,K224700,FEDERAL,NY005012470P,National Grid NYC,8106879,2019-08,2019-07-26T00:00:00.000,2019-08-27T00:00:00.000,32,00129336,N,42.53,T2-2 TRAN GENERAL,Yes,0.0,UTILITY GAS,NatGrid NYC
HOWARD AVENUE,BROOKLYN,HOWARD AVENUE,BLD 03,Not Applicable,,339.0,782,K033900,FEDERAL,NY005013510P,DIRECT ENERGY BUSINESS (32179),8114474,2019-08,2019-07-27T00:00:00.000,2019-08-27T00:00:00.000,31,00348922271,N,99.73,,Yes,246.0,BROKERED GAS,NatGrid NYC
HARLEM RIVER,MANHATTAN,HARLEM RIVER II/HARLEM RIVER,HARLEM RIVER II BLD 08,NONE,,3.0,201,M000300,FEDERAL,NY005010030P,CONSOLIDATED EDISON COMPANY OF NY,8074506,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,2545242-82.5%,N,15292.34,Trans Res MultiDwell Heat Dual,Yes,28364.33,UTILITY GAS,ConEd
HAMMEL,QUEENS,HAMMEL,BLD 05,Not Applicable,,75.0,226,Q007500,FEDERAL,NY005010750P,DIRECT ENERGY BUSINESS (32179),8114295,2019-08,2019-07-25T00:00:00.000,2019-08-22T00:00:00.000,28,5658999006,N,12267.81,,Yes,30261.0,BROKERED GAS,NatGrid LI
ALBANY II,BROOKLYN,ALBANY/ALBANY II,ALBANY BLD 04,Not Applicable,,85.0,524,K008500,FEDERAL,NY005010310P,DIRECT ENERGY BUSINESS (32179),8114403,2019-08,2019-07-27T00:00:00.000,2019-08-27T00:00:00.000,31,0298920000-33.2%,N,4249.77,,Yes,10482.9,BROKERED GAS,NatGrid NYC
HAMMEL,QUEENS,HAMMEL,BLD 08 - Community Center,NONE,,75.0,226,Q207500,FEDERAL,NY005010750P,National Grid LI,8091671,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,05235948,N,42.56,"177 Del,Com,Heat",Yes,0.0,UTILITY GAS,NatGrid LI
HARLEM RIVER II,MANHATTAN,HARLEM RIVER II/HARLEM RIVER,HARLEM RIVER II BLD 08,NONE,,147.0,256,M014700,FEDERAL,NY005010030P,CONSOLIDATED EDISON COMPANY OF NY,8074506,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,2545242-17.5%,N,3243.83,Trans Res MultiDwell Heat Dual,Yes,6016.68,UTILITY GAS,ConEd
GUN HILL,BRONX,GUN HILL,BLD 06,Not Applicable,,40.0,579,B004000,FEDERAL,NY005010470P,EAST COAST POWER & GAS,8186787,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,395416171500003,N,8551.51,,Yes,21125.0,BROKERED GAS,ConEd
GRAVESEND,BROOKLYN,GRAVESEND,BLD 13,AMR,BLD 1-15,68.0,225,K006800,FEDERAL,NY005011720P,National Grid NYC,8107398,2019-08,2019-07-26T00:00:00.000,2019-08-27T00:00:00.000,32,05093019,N,10132.81,T3 TRAN MULT FAM,Yes,30945.0,UTILITY GAS,NatGrid NYC
HABER,BROOKLYN,HABER,BLD 03,AMR,BLD 1-3,142.0,589,K014200,FEDERAL,NY005011660P,National Grid NYC,8107368,2019-08,2019-07-26T00:00:00.000,2019-08-27T00:00:00.000,32,04829107,N,45.61,T3 TRAN MULT FAM,Exception,0.0,UTILITY GAS,NatGrid NYC
CONEY ISLAND I (SITE 8),BROOKLYN,CONEY ISLAND I (SITE 8),BLD 01,Not Applicable,,238.0,334,K023800,FEDERAL,NY005011720P,DIRECT ENERGY BUSINESS (32179),8114537,2019-08,2019-07-27T00:00:00.000,2019-08-27T00:00:00.000,31,02308911000,N,2391.05,,Yes,5898.0,BROKERED GAS,NatGrid NYC
HAMMEL,QUEENS,HAMMEL,BLD 08 - Community Center,Not Applicable,Community Center,75.0,226,Q207500,FEDERAL,NY005010750P,DIRECT ENERGY BUSINESS (32179),8114297,2019-08,2019-07-25T00:00:00.000,2019-08-22T00:00:00.000,28,9393952003,,0.0,,Yes,0.0,BROKERED GAS,NatGrid LI
CROWN HEIGHTS,BROOKLYN,CROWN HEIGHTS,BLD 07,AMR,BLD 5-8,312.0,331,K031200,FEDERAL,NY005013510P,National Grid NYC,8107134,2019-08,2019-07-26T00:00:00.000,2019-08-27T00:00:00.000,32,05151654,N,396.6,T3 TRAN MULT FAM,Exception,794.0,UTILITY GAS,NatGrid NYC
HARRISON AVENUE REHAB (GROUP B),BRONX,HARRISON AVENUE REHAB (GROUP B),BLD 01,NONE,,547.0,773,B054700,FEDERAL,NY005013410P,CONSOLIDATED EDISON COMPANY OF NY,8079682,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3027548,N,21.96,Trans Res MultiDwell Heat,Exception,0.0,UTILITY GAS,ConEd
HARRISON AVENUE REHAB (GROUP B),BRONX,HARRISON AVENUE REHAB (GROUP B),BLD 03,Not Applicable,,547.0,773,B054700,FEDERAL,NY005013410P,EAST COAST POWER & GAS,8186772,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,395416159301002,N,815.28,,Exception,2014.0,BROKERED GAS,ConEd
HARRISON AVENUE REHAB (GROUP B),BRONX,HARRISON AVENUE REHAB (GROUP B),BLD 04,Not Applicable,,547.0,773,B054700,FEDERAL,NY005013410P,EAST COAST POWER & GAS,8186773,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,395416159401000,N,320.61,,Yes,792.0,BROKERED GAS,ConEd
COOPER PARK,BROOKLYN,COOPER PARK,BLD 11,Not Applicable,,69.0,223,K006900,FEDERAL,NY005000690P,DIRECT ENERGY BUSINESS (32179),8114311,2019-08,2019-07-27T00:00:00.000,2019-08-27T00:00:00.000,31,00061500321,N,13224.55,,Yes,32621.0,BROKERED GAS,NatGrid NYC
CORSI HOUSES,MANHATTAN,CORSI HOUSES,BLD 01,Not Applicable,,199.0,359,M019900,FEDERAL,NY005010640P,EAST COAST POWER & GAS,8186871,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,495416020415006,N,807.18,,Exception,1994.0,BROKERED GAS,ConEd
