development_name,borough,account_name,location,meter_amr,meter_scope,tds,edp,rc_code,funding_source,amp,vendor_name,umis_bill_id,revenue_month,service_start_date,service_end_date,days,meter_number,estimated,current_charges,rate_class,bill_analyzed,consumption_hcf,water_sewer_charges,other_charges
FHA REPOSSESSED HOUSES (GROUP IV),FHA,FHA REPOSSESSED HOUSES (GROUP IV),209-26 NASHVILLE BOULEVARD,AMR,,226,345,Q022600,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191466,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E20257407,N,39.34,Basic Water and Sewer,Exception,0,0.0,39.34
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 07,AMR,BLD 07,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,8190587,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E20290719,N,165.35,Basic Water and Sewer,Exception,16,165.35,0.0
WEST FARMS ROAD REHAB,BRONX,WEST FARMS ROAD REHAB,BLD 03,AMR,,360,780,B053000,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,8190731,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E12221107,N,6944.52,Basic Water and Sewer,Yes,672,6944.52,0.0
FHA REPOSSESSED HOUSES (GROUP II),FHA,FHA REPOSSESSED HOUSES (GROUP II),444 TORRY AVENUE,AMR,,212,327,Q021200,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191383,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,K16830957,N,93.01,Basic Water and Sewer,Yes,9,93.01,0.0
HOWARD AVENUE-PARK PLACE,BROOKLYN,HOWARD AVENUE-PARK PLACE,BLD 03,AMR,BLD 03,365,551,K036500,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,8191645,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E14020164,N,878.4,Basic Water and Sewer,Exception,85,878.4,0.0
FHA REPOSSESSED HOUSES (GROUP I),FHA,FHA REPOSSESSED HOUSES (GROUP I),115-21 200TH STREET,AMR,,209,324,Q020900,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191574,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E21225014,N,62.0,Basic Water and Sewer,Yes,6,62.0,0.0
FHA REPOSSESSED HOUSES (GROUP VI),FHA,FHA REPOSSESSED HOUSES (GROUP VI),180-15 144TH AVENUE,AMR,,273,395,Q027300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191309,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,V48022683,N,62.0,Basic Water and Sewer,Yes,6,62.0,0.0
FHA REPOSSESSED HOUSES (GROUP IX),FHA,FHA REPOSSESSED HOUSES (GROUP IX),359 BERRIMAN STREET,AMR,,283,376,Q028300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8190594,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E20167360,N,39.34,Basic Water and Sewer,Yes,0,0.0,39.34
MARLBORO,BROOKLYN,MARLBORO,BLD 29,AMR,BOILER PLANT,83,426,K008300,MIXED FINANCE/LLC1,NY005020830P,NEW YORK CITY WATER BOARD,8191680,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E14262604,N,5559.75,Basic Water and Sewer,Yes,538,5559.75,0.0
HOWARD AVENUE-PARK PLACE,BROOKLYN,HOWARD AVENUE-PARK PLACE,BLD 05,AMR,BLD 05,365,551,K036500,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,8191753,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,O78777952,N,3926.96,Basic Water and Sewer,Yes,380,3926.96,0.0
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 24,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,8191810,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,G13029990,N,1736.13,Basic Water and Sewer,Yes,168,1736.13,0.0
FHA REPOSSESSED HOUSES (GROUP I),FHA,FHA REPOSSESSED HOUSES (GROUP I),218-34 119TH AVENUE,AMR,,209,324,Q020900,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191773,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E20189928,N,39.34,Basic Water and Sewer,Exception,0,0.0,39.34
FHA REPOSSESSED HOUSES (GROUP VI),FHA,FHA REPOSSESSED HOUSES (GROUP VI),116-31 FARMERS BOULEVARD,AMR,,273,395,Q027300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8190557,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E19319616,N,39.34,Basic Water and Sewer,Yes,3,39.34,0.0
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 07,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,8191731,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,V31625180,N,3709.94,Basic Water and Sewer,Yes,359,3709.94,0.0
FHA REPOSSESSED HOUSES (GROUP I),FHA,FHA REPOSSESSED HOUSES (GROUP II),110-26 216TH STREET,AMR,,209,324,Q020900,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191794,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E20332250,N,155.01,Basic Water and Sewer,Exception,15,155.01,0.0
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 02,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,8190875,2019-09,2019-08-24T00:00:00.000,2019-09-22T00:00:00.000,29,V31633777,Y,1291.76,Basic Water and Sewer,Yes,125,1291.76,0.0
FHA REPOSSESSED HOUSES (GROUP X),FHA,FHA REPOSSESSED HOUSES (GROUP X),111-46 156TH STREET,AMR,,284,521,Q028400,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191404,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E19489541,N,39.34,Basic Water and Sewer,Yes,3,39.34,0.0
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 26,AMR,BLD 26,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,8191777,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E13010005,N,7027.19,Basic Water and Sewer,Exception,680,7027.19,0.0
FHA REPOSSESSED HOUSES (GROUP IV),FHA,FHA REPOSSESSED HOUSES (GROUP IV),113-32 205TH STREET,AMR,,226,345,Q022600,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191539,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E19370635,N,39.34,Basic Water and Sewer,Exception,4,39.34,0.0
BERRY STREET-SOUTH 9TH STREET,BROOKLYN,BERRY STREET-SOUTH 9TH STREET,BLD 03,AMR,BLD 03,357,777,K035700,FEDERAL,NY005011310P,NEW YORK CITY WATER BOARD,8191750,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,O78363667,N,4319.65,Basic Water and Sewer,Yes,418,4319.65,0.0
FHA REPOSSESSED HOUSES (GROUP I),FHA,FHA REPOSSESSED HOUSES (GROUP I),213-24 NASHVILLE BOULEVARD,AMR,,209,324,Q020900,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8193653,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E19432601,N,155.01,Basic Water and Sewer,Exception,15,155.01,0.0
HOWARD AVENUE-PARK PLACE,BROOKLYN,HOWARD AVENUE-PARK PLACE,BLD 04,AMR,BLD 04,365,551,K036500,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,8190632,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,O78590128,N,4185.31,Basic Water and Sewer,Yes,405,4185.31,0.0
FHA REPOSSESSED HOUSES (GROUP II),FHA,FHA REPOSSESSED HOUSES (GROUP II),110-16 207TH STREET,AMR,,212,327,Q021200,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8190444,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E19432595,N,175.68,Basic Water and Sewer,Exception,17,175.68,0.0
SAMUEL (MHOP) I,MANHATTAN,SAMUEL (MHOP) I,BLD 41,AMR,,389,847,M038900,MHOP,NY005013170P,NEW YORK CITY WATER BOARD,8191804,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,O76882752,N,485.7,Basic Water and Sewer,Yes,47,485.7,0.0
FHA REPOSSESSED HOUSES (GROUP IV),FHA,FHA REPOSSESSED HOUSES (GROUP IV),190-18 119TH AVENUE,AMR,,226,345,Q022600,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191658,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E20275744,N,113.68,Basic Water and Sewer,Yes,11,113.68,0.0
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 04,AMR,BLD 04,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,8190584,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E20453240,N,403.03,Basic Water and Sewer,Yes,39,403.03,0.0
EAST 173RD STREET-VYSE AVENUE,BRONX,EAST 173RD STREET-VYSE AVENUE,BLD 01,AMR,,338,778,B033800,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,8190352,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E13304664,N,4402.33,Basic Water and Sewer,Exception,426,4402.33,0.0
EAST 173RD STREET-VYSE AVENUE,BRONX,EAST 173RD STREET-VYSE AVENUE,BLD 03,AMR,,338,778,B033800,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,8190352,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E13304662,N,3058.89,Basic Water and Sewer,Exception,296,3058.89,0.0
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 03,AMR,BLD 03,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,8190493,2019-09,2019-08-24T00:00:00.000,2019-09-22T00:00:00.000,29,E20453242,N,62.0,Basic Water and Sewer,Exception,6,62.0,0.0
FHA REPOSSESSED HOUSES (GROUP IV),FHA,FHA REPOSSESSED HOUSES (GROUP IV),184-20 EDGEWOOD AVENUE,AMR,,226,345,Q022600,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191796,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E20405182,N,103.34,Basic Water and Sewer,Exception,10,103.34,0.0
FHA REPOSSESSED HOUSES (GROUP X),FHA,FHA REPOSSESSED HOUSES (GROUP X),114-54 INWOOD STREET,AMR,,284,521,Q028400,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191667,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,V48016285,N,72.34,Basic Water and Sewer,Yes,7,72.34,0.0
FHA REPOSSESSED HOUSES (GROUP VIII),FHA,FHA REPOSSESSED HOUSES (GROUP VIII),139-10 109TH ROAD,AMR,,275,520,Q027500,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191523,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,V48024362,N,39.34,Basic Water and Sewer,Exception,2,39.34,0.0
FHA REPOSSESSED HOUSES (GROUP I),FHA,FHA REPOSSESSED HOUSES (GROUP I),150-36 116TH ROAD,AMR,,209,324,Q020900,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191519,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,V48009196,N,39.34,Basic Water and Sewer,Yes,5,39.34,0.0
FHA REPOSSESSED HOUSES (GROUP I),FHA,FHA REPOSSESSED HOUSES (GROUP I),138-11 LINDEN BOULEVARD,AMR,,209,324,Q020900,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191789,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E20475069,N,39.34,Basic Water and Sewer,Yes,5,39.34,0.0
FHA REPOSSESSED HOUSES (GROUP I),FHA,FHA REPOSSESSED HOUSES (GROUP I),148-13 SUTTER AVENUE,AMR,,209,324,Q020900,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191419,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E19354760,N,39.34,Basic Water and Sewer,Yes,3,39.34,0.0
FHA REPOSSESSED HOUSES (GROUP II),FHA,FHA REPOSSESSED HOUSES (GROUP II),113-14 196TH STREET,AMR,,212,327,Q021200,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191802,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E21225787,N,39.34,Basic Water and Sewer,Exception,0,0.0,39.34
SMITH,MANHATTAN,SMITH,BLD 08,AMR,STORE 01,27,531,M002700,FEDERAL,NY005000270P,NEW YORK CITY WATER BOARD,8191815,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E19822076,N,806.06,Basic Water and Sewer,Exception,78,806.06,0.0
FHA REPOSSESSED HOUSES (GROUP VIII),FHA,FHA REPOSSESSED HOUSES (GROUP VIII),109-33 130TH STREET,AMR,,275,520,Q027500,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191704,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,V48023745,N,62.0,Basic Water and Sewer,Exception,6,62.0,0.0
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 09,AMR,BLD 09,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,8191264,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E20290493,N,217.02,Basic Water and Sewer,Exception,21,217.02,0.0
FHA REPOSSESSED HOUSES (GROUP I),FHA,FHA REPOSSESSED HOUSES (GROUP I),178-14 BAISLEY BOULEVARD,AMR,,209,324,Q020900,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191451,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E21225755,N,62.0,Basic Water and Sewer,Yes,6,62.0,0.0
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 11,AMR,BLD 11,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,8190500,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E20290494,N,237.68,Basic Water and Sewer,Yes,23,237.68,0.0
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 02,AMR,BLD 02,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,8190705,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E21207684,N,186.01,Basic Water and Sewer,Yes,18,186.01,0.0
FHA REPOSSESSED HOUSES (GROUP I),FHA,FHA REPOSSESSED HOUSES (GROUP I),132-19 BENNETT COURT,AMR,,209,324,Q020900,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191646,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,K12109723,N,39.34,Basic Water and Sewer,Yes,0,0.0,39.34
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 16,AMR,BLD 16,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,8191432,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E20312472,N,692.38,Basic Water and Sewer,Exception,67,692.38,0.0
FHA REPOSSESSED HOUSES (GROUP VI),FHA,FHA REPOSSESSED HOUSES (GROUP VI),114-44 198TH STREET,AMR,,273,395,Q027300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191531,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E19369024,N,39.34,Basic Water and Sewer,Exception,1,39.34,0.0
SHELTON HOUSE,QUEENS,SHELTON HOUSE,BLD 01,AMR,,279,505,Q027900,FEDERAL,NY005010910P,NEW YORK CITY WATER BOARD,8191718,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E13092219,N,10013.74,Basic Water and Sewer,Yes,969,10013.74,0.0
FHA REPOSSESSED HOUSES (GROUP V),FHA,FHA REPOSSESSED HOUSES (GROUP V),137-24 219TH STREET,AMR,,260,397,Q026000,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191697,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E20466763,N,39.34,Basic Water and Sewer,Exception,0,0.0,39.34
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 24,NONE,,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,8217312,2019-09,2019-09-04T00:00:00.000,2019-10-03T00:00:00.000,29,N30009896,N,5415.07,Basic Water and Sewer,Yes,524,5415.07,0.0
FHA REPOSSESSED HOUSES (GROUP VIII),FHA,FHA REPOSSESSED HOUSES (GROUP VIII),123-19 145TH STREET,AMR,,275,520,Q027500,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8190777,2019-09,2019-08-24T00:00:00.000,2019-09-22T00:00:00.000,29,K15882861,Y,36.8,Basic Water and Sewer,Yes,2,36.8,0.0
FHA REPOSSESSED HOUSES (GROUP I),FHA,FHA REPOSSESSED HOUSES (GROUP I),137-22 WESTGATE STREET,AMR,,209,324,Q020900,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8193634,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E20442865,N,39.34,Basic Water and Sewer,Yes,0,0.0,39.34
FHA REPOSSESSED HOUSES (GROUP II),FHA,FHA REPOSSESSED HOUSES (GROUP II),126-01 116TH AVENUE,AMR,,212,327,Q021200,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8190830,2019-09,2019-08-24T00:00:00.000,2019-09-22T00:00:00.000,29,N32445032,Y,36.8,Basic Water and Sewer,Yes,1,36.8,0.0
CLAREMONT REHAB (GROUP 4),BRONX,CLAREMONT REHAB (GROUP 4),BLD 03,AMR,,335,751,B033500,FEDERAL,NY005013080P,NEW YORK CITY WATER BOARD,8191437,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E97172487,N,558.04,Basic Water and Sewer,Exception,54,558.04,0.0
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 07,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,8095588,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,V31625180,N,3761.61,Basic Water and Sewer,Yes,364,3761.61,0.0
FHA REPOSSESSED HOUSES (GROUP V),FHA,FHA REPOSSESSED HOUSES (GROUP V),117-37 192ND STREET,AMR,,260,397,Q026000,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8094996,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E21226916,N,38.07,Basic Water and Sewer,Yes,4,38.07,0.0
FHA REPOSSESSED HOUSES (GROUP III),FHA,FHA REPOSSESSED HOUSES (GROUP III),213-34 NASHVILLE BOULEVARD,AMR,,213,340,Q021300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8095469,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E20445419,N,62.0,Basic Water and Sewer,Yes,6,62.0,0.0
SAMUEL (MHOP) I,MANHATTAN,SAMUEL (MHOP) I,BLD 43,AMR,,389,847,M038900,MHOP,NY005013170P,NEW YORK CITY WATER BOARD,8097084,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,B35397973,N,227.35,Basic Water and Sewer,Yes,22,227.35,0.0
FHA REPOSSESSED HOUSES (GROUP IX),FHA,FHA REPOSSESSED HOUSES (GROUP IX),359 BERRIMAN STREET,AMR,,283,376,Q028300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8097227,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E20167360,N,38.07,Basic Water and Sewer,Exception,0,0.0,38.07
BERRY STREET-SOUTH 9TH STREET,BROOKLYN,BERRY STREET-SOUTH 9TH STREET,BLD 02,AMR,BLD 02,357,777,K035700,FEDERAL,NY005011310P,NEW YORK CITY WATER BOARD,8096224,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,O78363626,N,3730.61,Basic Water and Sewer,Yes,361,3730.61,0.0
FHA REPOSSESSED HOUSES (GROUP IV),FHA,FHA REPOSSESSED HOUSES (GROUP IV),209-26 NASHVILLE BOULEVARD,AMR,,226,345,Q022600,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8095679,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E20257407,N,38.07,Basic Water and Sewer,Exception,0,0.0,38.07
FHA REPOSSESSED HOUSES (GROUP I),FHA,FHA REPOSSESSED HOUSES (GROUP I),202-06 116TH AVENUE,NONE,,209,324,Q020900,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8093180,2019-08,2019-07-24T00:00:00.000,2019-08-24T00:00:00.000,31,E21226233,Y,39.34,Basic Water and Sewer,Yes,1,39.34,0.0
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 24,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,8095117,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,G13029990,N,1508.78,Basic Water and Sewer,Yes,146,1508.78,0.0
FHA REPOSSESSED HOUSES (GROUP I),FHA,FHA REPOSSESSED HOUSES (GROUP I),117-22 133RD STREET,AMR,,209,324,Q020900,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8095295,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E20580230,N,124.01,Basic Water and Sewer,Exception,12,124.01,0.0
FHA REPOSSESSED HOUSES (GROUP VIII),FHA,FHA REPOSSESSED HOUSES (GROUP VIII),114-39 203RD STREET,AMR,,275,520,Q027500,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8097167,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E18457079,N,82.67,Basic Water and Sewer,Yes,8,82.67,0.0
FHA REPOSSESSED HOUSES (GROUP IX),FHA,FHA REPOSSESSED HOUSES (GROUP IX),165-17 116TH AVENUE,AMR,,283,376,Q028300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8093344,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,V48012112,N,38.07,Basic Water and Sewer,Exception,100,38.07,0.0
HUNTS POINT AVENUE REHAB,BRONX,HUNTS POINT AVENUE REHAB,BLD 03,AMR,,367,806,B036700,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,8096888,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,O78997326,N,4702.02,Basic Water and Sewer,Yes,455,4702.02,0.0
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 19,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,8096326,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,V31625179,N,1550.12,Basic Water and Sewer,Yes,150,1550.12,0.0
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 11,AMR,BLD 11,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,8096014,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E20290494,N,268.69,Basic Water and Sewer,Yes,26,268.69,0.0
INGERSOLL,BROOKLYN,INGERSOLL,BLD 35,NONE,,14,510,K001400,,NY005000140P,NEW YORK CITY WATER BOARD,8145168,2019-08,2019-07-24T00:00:00.000,2019-09-11T00:00:00.000,49,D60034850,Y,62.19,Basic Water and Sewer,Yes,2,62.19,0.0
HOWARD AVENUE-PARK PLACE,BROOKLYN,HOWARD AVENUE-PARK PLACE,BLD 07,AMR,BLD 07,365,551,K036500,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,8097139,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E15220551,N,5125.71,Basic Water and Sewer,Yes,496,5125.71,0.0
SAMUEL (MHOP) I,MANHATTAN,SAMUEL (MHOP) I,BLD 04,NONE,,389,847,M038900,MHOP,NY005013170P,NEW YORK CITY WATER BOARD,8095146,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,O78224452,N,444.37,Basic Water and Sewer,Yes,43,444.37,0.0
FHA REPOSSESSED HOUSES (GROUP V),FHA,FHA REPOSSESSED HOUSES (GROUP V),117-11 192ND STREET,NONE,,260,397,Q026000,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8085961,2019-08,2019-07-17T00:00:00.000,2019-08-19T00:00:00.000,33,V52311732,N,227.35,Basic Water and Sewer,Yes,22,227.35,0.0
HUNTS POINT AVENUE REHAB,BRONX,HUNTS POINT AVENUE REHAB,BLD 10,AMR,,367,806,B036700,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,8097018,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,O78997343,N,3286.24,Basic Water and Sewer,Yes,318,3286.24,0.0
FHA REPOSSESSED HOUSES (GROUP X),FHA,FHA REPOSSESSED HOUSES (GROUP X),174-16 111TH AVENUE,AMR,,284,521,Q028400,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8096722,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E19452292,N,38.07,Basic Water and Sewer,Exception,0,0.0,38.07
FHA REPOSSESSED HOUSES (GROUP II),FHA,FHA REPOSSESSED HOUSES (GROUP II),126-01 116TH AVENUE,AMR,,212,327,Q021200,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8093138,2019-08,2019-07-24T00:00:00.000,2019-08-24T00:00:00.000,31,N32445032,Y,39.34,Basic Water and Sewer,Yes,1,39.34,0.0
HOWARD AVENUE-PARK PLACE,BROOKLYN,HOWARD AVENUE-PARK PLACE,BLD 06,AMR,BLD 06,365,551,K036500,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,8094970,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E15220559,N,3523.93,Basic Water and Sewer,Yes,341,3523.93,0.0
FHA REPOSSESSED HOUSES (GROUP VIII),FHA,FHA REPOSSESSED HOUSES (GROUP VIII),118-22 197TH STREET,AMR,,275,520,Q027500,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8096381,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,V48008382,N,155.01,Basic Water and Sewer,Yes,15,155.01,0.0
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 14,AMR,STORE 01,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,8097143,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,G13039199,N,1798.13,Basic Water and Sewer,Yes,174,1798.13,0.0
