violationid,buildingid,registrationid,boroid,boro,housenumber,lowhousenumber,highhousenumber,streetname,streetcode,zip,story,block,lot,class,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,ordernumber,novid,novdescription,novissueddate,currentstatusid,currentstatus,currentstatusdate,novtype,violationstatus,latitude,longitude,communityboard,councildistrict,censustract,bin,bbl,nta,apartment,certifieddate,newcertifybydate,newcorrectbydate
10000768,810616,409592,4,QUEENS,150-42,150-42,150-42,72 DRIVE,15190,11367,1,6702,1,A,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2015-03-01T00:00:00.000,2015-02-15T00:00:00.000,556,4949028,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE           1st DOOR FRAME  FROM WEST AT NORTH WALL IN THE FOYER  LOCATED AT APT 1D, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH",2014-11-12T00:00:00.000,19,VIOLATION CLOSED,2015-06-24T00:00:00.000,Reissued,Close,40.7267,-73.816459,8,24,77908,4451510,4067020001,Kew Gardens Hills,1D,,,
10000769,810616,409592,4,QUEENS,150-42,150-42,150-42,72 DRIVE,15190,11367,1,6702,1,A,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2015-03-01T00:00:00.000,2015-02-15T00:00:00.000,508,4949028,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE           NORTH WALL,         CEILING,         EAST WALL,         WEST WALL IN THE FOYER  LOCATED AT APT 1D, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH",2014-11-12T00:00:00.000,19,VIOLATION CLOSED,2015-06-24T00:00:00.000,Reissued,Close,40.7267,-73.816459,8,24,77908,4451510,4067020001,Kew Gardens Hills,1D,,,
10318406,4119,127633,1,MANHATTAN,2710,2710,2712,FREDERICK DOUGLASS BOULEVARD,10810,10030,4,2030,1,B,2014-07-22T00:00:00.000,2014-07-24T00:00:00.000,2014-09-12T00:00:00.000,2014-08-29T00:00:00.000,1503,4882098,"SECTION 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). MISSING  IN THE ENTIRE APARTMENT  LOCATED AT APT 14, 4th STORY, 1st APARTMENT FROM EAST AT SOUTH",2014-07-25T00:00:00.000,19,VIOLATION CLOSED,2016-12-28T00:00:00.000,Original,Close,40.822307,-73.942292,10,9,232,1060439,1020300001,Central Harlem North-Polo Grounds,14,,,
7004252,396253,323737,3,BROOKLYN,311,311,311,WILLOUGHBY AVENUE,93230,11205,2,1912,58,A,2007-11-02T00:00:00.000,2007-11-05T00:00:00.000,2008-02-24T00:00:00.000,2008-02-10T00:00:00.000,502,3149644,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR  IN THE 1st ROOM  FROM NORTH LOCATED AT APT 2, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",2007-11-07T00:00:00.000,19,VIOLATION CLOSED,2018-06-17T00:00:00.000,Original,Close,40.692694,-73.958491,3,33,235,3054959,3019120058,Clinton Hill,2,2008-04-16T00:00:00.000,,
10000795,372806,356650,3,BROOKLYN,42,42,42,SOUTHGATE COURT,79230,11223,3,7174,85,A,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2015-03-01T00:00:00.000,2015-02-15T00:00:00.000,501,4949010,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE SHEETROCK AT NORTH WALL  IN THE BATHROOM  LOCATED AT APT 3FL, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",2014-11-12T00:00:00.000,9,VIOLATION DISMISSED,2015-03-05T00:00:00.000,Reissued,Close,40.591116,-73.971624,15,47,386,3194479,3071740085,Gravesend,3FL,2014-12-23T00:00:00.000,,
10000797,372806,356650,3,BROOKLYN,42,42,42,SOUTHGATE COURT,79230,11223,3,7174,85,B,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2014-12-31T00:00:00.000,2014-12-17T00:00:00.000,702,4949011,"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR INOPERABLE  LOCATED AT APT 3FL, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",2014-11-12T00:00:00.000,9,VIOLATION DISMISSED,2015-03-05T00:00:00.000,Reissued,Close,40.591116,-73.971624,15,47,386,3194479,3071740085,Gravesend,3FL,2014-12-23T00:00:00.000,,
10000798,372806,356650,3,BROOKLYN,42,42,42,SOUTHGATE COURT,79230,11223,3,7174,85,B,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2014-12-31T00:00:00.000,2014-12-17T00:00:00.000,568,4949011,"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF ROACHES LOCATED AT APT 3FL, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",2014-11-12T00:00:00.000,9,VIOLATION DISMISSED,2015-03-05T00:00:00.000,Reissued,Close,40.591116,-73.971624,15,47,386,3194479,3071740085,Gravesend,3FL,2014-12-23T00:00:00.000,,
10000799,372806,356650,3,BROOKLYN,42,42,42,SOUTHGATE COURT,79230,11223,3,7174,85,B,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2014-12-31T00:00:00.000,2014-12-17T00:00:00.000,570,4949011,"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF BEDBUGS LOCATED AT APT 3FL, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",2014-11-12T00:00:00.000,9,VIOLATION DISMISSED,2015-03-05T00:00:00.000,Reissued,Close,40.591116,-73.971624,15,47,386,3194479,3071740085,Gravesend,3FL,2014-12-23T00:00:00.000,,
10000800,372806,356650,3,BROOKLYN,42,42,42,SOUTHGATE COURT,79230,11223,3,7174,85,B,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2014-12-31T00:00:00.000,2014-12-17T00:00:00.000,1503,4949011,"SECTION 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). INOPERABLE  LOCATED AT APT 3FL, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",2014-11-12T00:00:00.000,9,VIOLATION DISMISSED,2015-03-05T00:00:00.000,Reissued,Close,40.591116,-73.971624,15,47,386,3194479,3071740085,Gravesend,3FL,2014-12-23T00:00:00.000,,
10000823,3762,110835,1,MANHATTAN,37,35,39,7 AVENUE,10610,10011,6,608,9,A,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2014-01-28T00:00:00.000,2014-01-14T00:00:00.000,556,4706199,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT CEILING AND ALL WALLS  IN THE KITCHEN  LOCATED AT APT 62, 6th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2013-10-11T00:00:00.000,22,FIRST NO ACCESS TO RE- INSPECT VIOLATION,2015-09-28T00:00:00.000,Original,Open,40.737718,-74.000281,2,3,71,1010598,1006080009,West Village,62,,,
10000824,3762,110835,1,MANHATTAN,37,35,39,7 AVENUE,10610,10011,6,608,9,B,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2013-11-29T00:00:00.000,2013-11-15T00:00:00.000,550,4706200,"SECTION  27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT WEST WALL APPROX.12 SQUARE FEET  IN THE KITCHEN  LOCATED AT APT 62, 6th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2013-10-11T00:00:00.000,22,FIRST NO ACCESS TO RE- INSPECT VIOLATION,2015-09-28T00:00:00.000,Original,Open,40.737718,-74.000281,2,3,71,1010598,1006080009,West Village,62,,,
10000825,3762,110835,1,MANHATTAN,37,35,39,7 AVENUE,10610,10011,6,608,9,B,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2013-11-29T00:00:00.000,2013-11-15T00:00:00.000,501,4706200,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE EAST ELECTRICAL WALL OUTLET  IN THE 1st ROOM  FROM NORTH AT WEST LOCATED AT APT 62, 6th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2013-10-11T00:00:00.000,22,FIRST NO ACCESS TO RE- INSPECT VIOLATION,2015-09-28T00:00:00.000,Original,Open,40.737718,-74.000281,2,3,71,1010598,1006080009,West Village,62,,,
10000826,3762,110835,1,MANHATTAN,37,35,39,7 AVENUE,10610,10011,6,608,9,B,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2013-11-29T00:00:00.000,2013-11-15T00:00:00.000,702,4706200,"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR DEFECTIVE  IN THE ENTIRE APARTMENT  LOCATED AT APT 62, 6th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2013-10-11T00:00:00.000,22,FIRST NO ACCESS TO RE- INSPECT VIOLATION,2015-09-28T00:00:00.000,Original,Open,40.737718,-74.000281,2,3,71,1010598,1006080009,West Village,62,,,
10000827,3762,110835,1,MANHATTAN,37,35,39,7 AVENUE,10610,10011,6,608,9,B,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2013-11-29T00:00:00.000,2013-11-15T00:00:00.000,1503,4706200,"SECTION 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). MISSING  IN THE ENTIRE APARTMENT  LOCATED AT APT 62, 6th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2013-10-11T00:00:00.000,22,FIRST NO ACCESS TO RE- INSPECT VIOLATION,2015-09-28T00:00:00.000,Original,Open,40.737718,-74.000281,2,3,71,1010598,1006080009,West Village,62,,,
10000828,3762,110835,1,MANHATTAN,37,35,39,7 AVENUE,10610,10011,6,608,9,C,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2013-10-24T00:00:00.000,2013-10-19T00:00:00.000,550,4706201,"SECTION  27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT CEILING AND ALL WALL APPROX. 40 SQUARE FEET  IN THE BATHROOM  LOCATED AT APT 62, 6th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2013-10-11T00:00:00.000,22,FIRST NO ACCESS TO RE- INSPECT VIOLATION,2015-09-28T00:00:00.000,Original,Open,40.737718,-74.000281,2,3,71,1010598,1006080009,West Village,62,,,
10000829,3762,110835,1,MANHATTAN,37,35,39,7 AVENUE,10610,10011,6,608,9,A,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2014-01-28T00:00:00.000,2014-01-14T00:00:00.000,556,4706199,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT CEILING AND ALL WALLS  IN THE ENTIRE APARTMENT  LOCATED AT APT 62, 6th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2013-10-11T00:00:00.000,22,FIRST NO ACCESS TO RE- INSPECT VIOLATION,2015-09-28T00:00:00.000,Original,Open,40.737718,-74.000281,2,3,71,1010598,1006080009,West Village,62,,,
10000830,3855,139276,1,MANHATTAN,91,91,97,7 AVENUE,10610,10011,Fire Escape,791,78,B,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2015-08-26T00:00:00.000,2015-08-12T00:00:00.000,539,5154759,"SECTION 27-2005, 2007 ADM CODE  AND DEPT. RULES AND REGULATIONS. REMOVE THE ENCUMBRANCE OBSTRUCTING EGRESS FROM FIRE ESCAPES HOUSEHOLD ITEMS AT 5TH STORY BALCONY,FRONT NORTH AT CENTER",2015-07-08T00:00:00.000,28,INVALID CERTIFICATION,2015-08-26T00:00:00.000,Reissued,Open,40.739604,-73.998907,4,3,81,1014571,1007910078,Hudson Yards-Chelsea-Flatiron-Union Square,,,,
10000831,3855,139276,1,MANHATTAN,91,91,97,7 AVENUE,10610,10011,Fire Escape,791,78,B,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2015-08-26T00:00:00.000,2015-08-12T00:00:00.000,539,5154759,"SECTION 27-2005, 2007 ADM CODE  AND DEPT. RULES AND REGULATIONS. REMOVE THE ENCUMBRANCE OBSTRUCTING EGRESS FROM FIRE ESCAPES HOUSEHOLD ITEMS AT 2ND STORY BALCONY,FRONT NORTH AT CENTER",2015-07-08T00:00:00.000,28,INVALID CERTIFICATION,2015-08-26T00:00:00.000,Reissued,Open,40.739604,-73.998907,4,3,81,1014571,1007910078,Hudson Yards-Chelsea-Flatiron-Union Square,,,,
10000832,3855,139276,1,MANHATTAN,91,91,97,7 AVENUE,10610,10011,Fire Escape,791,78,B,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2015-08-26T00:00:00.000,2015-08-12T00:00:00.000,539,5154759,"SECTION 27-2005, 2007 ADM CODE  AND DEPT. RULES AND REGULATIONS. REMOVE THE ENCUMBRANCE OBSTRUCTING EGRESS FROM FIRE ESCAPES HOUSEHOLD ITEMS  AT 3RD STORY BALCONY,FRONT NORTH AT WEST",2015-07-08T00:00:00.000,28,INVALID CERTIFICATION,2015-08-26T00:00:00.000,Reissued,Open,40.739604,-73.998907,4,3,81,1014571,1007910078,Hudson Yards-Chelsea-Flatiron-Union Square,,,,
10000833,3855,139276,1,MANHATTAN,91,91,97,7 AVENUE,10610,10011,1,791,78,A,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2015-10-25T00:00:00.000,2015-10-11T00:00:00.000,1501,5154758,"SECTION  27-2046.1 HMC: POST A PROPER NOTICE OF CARBON MONOXIDE DETECTING DEVICE REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, IN A COMMON AREA OF A CLASS A MULTIPLE DWELLING NEAR INSPECTION CERTIFICATE OR PROVIDE NOTICE TO TENANTS IN A PRIVATE DWELLING.  AT PUBLIC HALL, 1st STORY",2015-07-08T00:00:00.000,28,INVALID CERTIFICATION,2015-08-26T00:00:00.000,Reissued,Open,40.739604,-73.998907,4,3,81,1014571,1007910078,Hudson Yards-Chelsea-Flatiron-Union Square,,,,
10000834,30513,101268,1,MANHATTAN,214,214,214,WEST 16 STREET,34090,10011,1,765,52,A,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2015-08-30T00:00:00.000,2015-08-16T00:00:00.000,700,5118436,"SECTION 27-2045 ADM CODE  POST A PROPER NOTICE OF SMOKE DETECTOR REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, AT OR NEAR THE MAIL BOX (MISSING)  AT PUBLIC HALL, 1st STORY",2015-05-13T00:00:00.000,19,VIOLATION CLOSED,2015-12-14T00:00:00.000,Reissued,Close,40.740174,-73.999426,4,3,81,1013778,1007650052,Hudson Yards-Chelsea-Flatiron-Union Square,,,,
10000835,30513,101268,1,MANHATTAN,214,214,214,WEST 16 STREET,34090,10011,1,765,52,A,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2015-08-30T00:00:00.000,2015-08-16T00:00:00.000,1501,5118436,"SECTION  27-2046.1 HMC: POST A PROPER NOTICE OF CARBON MONOXIDE DETECTING DEVICE REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, IN A COMMON AREA OF A CLASS A MULTIPLE DWELLING NEAR INSPECTION CERTIFICATE OR PROVIDE NOTICE TO TENANTS IN A PRIVATE DWELLING.  AT PUBLIC HALL, 1st STORY",2015-05-13T00:00:00.000,19,VIOLATION CLOSED,2015-12-14T00:00:00.000,Reissued,Close,40.740174,-73.999426,4,3,81,1013778,1007650052,Hudson Yards-Chelsea-Flatiron-Union Square,,,,
10000836,30513,101268,1,MANHATTAN,214,214,214,WEST 16 STREET,34090,10011,1,765,52,A,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2015-08-30T00:00:00.000,2015-08-16T00:00:00.000,484,5118436,"SECTION 329, M/D LAW AND DEPT. RULES AND REGS.  PROVIDE A COMPLETED CERTIFICATE OF INSPECTION VISITS IN A PROPER FRAME AT OR NEAR MAILBOXES, BOTTOM EDGE OF FRAME BETWEEN 48-62 INCHES ABOVE FLOOR (MISSING FRAME)  AT PUBLIC HALL, 1st STORY",2015-05-13T00:00:00.000,19,VIOLATION CLOSED,2015-12-14T00:00:00.000,Reissued,Close,40.740174,-73.999426,4,3,81,1013778,1007650052,Hudson Yards-Chelsea-Flatiron-Union Square,,,,
10000837,30513,101268,1,MANHATTAN,214,214,214,WEST 16 STREET,34090,10011,1,765,52,A,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2015-08-30T00:00:00.000,2015-08-16T00:00:00.000,778,5118436,"SECTION 27-2104 ADM CODE  POST AND MAINTAIN A PROPER SIGN ON WALL OF ENTRANCE STORY SHOWING THE REGISTRATION NUMBER ASSIGNED BY THE DEPARTMENT AND THE ADDRESS OF THE BUILDING. AT PUBLIC HALL, 1st STORY",2015-05-13T00:00:00.000,19,VIOLATION CLOSED,2015-12-14T00:00:00.000,Reissued,Close,40.740174,-73.999426,4,3,81,1013778,1007650052,Hudson Yards-Chelsea-Flatiron-Union Square,,,,
10000839,31275,107474,1,MANHATTAN,261,261,265,WEST 22 STREET,34210,10011,1,772,12,A,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2014-01-28T00:00:00.000,2014-01-14T00:00:00.000,1501,4706300,"SECTION  27-2046.1 HMC: POST A PROPER NOTICE OF CARBON MONOXIDE DETECTING DEVICE REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, IN A COMMON AREA OF A CLASS A MULTIPLE DWELLING NEAR INSPECTION CERTIFICATE OR PROVIDE NOTICE TO TENANTS IN A PRIVATE DWELLING.  AT PUBLIC HALL, 1st STORY",2013-10-11T00:00:00.000,19,VIOLATION CLOSED,2016-01-22T00:00:00.000,Original,Close,40.74413,-73.997766,4,3,91,1014108,1007720012,Hudson Yards-Chelsea-Flatiron-Union Square,,,,
10000841,31275,107474,1,MANHATTAN,261,261,265,WEST 22 STREET,34210,10011,1,772,12,B,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2013-11-29T00:00:00.000,2013-11-15T00:00:00.000,589,4706301,"SECTION 27-2026 ADM CODE  PROVIDE SUITABLE TIGHT COVER FOR THE HANDHOLE OPENING OF TRAP EXPOSED ELECTRICAL CORD OUTLET AT CEILING LIGHT FIXTURE ON CENTER SECTION  AT PUBLIC HALL, 1st STORY",2013-10-11T00:00:00.000,19,VIOLATION CLOSED,2016-01-22T00:00:00.000,Original,Close,40.74413,-73.997766,4,3,91,1014108,1007720012,Hudson Yards-Chelsea-Flatiron-Union Square,,,,
10000851,81709,207283,2,BRONX,1560,1560,1560,GRAND CONCOURSE,36420,10457,5,2821,32,B,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2013-11-29T00:00:00.000,2013-11-15T00:00:00.000,570,4706462,"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF BEDBUGS IN THE ENTIRE APARTMENT  LOCATED AT APT 503, 5th STORY, 1st APARTMENT FROM EAST AT SOUTH",2013-10-11T00:00:00.000,19,VIOLATION CLOSED,2015-05-08T00:00:00.000,Original,Close,40.842459,-73.912176,4,16,225,2007852,2028210032,East Concourse-Concourse Village,503,,,
10000857,111311,200350,2,BRONX,2131,2131,2143,STARLING AVENUE,66520,10462,1,3947,1,B,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2013-11-29T00:00:00.000,2013-11-15T00:00:00.000,570,4706526,"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF BEDBUGS IN THE ENTIRE APARTMENT  LOCATED AT APT 109, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",2013-10-11T00:00:00.000,19,VIOLATION CLOSED,2015-01-18T00:00:00.000,Original,Close,40.836175,-73.854048,9,18,222,2041215,2039470001,Parkchester,109,2014-06-09T00:00:00.000,,
10000858,46443,221472,2,BRONX,789,775,789,ASTOR AVENUE,9620,10467,3,4352,1,B,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2013-11-29T00:00:00.000,2013-11-15T00:00:00.000,583,4706351,"SECTION 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK OVER THE CEILING, EAST WALL AND SOUTH WALL  IN THE BATHROOM  LOCATED AT APT 3C, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST",2013-10-11T00:00:00.000,19,VIOLATION CLOSED,2016-02-26T00:00:00.000,Original,Close,40.859627,-73.864137,11,13,328,2050092,2043520001,Bronxdale,3C,,,
10000859,305031,336285,3,BROOKLYN,345,345,345,GROVE STREET,46230,11237,2,3319,53,B,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2013-11-29T00:00:00.000,2013-11-15T00:00:00.000,570,4706709,"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF BEDBUGS IN THE ENTIRE APARTMENT  LOCATED AT APT 2R, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",2013-10-11T00:00:00.000,19,VIOLATION CLOSED,2016-07-22T00:00:00.000,Original,Close,40.699806,-73.914297,4,37,441,3075976,3033190053,Bushwick North,2R,2013-12-26T00:00:00.000,,
10000860,46443,221472,2,BRONX,789,775,789,ASTOR AVENUE,9620,10467,3,4352,1,B,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2013-11-29T00:00:00.000,2013-11-15T00:00:00.000,508,4706351,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE           CEILING,         EAST WALL,         SOUTH WALL IN THE BATHROOM  LOCATED AT APT 3C, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST",2013-10-11T00:00:00.000,21,NOT COMPLIED WITH,2016-02-26T00:00:00.000,Original,Open,40.859627,-73.864137,11,13,328,2050092,2043520001,Bronxdale,3C,,,
10003381,108409,210202,2,BRONX,1753,1753,1753,SEDDON STREET,63720,10461,Yards / Courts,3997,50,B,2013-10-11T00:00:00.000,2013-10-16T00:00:00.000,2013-12-05T00:00:00.000,2013-11-21T00:00:00.000,686,4709526,SECTION 27-2040 ADM CODE  PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING A MINIMUM OF 100 WATTS OF INCANDESCENT LIGHT REQUIRED (FIXTURE PRESENT),2013-10-17T00:00:00.000,2,NOV SENT OUT,2013-10-17T00:00:00.000,Original,Open,40.84221,-73.851078,10,18,204,2042251,2039970050,Westchester-Unionport,,,,
10000862,46443,221472,2,BRONX,789,775,789,ASTOR AVENUE,9620,10467,3,4352,1,B,2013-10-09T00:00:00.000,2013-10-10T00:00:00.000,2013-11-29T00:00:00.000,2013-11-15T00:00:00.000,501,4706351,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE LOWER SASH SPRING BALANCES AT SECOND WINDOW FROM NORTH AT EAST  IN THE 2nd ROOM  FROM NORTH AT EAST LOCATED AT APT 3C, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST",2013-10-11T00:00:00.000,19,VIOLATION CLOSED,2014-08-30T00:00:00.000,Original,Close,40.859627,-73.864137,11,13,328,2050092,2043520001,Bronxdale,3C,,,
10000866,6171,109037,1,MANHATTAN,104,104,116,AUDUBON AVENUE,12010,10032,3,2127,15,B,2013-10-09T00:00:00.000,2013-10-12T00:00:00.000,2013-12-03T00:00:00.000,2013-11-19T00:00:00.000,508,4707719,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE           CEILING,         SOUTH WALL,         EAST WALL,         NORTH WALL IN THE BATHROOM  LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH , SECTION  AT  EAST",2013-10-15T00:00:00.000,19,VIOLATION CLOSED,2016-12-30T00:00:00.000,Original,Close,40.841913,-73.937334,12,10,253,1063042,1021270015,Washington Heights South,3A,,,
10000867,6171,109037,1,MANHATTAN,104,104,116,AUDUBON AVENUE,12010,10032,3,2127,15,B,2013-10-09T00:00:00.000,2013-10-12T00:00:00.000,2013-12-03T00:00:00.000,2013-11-19T00:00:00.000,702,4707719,"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR DEFECTIVE  IN THE ENTIRE APARTMENT  LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH , SECTION  AT  EAST",2013-10-15T00:00:00.000,19,VIOLATION CLOSED,2016-12-30T00:00:00.000,Original,Close,40.841913,-73.937334,12,10,253,1063042,1021270015,Washington Heights South,3A,,,
10607364,843171,426386,4,QUEENS,121-18,121-18,121-18,5 AVENUE,5140,11356,,3940,43,I,2015-03-03T00:00:00.000,2015-03-03T00:00:00.000,,,780,0,"SECTION27-2107 ADM CODE   OWNER FAILED TO FILE A VALID REGISTRATION STATEMENT WITH THE DEPARTMENT AS REQUIRED BY ADM CODE ï¿½ï¿½27-2097 AND IS THEREFORE SUBJECT TO CIVIL PENALTIES, PROHIBITED FROM CERTIFYING VIOLATIONS, AND DENIED THE RIGHT TO RECOVER POSSESSION OF PREMISES FOR NONPAYMENT OF RENT UNTIL A VALID REGISTRATION STATEMENT IS FILED.",,9,VIOLATION DISMISSED,2019-02-20T00:00:00.000,,Close,40.792706,-73.846621,7,19,939,4467580,4039400043,College Point,,,,
10000869,6171,109037,1,MANHATTAN,104,104,116,AUDUBON AVENUE,12010,10032,3,2127,15,A,2013-10-09T00:00:00.000,2013-10-12T00:00:00.000,2014-02-01T00:00:00.000,2014-01-18T00:00:00.000,501,4707718,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE UNHINGED DOOR AT BASE CABINET AT SINK  IN THE KITCHEN  LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH , SECTION  AT  EAST",2013-10-15T00:00:00.000,19,VIOLATION CLOSED,2016-12-30T00:00:00.000,Original,Close,40.841913,-73.937334,12,10,253,1063042,1021270015,Washington Heights South,3A,,,
10000870,6171,109037,1,MANHATTAN,104,104,116,AUDUBON AVENUE,12010,10032,3,2127,15,A,2013-10-09T00:00:00.000,2013-10-12T00:00:00.000,2014-02-01T00:00:00.000,2014-01-18T00:00:00.000,501,4707718,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE WOOD FLOOR PRESENTING A TRIP HAZARD  IN THE 1st ROOM  FROM EAST AT NORTH LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH , SECTION  AT  EAST",2013-10-15T00:00:00.000,19,VIOLATION CLOSED,2016-12-30T00:00:00.000,Original,Close,40.841913,-73.937334,12,10,253,1063042,1021270015,Washington Heights South,3A,,,
10000872,27552,115389,1,MANHATTAN,60,60,70,SEAMAN AVENUE,30190,10034,2,2248,40,B,2013-10-09T00:00:00.000,2013-10-12T00:00:00.000,2013-12-03T00:00:00.000,2013-11-19T00:00:00.000,550,4707739,"SECTION  27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT           SOUTH WALL IN THE BATHROOM  LOCATED AT APT 2D, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",2013-10-15T00:00:00.000,19,VIOLATION CLOSED,2015-02-19T00:00:00.000,Original,Close,40.867882,-73.925639,12,10,295,1065071,1022480040,Marble Hill-Inwood,2D,,,
