program_type,program,site_name,borough_community,agency,contact_number,grade_level_age_group,location_1,number_and_street_address,postcode,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih
After-School Programs,Middle School,Chinese American Planning Council ,Queens,Chinese American Planning Council,212.941.0920,MiddleSchool,"{'latitude': '40.768620220647', 'longitude': '-73.827190280707', 'human_address': '{""address"": ""136 26 37th Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11354""}'}",136-26 37th Avenue,11354,40.761722,-73.830347,7.0,20.0,871.0,4112477.0,4049780013.0,Flushing                                                                   ,13832,22,3,3,67
After-School Programs,Middle School,Rego Park Center,Queens,"AIDS Center of Queens County, Inc.",718.896.2500,MiddleSchool,"{'latitude': '40.726464917022', 'longitude': '-73.861480847563', 'human_address': '{""address"": ""97 45 Queens Boulevard"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11374""}'}",97-45 Queens Boulevard,11374,40.729234,-73.859886,6.0,29.0,71701.0,4050460.0,4020910001.0,Rego Park                                                                  ,14785,40,3,28,70
After-School Programs,Middle School,August Martin High School - H.S. 400,Queens,Research Foundation of CUNY,212.417.8425,MiddleSchool,"{'latitude': '40.676945262114', 'longitude': '-73.775306901692', 'human_address': '{""address"": ""156 10 Baisley Boulevard"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11434""}'}",156-10 Baisley Boulevard,11434,40.675633,-73.783342,12.0,28.0,294.0,4265978.0,4122610001.0,Springfield Gardens North                                                  ,24669,41,3,46,71
After-School Programs,Middle School,Bronx Leadership Academy High School - H.S. 525 ,Bronx,"Directions For Our Youth, Inc.",212.362.4020,MiddleSchool,"{'latitude': '40.843308076054', 'longitude': '-73.903314416301', 'human_address': '{""address"": ""1710 Webster Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10457""}'}",1710 Webster Avenue,10457,40.843588,-73.903236,3.0,15.0,165.0,2094564.0,2028980001.0,Claremont-Bathgate                                                         ,10935,34,5,22,25
After-School Programs,Middle School,Be'er Hagolah Institutes,Brooklyn,Be'er Hagolah Institutes,718.642.6800,MiddleSchool,"{'latitude': '40.645630097382', 'longitude': '-73.883621856383', 'human_address': '{""address"": ""671 Louisiana Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11239""}'}",671 Louisiana Avenue,11239,40.645638,-73.883643,5.0,42.0,105804.0,3339160.0,3044520080.0,Starrett City                                                              ,13830,45,2,25,47
After-School Programs,Middle School,Bronx Community College,Bronx,Research Foundation of CUNY,212.417.8425,MiddleSchool,"{'latitude': '40.855526933079', 'longitude': '-73.910517120063', 'human_address': '{""address"": ""2122 University Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10453""}'}",2122 University Avenue,10453,40.855572,-73.910517,5.0,14.0,251.0,,,University Heights-Morris Heights                                          ,10931,6,5,29,29
After-School Programs,Middle School,Chabad Lubavich of West Brighton,Brooklyn,Chabad Lubavich of West Brighton,718.946.9833,MiddleSchool,"{'latitude': '40.5780175418', 'longitude': '-73.96781607175', 'human_address': '{""address"": ""2997 Ocean Parkway"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11235""}'}",2997 Ocean Parkway,11235,40.577413,-73.968267,13.0,48.0,362.0,3244597.0,3086690088.0,Brighton Beach                                                             ,13826,21,2,15,35
After-School Programs,Middle School,Educational Center ,Brooklyn,Turning Point,718.439.0077,MiddleSchool,"{'latitude': '40.642353653563', 'longitude': '-74.005963807531', 'human_address': '{""address"": ""5013 Seventh Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11220""}'}",5013 Seventh Avenue,11220,40.642307,-74.006043,7.0,38.0,108.0,3013388.0,3007940004.0,Sunset Park East                                                           ,18180,9,2,7,45
After-School Programs,Middle School,New Utrecht High School - H.S. 445,Brooklyn,Research Foundation of CUNY,212.417.8425,MiddleSchool,"{'latitude': '40.613452731598', 'longitude': '-74.003689773532', 'human_address': '{""address"": ""1601 80th Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11214""}'}",1601 80th Street,11214,40.613262,-74.003404,11.0,43.0,182.0,3162711.0,3062710001.0,Bensonhurst West                                                           ,17616,1,2,44,37
After-School Programs,Middle School,"Jacob A. Riis Neighborhood Settlement, Inc.",Queens,"Jacob A. Riis Neighborhood Settlement, Inc.",718.784.7447,MiddleSchool,"{'latitude': '40.745702449808', 'longitude': '-73.938669029252', 'human_address': '{""address"": ""10 25 41st Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11101""}'}",10-25 41st Avenue,11101,40.755488,-73.945328,1.0,26.0,25.0,4433386.0,4004700100.0,Queensbridge-Ravenswood-Long Island City                                   ,16858,53,3,33,66
After-School Programs,Middle School,Nan Shan LDC,Queens,Chinese American Planning Council,212.941.0920,MiddleSchool,"{'latitude': '40.751299796948', 'longitude': '-73.821478547897', 'human_address': '{""address"": ""133 14 41st Road"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11355""}'}",133-14 41st Road,11355,40.756735,-73.830789,7.0,20.0,849.0,4114267.0,4050420016.0,Flushing                                                                   ,14190,22,3,3,67
After-School Programs,Middle School,Middle School 331/MS 306,Bronx,"Adolescent and Family Comprehensive Services, Inc.",718.299.2327,MiddleSchool,"{'latitude': '40.851398678685', 'longitude': '-73.90858151297', 'human_address': '{""address"": ""40 Tremont Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10453""}'}",40 West Tremont Avenue,10453,40.851823,-73.91118,5.0,14.0,217.0,2098721.0,2028620014.0,University Heights-Morris Heights                                          ,10931,6,5,29,29
