,requestid,applicationid,requesttype,house,street,borough,bin,block,lot,ownername,expirationdate,make,model,burnermake,burnermodel,primaryfuel,secondaryfuel,quantity,issuedate,status,premisename
195,61095,CA002195,REGISTRATION,334,MC GUINNESS BOULEVARD,BROOKLYN,64214.0,2524.0,7.0,HEDY &AMP; GUS KODOGIANES,2001-01-10T00:00:00.000,WEIL MCLAIN       478,WEIL MCLAIN       478,CARLIN          201 CRD,CARLIN          201 CRD,NO2FUEL,NONE,1,1995-01-04T00:00:00.000,EXPIRED        ,
196,250222,CA002198,REGISTRATION,9,WHITE STREET,MANHATTAN,1989.0,178.0,24.0,9 WHITE ST. CORP C/O ABC RLTY.,2022-01-22T00:00:00.000,"H.B. SMITH, 19-G-8","H.B. SMITH, 19-G-8","POWERFLAME, JR-30","POWERFLAME, JR-30",NATURALGAS,NONE,1,2018-12-07T14:26:13.000,CURRENT        ,9 WHITE STREET CORP
197,293135,CA002199,REGISTRATION,417,EAST 82 STREET,MANHATTAN,50410.0,1562.0,11.0,YORKVILLE 82 LLC,2023-01-13T00:00:00.000,"A.O. SMITH,",BT-365,A.O. SMITH,BT-365,NATURALGAS,NONE,1,2020-01-24T10:52:41.000,CURRENT        ,YORKVILLE 82 LLC
198,117385,CA002203,CERTIFICATE TO OPERATE,206,,MANHATTAN,,51.0,902.0,AXELROD MGTMT.,1989-03-19T00:00:00.000,FEDERAL FST-80,FEDERAL FST-80,INDUSTRIAL COMBUSTION-DEG-105 (P),INDUSTRIAL COMBUSTION-DEG-105 (P),NO6FUEL,NO6FUEL,2,1900-01-01T00:00:00.000,CANCELLED      ,AXELROD MGTMT.
199,123293,CA002271,CERTIFICATE TO OPERATE,47-21,41 STREET,QUEENS,2639.0,196.0,12.0,VAN BUREN HALL,1987-11-18T00:00:00.000,PACIFIC 2603,PACIFIC 2603,IRON FIREMAN AG0 2-6.3,IRON FIREMAN AG0 2-6.3,NO2FUEL,NATURALGAS,1,1900-01-01T00:00:00.000,CANCELLED      ,
200,118946,CA002272,WORK PERMIT,43-09,43 STREET,QUEENS,1930.0,162.0,19.0,NIKIANA REALTY CORP.,1972-12-16T00:00:00.000,ROCKMILLS MP 60,ROCKMILLS MP 60,IRON FIREMAN C120 SM-C2.5,IRON FIREMAN C120 SM-C2.5,NO2FUEL,NONE,1,1988-01-15T00:00:00.000,CANCELLED      ,
201,50072,CA002275,REGISTRATION,30-11,12 STREET,QUEENS,5652.0,515.0,19.0,HORSTMANN MIX &AMP; CREAM INC,2011-09-17T00:00:00.000,CYCLOTHERM MODEL#LPF 60,CYCLOTHERM MODEL#LPF 60,CYCLOTHERM MODEL#INTEGRAL,CYCLOTHERM MODEL#INTEGRAL,NO2FUEL,NONE,1,1975-01-07T00:00:00.000,EXPIRED        ,
202,53910,CA002276,REGISTRATION,142,GREENE STREET,MANHATTAN,7971.0,513.0,7.0,142-44 GREENE ST/POZZI,2000-07-18T00:00:00.000,WEIL MCLAIN # 1384 F,WEIL MCLAIN # 1384 F,ABC # W 97/A (RATING #11),ABC # W 97/A (RATING #11),NO2FUEL,NONE,1,1988-07-07T00:00:00.000,EXPIRED        ,
203,56832,CA002277,REGISTRATION,57-24,ROOSEVELT AVENUE,QUEENS,31123.0,1328.0,38.0,DON  FAN CORP.,1985-04-13T00:00:00.000,WEIL-MCLAIN   486,WEIL-MCLAIN   486,ABC  95A  RATE 8,ABC  95A  RATE 8,NO2FUEL,NONE,1,1991-01-14T00:00:00.000,EXPIRED        ,
204,246636,CA002281,CERTIFICATE TO OPERATE,3400,PAUL AVENUE,BRONX,2015444.0,3251.0,420.0,"SCOTT TOWER HOUSING CO., INC.",2018-03-11T00:00:00.000,FEDERAL FLR 5464,FEDERAL FLR 5464,HEVEOIL DEG 210,HEVEOIL DEG 210,NO4FUEL,NATURALGAS,2,2018-10-11T10:18:17.000,CANCELLED      ,
205,274641,CA002282,REGISTRATION INSPECTION,235,EAST   24 STREET,MANHATTAN,19788.0,905.0,21.0,MARION SCHAINBERG ,2021-10-17T00:00:00.000,ROCKMILLS,MP-70,HEV-E-OIL/ICI,MMG-34(P),NO4FUEL,NATURALGAS,1,2019-08-30T16:35:35.000,CURRENT        ,
206,271589,CA002283,CERTIFICATE TO OPERATE,30,DANIEL LOW TERRACE,STATENISLAND,5000527.0,28.0,77.0,DAN WAY REALTY LLC,2022-07-01T00:00:00.000,FEDERAL,FST-200,INDUSTRIAL COMBUSTION,DEG-84 P,NO2FUEL,NATURALGAS,1,2019-07-29T15:05:25.000,CURRENT        ,DAN WAY REALTY LLC
207,113650,CA002284,CERTIFICATE TO OPERATE,115,PARKSIDE AVENUE,BROOKLYN,115902.0,5052.0,7.0,"M &AMP; M PLAZA ASSOCIATES,LLC",2007-07-01T00:00:00.000,ROCKMILLS MP125,ROCKMILLS MP125,ICI DE63,ICI DE63,NO2FUEL,NONE,1,1984-11-15T00:00:00.000,CANCELLED      ,
208,239887,CA002285,REGISTRATION INSPECTION,465,OCEAN AVENUE,BROOKLYN,116561.0,5081.0,64.0,MGSA REALTY LLC.,2021-07-09T00:00:00.000,ROCKMILLS,MP-90,IRON FIREMAN,C240-GOSM-F4.2,NATURALGAS,NO2FUEL,1,2018-08-23T14:20:54.000,CURRENT        ,
209,51297,CA002286,REGISTRATION,830,EAST  147 STREET,BRONX,2004069.0,2600.0,47.0,NYC DEPT OF HPD,1992-01-06T00:00:00.000,H.B.SMITH (NEW)          2000-5,H.B.SMITH (NEW)          2000-5,CARLIN (NEW)             102 CRD,CARLIN (NEW)             102 CRD,NO2FUEL,NONE,1,1900-01-01T00:00:00.000,EXPIRED        ,HPD
210,18730,CA002290,REGISTRATION,229,EAST 24 STREET,MANHATTAN,1019811.0,905.0,7501.0,THE BROOLFIELD CONDO ASSOCIATION,2017-01-12T00:00:00.000,HYDROTHERM,MA300,HYDROTHERM,MA300,NATURALGAS,NONE,3,2014-10-06T15:13:26.000,EXPIRED        ,THE BROOKFIELD CONDO ASSOCIATION
211,56794,CA002291,REGISTRATION,593,GATES AVENUE,BROOKLYN,51020.0,1810.0,61.0,NYC DEPT OF HPD,1994-04-10T00:00:00.000,PEERLESS JOT 7 FDA,PEERLESS JOT 7 FDA,CARLIN 201 CRD,CARLIN 201 CRD,NO2FUEL,NONE,1,1991-01-01T00:00:00.000,EXPIRED        ,
212,284220,CA002293,REGISTRATION,1785,JEROME AVENUE,BRONX,2008376.0,2861.0,154.0,TREMONT ELECTRIC SUPPLY,2023-01-08T00:00:00.000,WEIL MCLAIN,876,CARLIN,301CRD,NO2FUEL,NONE,1,2019-10-24T17:20:43.000,CURRENT        ,TREMONT ELECTRIC SUPPLY
213,39709,CA002294,REGISTRATION,756,GRAND STREET,BROOKLYN,69612.0,2789.0,17.0,KWANG HAI AU,2015-02-07T00:00:00.000,PEERLESS,JOT-TW275,CARLIN,CARLIN UNK.,NO2FUEL,NONE,1,2012-06-22T14:48:24.000,EXPIRED        ,KWANG HAI AU
214,280253,CA002298,CERTIFICATE TO OPERATE,2100,EASTCHESTER ROAD,BRONX,2047065.0,4221.0,1.0,"FEZNIC REALTY CO.,L.L.C",2022-04-22T00:00:00.000,FEDERAL,FST-150,INDUSTRIAL COMBUSTION,DEG-63 P,NATURALGAS,NO4FUEL,1,2020-01-13T10:13:55.000,CURRENT        ,"FEZNIC REALTY CO.,L.L.C"
215,133591,CA002373,CERTIFICATE TO OPERATE,2260,WALTON AVENUE,BRONX,13990.0,3182.0,16.0,MOBIL REALTY INC,1987-07-23T00:00:00.000,KEWANEE UNKNOWN,KEWANEE UNKNOWN,ESSO ABP12,ESSO ABP12,NO4FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
216,131898,CA002374,CERTIFICATE TO OPERATE,56,NOSTRAND AVENUE,BROOKLYN,48309.0,1718.0,15.0,BORDEN INC.,1995-01-02T00:00:00.000,CLEAVER BROOKS CB-800-500,CLEAVER BROOKS CB-800-500,INTEGRAL,INTEGRAL,NO4FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
217,116775,CA002378,CERTIFICATE TO OPERATE,200,EAST   33 STREET,MANHATTAN,20078.0,913.0,1.0,LAURENCE TOWERS COMPANY LLC,2014-07-09T00:00:00.000,ROCKMILLS MP 4283,ROCKMILLS MP 4283,HEV-E-OIL # DE145 S,HEV-E-OIL # DE145 S,NO6FUEL,NO6FUEL,2,1900-01-01T00:00:00.000,CANCELLED      ,
218,110564,CA002379,CERTIFICATE TO OPERATE,1675,EAST   21 STREET,BROOKLYN,182145.0,6768.0,70.0,DAVID UNTNBONE,2003-09-09T00:00:00.000,ROCKMILLS MP70,ROCKMILLS MP70,IRON FIREMAN A06-4.5 RK,IRON FIREMAN A06-4.5 RK,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
219,189471,CA002382,REGISTRATION INSPECTION,222,EAST   56 STREET,MANHATTAN,38587.0,1329.0,35.0,HUGUEL CORP-ATT:DERMER MGMT INC,2018-08-07T00:00:00.000,ROCKMILLS,MP-70,INDUSTRIAL COMBUSTION,DEG-42Y(P),NO2FUEL,NONE,1,2016-08-08T10:40:26.000,EXPIRED        ,HUGUEL CORP.
220,217446,CA002383,CERTIFICATE TO OPERATE,115,STUYVESANT PLACE,STATENISLAND,5000065.0,7.0,50.0,MCGREGOR ARMS REALTY,2020-09-01T00:00:00.000,FEDERAL ,FST 175,ICI ,DEG 84P,NO2FUEL,NATURALGAS,1,2017-11-20T16:46:46.000,CURRENT        ,"SOL,KURFIN"
221,116071,CA002384,CERTIFICATE TO OPERATE,510,SACKETT STREET,BROOKLYN,7184.0,431.0,17.0,BAYSIDE FUEL OIL DEPOT ,2014-04-04T00:00:00.000,PACIFIC 5291,PACIFIC 5291,ICI MM-42(S),ICI MM-42(S),NO4FUEL,NO4FUEL,2,1900-01-01T00:00:00.000,CANCELLED      ,
222,248387,CA002385,CERTIFICATE TO OPERATE,835,OCEAN AVENUE,BROOKLYN,3118824.0,5163.0,48.0,"ENVIRONMENTAL PRO MECH%835 LLC-GELFAND, M.",2021-07-01T00:00:00.000,FEDERAL,FST-175,IND COMB ,DE-84(P),NO2FUEL,NATURALGAS,1,2018-12-17T13:44:44.000,CURRENT        ,835 LLC MGMT.
223,52325,CA002386,REGISTRATION,560,EAST  189 STREET,BRONX,11793.0,3058.0,86.0,"CANTIC, HALIL",1998-01-06T00:00:00.000,FEDERAL                  FST-40,FEDERAL                  FST-40,CARLIN                   701-CRD,CARLIN                   701-CRD,NO2FUEL,NONE,1,1900-01-01T00:00:00.000,EXPIRED        ,
224,43003,CA002388,REGISTRATION,335,EAST  148 STREET,BRONX,903.0,2330.0,51.0,148TH STREET (87) REALTY CORP,2018-01-18T00:00:00.000,FEDERAL,FST 50,CARLIN,801 CRD,NO2FUEL,NONE,1,2014-10-03T09:32:34.000,EXPIRED        ,
225,42111,CA002390,REGISTRATION,244,WEST   11 STREET,MANHATTAN,10911.0,613.0,13.0,MANSINGH JAIRAM,2015-04-04T00:00:00.000,U.S.NATIONAL,UNKNOWN,BECKETT,A-F,NO2FUEL,NONE,1,2013-05-20T08:06:59.000,EXPIRED        ,244 W. 11 STREET REALTY CORP
226,56795,CA002391,REGISTRATION,775,JENNINGS STREET,BRONX,10203.0,2962.0,46.0,NYC DEPT OF HPD,1994-04-12T00:00:00.000,ROCKMILLS MP40,ROCKMILLS MP40,POWERFLAME JA50A15,POWERFLAME JA50A15,NATURALGAS,NONE,1,1991-01-01T00:00:00.000,EXPIRED        ,
227,58910,CA002393,REGISTRATION,180,QUINCY STREET,BROOKLYN,50820.0,1807.0,13.0,NYC DEPARTMENT OF HPD,1996-01-08T00:00:00.000,FEDERAL FST-32,FEDERAL FST-32,CARLIN 701,CARLIN 701,NO2FUEL,NONE,1,1993-01-04T00:00:00.000,EXPIRED        ,
228,232891,CA002394,REGISTRATION INSPECTION,2119,HUGHES AVENUE,BRONX,12040.0,3070.0,26.0,DIMOBR EQUITIES/JOHN SHEEHAN,2021-04-20T00:00:00.000,FEDERAL,FST-80,I.C.,MMG-34 P,NATURALGAS,NO2FUEL,1,2018-05-15T15:43:56.000,CURRENT        ,
229,13197,CA002395,REGISTRATION,260-01,79 AVENUE,QUEENS,177269.0,8677.0,61.0,ABE GREENBAUM,2016-01-10T00:00:00.000,FEDERAL,OL3-394,CARLIN,701 CRD,NO2FUEL,NONE,2,2013-01-25T08:52:54.000,EXPIRED        ,NEW GLEN OAKS NURSING HOME
230,59916,CA002396,REGISTRATION,405,EAST 68 STREET,MANHATTAN,81239.0,1463.0,5.0,ST. CATHERINE OF SIENA CHURCH,2011-01-23T00:00:00.000,"WEIL MCLAIN, BGL-1278-S","WEIL MCLAIN, BGL-1278-S","POWERFLAME, C2-G0-15","POWERFLAME, C2-G0-15",NATURALGAS,NONE,1,1996-01-02T00:00:00.000,EXPIRED        ,
231,63265,CA002399,REGISTRATION,530,CHAUNCEY STREET,BROOKLYN,41180.0,1517.0,14.0,ROUSELLE JACKSON,2008-01-13T00:00:00.000,"AMERICAN STANDARD, A-505 SERIES 1BJ1","AMERICAN STANDARD, A-505 SERIES 1BJ1","CARLIN, 201 CRD","CARLIN, 201 CRD",NO2FUEL,NONE,1,1999-01-05T00:00:00.000,EXPIRED        ,
232,132285,CA002475,CERTIFICATE TO OPERATE,180,NORTH    7 STREET,BROOKLYN,62095.0,2328.0,15.0,ST VINCENT DEPAUL SCHOOL,2001-04-06T00:00:00.000,WEIL MCLAIN H0-44-11,WEIL MCLAIN H0-44-11,RAY PCPF SIZE 3,RAY PCPF SIZE 3,NO2FUEL,NATURALGAS,2,1900-01-01T00:00:00.000,CANCELLED      ,
233,131983,CA002476,CERTIFICATE TO OPERATE,,WEST 26 STREET,MANHATTAN,,65.0,801.0,142 WEST 26 STREET CORP,1986-09-13T00:00:00.000,TITUSVILLE UNKNOWN,TITUSVILLE UNKNOWN,HEV-E-OIL AM 4 12 DH,HEV-E-OIL AM 4 12 DH,NO4FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,142 WEST 26 STREET CORP
234,112702,CA002478,WORK PERMIT,524,WEST 162 STREET,MANHATTAN,62864.0,2120.0,23.0,524 W.162ND ASSOCIATES,1979-07-02T00:00:00.000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO4FUEL,NONE,1,1991-01-16T00:00:00.000,CANCELLED      ,
235,133584,CA002481,CERTIFICATE TO OPERATE,751,WALTON AVENUE,BRONX,2896.0,2473.0,33.0,751 WALTON REALTY ASSOC.,2000-11-22T00:00:00.000,FEDERAL FST 250,FEDERAL FST 250,ICI DEG 105P,ICI DEG 105P,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
236,132193,CA002482,CERTIFICATE TO OPERATE,78,MANHATTAN AVENUE,MANHATTAN,55471.0,1839.0,18.0,MANH.AVE.APTS/LLC. C/O PINE MGT. INC.,2015-03-11T00:00:00.000,ROCKMILLS MP-90,ROCKMILLS MP-90,ICI DE 42 (P),ICI DE 42 (P),NO6FUEL,NONE,1,1899-12-30T00:00:00.000,CANCELLED      ,
237,262448,CA002483,REGISTRATION INSPECTION,2261,ANDREWS AVENUE,BRONX,14923.0,3225.0,34.0,DIROT- ANDREWS LLC,2022-06-10T00:00:00.000,ROCKMILLS,MP-60,INDUSTRIAL COMBUSTION,MMG34P,NATURALGAS,NO4FUEL,1,2019-05-14T13:53:58.000,CURRENT        ,RESIDENTIAL MGMT
238,133583,CA002484,CERTIFICATE TO OPERATE,1472,43 STREET,BROOKLYN,136250.0,5606.0,29.0,"1472 PROPERTIES,LLC",2008-07-01T00:00:00.000,FEDERAL FST 70,FEDERAL FST 70,ICI MMG 34P,ICI MMG 34P,NO4FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
239,123912,CA002485,CERTIFICATE TO OPERATE,2900,OCEAN AVENUE,BROOKLYN,204172.0,7440.0,7501.0,COOPER SQUARE RLTY./YELENA SVERDLOVA,2012-02-26T00:00:00.000,FEDERAL FM 2125,FEDERAL FM 2125,INDUS COMB DEG-84(S),INDUS COMB DEG-84(S),NATURALGAS,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
240,284549,CA002490,REGISTRATION,244,WEST 11 STREET,MANHATTAN,1010911.0,613.0,13.0,244 W 11 ST REALTY CORP,2023-01-12T00:00:00.000,WEIL MCLAIN,EG65,WEIL MCLAIN,EG65,NATURALGAS,NONE,1,2019-11-18T13:50:58.000,CURRENT        ,244 W 11 ST REALTY CORP.
241,237122,CA002491,REGISTRATION,176,WEST 86 STREET,MANHATTAN,1070846.0,1216.0,7501.0,PACKARD CONDO-ATT:ANDREWS BLDG CORP,2021-05-01T00:00:00.000,RAYPAK E-1631,RAYPAK E-1631,RAYPAK E-1631,RAYPAK E-1631,NATURALGAS,NONE,2,2018-06-07T11:19:18.000,CURRENT        ,THE PACKARD CONDO
242,228841,CA002494,REGISTRATION INSPECTION,121,WOOSTER STREET,MANHATTAN,79975.0,501.0,20.0,SCHUR MGMT. LTD,2021-03-15T00:00:00.000,ROCKMILLS -,MP-100,CARLIN -,1150-FFD,NO2FUEL,NONE,1,2018-04-09T09:37:02.000,CURRENT        ,
243,248246,CA002495,REGISTRATION,71-17,67 PLACE,QUEENS,4089502.0,3681.0,67.0,RICHARD JONES,2022-01-10T00:00:00.000,PEERLESS,JO6FDASU,CARLIN,99 FRD,NO2FUEL,NONE,1,2018-10-30T15:57:25.000,CURRENT        ,RICHARD JONES
244,288977,CA002496,REGISTRATION,190,EAST 2ND STREET,MANHATTAN,1004978.0,398.0,43.0,"190 EAST 2ND STREET, LLC ",2023-01-23T00:00:00.000,WEIL MCLAIN,LGB-13,WEIL MCLAIN,LGB-13,NATURALGAS,NONE,1,2020-01-17T10:08:16.000,CURRENT        ,"190 EAST 2ND STREET, LLC"
245,55279,CA002497,REGISTRATION,386,EAST   51 STREET,BROOKLYN,102127.0,4676.0,26.0,ANTONIO &AMP; EMILE RIVETTE,2000-01-16T00:00:00.000,"WEIL MCLAIN, H-8","WEIL MCLAIN, H-8","WEIL MCLAIN, INTEGRAL","WEIL MCLAIN, INTEGRAL",NATURALGAS,NONE,1,1997-01-03T00:00:00.000,EXPIRED        ,
246,62541,CA002498,REGISTRATION,173,WEST BROADWAY,MANHATTAN,1963.0,176.0,13.0,WORTH BROADWAY TRIBECA LLC- ATT: P.NURZIA,2001-01-02T00:00:00.000,"WEIL MCLAIN,EGH-125","WEIL MCLAIN,EGH-125",INTEGRAL,INTEGRAL,NATURALGAS,NONE,1,1998-01-07T00:00:00.000,EXPIRED        ,
247,124402,CA002517,CERTIFICATE TO OPERATE,347,,MANHATTAN,,21.0,1348.0,CAFASON ENT. INC,1987-11-05T00:00:00.000,PACIFIC 52L1,PACIFIC 52L1,PETRO WD4AH,PETRO WD4AH,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,CAFASON ENT. INC
248,133579,CA002569,CERTIFICATE TO OPERATE,35,WINTHROP STREET,BROOKLYN,115687.0,5045.0,91.0,PARKWAY REALTY,1987-05-11T00:00:00.000,FITZGIBBONS D 90,FITZGIBBONS D 90,YORK B-100,YORK B-100,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
249,133578,CA002570,CERTIFICATE TO OPERATE,3640,BRONX BOULEVARD,BRONX,57330.0,4645.0,19.0,A.J. CLARKE MGMT CORP,1994-04-15T00:00:00.000,PACIFIC 2521,PACIFIC 2521,PETRO WD5AH,PETRO WD5AH,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
250,114632,CA002571,CERTIFICATE TO OPERATE,383,EAST 139 STREET,BRONX,626.0,2302.0,40.0,NYC DEPT OF EDUCATION (DOE),2004-07-01T00:00:00.000,GIBRALTER   GHF  225,GIBRALTER   GHF  225,S.T. JOHNSON   A53HIM 200,S.T. JOHNSON   A53HIM 200,NO4FUEL,NO4FUEL,2,1989-03-03T00:00:00.000,EXPIRED        ,
251,128292,CA002577,CERTIFICATE TO OPERATE,1740,84 STREET,BROOKLYN,165136.0,6326.0,38.0,HOLY FAMILY HOME,1993-07-01T00:00:00.000,CYCLOTHERM LPF 60,CYCLOTHERM LPF 60,CYCLOTHERM LPF 60,CYCLOTHERM LPF 60,NATURALGAS,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
252,113975,CA000066,WORK PERMIT,,,BRONX,,36.0,3118.0,LYDIA SPECTOR,1969-10-17T00:00:00.000,ROCKMILLS  MP-090,ROCKMILLS  MP-090,HEVEOIL  AM 6E,HEVEOIL  AM 6E,NO6FUEL,NONE,1,1989-08-14T00:00:00.000,CANCELLED      ,
253,133681,CA000163,CERTIFICATE TO OPERATE,34,WEST 17 STREET,MANHATTAN,15401.0,818.0,7502.0,F M RING ASSOCIATES,1987-05-01T00:00:00.000,FEDERAL 003-562LB,FEDERAL 003-562LB,ICI # AM412DH,ICI # AM412DH,NO4FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
254,51758,CA000182,REGISTRATION,102,AVENUE S,BROOKLYN,189913.0,7079.0,3.0,"DONAHUE, PATRICIA A.",2005-11-11T00:00:00.000,WEIL MCLAIN              EGH 125,WEIL MCLAIN              EGH 125,WEIL MCLAIN              INTEGRAL,WEIL MCLAIN              INTEGRAL,NATURALGAS,NONE,1,1982-01-04T00:00:00.000,EXPIRED        ,
255,120600,CA000183,CERTIFICATE TO OPERATE,1295,MORRIS AVENUE,BRONX,7805.0,2816.0,70.0,MORRISANIA IV ASSOC.,1992-06-29T00:00:00.000,RAYPACK EA 2001T,RAYPACK EA 2001T,RAYPACK EA 2001T,RAYPACK EA 2001T,NATURALGAS,NONE,2,1986-10-24T00:00:00.000,CANCELLED      ,
256,53528,CA000185,REGISTRATION,291,CENTRAL PARK WEST,MANHATTAN,31567.0,1203.0,7502.0,"DOUGLAS,ELLIMAN,GIBBONS&AMP;I",1994-01-03T00:00:00.000,WEIL MCLAIN # BL 768-S,WEIL MCLAIN # BL 768-S,PEABODY GORDON PIATT # WR 8-1-07,PEABODY GORDON PIATT # WR 8-1-07,NO2FUEL,NONE,1,1988-01-25T00:00:00.000,EXPIRED        ,
257,126941,CA000186,CERTIFICATE TO OPERATE,380,EAST   18 STREET,BROOKLYN,118770.0,5160.0,1.0,IVAN I FIST,2008-02-23T00:00:00.000,FEDERAL FST-300,FEDERAL FST-300,IRON FIREMAN PAGO 2-15-RK,IRON FIREMAN PAGO 2-15-RK,NO2FUEL,NONE,1,1986-12-02T00:00:00.000,CANCELLED      ,
258,232991,CA000188,CERTIFICATE TO OPERATE,2455,CRUGER AVENUE,BRONX,2051308.0,4430.0,28.0,2455 CURGBER AVE. CORP.,2021-04-05T00:00:00.000,FEDERAL ,FST 125,I.C. ,DEG 54P,NO4FUEL,NONE,1,2018-07-24T09:36:00.000,CURRENT        ,XHAVID BERISHA
259,113492,CA000190,CERTIFICATE TO OPERATE,125,WEST 96 STREET,MANHATTAN,55894.0,1851.0,16.0,125 W 96 ST.OWNERS CORP/GOLDIN MGMT.,2005-03-05T00:00:00.000,FEDERAL FST 90,FEDERAL FST 90,RAY PAECR 144 SIZE 90,RAY PAECR 144 SIZE 90,NO6FUEL,NONE,1,1990-01-02T00:00:00.000,CANCELLED      ,
260,223569,CA000194,REGISTRATION,1536,VYSE AVENUE,BRONX,2010785.0,2996.0,8.0,WILLIAMS CT.RED.ASSOC.-ATT: MBD MGMT,2021-01-10T00:00:00.000,SLANT FINN ,GGT 1200,SLANT FINN,GGT 1200,NATURALGAS,NONE,1,2018-01-08T11:18:58.000,CURRENT        ,WILLIAMS CT.REDEVELOPMENT ASSOC.
261,249925,CA000195,REGISTRATION,72-06,34TH AVENUE,QUEENS,4028883.0,1259.0,2.0,HELEN BOMMER,2022-01-09T00:00:00.000,WEIL MCLAIN,H-7,WEIL MCLAIN,H-7,NATURALGAS,NONE,1,2018-11-20T17:01:57.000,CURRENT        ,"BOMMER, HELEN"
262,109314,CA000198,CERTIFICATE TO OPERATE,345,CYPRESS AVENUE,BRONX,3662.0,2554.0,49.0,ARCO MGMT%US HSE&AMP;URBAN,2001-06-19T00:00:00.000,BURNHAM  NFD-GO-318S,BURNHAM  NFD-GO-318S,GORDON PIATT  R10.1-GO-20,GORDON PIATT  R10.1-GO-20,NATURALGAS,NONE,1,1998-01-02T00:00:00.000,CANCELLED      ,
263,121120,CA000273,CERTIFICATE TO OPERATE,94-40,118 STREET,QUEENS,199097.0,9435.0,24.0,R C DIOCESE OF BROOKLYN,1986-05-09T00:00:00.000,,,POWERFLAME C-3-0-HBS-14,POWERFLAME C-3-0-HBS-14,NO2FUEL,NO2FUEL,2,1900-01-01T00:00:00.000,CANCELLED      ,
264,133679,CA000279,CERTIFICATE TO OPERATE,204,EAST 84 STREET,MANHATTAN,48720.0,1529.0,43.0,GERTRUDE LEMLE,1988-11-25T00:00:00.000,,,NATIONAL DB-553,NATIONAL DB-553,NO2FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
265,205997,CA000281,WORK PERMIT,165-18,SOUTH ROAD,QUEENS,,10164.0,46.0,NYC TRANSIT AUTHORITY,,INTERNATIONAL  #G H 1344-1,INTERNATIONAL  #G H 1344-1,TODD MODEL E #RPAH-1,TODD MODEL E #RPAH-1,NO4FUEL,NONE,3,1981-11-30T00:00:00.000,CANCELLED      ,
266,221352,CA000282,REGISTRATION,701,RALPH AVENUE,BROOKLYN,3080793.0,3509.0,1.0,SUTTER HOUSES,2020-11-27T00:00:00.000,H.B.SMITH ,28-6,POWER FLAME ,C2 0GO - 15,NATURALGAS,NONE,1,2017-11-21T15:50:02.000,CURRENT        ,"SUTTER HOUSES ASSOCIATES, L.P."
267,120660,CA000283,CERTIFICATE TO OPERATE,1295,MORRIS AVENUE,BRONX,7805.0,2816.0,70.0,DAVID WALENTAS,1989-06-29T00:00:00.000,RAYPACK-RAYTHERM EC 1060 THWS,RAYPACK-RAYTHERM EC 1060 THWS,RAYPACK-RAYTHERM INTEGRAL,RAYPACK-RAYTHERM INTEGRAL,NATURALGAS,NONE,1,1986-10-24T00:00:00.000,CANCELLED      ,
268,133678,CA000284,CERTIFICATE TO OPERATE,885,EAST   38 STREET,BROOKLYN,213184.0,7722.0,29.0,885 E. 38 REALTY CORP.,2005-07-01T00:00:00.000,FEDERAL FST-50,FEDERAL FST-50,INDUSTRIAL COMBUSTION AMG 4 1/2,INDUSTRIAL COMBUSTION AMG 4 1/2,NO4FUEL,NATURALGAS,1,1900-01-01T00:00:00.000,CANCELLED      ,
269,176308,CA000285,REGISTRATION INSPECTION,1845,BOGART AVENUE,BRONX,45301.0,4124.0,17.0,JOSEPH FURGIUELE,1988-04-11T00:00:00.000,PACIFIC 214,PACIFIC 214,INDUSTR COMBUS AM 4 DH,INDUSTR COMBUS AM 4 DH,NO4FUEL,NONE,1,1900-01-01T00:01:00.000,EXPIRED        ,
270,176309,CA000286,REGISTRATION INSPECTION,585,EAST 21 STREET,BROOKLYN,120265.0,5207.0,1.0,ISAAC JACOBS,2019-06-11T00:00:00.000,WEIL MCLAIN ,1188 SW, POWER FLAME ,CR 3-G-20,NATURALGAS,NONE,1,2016-05-26T09:29:03.000,EXPIRED        ,DITMAS PARK LLC
271,250149,CA000292,REGISTRATION,23,WEST 84TH STREET,MANHATTAN,1031305.0,1198.0,17.0,"RIVERSIDE TERRACE, C/O 23 WEST 84TH STREET REALTY CO.",2022-01-08T00:00:00.000,WEIL MCLAIN,688,POWERFLAME,JR50A-15 BRS,NATURALGAS,NONE,1,2018-12-14T14:33:20.000,CURRENT        ,RIVERSIDE TERRACE
