input_1_output_uniqueid,input_1_input_1_facilityname,input_1_input_1_facility,input_1_input_1_address,input_1_input_1_address_2,input_1_input_1_zipcode,input_1_input_1_borough,phone_number,input_1_input_1_additionalinfo,input_1_input_1_service,input_1_input_1_service_type,input_1_input_1_free_service,input_1_input_1_sliding_scale,input_1_input_1_accepts_walk,input_1_input_1_hepatitis,input_1_output_bbl,input_1_input_1_latitude,input_1_input_1_longitude,output_bbl,output_bin,output_city_council_district,output_community_district
116,Gouverneur Healthcare Services,Hospital,227 Madison Street,Room 1252,10002,MANHATTAN,(718) 226-6306,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyc.gov/html/hhc/gouverneur/html/home/home.shtml"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,False,1002700032.0,40.7132144,-73.9878125,1002700032.0,1003224.0,1.0,103.0
117,Staten Island University Hospital - GI Clinic,Hospital,242 Mason Avenue,Suite 2,10305,STATEN ISLAND,(718) 332-3100,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.siuh.edu/Our-Services/Clinical-Services/Gastroenterology-Digestive-and-Liver-Diseases-.aspx"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,False,False,True,5033550065.0,40.5859742,-74.0854065,5033550065.0,5104756.0,50.0,502.0
118,"Yuriy Pertsovsky, MD",Private Practice Physician,2569 Ocean Avenue,,11229,BROOKLYN,(718) 616-3772,,Hepatitis,Hep B Treatment,False,False,False,False,3073537501.0,40.5988457,-73.9513178,3073537501.0,3391180.0,48.0,315.0
119,Coney Island Hospital - Hepatology,Hospital,2601 Ocean Parkway,,11235,BROOKLYN,(718) 224-7186,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyc.gov/html/hhc/coneyisland/html/services/medical-gastroenterology.shtml"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,False,3072390001.0,40.5854896,-73.9655812,3072390001.0,3337274.0,48.0,313.0
120,Hepatobiliary Associates of New York,Private Practice Physician,26-19 Francis Lewis Boulevard,,11358,QUEENS,(212) 379-6996,,Hepatitis,Hep B Treatment,False,False,False,False,4059610033.0,40.7725796,-73.7946618,4059610033.0,4132764.0,19.0,407.0
121,Charles B Wang Community Health Center - Manhattan,Community Health Center,268 Canal Street,,10013,MANHATTAN,(212) 477-8500,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.cbwchc.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,False,1001960013.0,40.7188699,-74.0011636,1001960013.0,1002344.0,1.0,101.0
122,William F. Ryan Community Health Network - Ryan Nena,Community Health Center,279 East 3rd Street,,10009,MANHATTAN,(212) 227-8401,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.ryancenter.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,True,1003730064.0,40.7214643,-73.9800934,1003730064.0,1004406.0,2.0,103.0
123,Betances Health Center,Community Health Center,280 Henry Street,,10002,MANHATTAN,(212) 420-4015,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.betances.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,True,1002670010.0,40.7136702,-73.9837398,1002670010.0,1003220.0,2.0,103.0
124,Mount Sinai Beth Israel - Digestive Diseases,Hospital,281 1st Avenue at 16th Street,,10003,MANHATTAN,(929) 210-6120,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.wehealny.org/services/bi_digestivediseases/index.html"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,False,False,False,1009220046.0,40.7331405,-73.9821651,1009220046.0,1081661.0,,106.0
125,Mount Sinai - Liver Medical Management Program (RMTI) Brooklyn,Community Health Center,300 Cadman Plaza West,,11201,BROOKLYN,(888) 795-4837,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.mountsinai.org/brooklyn-heights/brooklyn-heights-services/gastroenterology"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,False,False,False,3002390001.0,40.6951017,-73.9914366,3002390001.0,3001937.0,33.0,302.0
126,Albert Einstein College of Medicine - Hepatology (CFCC),Community Health Center,305 East 161st Street,,10451,BRONX,(718) 579-2500,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.einstein.yu.edu/departments/medicine/divisions/gastroenterology-liver-diseases/contact/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,False,False,False,2024210045.0,40.8254275,-73.9169829,2024210045.0,2115808.0,17.0,204.0
127,Montefiore - Comprehensive Health Care Center,Community Health Center,305 East 161st Street,,10451,BRONX,(718) 882-5482,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.montefiore.org/mmg-comprehensive-health-care-center"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,True,2024210045.0,40.8254629,-73.9169968,2024210045.0,2115808.0,17.0,204.0
128,Montefiore - Oval Center,Community Health Center,3230 Bainbridge Avenue,,10467,BRONX,(718) 920-8542,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.montefiore.org/std"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,False,False,True,2033430008.0,40.8765241,-73.8795197,2033430008.0,2018154.0,11.0,207.0
129,Montefiore - Center for Positive Living,Hospital,3444 Kossuth Avenue,3rd Floor,10467,BRONX,(212) 271-7200,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.montefiore.org/hiv-aids-contact"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,True,2033270001.0,40.8812392,-73.8810902,2033270001.0,2094749.0,11.0,207.0
130,Callen-Lorde Community Health Center,Community Health Center,356 West 18th Street,,10011,MANHATTAN,(718) 963-7618,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://callen-lorde.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,True,1007410063.0,40.7429858,-74.0031626,1007410063.0,1013088.0,3.0,104.0
131,Wyckoff Heights Medical Center - GI,Hospital,374 Stockholm Street,2nd Floor,11237,BROOKLYN,(212) 523-6500,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.wyckoffhospital.org/departments/clinical/gastroenterology"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,False,False,False,3032600001.0,40.704168,-73.917684,3032600001.0,3074262.0,37.0,304.0
132,Mount Sinai - Morningside Clinic,Hospital,390 West 114th Street,3rd Floor,10025,MANHATTAN,(718) 226-2642,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.mountsinaihealth.org/patient-care/iam/team"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,False,False,True,,40.804787,-73.9602967,,,9.0,110.0
133,Staten Island University Hospital - HIV/Hepatitis Clinic,Hospital,392 Seguine Avenue,,10309,STATEN ISLAND,(212) 334-6029,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.siuh.edu/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,False,False,True,5066940195.0,40.516429,-74.197306,5066940195.0,5082854.0,51.0,503.0
134,APICHA Community Health Center,Community Health Center,400 Broadway,4th Floor,10013,MANHATTAN,(718) 670-2399,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.apicha.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,True,1001960001.0,40.7187342,-74.0024571,1001960001.0,1002334.0,1.0,101.0
135,NewYork-Presbyterian/Queens - Liver Center,Hospital,44-02 Francis Lewis Boulevard,,11358,QUEENS,(718) 960-1472,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyhq.org/Bayside-Primary-Care"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,False,False,False,4055210026.0,40.7570175,-73.7834307,4055210026.0,4124589.0,19.0,411.0
136,St. Barnabas Hospital - GI and Hepatology,Hospital,4487 Third Avenue,3rd Floor,10457,BRONX,(718) 270-1000,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.sbhny.org/patient-care/clinical-services/gastroenterology-and-hepatology/?term=hepatology"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,False,False,False,2030510045.0,40.8533288,-73.8916388,2030510045.0,2011594.0,15.0,206.0
137,SUNY Downstate Medical Center,Hospital,450 Clarkson Avenue,,11203,BROOKLYN,(718) 245-2800,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.downstate.edu/star/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,False,False,False,3048380001.0,40.6552458,-73.945734,3048380001.0,3336186.0,40.0,317.0
138,Kings County Hospital Center,Hospital,451 Clarkson Avenue,,11203,BROOKLYN,(212) 263-6804,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyc.gov/html/hhc/kchc/html/home/home.shtml"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,True,3048290001.0,40.6567192,-73.9461696,3048290001.0,3327711.0,40.0,309.0
139,Bellevue Hospital Center - Hepatitis Clinic,Hospital,462 First Avenue,,10016,MANHATTAN,(718) 283-5900,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyc.gov/html/hhc/bellevue/html/home/home.shtml"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,True,1009620100.0,40.7393782,-73.9756253,1009620100.0,1086515.0,4.0,106.0
140,Maimonides Medical Center - Gastroenterology,Hospital,4721 Fort Hamilton Parkway,,11219,BROOKLYN,(718) 369-4850,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""https://www.maimonidesmed.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,False,False,True,3056260038.0,40.6396268,-73.9973886,3056260038.0,3137118.0,44.0,312.0
141,AHF Brooklyn Healthcare Center,Community Health Center,475 Atlantic Avenue,2nd Floor,11217,BROOKLYN,(212) 241-7270,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.aidshealth.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,True,3001790053.0,40.6858987,-73.9821743,3001790053.0,3000767.0,33.0,302.0
142,Mount Sinai - Department of Liver Diseases,Hospital,5 East 98th Street,11 Floor,10029,MANHATTAN,(212) 731-7684,,Hepatitis,Hep B Treatment,False,False,False,False,1016040006.0,40.7888556,-73.9539742,1016040006.0,1083920.0,8.0,111.0
143,Mount Sinai - Liver Medical Management Program (RMTI) Harlem,Community Health Center,5 East 98th Street,,10029,MANHATTAN,(718) 210-1030,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.mountsinai.org/patient-care/service-areas/organ-transplants/programs-and-services/adult-liver-diseases-and-transplantation"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,False,False,False,1016040006.0,40.7888556,-73.9539742,1016040006.0,1083920.0,8.0,111.0
144,Brooklyn Chinese Family Health Center,Community Health Center,5008 7th Avenue,,11220,BROOKLYN,(718) 780-3000,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.lutheranhealthcare.org/Main/LutheranFamilyHealthCentersSunsetTerrace.aspx"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,False,3007937503.0,40.6423899,-74.0063458,3007937503.0,3393316.0,38.0,307.0
293,Turning Point,Syringe Exchange Program,5220 4th Avenue,,11220,BROOKLYN,(718) 613-6843,"Free services are available.<br><a href=""http://turningpointbrooklyn.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,False,False,False,3008060046.0,40.645135,-74.014412,3008060046.0,3013857.0,38.0,307.0
145,New York Methodist Hospital - Center for Liver Diseases,Hospital,506 6th Street,6th floor,11215,BROOKLYN,(212) 939-3947,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nym.org/Services/Center-for-Liver-Disorders.aspx"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,False,False,False,3010860001.0,40.668272,-73.9791743,3010860001.0,3337808.0,39.0,306.0
146,Harlem Hospital - GI,Hospital,506 Lenox Avenue,,10037,MANHATTAN,(212) 939-1000,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyc.gov/html/hhc/harlem/html/services/adult.shtml"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,False,1017330001.0,40.8141351,-73.9397616,1017330001.0,1053899.0,9.0,110.0
147,Harlem Hospital - ID,Hospital,506 Lenox Avenue,Suite 3101 A,10037,MANHATTAN,(212) 781-7979,"Free services are available.<br><a href=""http://www.nyc.gov/html/hhc/harlem/html/services/adult.shtml"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,True,False,False,True,1017330001.0,40.8141351,-73.9397616,1017330001.0,1053899.0,9.0,110.0
148,CHN - Community League Health Center,Community Health Center,511 West 157th Street,,10032,MANHATTAN,(646) 962-4463,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.chnnyc.org/our-locations/community-league-health-center"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,True,1021160031.0,40.8333519,-73.942559,1021160031.0,1089242.0,7.0,112.0
149,NewYork-Presbyterian Weill Cornell - Hepatology,Hospital,525 East 68th Street,,10065,MANHATTAN,(718) 613-6843,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyp.org/digestive/services"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,False,False,False,1014800001.0,40.7646312,-73.954056,1014800001.0,1084781.0,5.0,108.0
150,Interfaith Medical Center - Bishop Orris G. Walker Junior Health Center,Hospital,528 Prospect Place,2nd Floor,11238,BROOKLYN,(212) 263-3643,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.interfaithmedical.com/about/service-centers/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,False,False,False,3011630010.0,40.6753638,-73.9590175,3011630010.0,3393245.0,35.0,308.0
151,NYU Langone Medical Center - Hepatology,Hospital,530 First Avenue,Suite 4J,10016,MANHATTAN,(212) 794-0240,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://nyulangone.org/locations/nyu-langone
-hepatology-associates"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,False,False,False,1009627501.0,40.7413995,-73.9744151,1009627501.0,1081694.0,4.0,106.0
152,Lenox Hill Hospital - Hepatology,Hospital,535 5th Avenue,Suite 611,10017,MANHATTAN,(718) 670-2559,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.lenoxhillhospital.org/residency_training.aspx?id=386"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,False,False,True,1012790001.0,40.7548402,-73.9794216,1012790001.0,1035366.0,4.0,105.0
153,NewYork-Presbyterian/Queens - Center for Liver Disease,Hospital,56-45 Main Street,,11365,QUEENS,(718) 857-8874,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyhq.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,False,False,False,4051650001.0,40.7470076,-73.8261739,4051650001.0,4439898.0,20.0,407.0
154,"Joseph Paul, MD",Private Practice Physician,60 Plaza Street East,1F,11238,BROOKLYN,(718) 945-7150,,Hepatitis,Hep B Treatment,False,False,False,False,3011710019.0,40.6744354,-73.9684964,3011710019.0,3029333.0,35.0,308.0
155,Addabbo Family Health Center,Community Health Center,6200 Beach Channel Drive,,11692,QUEENS,(877) LIVER-MD,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.addabbo.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,True,4160150001.0,40.5930968,-73.7918977,4160150001.0,4302404.0,31.0,414.0
156,NewYork-Presbyterian Columbia - Center for Liver Disease and Transplantation,Hospital,622 West 168th Street,,10032,MANHATTAN,(718) 401-6578,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://nyp.org/services/transplantation-surgery/liver-transplant.html"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,False,False,True,1021380040.0,40.8411547,-73.9407372,1021380040.0,1084386.0,10.0,112.0
157,Morris Heights Health Center,Community Health Center,625 East 137th Street,,10454,BRONX,(212) 265-4500,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.mhhc.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,True,2025500057.0,40.805521,-73.915898,2025500057.0,2003614.0,8.0,201.0
158,William F. Ryan Community Health Center - Ryan/Chelsea-Clinton,Community Health Center,645 10th Avenue,,10036,MANHATTAN,(347) 577-6500,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.ryancenter.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,True,1010747502.0,40.7620382,-73.9941371,1010747502.0,1085777.0,3.0,104.0
159,"Jenna Butner, MD",Private Practice Physician,710 Courtlandt Avenue,,10451,BRONX,(718) 435-3890,,Hepatitis,Hep B Treatment,False,False,False,False,2024010006.0,40.8203671,-73.9175927,2024010006.0,2001706.0,17.0,201.0
160,"Peiying Xiao, MD",Private Practice Physician,717 56th Street,,11220,BROOKLYN,(718) 567-8808,,Hepatitis,Hep B Treatment,False,False,False,False,3008340071.0,40.638933,-74.008684,3008340071.0,3015188.0,38.0,307.0
161,"Jianjun Li, MD",Private Practice Physician,730 58th Street,,11220,BROOKLYN,(718) 282-7234,,Hepatitis,Hep B Treatment,False,False,False,False,3008580019.0,40.637285,-74.009927,3008580019.0,3016189.0,38.0,307.0
162,SUNY Downstate - GI,Hospital,760 Parkside Avenue,,11226,BROOKLYN,(718) 334-4601,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.downstategi.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,False,False,False,3048280022.0,40.6561438,-73.9482722,3048280022.0,3107742.0,40.0,309.0
163,Elmhurst Hospital,Hospital,79-01 Broadway,"H Bldg, 3rd Flr, Rm 117",11373,QUEENS,(718) 630-3719,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyc.gov/html/hhc/ehc"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,False,4015000002.0,40.7446666,-73.8861451,4015000002.0,4437132.0,25.0,404.0
164,New York Harbor Healthcare System Veterans Hospital,Hospital,800 Poly Place,4th Floor,11209,BROOKLYN,(718) 613-7555,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyharbor.va.gov/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,False,False,True,3061530001.0,40.6087416,-74.024293,3061530001.0,3345707.0,43.0,310.0
165,Interfaith Medical Center - Primary Care Center,Hospital,880 Bergen Street,,11238,BROOKLYN,(347) 505-7000,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.interfaithmedical.com/about/service-centers/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,False,False,True,3011490018.0,40.6770039,-73.958166,3011490018.0,3392865.0,35.0,308.0
166,Damian Family Care Center - Firehouse Health Center,Community Health Center,89-56 162nd Street,1st Floor,11432,QUEENS,(718) 523-2123,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.damianfcc.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,True,4097600074.0,40.7050717,-73.7983714,4097600074.0,4208872.0,24.0,412.0
167,CHN - Family Health Center,Community Health Center,90-04 161st Street,5th Floor,11432,QUEENS,(718) 388-0390,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.chnnyc.org/our-locations/family-health-center"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,True,4097570023.0,40.7051801,-73.7996353,4097570023.0,4208850.0,24.0,412.0
168,CHN - CABS Health Center,Community Health Center,94-98 Manhattan Avenue,98,11206,BROOKLYN,(718) 657-7088,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.chnnyc.org/our-locations/cabs-health-center"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,True,3030790006.0,40.7056365,-73.9443956,3030790006.0,3071335.0,34.0,301.0
169,CHN - Queens Health Center,Community Health Center,97-04 Sutphin Boulevard,,11435,QUEENS,(718) 320-4466,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.chnnyc.org/our-locations/queens-health-center"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,True,4100300006.0,40.6969409,-73.8057933,4100300006.0,4214585.0,28.0,412.0
170,CHN - Bronx Health Center,Community Health Center,975 Westchester Avenue,,10459,BRONX,(212) 844-6888,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.chnnyc.org/our-locations/bronx-health-center"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Treatment,False,True,False,True,2027150029.0,40.8230494,-73.8950593,2027150029.0,2005666.0,17.0,202.0
171,Mount Sinai Beth Israel - Asian Services Center,Hospital,10 Union Square East,Suite 2K,10003,MANHATTAN,(718) 249-0755,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.wehealny.org/services/bi_asianprogram/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Vaccine,False,True,False,False,1008707501.0,40.7348835,-73.9897585,1008707501.0,1083247.0,2.0,105.0
172,After Hours Project,Syringe Exchange Program,1204 Broadway,,11221,BROOKLYN,Call 311,"Free services are available.<br><a href=""http://www.afterhoursproject.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Vaccine,True,False,True,False,3016130019.0,40.692085,-73.9269266,3016130019.0,3399422.0,41.0,303.0
173,STD Clinic - NYC Health Department,Community Health Center,1218 Prospect Place,1st Floor,11213,BROOKLYN,Call 311,"Free services are available.<br><a href=""http://www1.nyc.gov/site/doh/services/clinics.page"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Vaccine,True,True,True,False,3013650009.0,40.8155322,-73.9565444,3013650009.0,3036147.0,36.0,308.0
174,STD Clinic - NYC Health Department,Community Health Center,1309 Fulton Avenue,2nd Floor,10456,BRONX,(718) 888-7728,"Free services are available.<br><a href=""http://www1.nyc.gov/site/doh/services/clinics.page"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Vaccine,True,True,True,False,2029250080.0,40.8334362,-73.9026639,2029250080.0,2009620.0,16.0,203.0
175,"Calvin Pan, MD",Private Practice Physician,132-21 41st Avenue,1st Floor,11355,QUEENS,(718) 886-1200,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.drpan.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Vaccine,False,False,False,False,4050370103.0,40.756806,-73.833121,4050370103.0,4114165.0,20.0,407.0
176,Charles B Wang Community Health Center - Flushing,Community Health Center,136-26 37th Avenue,,11354,QUEENS,(718) 918-5000,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.cbwchc.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Vaccine,False,True,False,False,4049780013.0,40.7617484,-73.830211,4049780013.0,4112477.0,20.0,407.0
177,Jacobi Medical Center,Hospital,1400 Pelham Parkway South,2S,10461,BRONX,Call 311,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyc.gov/html/hhc/jacobi/html/home/home.shtml"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Vaccine,False,True,False,False,2042050001.0,40.8556769,-73.8462363,2042050001.0,2097550.0,13.0,211.0
178,STD Clinic - NYC Health Department,Community Health Center,160 West 100th Street (between Columbus/Amsterdam),,10025,MANHATTAN,(718) 896-2500,"Free services are available.<br><a href=""http://www1.nyc.gov/site/doh/services/clinics.page"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Vaccine,True,True,True,False,1018520049.0,40.6732996,-73.9358063,1018520049.0,1055906.0,7.0,107.0
179,AIDS Center of Queens County (ACQC) - Jamaica,Community Organization,161-21 Jamaica Avenue,6th floor,11432,QUEENS,(212) 463-9685,"Free services are available.<br><a href=""http://acqc.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Vaccine,True,False,False,False,4097607501.0,40.7041863,-73.7980187,4097607501.0,4208875.0,24.0,412.0
180,Korean Community Services,Community Organization,2 West 32nd Street,6th Floor,10001,MANHATTAN,(212) 695-2220,"Free services are available.<br><a href=""http://www.kcsny.org/en/hepatitis-b-check-and-care/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Vaccine,True,False,False,False,1008330047.0,40.7472085,-73.9861836,1008330047.0,1015823.0,4.0,105.0
181,Safe Horizon - Streetwork Harlem,Syringe Exchange Program,209 West 125th Street,,10027,MANHATTAN,Call 311,"Free services are available.<br><a href=""http://www.safehorizon.org/index/what-we-do-2/helping-youth-14/streetwork-project-141.html"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Vaccine,True,False,True,False,1019310027.0,40.8093846,-73.9487839,1019310027.0,1058660.0,9.0,110.0
182,STD Clinic - NYC Health Department,Community Health Center,21 Old Broadway,2nd Floor,10027,MANHATTAN,Call 311,"Free services are available.<br><a href=""http://www1.nyc.gov/site/doh/services/clinics.page"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Vaccine,True,True,True,False,1019830003.0,40.7039575,-73.8002055,1019830003.0,1059720.0,7.0,109.0
183,STD Clinic - NYC Health Department,Community Health Center,2238 Fifth Avenue,1st Floor,10037,MANHATTAN,(718) 292-7718,"Free services are available.<br><a href=""http://www1.nyc.gov/site/doh/services/clinics.page"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Vaccine,True,True,True,False,1017340034.0,40.813862,-73.937136,1017340034.0,1053900.0,9.0,110.0
184,BOOM!Health,Syringe Exchange Program,226 East 144th Street,,10451,BRONX,(212) 238-7897,"Free services are available.<br><a href=""http://www.boomhealth.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Vaccine,True,False,True,False,2023400221.0,40.8156756,-73.9255324,2023400221.0,2000997.0,8.0,201.0
