,organizationname,brooklyn,bronx,manhattan,queens,staten_island,fax,phone,aging,anti_discrimination_human_rights,arts_culture,business,child_care_parent_information,community_service_volunteerism,counseling_support_groups,disabilities,domestic_violence,education,employment_job_training,health,homelessness,housing,immigration,legal_services,lesbian_gay_bisexual_and_or_transgender,personal_finance_financial_education,professional_association,veterans_military_families,victim_services,youth_services,faith_based_organization,foundation,is_registered_with_the_attorney_general_s_office,new_york_city_agency,none_of_the_above,nonprofit,other_government_organization,published,address1,city,nourl,postcode,url,description,location_1,borough,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,outsideloc,address2,outsidelocdesc
168,NARAL Pro-Choice New York,N,N,Y,N,N,2123430119.0,2123430114.0,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,470 Park Avenue South,New York,N,10016.0,http://www.prochoiceny.org/about/,"NARAL Pro-Choice New York, the New York State Affiliate of Pro-Choice America, works to protect safe, legal abortion and expand the full range of reproductive rights for women regardless of age, race or income.","{'latitude': '40.745492', 'longitude': '-73.982515'}",MANHATTAN,40.745492,-73.982515,5.0,2.0,74.0,1080788.0,1008610044.0,Midtown-Midtown South                                                      ,12078.0,11.0,4.0,50.0,8.0,N,,
169,YM & YWHA of Washington Heights and Inwood,N,N,Y,N,N,,2125696200.0,Y,N,Y,N,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,54 Nagle Avenue,New York,N,10040.0,http://www.ywashhts.org,"Community center providing recreational, educational and social services for individuals from birth through 100 primarily in Northern Manahttan.","{'latitude': '40.859993', 'longitude': '-73.929129'}",MANHATTAN,40.859993,-73.929129,12.0,10.0,285.0,1064146.0,1021720064.0,Washington Heights North                                                   ,13098.0,47.0,4.0,39.0,22.0,N,,
170,Reproductive Freedom Project,N,N,Y,N,N,,2125492633.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,125 Broad St. 17th Fl.,New York,,,,,,,,,,,,,,,,,,,,,,
171,Grace Institute,N,N,Y,N,N,2124862869.0,2128327605.0,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Published,1233 Second Avenue,New York,N,10065.0,http://graceinstitute.org/,"For over 100 years, Grace Institute has provided tuition-free, practical job training in a supportive learning community for underserved New York area women of all ages and from many different backgrounds. In the tradition of its founding family, Grace is dedicated to the development of the personal and business skills necessary for self-sufficiency, employability and an improved quality of life.","{'latitude': '40.764111', 'longitude': '-73.961803'}",MANHATTAN,40.764111,-73.961803,8.0,4.0,118.0,1043870.0,1014197501.0,Lenox Hill-Roosevelt Island                                                ,10090.0,23.0,4.0,51.0,11.0,N,,
172,New York Public Interest Research Group: Small Claims Court Action Center,N,N,Y,N,N,,2123496460.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"9 Murray Street, 3rd Floor",New York,,,http://www.nypirg.org/consumer/sccac/default.html,"Just like TV’s “People's Court,” the Small Claims Court us an inexpensive, informal forum where New Yorkers can go to resolve typical consumer problems — such as shoddy goods, poor repairs or services and unreturned deposits — without the assistance or ex",,,,,,,,,,,,,,,,,,
173,International Women's Health Coalition,N,N,Y,N,N,2129799009.0,2129798500.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"333 Seventh Avenue, 6th floor",New York,,10001.0,http://www.iwhc.org,,"{'latitude': '40.747629', 'longitude': '-73.99306'}",MANHATTAN,40.747629,-73.99306,5.0,3.0,95.0,1015097.0,1008040001.0,Midtown-Midtown South                                                      ,11722.0,11.0,4.0,10.0,7.0,,"24 East 21 St., New York, NY, 10010",
174,Asian Indian Immigrant Experience,N,N,N,Y,N,,7187856355.0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"84-10,120th street,1F",Kew gardens,Y,11415.0,,"We are Comunity Television
which airs non profit agenda.",,,,,,,,,,,,,,,,N,,
175,Nonprofit Connection,N,N,Y,N,N,,2123831433.0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"50 Broadway, Ste. 1800",New York,,10004.0,,,"{'latitude': '40.706449', 'longitude': '-74.012761'}",MANHATTAN,40.706449,-74.012761,1.0,1.0,9.0,1000813.0,1000220024.0,Battery Park City-Lower Manhattan                                          ,11725.0,56.0,4.0,32.0,1.0,,,
176,"National Council of Jewish Women, Inc.",N,N,Y,N,N,2126457466.0,2126454048.0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,53 West 23 St.,New York,,,http://www.ncjw.org,"The National Council of Jewish Women is a volunteer organization that has been at the forefront of social change for over a century -- championing the needs of women, children, and families -- while courageously taking a progressive stance on such issues ",,,,,,,,,,,,,,,,,,
177,New York Junior Tennis League,N,N,N,Y,N,,7187867110.0,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,58-12 Queens Boulevard,Woodside,,11377.0,http://nyjtl.org/,,"{'latitude': '40.741828', 'longitude': '-73.907281'}",QUEENS   ,40.741828,-73.907281,2.0,26.0,245.0,4454475.0,4023137501.0,Woodside                                                                   ,14787.0,53.0,3.0,33.0,66.0,,,
178,NARAL Pro-Choice New York,N,N,Y,N,N,2123430114.0,6465203506.0,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,"470 Park Avenue South, 7th Floor",New York,N,10016.0,http://www.ProChoiceNY.org,"NARAL Pro-Choice New York, the New York State Affiliate of Pro-Choice America, works to protect safe, legal abortion and expand the full range of reproductive rights for women regardless of age, race or income.

NARAL Pro-Choice New York has been in existence for over 30 years and has established vital connections working with legislators, health care and advocacy groups, and womenâ€™s organizations, providing the organization with the influence and tools necessary to do effective educational and lobbying work, particularly around reproductive rights and contraceptive coverage.","{'latitude': '40.745492', 'longitude': '-73.982515'}",MANHATTAN,40.745492,-73.982515,5.0,2.0,74.0,1080788.0,1008610044.0,Midtown-Midtown South                                                      ,12078.0,11.0,4.0,50.0,8.0,N,,
179,Women's Prison Association and Home Inc.,N,N,Y,N,N,2126771981.0,2126741163.0,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,110 Second Ave.,New York,,,http://www.wpaonline.org/,"WPA is a service and advocacy organization committed to helping women with criminal justice histories realize new possibilities for themselves and their families. Our program services make it possible for women to obtain work, housing, and health care; to",,,,,,,,,,,,,,,,,,
180,National Organization of Italian-American Women,N,N,Y,N,N,2124896130.0,2122378574.0,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Published,"445 West 59 St., Suite 1248",New York,,,http://www.noiaw.org/,"The National Organization of Italian American Women is a sisterhood of diverse women from varied professional backgrounds. Members include doctors, lawyers, artists, scientists, nurses, businesswomen, educators, writers, judges, and women working in the h",,,,,,,,,,,,,,,,,,
181,"Yeled V'Yalda Early Childhood Center, Inc.",Y,N,N,N,N,,7186863700.0,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,571 McDonald Ave,Brooklyn,,11218.0,,,"{'latitude': '40.639923', 'longitude': '-73.978983'}",BROOKLYN ,40.639923,-73.978983,12.0,39.0,486.0,3126000.0,3053700089.0,Kensington-Ocean Parkway                                                   ,17620.0,2.0,2.0,27.0,39.0,,,
182,Charles B. Wang Community Health Center,N,N,Y,N,N,,2129660228.0,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,Women's Health Department,New York,N,10013.0,http://www.cbwchc.org/hcs/wh/wh.html,"The Women's Health Department is a unique community based health care program serving uninsured women in New York City. The majority of our clients are low income women who are recent immigrants. The Health Center provides a wide array of primary and specialty services, including gynecological care, family planning, pregnancy testing, prenatal and postnatal care, genetic and nutritional counseling, breast-feeding education, screening and education for HIV and STD infections, and screening and education for breast, cervical, ovarian and prostate cancers. The Women's Health Department also sponsors many outreach and health education programs to promote and increase the community's awareness of women's health issues.",,,,,,,,,,,,,,,,N,268 Canal Street,
183,Business Link,Y,Y,Y,Y,Y,,2126399675.0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Published,,New York,N,,http://www.nyc.gov/html/hra/html/directory/business_link.shtml,"Business Link is a fast, free and easy way for employers to reach job seekers. Operated by New York Cityâ€™s Human Resources Administration/Department of Social Services, Business Link is at the core of the Cityâ€™s efforts to move cash assistance recipients into jobs. Plus, there are financial benefits available to companies that hire employees through Business Link.",,,,,,,,,,,,,,,,N,,
184,"Latin Women in Action, Inc.",N,N,N,Y,N,7184781384.0,7184782972.0,N,N,N,N,Y,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,103-06 39th Ave.,Corona,N,11368.0,http://latinwomeninaction.org,Social service,"{'latitude': '40.750712', 'longitude': '-73.862926'}",QUEENS   ,40.750712,-73.862926,3.0,21.0,405.0,4044402.0,4017700113.0,North Corona                                                               ,14510.0,65.0,3.0,21.0,73.0,N,,
185,Urban Justice Center,N,N,Y,N,N,,6466025600.0,N,Y,N,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"123 William Street, 16th Fl.",New York,,10038.0,http://www.urbanjustice.org/,,"{'latitude': '40.709112', 'longitude': '-74.006889'}",MANHATTAN,40.709112,-74.006889,1.0,1.0,1502.0,1079063.0,1000780004.0,Battery Park City-Lower Manhattan                                          ,13096.0,56.0,4.0,32.0,1.0,,,
186,OFE's Financial Empowerment Center at Phipps,N,Y,N,N,N,,3473293929.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Published,Third Avenue at 159th Street,Bronx,N,10451.0,http://www.nyc.gov/ofe,"The Financial Empowerment Center in Melrose was created in partnership with the New York City Department of Consumer Affairsâ€™ Office of Financial Empowerment (OFE), with support from the Insurance Industry Charitable Foundation of New York. The Financial Empowerment Center is located at the Phipps Opportunity Center, a Phipps Community Development Corporation community education site, where clients are able to take advantage of the Centerâ€™s other resources, including computer training, literacy instruction (English as a Second Language), General Equivalency Diploma (GED) preparation, and family programs. Clients enrolled in classes are eligible for on-site childcare with pre-registration and proof of a physical examination. The Financial Empowerment Center in Melrose offers one-on-one financial counseling and coaching services led by trained professionals. Services are offered free of charge, in English and Spanish, and are completely confidential.

New Yorkers can call to schedule just one session or several sessions, as needed, to receive assistance in the following areas:

â€¢ Money management and budgeting
â€¢ Financial planning
â€¢ Credit and debt counseling
â€¢ Support for dealing with creditors
â€¢ Affordable banking services
â€¢ Government benefit screenings
â€¢ Strategic referrals to other services and organizations",,,,,,,,,,,,,,,,N,,
187,Latino Commission On AIDS,Y,Y,Y,Y,Y,6463754420.0,2125849301.0,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,24 West 25th Street 9th Floor,New York,N,10010.0,http://...www.latinoaids.org,We are a nonprofit organization dedicated to fighting the spread of HIV-AIDS in the Latino community for both women and men.,"{'latitude': '40.743383', 'longitude': '-73.990004'}",MANHATTAN,40.743383,-73.990004,5.0,3.0,58.0,1080686.0,1008260057.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,12073.0,11.0,4.0,10.0,7.0,N,,
188,NYC Health and Hospitals Corporation,Y,Y,Y,Y,Y,,2126399675.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Published,,New York,N,,http://www.nyc.gov/html/hhc/html/home/home.shtml,"The New York City Health and Hospitals Corporation (HHC), the largest municipal hospital and health care system in the country, is a $5.4 billion public benefit corporation that serves 1.3 million New Yorkers and nearly 400,000 who are uninsured. HHC provides medical, mental health and substance abuse services through its 11 acute care hospitals, four skilled nursing facilities, six large diagnostic and treatment centers and more than 80 community based clinics. HHC Health and Home Care also provides health services at home for New Yorkers.",,,,,,,,,,,,,,,,N,,
189,Search and Care,N,N,Y,N,N,,2122895300.0,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,1844 Second Ave.,New York,,,http://searchandcare.org/,,,,,,,,,,,,,,,,,,,
190,Spence-Chapin Services to Families and Children,N,N,Y,N,N,2123698589.0,2123690300.0,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,410 East 92nd Street,New York,N,10128.0,http://www.spence-chapin.org,"Spence-Chapin is an accredited, nonprofit, nonsectarian agency that has been offering quality adoption services for 100 years. Our mission is to find adoptive homes for children in need here and in countries around the world.","{'latitude': '40.780488', 'longitude': '-73.946119'}",MANHATTAN,40.780488,-73.946119,8.0,5.0,152.0,1081307.0,1015717501.0,Yorkville                                                                  ,10099.0,23.0,4.0,1.0,11.0,Y,,"Long Island, New Jersey"
191,West Brighton Community Local Development Corp./BOC Women's Business Center,N,N,N,N,Y,7188167234.0,7188164775.0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,1207 Castleton Avenue,Staten Island,N,10310.0,http://wbcldc.org,"The West Brighton Community Local Development Corporation (WBCLDC), serving the Staten Island Business Community since 1981, offers programming to assist new entrepreneurs and existing businesses. Our one-on-one business counseling and seminars on timely business topics are available to all Staten Islanders. WBCLDC hosts a satellite office of the BOC Women?s Business Center.  Through the BOC WBC, we offer one-on-one counseling, long-term training and short-term seminars targeting women entrepreneurs in Staten Island. The WBC is sponsored by the US Small Business Administration.","{'latitude': '40.63412', 'longitude': '-74.122617'}",STATEN IS,40.63412,-74.122617,1.0,49.0,13302.0,5005312.0,5001980146.0,West New Brighton-New Brighton-St. George                                  ,10697.0,4.0,1.0,13.0,74.0,N,,
192,Peninsula Hospital Center,N,N,N,Y,N,,7187342000.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,51-15 Beach Channel Dr.,Far Rockaway,N,,http://www.peninsulahospital.org/,,,,,,,,,,,,,,,,,N,,
193,ACCESS NYC,Y,Y,Y,Y,Y,,2126399675.0,Y,N,N,N,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Published,,New York,N,,http://https://a858-ihss.nyc.gov/ihss1/en_US/IHSS_languageSelectionPage.do,"ACCESS NYC is a free service that identifies and screens for over 30 City, State, and Federal human service benefit programs. You may use this service anonymously or you have the option to create an account.

In addition to screening for a number of benefit programs, you may also use ACCESS NYC to apply online for the School Meals program. For all other programs, you will need to take additional steps outside of ACCESS NYC to apply for benefits. ACCESS NYC will help fill out some of the applications to make the process easier and will provide information on Agency office locations that are near you. Please contact the Agencies directly to complete their applications.",,,,,,,,,,,,,,,,N,,
194,"Isabella Geriatric Center, Inc.",N,N,Y,N,N,,2123429324.0,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,515 Audubon Avenue,New York,,10040.0,http://www.isabella.org/index.htm,"Since its inspired beginning in 1875, Isabella, a non-profit, non-sectarian organization, has pioneered in the care of the elderly of New York.  Located in northern Manhattan, Isabella has grown from a traditional nursing home into a progressive provider ","{'latitude': '40.854783', 'longitude': '-73.927909'}",MANHATTAN,40.854783,-73.927909,12.0,10.0,277.0,1063861.0,1021600001.0,Washington Heights North                                                   ,13098.0,47.0,4.0,39.0,22.0,,,
195,Queens Federation of Churches,N,N,N,Y,N,7188477392.0,7188476764.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,86-17 105th St.,Richmond Hill,,,http://www.queenschurches.org,,,,,,,,,,,,,,,,,,,
196,New York City Department of Parks & Recreation,Y,Y,Y,Y,Y,,2126399675.0,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Published,,New York,N,,http://www.nycgovparks.org/,"Parks & Recreation is the steward of more than 29,000 acres of land 14 percent of New York City including more than 4,000 individual properties ranging from Yankee Stadium and Central Park to community gardens and Greenstreets. We operate more than 800 athletic fields and nearly 1,000 playgrounds; we manage five major stadia, 550 tennis courts, 54 public pools, 51 recreational facilities, 15 nature centers, 13 golf courses, and 14 miles of beaches; we care for 1,200 monuments and 22 historic house museums; we look after 600,000 street trees, and two million more in parks. We are New York City's principal provider of athletic facilities. We are home to free concerts, world-class sports events, and cultural festivals.",,,,,,,,,,,,,,,,N,,
197,Legal Action Center,N,N,Y,N,N,2126750286.0,2122431313.0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,225 Varick Street,New York,N,10014.0,http://www.lac.org/,"The Legal Action Center is the only non-profit law and policy organization in the United States whose sole mission is to fight discrimination against people with histories of addiction, HIV/AIDS, or criminal records, and to advocate for sound public polic","{'latitude': '40.729165', 'longitude': '-74.00525'}",MANHATTAN,40.729165,-74.00525,2.0,3.0,67.0,1009758.0,1005810063.0,West Village                                                               ,12077.0,57.0,4.0,10.0,3.0,N,,
198,Society for Accessible Travel & Hospitality,N,N,Y,N,N,,2124477284.0,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"347 Fifth Avenue, Suite 605",New York,,,http://www.sath.org,"The Society for Accessible Travel & Hospitality (SATH), founded in 1976, is an educational nonprofit membership organization whose mission is to raise awareness of the needs of all travelers with disabilities, remove physical and attitudinal barriers to f",,,,,,,,,,,,,,,,,,
199,NYC Department of Housing Preservation and Development,Y,Y,Y,Y,Y,,2126399675.0,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Published,,New York,N,,http://www.nyc.gov/html/hpd/html/home/home.shtml,"The New York City Department of Housing Preservation and Development (HPD) is the largest municipal developer of affordable housing in the nation. Since 1987, HPD has provided over $6.3 billion to support the repair, rehabilitation and new construction of hundreds of thousands of units of housing. This administration's housing agenda, The New Housing Marketplace: Creating Housing for the Next Generation, is the largest investment in the City's housing stock in 20 years. It is a $7.5 billion plan to create and preserve more than 165,000 homes and apartments in neighborhoods over ten years",,,,,,,,,,,,,,,,N,,
200,"African American Planning Commission, Inc.",Y,N,N,N,N,7182187115.0,7182187254.0,Y,N,Y,N,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,P.O. Box 330-704,Brooklyn,N,11233.0,http://www.aapci.org,"The African American Planning Commission, Inc. (""AAPCI"") was founded in 1996 by current Executive Director, Matthew okebiyi. 
AAPCI is a New York City-based 501(c)(3), nonprofit organization committed to addressing issues of homelessness (domestic violence, HIV/AIDS, housing shortage, and unemployment) within the communities in which we live and serve.",,,,,,,,,,,,,,,,N,,
201,Philippine Forum,N,N,Y,N,N,,2127416806.0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"122 West 27th Street, 10th Floor",New York,N,,http://www.geocities.com/philippineforum,,,,,,,,,,,,,,,,,N,,
202,TimeBanksNYC,Y,Y,Y,Y,Y,,8662446469.0,Y,N,N,N,N,Y,N,N,N,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,Y,N,Y,Y,Published,2 Lafayette Street,New York,N,10007.0,http://www.timebanksnyc.org,"Did you ever think that shoveling a walk would help you learn a foreign language? Or that tutoring a student in math would get your living room painted? By joining TimeBanksNYC, youâ€™ll be part of a network of people exchanging their talents and skills for the good of the community and personal improvement. All you have to do is donate one hour of your time to help a member, and youâ€™ll earn a credit for an hour of help from another. 

Here's how to get started: 

Visit www.timebanksnyc.org and click on â€œjoinâ€
Complete your profile and application, including 3 references
Attend an orientation 

TimeBanksNYC is located in your borough! 

TimeBanksNYC Norwood at the Mosholu Montefiore Community Center 
TimeBanksNYC Flatbush at CAMBA 
TimeBanksNYC Upper East Side at Stanley Isaacs Neighborhood Center 
TimeBanksNYC Flushing at Queens Community House 
TimeBanksNYC North Shore at Project Hospitality 

For additional information, please call 311 or email info@timebanksnyc.org","{'latitude': '40.713723', 'longitude': '-74.003586'}",MANHATTAN,40.713723,-74.003586,1.0,1.0,31.0,1001672.0,1001550001.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,11728.0,56.0,4.0,32.0,2.0,N,,
203,Sexual Compulsives Anonymous New York,N,N,Y,N,N,,2124391123.0,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"P.O. Box 1585, Old Chelsea Station",New York,,,http://www.sca-recovery.org/,"Sexual Compulsives Anonymous is a fellowship of men and women who share their experience, strength and hope with each other, that they may solve their common problem and help others to recover from sexual compulsion. The only requirement for membership is",,,,,,,,,,,,,,,,,,
204,The Northern Manhattan Perinatal Partnership Inc.,N,N,Y,N,N,,3476238445.0,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,127 West 127th Street,New York,,10027.0,,,"{'latitude': '40.809488', 'longitude': '-73.945496'}",MANHATTAN,40.809488,-73.945496,10.0,9.0,224.0,1057904.0,1019120012.0,Central Harlem North-Polo Grounds                                          ,12424.0,18.0,4.0,36.0,20.0,,,
205,Spoons Across America,Y,Y,Y,Y,Y,7185220204.0,7185220209.0,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,505 Court Street,Brooklyn,N,11231.0,http://www.spoonsacrossamerica.org,"Spoons Across America, the source for children's culinary education is a not-for-profit organization dedicated to educating children, teachers, and families about the benefits of healthy eating. We work to influence the eating habits of children through hands-on education that celebrates the connection to local farmers and the important tradition of sharing meals around the family table. 

Spoons Across America is a 501 (c)(3) not-for-profit organization founded on the premise that it is essential to the health of our children and our society to bring the joys of the table to the children of America. The table is where children learn about conversation, consideration, tolerance and other tools for getting along in society. When activities are centered around healthful food, children experience a fun and exciting way to learn about nutrition, the physiology of taste, and how food weaves its way through daily life, from the farm to the table. 


Our programs encourage healthy eating.
How? All of the program recipes use a variety of fruits, vegetables, and whole grains, which are beneficial to long-term health and well-being.

Our programs encourage family meals.
How? Whenever possible, Spoons Across America curricula involve in-class and homework assignments that initiate family meals, encourage family participation, and enrich the family eating experience.

Our programs address the educational needs of children. How? Spoons Across America creates quality hands-on education programs that fulfill New York State educational standards and incorporates valuable life lessons.

The Spoons Across America programs include:
1. Greenmarket Tour Guides
2. NY Agricultural Literacy Day
3. The Dinner Party Project
4. AIWF NY/Days of Taste program","{'latitude': '40.675574', 'longitude': '-73.999156'}",BROOKLYN ,40.675574,-73.999156,6.0,39.0,77.0,3397571.0,3004767501.0,Carroll Gardens-Columbia Street-Red Hook                                   ,13514.0,14.0,2.0,27.0,48.0,N,Suite 2E,
206,Girls Incorporated of New York City,Y,Y,Y,Y,Y,2125317622.0,2125317620.0,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,Published,64 Beaver Street,New York,N,10004.0,http://www.girlsincnyc.org,"Girls Incorporated of New York City is dedicated to inspiring all girls to be strong, smart, and bold.  We carry out our mission by delivering research-based experiential education programs with girls ages 6-18 during and after school and by delivering staff development trainings in the areas of gender equity and sexuality education. Our comprehensive programs are developed by the national organization, Girls Inc., and focus on the following topics: media literacy, economic literacy, violence prevention, self defense, sports, science, technology, health, sexuality and career readiness.","{'latitude': '40.705198', 'longitude': '-74.009648'}",MANHATTAN,40.705198,-74.009648,1.0,1.0,7.0,1000832.0,1000280005.0,Battery Park City-Lower Manhattan                                          ,11726.0,56.0,4.0,32.0,1.0,N,Suite 121,
207,Iris House-A Center for Women Living with HIV/AIDS,N,N,Y,N,N,2124239193.0,2124239049.0,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,2271 Second Ave.,New York,,,http://www.irishouse.org/index.html,"Established in 1993 by the Women and AIDS Working Group, Iris House provides comprehensive services and advocacy for women, families, and communities infected with and affected by HIV/AIDS, while simultaneously providing prevention and education services ",,,,,,,,,,,,,,,,,,
208,NYC Business Solutions,Y,Y,Y,Y,Y,,2126399675.0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Published,,New York,N,,http://www.nyc.gov/html/sbs/nycbiz/html/home/home.shtml,"NYC Business Solutions is committed to helping businesses start, operate, and expand in New York City. Regardless of the size or stage of your business, we can help you access services that meet your needs as you continue to grow and expand.",,,,,,,,,,,,,,,,N,,
209,NYC Department of Cultural Affairs,Y,Y,Y,Y,Y,,2126399675.0,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Published,,New York,N,,http://www.nyc.gov/html/dcla/html/home/home.shtml,"The New York City Department of Cultural Affairs (DCLA) is dedicated to supporting and strengthening New York City's vibrant cultural life. Among our primary missions is to ensure adequate public funding for non-profit cultural organizations, both large and small, throughout the five boroughs. DCLA also works to promote and advocate for quality arts programming and to articulate the contribution made by the cultural community to the City's economic vitality. The Department represents and serves non-profit cultural organizations involved in the visual, literary and performing arts; public-oriented science and humanities institutions including zoos, botanical gardens and historic and preservation societies; and creative artists at all skill levels who live and work within the City's five boroughs. Through its Materials for the Arts Program, DCLA provides free supplies for use in arts programs offered by non-profit groups and New York City public schools. DCLA has also changed the physical landscape of New York City through its Percent for Art program by commissioning more than 180 works of art by some of the world's leading artists at public building sites throughout the city.",,,,,,,,,,,,,,,,N,,
210,"Lambda Legal Defense and Education Fund, Inc.",N,N,Y,N,N,2122135597.0,2122135545.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"15 East 26 St., Suite 919",New York,,,http://www.lambdalegal.org,"Lambda Legal is a national organization committed to achieving full recognition of the civil rights of lesbians, gay men, bisexuals, transgender people and those with HIV through impact litigation, education and public policy work.",,,,,,,,,,,,,,,,,,
211,"New York Association for New Americans, Inc. (NYANA)",N,N,Y,N,N,,2124252900.0,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"2 Washington Street, 9th Fl.",New York,N,10004.0,,,"{'latitude': '40.705137', 'longitude': '-74.015585'}",MANHATTAN,40.705137,-74.015585,1.0,1.0,13.0,1087080.0,1000157501.0,Battery Park City-Lower Manhattan                                          ,11725.0,56.0,4.0,32.0,1.0,N,,
