,material,aggregate_percent,refuse_percent,mgp_percent,paper_percent,organic_percent,material_group,dsny_diversion_summary,loacation
277,Home Medical Products,0.004,0.004,0.001,0.0,,Special Waste,HHW,Manhattan
278,Other Potentially Harmful Wastes,0.002,0.002,0.001,0.0,,Special Waste,HHW,Manhattan
279,Miscellaneous Inorganics,0.009,0.01,0.01,0.003,,Miscellaneous Inorganics,Other,Manhattan
280,Newspaper,0.021,0.007,0.008,0.137,0.0,Paper,Designated Paper,Staten Island
281,Plain OCC/Kraft Paper,0.055,0.014,0.007,0.411,0.002,Paper,Designated Paper,Staten Island
282,High Grade Paper,0.006,0.005,0.002,0.018,0.0,Paper,Designated Paper,Staten Island
283,Mixed Low Grade Paper,0.087,0.061,0.023,0.347,0.0,Paper,Designated Paper,Staten Island
284,Paper: Compostable/Soiled/Waxed OCC/Kraft,0.088,0.11,0.009,0.01,0.006,Paper,Organics Suitable for Composting,Staten Island
285,Other Nonrecyclable Paper,0.011,0.012,0.007,0.009,0.001,Paper,Other,Staten Island
286,Paper Beverage Cartons/Aseptic Boxes,0.003,0.002,0.01,0.002,0.0,Paper,Designated MGP,Staten Island
287,#1 PET Bottles,0.013,0.008,0.069,0.003,0.0,Plastic,Designated MGP,Staten Island
288,#2 HDPE Natural Bottles,0.003,0.001,0.022,0.0,0.0,Plastic,Designated MGP,Staten Island
289,#2 HDPE Pigmented Bottles,0.005,0.002,0.032,0.0,0.0,Plastic,Designated MGP,Staten Island
290,Other Plastic Bottles,0.001,0.0,0.004,0.0,0.0,Plastic,Designated MGP,Staten Island
291,Rigid Plastic Containers/Packaging,0.019,0.016,0.061,0.006,0.001,Plastic,Designated MGP,Staten Island
292,#6 EPS Containers/Packaging (including Single Use),0.006,0.007,0.001,0.002,0.0,Plastic,Other,Staten Island
293,Film Plastic: Retail Bags/Sleeves,0.013,0.015,0.009,0.003,0.001,Plastic,Plastic Bags,Staten Island
294,Film Plastic: Garbage Bags,0.018,0.019,0.023,0.007,0.008,Plastic,Other,Staten Island
295,Film Plastic: Food/Drink Pouches,0.0,0.0,0.0,0.0,0.0,Plastic,Other,Staten Island
296,Film Plastic: All Other Film,0.022,0.026,0.013,0.004,0.001,Plastic,Other,Staten Island
297,Single Use Plastic Plates/Cups/Cutlery (excluding EPS),0.005,0.006,0.007,0.001,0.0,Plastic,Designated MGP,Staten Island
298,Appliances: Plastic,0.001,0.001,0.007,0.0,0.0,Plastic,Designated MGP,Staten Island
299,Bulk/Rigid Plastic,0.009,0.005,0.048,0.004,0.0,Plastic,Designated MGP,Staten Island
300,Other Plastics,0.012,0.012,0.023,0.003,0.0,Plastic,Designated MGP,Staten Island
301,Clear Container Glass,0.015,0.008,0.082,0.004,0.0,Glass,Designated MGP,Staten Island
302,Green Container Glass,0.005,0.002,0.032,0.001,0.0,Glass,Designated MGP,Staten Island
303,Brown Container Glass,0.003,0.001,0.02,0.001,0.0,Glass,Designated MGP,Staten Island
304,Other Color Container Glass,0.0,0.0,0.001,0.0,0.0,Glass,Designated MGP,Staten Island
305,Mixed Cullet,0.011,0.001,0.108,0.0,0.0,Glass,Designated MGP,Staten Island
306,Other Glass,0.003,0.003,0.005,0.0,0.0,Glass,Other,Staten Island
307,Aluminum Cans,0.003,0.002,0.012,0.0,0.0,Metal,Designated MGP,Staten Island
308,Aluminum Foil/Containers,0.007,0.007,0.014,0.0,0.002,Metal,Designated MGP,Staten Island
309,Other Aluminum,0.0,0.0,0.003,0.0,0.0,Metal,Designated MGP,Staten Island
310,Other Non-Ferrous,0.002,0.002,0.006,0.001,0.001,Metal,Designated MGP,Staten Island
311,Steel/Tin Food Cans,0.007,0.003,0.042,0.0,0.0,Metal,Designated MGP,Staten Island
312,Empty Aerosol Cans,0.002,0.001,0.007,0.0,0.0,Metal,Designated MGP,Staten Island
313,Other Ferrous,0.016,0.006,0.113,0.001,0.0,Metal,Designated MGP,Staten Island
314,Mixed Metals,0.012,0.009,0.05,0.0,0.001,Metal,Designated MGP,Staten Island
315,Appliances: Ferrous,0.004,0.0,0.038,0.0,0.0,Metal,Designated MGP,Staten Island
316,Appliances: Non-Ferrous,0.001,0.0,0.007,0.0,0.0,Metal,Designated MGP,Staten Island
317,Yard Waste,0.127,0.153,0.0,0.0,0.905,Organic,Organics Suitable for Composting,Staten Island
318,Food,0.169,0.211,0.02,0.009,0.046,Organic,Organics Suitable for Composting,Staten Island
319,Non-C&D Wood,0.002,0.002,0.001,0.008,0.0,Organic,Other,Staten Island
320,Textiles: Non-Clothing,0.017,0.021,0.002,0.0,0.002,Organic,Textiles,Staten Island
321,Textiles: Clothing,0.027,0.034,0.002,0.0,0.001,Organic,Textiles,Staten Island
322,Carpet/Upholstery,0.002,0.003,0.0,0.0,0.017,Organic,Other,Staten Island
323,Disposable Diapers/Sanitary Products,0.033,0.042,0.001,0.001,0.0,Organic,Other,Staten Island
324,Animal By-Products,0.02,0.025,0.001,0.0,0.0,Organic,Other,Staten Island
325,Shoes/Rubber/Leather,0.008,0.009,0.002,0.001,0.0,Organic,Textiles,Staten Island
326,Fines,0.025,0.03,0.016,0.001,0.001,Organic,Other,Staten Island
327,Miscellaneous Organics,0.01,0.012,0.002,0.001,0.0,Organic,Other,Staten Island
328,Audio/Visual Equipment-TV Peripherals (Covered),0.001,0.001,0.0,0.0,0.0,E-Waste,E-Waste,Staten Island
329,Audio/Visual Equipment-Other (Non-Covered),0.001,0.0,0.007,0.0,0.0,E-Waste,E-Waste,Staten Island
330,Computer Monitors,0.0,0.0,0.0,0.0,0.0,E-Waste,E-Waste,Staten Island
331,Televisions,0.0,0.0,0.0,0.0,0.0,E-Waste,E-Waste,Staten Island
332,Other Computer Equipment,0.002,0.002,0.004,0.001,0.001,E-Waste,E-Waste,Staten Island
333,Untreated Dimensional Lumber/Pallets/Crates,0.009,0.012,0.0,0.0,0.0,C&D,C&D,Staten Island
334,Treated/Contaminated Wood,0.014,0.017,0.0,0.001,0.0,C&D,C&D,Staten Island
335,Other C&D Debris Not Elsewhere Classified,0.036,0.045,0.002,0.001,0.001,C&D,C&D,Staten Island
336,Oil Filters,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Staten Island
337,Antifreeze,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Staten Island
338,Wet-Cell Batteries,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Staten Island
339,Water-Based Adhesives/Glues,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Staten Island
340,Latex Paint,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Staten Island
341,Oil-Based Paint/Solvent,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Staten Island
342,Pesticides/Herbicides/Rodenticides,0.001,0.001,0.0,0.0,0.0,Special Waste,HHW,Staten Island
343,Dry-Cell Batteries,0.001,0.001,0.0,0.0,0.0,Special Waste,HHW,Staten Island
344,Fluorescent Tubes/CFLs,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Staten Island
345,Mercury-Laden Wastes,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Staten Island
346,Compressed Gas Cylinders/Fire Extinguishers,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Staten Island
347,Home Medical Products,0.001,0.002,0.001,0.0,0.0,Special Waste,HHW,Staten Island
348,Other Potentially Harmful Wastes,0.0,0.0,0.002,0.0,0.0,Special Waste,HHW,Staten Island
349,Miscellaneous Inorganics,0.005,0.005,0.009,0.0,0.0,Miscellaneous Inorganics,Other,Staten Island
350,Newspaper,0.013,0.011,0.003,0.054,0.0,Paper,Designated Paper,Bronx
351,Plain OCC/Kraft Paper,0.046,0.012,0.006,0.524,0.002,Paper,Designated Paper,Bronx
352,High Grade Paper,0.007,0.004,0.0,0.053,0.0,Paper,Designated Paper,Bronx
353,Mixed Low Grade Paper,0.076,0.066,0.016,0.29,0.0,Paper,Designated Paper,Bronx
354,Paper: Compostable/Soiled/Waxed OCC/Kraft,0.07,0.081,0.007,0.013,0.025,Paper,Organics Suitable for Composting,Bronx
355,Other Nonrecyclable Paper,0.009,0.01,0.007,0.007,0.002,Paper,Other,Bronx
356,Paper Beverage Cartons/Aseptic Boxes,0.004,0.003,0.015,0.003,0.0,Paper,Designated MGP,Bronx
357,#1 PET Bottles,0.017,0.013,0.078,0.002,0.0,Plastic,Designated MGP,Bronx
358,#2 HDPE Natural Bottles,0.006,0.003,0.043,0.0,0.0,Plastic,Designated MGP,Bronx
359,#2 HDPE Pigmented Bottles,0.006,0.003,0.038,0.0,0.0,Plastic,Designated MGP,Bronx
360,Other Plastic Bottles,0.001,0.001,0.004,0.0,0.0,Plastic,Designated MGP,Bronx
361,Rigid Plastic Containers/Packaging,0.018,0.015,0.058,0.004,0.001,Plastic,Designated MGP,Bronx
362,#6 EPS Containers/Packaging (including Single Use),0.008,0.01,0.001,0.002,0.001,Plastic,Other,Bronx
363,Film Plastic: Retail Bags/Sleeves,0.023,0.026,0.006,0.004,0.004,Plastic,Plastic Bags,Bronx
364,Film Plastic: Garbage Bags,0.029,0.03,0.029,0.014,0.008,Plastic,Other,Bronx
365,Film Plastic: Food/Drink Pouches,0.0,0.0,0.0,0.0,0.0,Plastic,Other,Bronx
366,Film Plastic: All Other Film,0.025,0.028,0.01,0.004,0.005,Plastic,Other,Bronx
367,Single Use Plastic Plates/Cups/Cutlery (excluding EPS),0.005,0.005,0.009,0.001,0.0,Plastic,Designated MGP,Bronx
368,Appliances: Plastic,0.002,0.002,0.003,0.0,0.0,Plastic,Designated MGP,Bronx
369,Bulk/Rigid Plastic,0.016,0.013,0.06,0.003,0.002,Plastic,Designated MGP,Bronx
370,Other Plastics,0.013,0.012,0.035,0.001,0.001,Plastic,Designated MGP,Bronx
371,Clear Container Glass,0.017,0.01,0.093,0.002,0.0,Glass,Designated MGP,Bronx
372,Green Container Glass,0.004,0.002,0.035,0.0,0.001,Glass,Designated MGP,Bronx
373,Brown Container Glass,0.004,0.003,0.017,0.0,0.0,Glass,Designated MGP,Bronx
374,Other Color Container Glass,0.0,0.0,0.001,0.0,0.0,Glass,Designated MGP,Bronx
375,Mixed Cullet,0.012,0.004,0.107,0.0,0.0,Glass,Designated MGP,Bronx
376,Other Glass,0.003,0.003,0.012,0.0,0.0,Glass,Other,Bronx
377,Aluminum Cans,0.004,0.003,0.008,0.0,0.0,Metal,Designated MGP,Bronx
378,Aluminum Foil/Containers,0.008,0.008,0.016,0.0,0.0,Metal,Designated MGP,Bronx
379,Other Aluminum,0.0,0.0,0.001,0.0,0.0,Metal,Designated MGP,Bronx
380,Other Non-Ferrous,0.004,0.004,0.014,0.0,0.0,Metal,Designated MGP,Bronx
381,Steel/Tin Food Cans,0.011,0.007,0.059,0.001,0.0,Metal,Designated MGP,Bronx
382,Empty Aerosol Cans,0.002,0.001,0.008,0.0,0.0,Metal,Designated MGP,Bronx
383,Other Ferrous,0.008,0.003,0.063,0.001,0.0,Metal,Designated MGP,Bronx
384,Mixed Metals,0.007,0.005,0.027,0.0,0.0,Metal,Designated MGP,Bronx
385,Appliances: Ferrous,0.002,0.001,0.014,0.0,0.0,Metal,Designated MGP,Bronx
386,Appliances: Non-Ferrous,0.0,0.0,0.006,0.0,0.0,Metal,Designated MGP,Bronx
387,Yard Waste,0.035,0.039,0.0,0.0,0.74,Organic,Organics Suitable for Composting,Bronx
388,Food,0.227,0.264,0.033,0.007,0.198,Organic,Organics Suitable for Composting,Bronx
389,Non-C&D Wood,0.002,0.002,0.004,0.001,0.0,Organic,Other,Bronx
390,Textiles: Non-Clothing,0.03,0.035,0.002,0.003,0.002,Organic,Textiles,Bronx
391,Textiles: Clothing,0.048,0.057,0.002,0.001,0.0,Organic,Textiles,Bronx
392,Carpet/Upholstery,0.016,0.019,0.0,0.0,0.0,Organic,Other,Bronx
393,Disposable Diapers/Sanitary Products,0.05,0.059,0.001,0.0,0.004,Organic,Other,Bronx
394,Animal By-Products,0.013,0.015,0.0,0.0,0.001,Organic,Other,Bronx
395,Shoes/Rubber/Leather,0.009,0.011,0.003,0.0,0.0,Organic,Textiles,Bronx
396,Fines,0.023,0.026,0.015,0.001,0.001,Organic,Other,Bronx
397,Miscellaneous Organics,0.004,0.005,0.001,0.0,0.0,Organic,Other,Bronx
398,Audio/Visual Equipment-TV Peripherals (Covered),0.0,0.0,0.0,0.0,0.0,E-Waste,E-Waste,Bronx
399,Audio/Visual Equipment-Other (Non-Covered),0.001,0.001,0.004,0.0,0.0,E-Waste,E-Waste,Bronx
400,Computer Monitors,0.002,0.002,0.0,0.0,0.0,E-Waste,E-Waste,Bronx
401,Televisions,0.001,0.001,0.0,0.0,0.0,E-Waste,E-Waste,Bronx
402,Other Computer Equipment,0.001,0.001,0.003,0.0,0.0,E-Waste,E-Waste,Bronx
403,Untreated Dimensional Lumber/Pallets/Crates,0.0,0.0,0.0,0.0,0.0,C&D,C&D,Bronx
404,Treated/Contaminated Wood,0.026,0.03,0.006,0.0,0.0,C&D,C&D,Bronx
405,Other C&D Debris Not Elsewhere Classified,0.017,0.019,0.005,0.0,0.0,C&D,C&D,Bronx
406,Oil Filters,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Bronx
407,Antifreeze,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Bronx
408,Wet-Cell Batteries,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Bronx
409,Water-Based Adhesives/Glues,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Bronx
410,Latex Paint,0.001,0.001,0.001,0.0,0.0,Special Waste,HHW,Bronx
411,Oil-Based Paint/Solvent,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Bronx
412,Pesticides/Herbicides/Rodenticides,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Bronx
413,Dry-Cell Batteries,0.001,0.001,0.001,0.0,0.0,Special Waste,HHW,Bronx
414,Fluorescent Tubes/CFLs,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Bronx
415,Mercury-Laden Wastes,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Bronx
416,Compressed Gas Cylinders/Fire Extinguishers,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Bronx
417,Home Medical Products,0.002,0.002,0.0,0.0,0.0,Special Waste,HHW,Bronx
418,Other Potentially Harmful Wastes,0.001,0.001,0.003,0.0,0.0,Special Waste,HHW,Bronx
419,Miscellaneous Inorganics,0.006,0.007,0.008,0.0,0.001,Miscellaneous Inorganics,Other,Bronx
420,Newspaper,0.003,0.002,0.001,0.01,,Paper,Designated Paper,Schools
421,Plain OCC/Kraft Paper,0.1,0.018,0.017,0.685,,Paper,Designated Paper,Schools
422,High Grade Paper,0.036,0.036,0.001,0.049,,Paper,Designated Paper,Schools
423,Mixed Low Grade Paper,0.073,0.073,0.015,0.085,,Paper,Designated Paper,Schools
424,Paper: Compostable/Soiled/Waxed OCC/Kraft,0.204,0.231,0.035,0.05,,Paper,Organics Suitable for Composting,Schools
425,Other Nonrecyclable Paper,0.011,0.009,0.004,0.023,,Paper,Other,Schools
426,Paper Beverage Cartons/Aseptic Boxes,0.023,0.024,0.105,0.001,,Paper,Designated MGP,Schools
427,#1 PET Bottles,0.014,0.015,0.023,0.003,,Plastic,Designated MGP,Schools
428,#2 HDPE Natural Bottles,0.002,0.002,0.009,0.0,,Plastic,Designated MGP,Schools
429,#2 HDPE Pigmented Bottles,0.001,0.001,0.007,0.0,,Plastic,Designated MGP,Schools
430,Other Plastic Bottles,0.0,0.0,0.001,0.0,,Plastic,Designated MGP,Schools
431,Rigid Plastic Containers/Packaging,0.022,0.024,0.038,0.005,,Plastic,Designated MGP,Schools
432,#6 EPS Containers/Packaging (including Single Use),0.004,0.004,0.0,0.002,,Plastic,Other,Schools
433,Film Plastic: Retail Bags/Sleeves,0.006,0.006,0.002,0.002,,Plastic,Plastic Bags,Schools
434,Film Plastic: Garbage Bags,0.047,0.05,0.065,0.023,,Plastic,Other,Schools
435,Film Plastic: Food/Drink Pouches,0.002,0.002,0.003,0.0,,Plastic,Other,Schools
436,Film Plastic: All Other Film,0.024,0.027,0.023,0.004,,Plastic,Other,Schools
437,Single Use Plastic Plates/Cups/Cutlery (excluding EPS),0.012,0.014,0.011,0.002,,Plastic,Designated MGP,Schools
438,Appliances: Plastic,0.0,0.0,0.007,0.0,,Plastic,Designated MGP,Schools
439,Bulk/Rigid Plastic,0.004,0.003,0.03,0.007,,Plastic,Designated MGP,Schools
440,Other Plastics,0.005,0.005,0.009,0.002,,Plastic,Designated MGP,Schools
441,Clear Container Glass,0.006,0.007,0.013,0.002,,Glass,Designated MGP,Schools
442,Green Container Glass,0.001,0.001,0.001,0.0,,Glass,Designated MGP,Schools
443,Brown Container Glass,0.0,0.0,0.001,0.0,,Glass,Designated MGP,Schools
444,Other Color Container Glass,0.0,0.0,0.0,0.0,,Glass,Designated MGP,Schools
445,Mixed Cullet,0.0,0.0,0.001,0.0,,Glass,Designated MGP,Schools
446,Other Glass,0.0,0.0,0.0,0.0,,Glass,Other,Schools
447,Aluminum Cans,0.002,0.002,0.001,0.0,,Metal,Designated MGP,Schools
448,Aluminum Foil/Containers,0.009,0.01,0.018,0.001,,Metal,Designated MGP,Schools
449,Other Aluminum,0.003,0.004,0.0,0.0,,Metal,Designated MGP,Schools
450,Other Non-Ferrous,0.001,0.001,0.002,0.002,,Metal,Designated MGP,Schools
451,Steel/Tin Food Cans,0.014,0.011,0.175,0.0,,Metal,Designated MGP,Schools
452,Empty Aerosol Cans,0.0,0.0,0.0,0.0,,Metal,Designated MGP,Schools
453,Other Ferrous,0.012,0.011,0.062,0.005,,Metal,Designated MGP,Schools
454,Mixed Metals,0.002,0.001,0.051,0.001,,Metal,Designated MGP,Schools
455,Appliances: Ferrous,0.001,0.0,0.029,0.0,,Metal,Designated MGP,Schools
456,Appliances: Non-Ferrous,0.0,0.001,0.0,0.0,,Metal,Designated MGP,Schools
457,Yard Waste,0.019,0.022,0.0,0.0,,Organic,Organics Suitable for Composting,Schools
458,Food,0.291,0.332,0.197,0.029,,Organic,Organics Suitable for Composting,Schools
459,Non-C&D Wood,0.001,0.001,0.0,0.002,,Organic,Other,Schools
460,Textiles: Non-Clothing,0.004,0.005,0.005,0.001,,Organic,Textiles,Schools
461,Textiles: Clothing,0.002,0.002,0.0,0.0,,Organic,Textiles,Schools
462,Carpet/Upholstery,0.001,0.001,0.0,0.0,,Organic,Other,Schools
463,Disposable Diapers/Sanitary Products,0.006,0.007,0.0,0.0,,Organic,Other,Schools
464,Animal By-Products,0.0,0.0,0.0,0.0,,Organic,Other,Schools
465,Shoes/Rubber/Leather,0.002,0.002,0.001,0.0,,Organic,Textiles,Schools
466,Fines,0.019,0.022,0.005,0.003,,Organic,Other,Schools
467,Miscellaneous Organics,0.002,0.002,0.002,0.0,,Organic,Other,Schools
468,Audio/Visual Equipment-TV Peripherals (Covered),0.0,0.0,0.0,0.0,,E-Waste,E-Waste,Schools
469,Audio/Visual Equipment-Other (Non-Covered),0.0,0.0,0.0,0.0,,E-Waste,E-Waste,Schools
470,Computer Monitors,0.0,0.0,0.0,0.0,,E-Waste,E-Waste,Schools
471,Televisions,0.0,0.0,0.0,0.0,,E-Waste,E-Waste,Schools
472,Other Computer Equipment,0.0,0.0,0.006,0.0,,E-Waste,E-Waste,Schools
473,Untreated Dimensional Lumber/Pallets/Crates,0.001,0.001,0.0,0.0,,C&D,C&D,Schools
474,Treated/Contaminated Wood,0.003,0.003,0.006,0.0,,C&D,C&D,Schools
475,Other C&D Debris Not Elsewhere Classified,0.001,0.001,0.007,0.002,,C&D,C&D,Schools
476,Oil Filters,0.0,0.0,0.0,0.0,,Special Waste,HHW,Schools
477,Antifreeze,0.0,0.0,0.0,0.0,,Special Waste,HHW,Schools
478,Wet-Cell Batteries,0.0,0.0,0.0,0.0,,Special Waste,HHW,Schools
479,Water-Based Adhesives/Glues,0.0,0.0,0.0,0.0,,Special Waste,HHW,Schools
480,Latex Paint,0.0,0.0,0.0,0.0,,Special Waste,HHW,Schools
481,Oil-Based Paint/Solvent,0.0,0.0,0.0,0.0,,Special Waste,HHW,Schools
482,Pesticides/Herbicides/Rodenticides,0.0,0.0,0.0,0.0,,Special Waste,HHW,Schools
483,Dry-Cell Batteries,0.0,0.0,0.0,0.0,,Special Waste,HHW,Schools
484,Fluorescent Tubes/CFLs,0.0,0.0,0.0,0.0,,Special Waste,HHW,Schools
485,Mercury-Laden Wastes,0.0,0.0,0.0,0.0,,Special Waste,HHW,Schools
486,Compressed Gas Cylinders/Fire Extinguishers,0.0,0.0,0.0,0.0,,Special Waste,HHW,Schools
487,Home Medical Products,0.0,0.0,0.0,0.0,,Special Waste,HHW,Schools
488,Other Potentially Harmful Wastes,0.0,0.0,0.0,0.0,,Special Waste,HHW,Schools
489,Miscellaneous Inorganics,0.002,0.002,0.011,0.001,,Miscellaneous Inorganics,Other,Schools
490,Newspaper,0.024,0.024,,,,Paper,Designated Paper,NYCHA
491,Plain OCC/Kraft Paper,0.018,0.018,,,,Paper,Designated Paper,NYCHA
492,High Grade Paper,0.009,0.009,,,,Paper,Designated Paper,NYCHA
493,Mixed Low Grade Paper,0.091,0.091,,,,Paper,Designated Paper,NYCHA
494,Paper: Compostable/Soiled/Waxed OCC/Kraft,0.07,0.07,,,,Paper,Organics Suitable for Composting,NYCHA
495,Other Nonrecyclable Paper,0.017,0.017,,,,Paper,Other,NYCHA
496,Paper Beverage Cartons/Aseptic Boxes,0.005,0.005,,,,Paper,Designated MGP,NYCHA
497,#1 PET Bottles,0.023,0.023,,,,Plastic,Designated MGP,NYCHA
498,#2 HDPE Natural Bottles,0.007,0.007,,,,Plastic,Designated MGP,NYCHA
499,#2 HDPE Pigmented Bottles,0.007,0.007,,,,Plastic,Designated MGP,NYCHA
500,Other Plastic Bottles,0.001,0.001,,,,Plastic,Designated MGP,NYCHA
501,Rigid Plastic Containers/Packaging,0.016,0.016,,,,Plastic,Designated MGP,NYCHA
502,#6 EPS Containers/Packaging (including Single Use),0.009,0.009,,,,Plastic,Other,NYCHA
503,Film Plastic: Retail Bags/Sleeves,0.027,0.027,,,,Plastic,Plastic Bags,NYCHA
504,Film Plastic: Garbage Bags,0.023,0.023,,,,Plastic,Other,NYCHA
505,Film Plastic: Food/Drink Pouches,0.0,0.0,,,,Plastic,Other,NYCHA
506,Film Plastic: All Other Film,0.025,0.025,,,,Plastic,Other,NYCHA
507,Single Use Plastic Plates/Cups/Cutlery (excluding EPS),0.004,0.004,,,,Plastic,Designated MGP,NYCHA
508,Appliances: Plastic,0.003,0.003,,,,Plastic,Designated MGP,NYCHA
509,Bulk/Rigid Plastic,0.006,0.006,,,,Plastic,Designated MGP,NYCHA
510,Other Plastics,0.016,0.016,,,,Plastic,Designated MGP,NYCHA
511,Clear Container Glass,0.027,0.027,,,,Glass,Designated MGP,NYCHA
512,Green Container Glass,0.004,0.004,,,,Glass,Designated MGP,NYCHA
513,Brown Container Glass,0.004,0.004,,,,Glass,Designated MGP,NYCHA
514,Other Color Container Glass,0.001,0.001,,,,Glass,Designated MGP,NYCHA
515,Mixed Cullet,0.005,0.005,,,,Glass,Designated MGP,NYCHA
516,Other Glass,0.004,0.004,,,,Glass,Other,NYCHA
517,Aluminum Cans,0.006,0.006,,,,Metal,Designated MGP,NYCHA
518,Aluminum Foil/Containers,0.008,0.008,,,,Metal,Designated MGP,NYCHA
519,Other Aluminum,0.001,0.001,,,,Metal,Designated MGP,NYCHA
520,Other Non-Ferrous,0.004,0.004,,,,Metal,Designated MGP,NYCHA
521,Steel/Tin Food Cans,0.013,0.013,,,,Metal,Designated MGP,NYCHA
522,Empty Aerosol Cans,0.002,0.002,,,,Metal,Designated MGP,NYCHA
523,Other Ferrous,0.008,0.008,,,,Metal,Designated MGP,NYCHA
524,Mixed Metals,0.006,0.006,,,,Metal,Designated MGP,NYCHA
525,Appliances: Ferrous,0.007,0.007,,,,Metal,Designated MGP,NYCHA
526,Appliances: Non-Ferrous,0.005,0.005,,,,Metal,Designated MGP,NYCHA
527,Yard Waste,0.024,0.024,,,,Organic,Organics Suitable for Composting,NYCHA
528,Food,0.226,0.226,,,,Organic,Organics Suitable for Composting,NYCHA
529,Non-C&D Wood,0.005,0.005,,,,Organic,Other,NYCHA
530,Textiles: Non-Clothing,0.027,0.027,,,,Organic,Textiles,NYCHA
531,Textiles: Clothing,0.039,0.039,,,,Organic,Textiles,NYCHA
532,Carpet/Upholstery,0.002,0.002,,,,Organic,Other,NYCHA
533,Disposable Diapers/Sanitary Products,0.07,0.07,,,,Organic,Other,NYCHA
534,Animal By-Products,0.013,0.013,,,,Organic,Other,NYCHA
535,Shoes/Rubber/Leather,0.011,0.011,,,,Organic,Textiles,NYCHA
536,Fines,0.035,0.035,,,,Organic,Other,NYCHA
537,Miscellaneous Organics,0.005,0.005,,,,Organic,Other,NYCHA
538,Audio/Visual Equipment-TV Peripherals (Covered),0.0,0.0,,,,E-Waste,E-Waste,NYCHA
539,Audio/Visual Equipment-Other (Non-Covered),0.002,0.002,,,,E-Waste,E-Waste,NYCHA
540,Computer Monitors,0.003,0.003,,,,E-Waste,E-Waste,NYCHA
541,Televisions,0.0,0.0,,,,E-Waste,E-Waste,NYCHA
542,Other Computer Equipment,0.002,0.002,,,,E-Waste,E-Waste,NYCHA
543,Untreated Dimensional Lumber/Pallets/Crates,0.001,0.001,,,,C&D,C&D,NYCHA
544,Treated/Contaminated Wood,0.01,0.01,,,,C&D,C&D,NYCHA
545,Other C&D Debris Not Elsewhere Classified,0.009,0.009,,,,C&D,C&D,NYCHA
546,Oil Filters,0.0,0.0,,,,Special Waste,HHW,NYCHA
547,Antifreeze,0.0,0.0,,,,Special Waste,HHW,NYCHA
548,Wet-Cell Batteries,0.0,0.0,,,,Special Waste,HHW,NYCHA
549,Water-Based Adhesives/Glues,0.0,0.0,,,,Special Waste,HHW,NYCHA
550,Latex Paint,0.0,0.0,,,,Special Waste,HHW,NYCHA
551,Oil-Based Paint/Solvent,0.0,0.0,,,,Special Waste,HHW,NYCHA
552,Pesticides/Herbicides/Rodenticides,0.0,0.0,,,,Special Waste,HHW,NYCHA
553,Dry-Cell Batteries,0.001,0.001,,,,Special Waste,HHW,NYCHA
554,Fluorescent Tubes/CFLs,0.0,0.0,,,,Special Waste,HHW,NYCHA
555,Mercury-Laden Wastes,0.0,0.0,,,,Special Waste,HHW,NYCHA
556,Compressed Gas Cylinders/Fire Extinguishers,0.0,0.0,,,,Special Waste,HHW,NYCHA
557,Home Medical Products,0.003,0.003,,,,Special Waste,HHW,NYCHA
558,Other Potentially Harmful Wastes,0.001,0.001,,,,Special Waste,HHW,NYCHA
559,Miscellaneous Inorganics,0.004,0.004,,,,Miscellaneous Inorganics,Other,NYCHA
