,providertype,dfta_id,contractyear,sponsorname,programname,lineitem,lineitemname,reportedmonth,reportedamount
132,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,10,Printing/Supplies,Oct 2019,27.25
133,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,83,Rent Usage Charges,Oct 2019,0.0
134,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,12,Catered Food/Disposables,Sep 2019,0.0
135,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,9,Communications,Oct 2019,325.38
136,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,18,Other Expenses,Oct 2019,244.86
137,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,11,Raw Food/Disposables,Oct 2019,0.0
138,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,14,Program Insurance,Oct 2019,1323.55
139,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,3,Personnel,Sep 2019,25106.17
140,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,8,Other Occupancy,Oct 2019,0.0
141,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,5,Vehicles,Jul 2019,0.0
142,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,4,Consultants,Oct 2019,0.0
143,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,14,Program Insurance,Sep 2019,0.0
144,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,81,Rent,Aug 2019,0.0
145,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,9,Communications,Jul 2019,0.0
146,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,12,Catered Food/Disposables,Sep 2019,0.0
147,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,11,Raw Food/Disposables,Oct 2019,0.0
148,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,4,Consultants,Jul 2019,0.0
149,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,10,Printing/Supplies,Jul 2019,0.0
150,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,18,Other Expenses,Sep 2019,60.27
151,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,11,Raw Food/Disposables,Sep 2019,0.0
152,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,9,Communications,Oct 2019,119.54
153,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,11,Raw Food/Disposables,Aug 2019,0.0
154,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,18,Other Expenses,Sep 2019,0.0
155,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,6,Equipment Rental,Oct 2019,0.0
156,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,81,Rent,Sep 2019,625.0
157,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,14,Program Insurance,Jul 2019,0.0
158,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,3,Personnel,Jul 2019,9242.24
159,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,11,Raw Food/Disposables,Oct 2019,0.0
160,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,11,Raw Food/Disposables,Jul 2019,0.0
161,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,83,Rent Usage Charges,Jul 2019,0.0
162,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,8,Other Occupancy,Oct 2019,235.58
163,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,82,Utilities,Oct 2019,311.69
164,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,9,Communications,Sep 2019,0.0
165,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,10,Printing/Supplies,Oct 2019,703.28
166,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,8,Other Occupancy,Oct 2019,0.0
167,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,9,Communications,Oct 2019,289.05
168,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,12,Catered Food/Disposables,Jul 2019,0.0
169,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,8,Other Occupancy,Sep 2019,0.0
170,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,12,Catered Food/Disposables,Oct 2019,0.0
171,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,18,Other Expenses,Jul 2019,0.0
172,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,7,Travel,Sep 2019,38.5
173,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,4,Consultants,Aug 2019,0.0
174,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,9,Communications,Sep 2019,360.66
175,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,81,Rent,Oct 2019,584.16
176,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,3,Personnel,Oct 2019,14480.94
177,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,14,Program Insurance,Aug 2019,0.0
178,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,10,Printing/Supplies,Aug 2019,0.0
179,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,12,Catered Food/Disposables,Aug 2019,0.0
180,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,81,Rent,Jul 2019,0.0
181,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,5,Vehicles,Sep 2019,0.0
182,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,6,Equipment Rental,Aug 2019,0.0
183,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,10,Printing/Supplies,Sep 2019,0.0
184,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,7,Travel,Sep 2019,0.0
185,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,81,Rent,Sep 2019,0.0
186,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,5,Vehicles,Oct 2019,0.0
187,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,12,Catered Food/Disposables,Oct 2019,0.0
188,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,82,Utilities,Oct 2019,0.0
189,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,10,Printing/Supplies,Oct 2019,296.66
190,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,81,Rent,Oct 2019,0.0
191,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,82,Utilities,Aug 2019,0.0
192,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,4,Consultants,Sep 2019,0.0
193,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,6,Equipment Rental,Oct 2019,0.0
194,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,18,Other Expenses,Aug 2019,0.0
195,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,18,Other Expenses,Oct 2019,472.79
196,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,9,Communications,Aug 2019,0.0
197,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,82,Utilities,Sep 2019,0.0
198,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,83,Rent Usage Charges,Sep 2019,0.0
199,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,5,Vehicles,Aug 2019,0.0
200,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,82,Utilities,Jul 2019,0.0
201,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,83,Rent Usage Charges,Aug 2019,0.0
202,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,7,Travel,Oct 2019,0.0
203,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,6,Equipment Rental,Sep 2019,0.0
204,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,8,Other Occupancy,Aug 2019,0.0
205,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,8,Other Occupancy,Jul 2019,0.0
206,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,6,Equipment Rental,Sep 2019,0.0
207,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,7,Travel,Oct 2019,12.75
208,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,82,Utilities,Oct 2019,0.0
209,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,83,Rent Usage Charges,Oct 2019,0.0
210,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,10,Printing/Supplies,Sep 2019,146.54
211,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,82,Utilities,Jul 2019,0.0
212,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,18,Other Expenses,Jul 2019,326.0
213,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,12,Catered Food/Disposables,Jul 2019,0.0
214,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,8,Other Occupancy,Jul 2019,0.0
215,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,10,Printing/Supplies,Jul 2019,249.89
216,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,81,Rent,Jul 2019,0.0
217,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,83,Rent Usage Charges,Jul 2019,0.0
218,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,6,Equipment Rental,Jul 2019,0.0
219,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,4,Consultants,Jul 2019,0.0
220,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,9,Communications,Jul 2019,0.0
221,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,11,Raw Food/Disposables,Jul 2019,0.0
222,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,14,Program Insurance,Jul 2019,0.0
223,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,5,Vehicles,Jul 2019,0.0
224,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,7,Travel,Jul 2019,0.0
