,school_year,school_dbn,community_school_district,city_council_district,school_name,of_students_in_grades_9_12,of_students_in_grades_9_12_1,_,of_15_16_june_and_august,of_15_16_june_and_august_1,__1
273,2015-16,14K454,14.0,34.0,Green School: An Academy for Environmental Careers,238,73,30.70%,41,41,100.00%
274,2015-16,14K474,14.0,34.0,PROGRESS High School for Professional Careers,930,482,51.80%,219,219,100.00%
275,2015-16,14K477,14.0,34.0,School for Legal Studies,471,158,33.60%,113,113,100.00%
276,2015-16,14K478,14.0,34.0,"The High School for Enterprise, Business and Technology",895,765,85.50%,202,202,100.00%
277,2015-16,14K488,14.0,33.0,Brooklyn Preparatory High School,499,493,98.80%,101,101,100.00%
278,2015-16,14K558,14.0,33.0,Williamsburg High School for Architecture and Design,557,413,74.20%,129,129,100.00%
279,2015-16,14K561,14.0,33.0,Williamsburg Preparatory School,661,619,93.70%,151,151,100.00%
280,2015-16,14K586,14.0,34.0,Lyons Community School,334,84,25.20%,60,60,100.00%
281,2015-16,14K610,14.0,33.0,Automotive High School,350,315,90.00%,67,67,100.00%
282,2015-16,14K614,14.0,34.0,Young Women's Leadership School of Brooklyn,239,233,97.50%,63,63,100.00%
283,2015-16,14K632,14.0,33.0,Frances Perkins Academy,103,95,92.20%,18,18,100.00%
284,2015-16,14K685,14.0,33.0,El Puente Academy for Peace and Justice,239,173,72.40%,54,52,96.30%
285,2015-16,15K423,15.0,33.0,Brooklyn Frontiers High School,143,73,51.10%,s,s,s
286,2015-16,15K429,15.0,33.0,Digital Arts and Cinema Technology High School,156,50,32.00%,35,35,100.00%
287,2015-16,15K448,15.0,39.0,Brooklyn Secondary School for Collaborative Studies,400,359,89.70%,89,72,80.90%
288,2015-16,15K462,15.0,39.0,John Jay School for Law,345,282,81.70%,54,54,100.00%
289,2015-16,15K463,15.0,39.0,Secondary School for Journalism,220,65,29.60%,36,36,100.00%
290,2015-16,15K464,15.0,39.0,Park Slope Collegiate,355,328,92.40%,70,70,100.00%
291,2015-16,15K497,15.0,33.0,The Boerum Hill School for International Studies,291,279,95.90%,44,44,100.00%
292,2015-16,15K519,15.0,33.0,Cobble Hill School of American Studies,564,210,37.20%,108,108,100.00%
293,2015-16,15K529,15.0,39.0,West Brooklyn Community High School,168,133,79.20%,26,26,100.00%
294,2015-16,15K592,15.0,33.0,Khalil Gibran International Academy,237,169,71.30%,37,37,100.00%
295,2015-16,15K656,15.0,33.0,Brooklyn High School of the Arts,880,728,82.70%,205,205,100.00%
296,2015-16,15K667,15.0,38.0,Sunset Park High School,"1,258",584,46.40%,241,241,100.00%
297,2015-16,15K684,15.0,39.0,Millennium Brooklyn HS,623,130,20.90%,120,120,100.00%
298,2015-16,15K698,15.0,38.0,South Brooklyn Community High School,162,137,84.60%,s,s,s
299,2015-16,16K393,16.0,36.0,Frederick Douglass Academy IV Secondary School,70,64,91.40%,15,15,100.00%
300,2015-16,16K455,16.0,36.0,Boys and Girls High School,328,194,59.10%,88,87,98.90%
301,2015-16,16K498,16.0,41.0,Brooklyn High School for Law and Technology,634,283,44.60%,111,111,100.00%
302,2015-16,16K594,16.0,41.0,Gotham Professional Arts Academy,179,122,68.20%,25,25,100.00%
303,2015-16,16K669,16.0,36.0,Research and Service High School,200,150,75.00%,s,s,s
304,2015-16,16K688,16.0,36.0,The Brooklyn Academy of Global Finance,127,79,62.20%,33,33,100.00%
305,2015-16,16K765,16.0,36.0,Nelson Mandela High School,205,114,55.60%,s,s,s
306,2015-16,17K122,17.0,36.0,Pathways in Technology Early College High School (P-Tech),518,291,56.20%,57,57,100.00%
307,2015-16,17K382,17.0,40.0,Academy for College Preparation and Career Exploration: A College Board School,286,198,69.20%,62,62,100.00%
308,2015-16,17K408,17.0,40.0,Academy of Hospitality and Tourism,208,184,88.50%,s,s,s
309,2015-16,17K489,17.0,35.0,W.E.B. Dubois Academic High School,100,78,78.00%,s,s,s
310,2015-16,17K524,17.0,35.0,International High School at Prospect Heights,381,273,71.60%,61,61,100.00%
311,2015-16,17K528,17.0,35.0,The High School for Global Citizenship,224,207,92.40%,42,42,100.00%
312,2015-16,17K531,17.0,40.0,"School for Human Rights, The",296,s,s,66,66,100.00%
313,2015-16,17K533,17.0,40.0,School for Democracy and Leadership,231,149,64.50%,48,48,100.00%
314,2015-16,17K537,17.0,40.0,High School for Youth and Community Development at Erasmus,395,327,82.80%,71,71,100.00%
315,2015-16,17K539,17.0,40.0,High School for Service & Learning at Erasmus,409,250,61.10%,85,85,100.00%
316,2015-16,17K543,17.0,40.0,"Science, Technology and Research Early College High School at Erasmus",333,327,98.20%,74,74,100.00%
317,2015-16,17K546,17.0,40.0,High School for Public Service: Heroes of Tomorrow,459,319,69.50%,99,99,100.00%
318,2015-16,17K547,17.0,35.0,Brooklyn Academy of Science and the Environment,426,228,53.50%,118,118,100.00%
319,2015-16,17K548,17.0,35.0,Brooklyn School for Music & Theatre,341,83,24.30%,72,72,100.00%
320,2015-16,17K568,17.0,41.0,Brownsville Academy High School,162,138,85.20%,29,29,100.00%
321,2015-16,17K590,17.0,35.0,Medgar Evers College Preparatory School,930,362,38.90%,223,222,99.60%
322,2015-16,17K600,17.0,35.0,Clara Barton High School,"1,264",784,62.00%,258,258,100.00%
323,2015-16,17K745,17.0,40.0,Brooklyn Institute for Liberal Arts,351,328,93.40%,91,91,100.00%
324,2015-16,17K751,17.0,36.0,Academy for Health Careers,363,263,72.50%,57,57,100.00%
325,2015-16,18K563,18.0,45.0,It Takes a Village Academy,637,436,68.40%,118,118,100.00%
326,2015-16,18K566,18.0,46.0,Brooklyn Generation School,216,137,63.40%,49,49,100.00%
327,2015-16,18K567,18.0,46.0,Brooklyn Theatre Arts High School,355,317,89.30%,47,47,100.00%
328,2015-16,18K569,18.0,45.0,Kurt Hahn Expeditionary Learning School,353,235,66.60%,54,54,100.00%
329,2015-16,18K576,18.0,46.0,Victory Collegiate High School,326,309,94.80%,68,68,100.00%
330,2015-16,18K578,18.0,46.0,Brooklyn Bridge Academy,204,177,86.80%,41,41,100.00%
331,2015-16,18K589,18.0,41.0,Arts & Media Preparatory Academy,221,197,89.10%,41,41,100.00%
332,2015-16,18K617,18.0,46.0,High School for Innovation in Advertising and Media,289,182,63.00%,59,59,100.00%
333,2015-16,18K629,18.0,45.0,Cultural Academy for the Arts and Sciences,354,106,29.90%,48,48,100.00%
334,2015-16,18K633,18.0,46.0,High School for Medical Professions,429,346,80.70%,97,97,100.00%
335,2015-16,18K635,18.0,46.0,Olympus Academy,197,142,72.10%,s,s,s
336,2015-16,18K637,18.0,46.0,Academy for Conservation and the Environment,293,s,s,67,67,100.00%
337,2015-16,18K642,18.0,46.0,Urban Action Academy,299,192,64.20%,49,49,100.00%
338,2015-16,18K673,18.0,41.0,East Brooklyn Community High School,171,137,80.10%,44,44,100.00%
339,2015-16,19K404,19.0,42.0,Academy for Young Writers,360,355,98.60%,64,64,100.00%
340,2015-16,19K409,19.0,42.0,East New York Family Academy,267,260,97.40%,56,56,100.00%
341,2015-16,19K422,19.0,46.0,Spring Creek Community School,83,s,s,s,s,s
342,2015-16,19K502,19.0,42.0,FDNY - Captain Vernon A. Richards High School for Fire and Life Safety,303,129,42.60%,47,47,100.00%
343,2015-16,19K504,19.0,42.0,High School for Civil Rights,271,182,67.20%,46,46,100.00%
344,2015-16,19K507,19.0,42.0,Performing Arts and Technology High School,421,241,57.20%,86,86,100.00%
345,2015-16,19K510,19.0,42.0,World Academy for Total Community Health High School,238,189,79.40%,57,57,100.00%
346,2015-16,19K583,19.0,37.0,Multicultural High School,201,100,49.80%,s,s,s
347,2015-16,19K615,19.0,37.0,Transit Tech Career and Technical Education High School,941,924,98.20%,213,213,100.00%
348,2015-16,19K618,19.0,37.0,Academy of Innovative Technology,385,91,23.60%,67,67,100.00%
349,2015-16,19K639,19.0,37.0,Brooklyn Lab School,316,175,55.40%,58,58,100.00%
350,2015-16,19K659,19.0,37.0,Cypress Hills Collegiate Preparatory School,215,203,94.40%,70,70,100.00%
351,2015-16,19K660,19.0,37.0,W. H. Maxwell Career and Technical Education High School,461,324,70.30%,75,75,100.00%
352,2015-16,19K683,19.0,42.0,"The School for Classics: An Academy of Thinkers, Writers and Performers",300,243,81.00%,47,47,100.00%
353,2015-16,19K764,19.0,37.0,The Urban Assembly School for Collaborative Healthcare,157,s,s,s,s,s
354,2015-16,20K445,20.0,43.0,New Utrecht High School,"3,518","1,924",54.70%,566,566,100.00%
355,2015-16,20K485,20.0,43.0,High School of Telecommunication Arts and Technology,"1,249",958,76.70%,262,262,100.00%
356,2015-16,20K490,20.0,43.0,Fort Hamilton High School,"4,326","1,313",30.30%,880,880,100.00%
357,2015-16,20K505,20.0,44.0,Franklin Delano Roosevelt High School,"3,159","1,825",57.80%,562,561,99.80%
358,2015-16,20K609,20.0,44.0,Urban Assembly School for Criminal Justice,323,312,96.60%,57,57,100.00%
359,2015-16,21K337,21.0,47.0,International High School at Lafayette,348,227,65.20%,57,57,100.00%
360,2015-16,21K344,21.0,47.0,Rachel Carson High School for Coastal Studies,536,445,83.00%,113,113,100.00%
361,2015-16,21K348,21.0,47.0,High School of Sports Management,252,82,32.50%,47,47,100.00%
362,2015-16,21K410,21.0,47.0,Abraham Lincoln High School,"2,070","1,244",60.10%,352,352,100.00%
363,2015-16,21K468,21.0,47.0,Kingsborough Early College School,347,306,88.20%,79,79,100.00%
364,2015-16,21K525,21.0,44.0,Edward R. Murrow High School,"3,771","2,749",72.90%,774,774,100.00%
365,2015-16,21K540,21.0,47.0,John Dewey High School,"2,109","1,338",63.40%,351,350,99.70%
366,2015-16,21K559,21.0,47.0,Life Academy High School for Film and Music,267,114,42.70%,s,s,s
367,2015-16,21K572,21.0,47.0,Expeditionary Learning School for Community Leaders,283,280,98.90%,62,62,100.00%
368,2015-16,21K620,21.0,48.0,William E. Grady Career and Technical Education High School,498,95,19.10%,52,52,100.00%
369,2015-16,21K690,21.0,47.0,Brooklyn Studio Secondary School,660,610,92.40%,138,138,100.00%
370,2015-16,21K728,21.0,47.0,Liberation Diploma Plus,173,149,86.10%,46,46,100.00%
371,2015-16,22K405,22.0,45.0,Midwood High School,"3,922","3,395",86.60%,983,983,100.00%
372,2015-16,22K425,22.0,48.0,James Madison High School,"3,173","1,915",60.40%,630,630,100.00%
373,2015-16,22K495,22.0,48.0,Sheepshead Bay High School,117,110,94.00%,74,73,98.70%
374,2015-16,22K535,22.0,48.0,Leon M. Goldstein High School for the Sciences,"1,034",463,44.80%,252,252,100.00%
375,2015-16,22K555,22.0,39.0,Brooklyn College Academy,590,347,58.80%,142,139,97.90%
376,2015-16,22K611,22.0,48.0,Origins High School,327,96,29.40%,s,s,s
377,2015-16,22K630,22.0,48.0,Professional Pathways High School,185,130,70.30%,s,s,s
378,2015-16,23K493,23.0,41.0,Brooklyn Collegiate: A College Board School,323,276,85.40%,71,71,100.00%
379,2015-16,23K514,23.0,41.0,Frederick Douglass Academy VII High School,229,78,34.10%,48,48,100.00%
380,2015-16,23K643,23.0,42.0,Brooklyn Democracy Academy,157,151,96.20%,s,s,s
381,2015-16,23K644,23.0,41.0,Eagle Academy for Young Men II,333,324,97.30%,64,64,100.00%
382,2015-16,23K646,23.0,37.0,Aspirations Diploma Plus High School,199,185,93.00%,49,49,100.00%
383,2015-16,23K647,23.0,42.0,Metropolitan Diploma Plus High School,157,s,s,44,43,97.70%
384,2015-16,23K697,23.0,41.0,Teachers Preparatory High School,276,218,79.00%,61,61,100.00%
385,2015-16,24Q236,24.0,25.0,International High School for Health Sciences,228,s,s,s,s,s
386,2015-16,24Q264,24.0,26.0,Academy of Finance and Enterprise,522,354,67.80%,117,117,100.00%
387,2015-16,24Q267,24.0,26.0,High School of Applied Communication,398,284,71.40%,92,92,100.00%
388,2015-16,24Q293,24.0,25.0,Civic Leadership Academy,468,400,85.50%,101,101,100.00%
389,2015-16,24Q296,24.0,25.0,Pan American International High School,432,161,37.30%,68,68,100.00%
390,2015-16,24Q299,24.0,26.0,Bard High School Early College Queens,596,593,99.50%,152,152,100.00%
391,2015-16,24Q455,24.0,25.0,Newtown High School,"1,873",543,29.00%,337,337,100.00%
392,2015-16,24Q485,24.0,30.0,Grover Cleveland High School,"1,649",436,26.40%,262,262,100.00%
393,2015-16,24Q520,24.0,26.0,Middle College High School at LaGuardia Community College,492,481,97.80%,90,89,98.90%
394,2015-16,24Q530,24.0,26.0,International High School at LaGuardia Community College,490,378,77.10%,91,91,100.00%
395,2015-16,24Q550,24.0,21.0,High School for Arts and Business,803,388,48.30%,199,199,100.00%
396,2015-16,24Q560,24.0,26.0,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",501,495,98.80%,122,122,100.00%
397,2015-16,24Q585,24.0,30.0,Maspeth High School,s,s,s,s,s,s
398,2015-16,24Q600,24.0,26.0,Queens Vocational and Technical High School,"1,521",986,64.80%,369,369,100.00%
399,2015-16,24Q610,24.0,26.0,Aviation Career & Technical Education High School,"2,121","2,118",99.90%,437,437,100.00%
400,2015-16,24Q744,24.0,25.0,VOYAGES Preparatory,143,s,s,s,s,s
401,2015-16,25Q240,25.0,20.0,Veritas Academy,416,226,54.30%,s,s,s
402,2015-16,25Q241,25.0,20.0,Queens High School for Language Studies,294,188,64.00%,s,s,s
403,2015-16,25Q252,25.0,24.0,"Queens School of Inquiry, The",316,243,76.90%,75,75,100.00%
404,2015-16,25Q263,25.0,20.0,Flushing International High School,421,329,78.10%,67,67,100.00%
405,2015-16,25Q281,25.0,20.0,East-West School of International Studies,353,s,s,86,86,100.00%
406,2015-16,25Q285,25.0,19.0,World Journalism Preparatory: A College Board School,360,355,98.60%,97,97,100.00%
407,2015-16,25Q425,25.0,24.0,John Bowne High School,"3,404","1,474",43.30%,637,637,100.00%
408,2015-16,25Q460,25.0,20.0,Flushing High School,"1,790","1,352",75.50%,393,393,100.00%
409,2015-16,25Q525,25.0,24.0,Townsend Harris High School,"1,132",837,73.90%,281,281,100.00%
410,2015-16,25Q540,25.0,20.0,Queens Academy High School,308,254,82.50%,s,s,s
411,2015-16,25Q670,25.0,24.0,Robert F. Kennedy Community High School,715,233,32.60%,158,158,100.00%
412,2015-16,25Q792,25.0,24.0,North Queens Community High School,166,123,74.10%,s,s,s
413,2015-16,26Q315,26.0,23.0,Business Technology Early College High School,203,94,46.30%,s,s,s
414,2015-16,26Q415,26.0,23.0,Benjamin N. Cardozo High School,"3,586","1,592",44.40%,797,797,100.00%
415,2015-16,26Q430,26.0,20.0,Francis Lewis High School,"4,239","2,320",54.70%,979,977,99.80%
416,2015-16,26Q435,26.0,23.0,Martin Van Buren High School,"1,374","1,316",95.80%,335,335,100.00%
417,2015-16,26Q495,26.0,19.0,Bayside High School,"3,127","3,068",98.10%,657,656,99.80%
418,2015-16,26Q566,26.0,23.0,"Queens High School of Teaching, Liberal Arts and the Sciences","1,093",729,66.70%,s,s,s
419,2015-16,27Q260,27.0,31.0,Frederick Douglass Academy VI High School,359,314,87.50%,80,80,100.00%
420,2015-16,27Q261,27.0,28.0,Voyages Prep - South Queens,231,196,84.90%,s,s,s
421,2015-16,27Q262,27.0,32.0,Channel View School for Research,497,422,84.90%,123,123,100.00%
422,2015-16,27Q302,27.0,31.0,"Queens High School for Information, Research, and Technology",405,270,66.70%,66,66,100.00%
423,2015-16,27Q308,27.0,32.0,Robert H. Goddard High School of Communication Arts and Technology,602,370,61.50%,136,136,100.00%
424,2015-16,27Q309,27.0,31.0,Academy of Medical Technology: A College Board School,385,310,80.50%,71,71,100.00%
425,2015-16,27Q314,27.0,28.0,Epic High School - South,174,s,s,s,s,s
426,2015-16,27Q323,27.0,32.0,Scholars' Academy,547,233,42.60%,112,112,100.00%
427,2015-16,27Q324,27.0,32.0,Rockaway Park High School for Environmental Sustainability,335,228,68.10%,64,64,100.00%
428,2015-16,27Q334,27.0,28.0,Epic High School - North,182,s,s,s,s,s
429,2015-16,27Q351,27.0,32.0,Rockaway Collegiate High School,359,137,38.20%,65,65,100.00%
430,2015-16,27Q400,27.0,28.0,August Martin High School,373,251,67.30%,75,75,100.00%
431,2015-16,27Q475,27.0,28.0,Richmond Hill High School,"1,900","1,279",67.30%,401,401,100.00%
432,2015-16,27Q480,27.0,32.0,John Adams High School,"2,205",720,32.60%,517,517,100.00%
433,2015-16,27Q650,27.0,28.0,"High School for Construction Trades, Engineering and Architecture",974,469,48.10%,229,229,100.00%
434,2015-16,28Q157,28.0,29.0,J.H.S. 157 Stephen A. Halsey,98,s,s,s,s,s
435,2015-16,28Q167,28.0,29.0,Metropolitan Expeditionary Learning School,450,448,99.60%,114,114,100.00%
436,2015-16,28Q284,28.0,27.0,York Early College Academy,336,164,48.80%,79,79,100.00%
437,2015-16,28Q310,28.0,24.0,Queens Collegiate: A College Board School,407,298,73.20%,74,74,100.00%
438,2015-16,28Q325,28.0,24.0,Hillside Arts & Letters Academy,486,344,70.80%,96,96,100.00%
439,2015-16,28Q328,28.0,24.0,High School for Community Leadership,456,304,66.70%,91,91,100.00%
440,2015-16,28Q338,28.0,24.0,Queens Satellite High School for Opportunity,157,s,s,s,s,s
441,2015-16,28Q350,28.0,24.0,Jamaica Gateway to the Sciences,507,350,69.00%,113,113,100.00%
442,2015-16,28Q440,28.0,29.0,Forest Hills High School,"3,805","2,348",61.70%,847,847,100.00%
443,2015-16,28Q505,28.0,24.0,Hillcrest High School,"3,239","1,391",43.00%,597,566,94.80%
444,2015-16,28Q620,28.0,24.0,Thomas A. Edison Career and Technical Education High School,"2,087","2,000",95.80%,487,487,100.00%
445,2015-16,28Q680,28.0,24.0,Queens Gateway to Health Sciences Secondary School,443,437,98.70%,121,121,100.00%
446,2015-16,28Q686,28.0,29.0,Queens Metropolitan High School,"1,052",751,71.40%,268,268,100.00%
447,2015-16,28Q687,28.0,27.0,Queens High School for the Sciences at York College,431,423,98.10%,103,103,100.00%
448,2015-16,28Q690,28.0,28.0,High School for Law Enforcement and Public Safety,568,358,63.00%,108,108,100.00%
449,2015-16,28Q896,28.0,24.0,"Young Women's Leadership School, Queens",310,292,94.20%,62,62,100.00%
450,2015-16,29Q243,29.0,27.0,Institute for Health Professions at Cambria Heights,302,87,28.80%,s,s,s
451,2015-16,29Q248,29.0,31.0,Queens Preparatory Academy,463,148,32.00%,94,94,100.00%
452,2015-16,29Q259,29.0,27.0,Pathways College Preparatory School: A College Board School,354,260,73.40%,61,61,100.00%
453,2015-16,29Q265,29.0,31.0,Excelsior Preparatory High School,500,366,73.20%,108,108,100.00%
454,2015-16,29Q272,29.0,31.0,George Washington Carver High School for the Sciences,497,443,89.10%,123,123,100.00%
455,2015-16,29Q283,29.0,31.0,Preparatory Academy for Writers: A College Board School,409,283,69.20%,80,80,100.00%
456,2015-16,29Q313,29.0,27.0,Benjamin Franklin High School for Finance & Information Technology,218,203,93.10%,s,s,s
457,2015-16,29Q326,29.0,23.0,Cambria Heights Academy,395,256,64.80%,83,83,100.00%
458,2015-16,29Q327,29.0,27.0,Eagle Academy for Young Men III,231,117,50.70%,s,s,s
459,2015-16,29Q492,29.0,27.0,"Mathematics, Science Research and Technology Magnet High School",438,415,94.70%,84,84,100.00%
460,2015-16,29Q494,29.0,27.0,"Law, Government and Community Service High School",39,39,100.00%,42,42,100.00%
461,2015-16,29Q496,29.0,27.0,"Business, Computer Applications & Entrepreneurship High School",25,25,100.00%,s,s,s
462,2015-16,29Q498,29.0,27.0,Humanities & Arts Magnet High School,482,275,57.10%,107,106,99.10%
463,2015-16,30Q258,30.0,26.0,Energy Tech High School,332,s,s,s,s,s
464,2015-16,30Q286,30.0,22.0,"Young Women's Leadership School, Astoria",316,163,51.60%,s,s,s
465,2015-16,30Q301,30.0,26.0,Academy for Careers in Television and Film,540,532,98.50%,123,123,100.00%
466,2015-16,30Q445,30.0,26.0,William Cullen Bryant High School,"2,367","1,200",50.70%,459,459,100.00%
467,2015-16,30Q450,30.0,22.0,Long Island City High School,"1,922",740,38.50%,s,s,s
468,2015-16,30Q501,30.0,26.0,Frank Sinatra School of the Arts High School,820,199,24.30%,169,169,100.00%
469,2015-16,30Q502,30.0,26.0,Information Technology High School,921,804,87.30%,174,174,100.00%
470,2015-16,30Q555,30.0,26.0,Newcomers High School,962,350,36.40%,195,195,100.00%
471,2015-16,30Q575,30.0,26.0,Academy of American Studies,887,230,25.90%,198,198,100.00%
472,2015-16,30Q580,30.0,26.0,Baccalaureate School for Global Education,298,291,97.60%,s,s,s
473,2015-16,31R047,31.0,51.0,CSI High School for International Studies,495,388,78.40%,127,109,85.80%
474,2015-16,31R064,31.0,51.0,Gaynor McCown Expeditionary Learning School,435,400,91.90%,104,104,100.00%
475,2015-16,31R080,31.0,50.0,The Michael J. Petrides School,460,217,47.20%,99,99,100.00%
476,2015-16,31R440,31.0,50.0,New Dorp High School,"2,828","1,244",44.00%,554,554,100.00%
477,2015-16,31R445,31.0,49.0,Port Richmond High School,"1,461",505,34.60%,261,261,100.00%
478,2015-16,31R450,31.0,49.0,Curtis High School,"2,417",956,39.60%,416,416,100.00%
479,2015-16,31R455,31.0,51.0,Tottenville High School,"3,848","2,884",74.90%,879,879,100.00%
480,2015-16,31R460,31.0,50.0,Susan E. Wagner High School,"3,329","2,259",67.90%,810,810,100.00%
481,2015-16,31R470,31.0,49.0,Concord High School,s,s,s,s,s,s
482,2015-16,31R600,31.0,49.0,Ralph R. McKee Career and Technical Education High School,638,174,27.30%,114,114,100.00%
483,2015-16,31R605,31.0,50.0,Staten Island Technical High School,"1,275","1,275",100.00%,310,310,100.00%
484,2015-16,32K168,32.0,37.0,The Brooklyn School for Math and Research,264,261,98.90%,51,51,100.00%
485,2015-16,32K403,32.0,37.0,Academy for Environmental Leadership,311,272,87.50%,63,63,100.00%
486,2015-16,32K545,32.0,34.0,EBC High School for Public Service - Bushwick,506,215,42.50%,98,98,100.00%
487,2015-16,32K549,32.0,37.0,Bushwick School for Social Justice,380,339,89.20%,76,76,100.00%
488,2015-16,32K552,32.0,37.0,Academy of Urban Planning,215,s,s,52,52,100.00%
489,2015-16,32K554,32.0,37.0,All City Leadership Secondary School,202,77,38.10%,s,s,s
490,2015-16,32K556,32.0,34.0,Bushwick Leaders High School for Academic Excellence,278,155,55.80%,57,57,100.00%
491,2015-16,32K564,32.0,37.0,Bushwick Community High School,195,188,96.40%,63,63,100.00%
492,2015-16,75K036,75.0,42.0,P.S. 36,27,s,s,s,s,s
493,2015-16,75K053,75.0,38.0,P.S. K053,175,s,s,s,s,s
494,2015-16,75K077,75.0,48.0,P.S. K077,116,s,s,s,s,s
495,2015-16,75K141,75.0,40.0,P.S. K141,26,s,s,s,s,s
496,2015-16,75K368,75.0,36.0,P.S. 368,69,10,14.50%,s,s,s
497,2015-16,75K369,75.0,33.0,P.S. K369 - Coy L. Cox School,117,79,67.50%,s,s,s
498,2015-16,75K370,75.0,48.0,P.S. 370,75,s,s,s,s,s
499,2015-16,75K371,75.0,38.0,P.S. 371 - Lillian L. Rashkis,258,s,s,s,s,s
500,2015-16,75K373,75.0,36.0,P.S. 373 - Brooklyn Transition Center,374,34,9.10%,s,s,s
501,2015-16,75K721,75.0,47.0,P.S. K721 - Brooklyn Occupational Training Center,485,17,3.50%,s,s,s
502,2015-16,75K753,75.0,35.0,P.S. K753 - School for Career Development,203,63,31.00%,s,s,s
503,2015-16,75K771,75.0,48.0,P.S. K771,20,16,80.00%,s,s,s
504,2015-16,75K811,75.0,48.0,P.S. K811 Connie Lekas School,288,16,5.60%,s,s,s
505,2015-16,75M035,75.0,3.0,P.S. 035,240,98,40.80%,22,22,100.00%
506,2015-16,75M079,75.0,9.0,P.S. M079 - Horan School,262,s,s,s,s,s
507,2015-16,75M094,75.0,1.0,P.S. M094,23,s,s,s,s,s
508,2015-16,75M138,75.0,9.0,P.S. 138,165,34,20.60%,s,s,s
509,2015-16,75M169,75.0,4.0,P.S. M169 - Robert F. Kennedy,10,s,s,s,s,s
510,2015-16,75M226,75.0,2.0,P.S. M226,88,14,15.90%,s,s,s
511,2015-16,75M721,75.0,3.0,P.S. M721 - Manhattan Occupational Training Center,167,22,13.20%,s,s,s
512,2015-16,75M751,75.0,2.0,Manhattan School for Career Development,177,29,16.40%,s,s,s
513,2015-16,75Q009,75.0,30.0,P.S. 009,s,s,s,s,s,s
514,2015-16,75Q023,75.0,23.0,P.S. Q023 @ Queens Children Center,143,61,42.70%,s,s,s
515,2015-16,75Q177,75.0,20.0,P.S. Q177,283,s,s,s,s,s
516,2015-16,75Q233,75.0,29.0,P.S. Q233,309,s,s,s,s,s
517,2015-16,75Q255,75.0,24.0,P.S. Q255,16,s,s,s,s,s
518,2015-16,75Q277,75.0,26.0,The Riverview School,31,s,s,s,s,s
519,2015-16,75Q721,75.0,25.0,John F. Kennedy Jr. School,482,s,s,s,s,s
520,2015-16,75Q752,75.0,28.0,Queens Transition Center,363,112,30.80%,10,10,100.00%
521,2015-16,75Q811,75.0,23.0,P.S. Q811,239,36,15.10%,s,s,s
522,2015-16,75Q993,75.0,23.0,P.S. Q993,156,22,14.10%,s,s,s
523,2015-16,75R025,75.0,51.0,South Richmond High School I.S./P.S. 25,293,s,s,s,s,s
524,2015-16,75R037,75.0,51.0,P.S. R037,75,s,s,s,s,s
525,2015-16,75R373,75.0,49.0,P.S. R373,s,s,s,s,s,s
526,2015-16,75R721,75.0,49.0,The Richard H. Hungerford School,315,s,s,s,s,s
527,2015-16,75X010,75.0,13.0,P.S. X010,s,s,s,s,s,s
528,2015-16,75X012,75.0,13.0,P.S. X012 Lewis and Clark School,s,s,s,s,s,s
529,2015-16,75X168,75.0,8.0,P.S. 168,16,13,81.30%,s,s,s
530,2015-16,75X176,75.0,12.0,P.S. X176,245,s,s,s,s,s
531,2015-16,75X186,75.0,16.0,P186X Walter J. Damrosch School,s,s,s,s,s,s
532,2015-16,75X188,75.0,15.0,P.S. X188,91,s,s,s,s,s
533,2015-16,75X721,75.0,13.0,P.S. X721 - Stephen McSweeney School,556,43,7.70%,s,s,s
534,2015-16,75X723,75.0,12.0,P.S. 723,72,s,s,s,s,s
535,2015-16,75X754,75.0,8.0,J. M. Rapport School Career Development,483,137,28.40%,s,s,s
536,2015-16,75X811,75.0,17.0,P.S. X811,623,s,s,s,s,s
537,,,,,Total,"290,930","180,767",62.10%,"57,518","57,355",99.70%
