,borough_code,development,address,status,sponsor,type,zip_code,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta
137,Manhattan,DeHostos Apartments,201 West 93rd Street,Occupied,I Have A Dream Foundation-NY,Other - Education / IHAD Literacy,10025.0,40.792156,-73.971813,7.0,6.0,179.0,1033648.0,1012410025.0,Upper West Side                                                            
138,Queens,Bland,40-15 College Pt Blvd,Occupied,NYCHA,Senior Center,11354.0,40.757803,-73.83414,7.0,20.0,871.0,4443443.0,4050370008.0,Flushing                                                                   
139,Brooklyn,Roosevelt I,971 DeKalb Avenue,Occupied,"Bedford Stuyvesant Early Childhood Development Ctr., Inc.",Child Care ,11221.0,40.693101,-73.936421,3.0,36.0,289.0,3324973.0,3015980001.0,Stuyvesant Heights                                                         
140,Brooklyn,Stuyvesant Gardens,214 Stuyvesant Avenue,Occupied,SCO Family of Services,Community Center,11221.0,40.687985,-73.933065,3.0,36.0,293.0,3044631.0,3016350041.0,Stuyvesant Heights                                                         
141,Manhattan,Harlem River,220-224 West 152nd Street,Occupied,"Bethany Day Nursery, Inc.",Child Care ,10039.0,40.826309,-73.936634,10.0,9.0,236.0,1084154.0,1020370011.0,Central Harlem North-Polo Grounds                                          
142,Queens,Astoria,3-10 Astoria Blvd.,Occupied,NYCHA,Plasterer's Shop,11102.0,40.773013,-73.933749,1.0,22.0,87.0,4430798.0,4004900101.0,Old Astoria                                                                
143,Manhattan,East River,404 East 105th Street,Occupied,SCAN Supportive Children's Advocacy Network,Community Center,10029.0,40.788859,-73.940367,11.0,8.0,162.0,1083941.0,1016960001.0,East Harlem South                                                          
144,Bronx,Soundview,1700 Seward Avenue,Occupied,Ciditty Kiddie Corporation,Child Care - UPK 2015,10473.0,40.818497,-73.868058,9.0,18.0,20.0,2092649.0,2035510001.0,Soundview-Castle Hill-Clason Point-Harding Park                            
145,Bronx,Morissania Air Rights,3131 Park Avenue,NYCHA HOLD,NYCHA,Vacant,10451.0,40.824068,-73.917291,4.0,16.0,173.0,2100990.0,2024209078.0,East Concourse-Concourse Village                                           
146,Manhattan,Smith,60 Catherine Street,Occupied,"Hamilton-Madison House, Inc.",Child Care - Early Learn,10038.0,40.711566,-73.99684,3.0,1.0,25.0,1077421.0,1001110100.0,Chinatown                                                                  
147,Bronx,Parkside,644 Adee Avenue,Occupied,Presbyterian Senior Services,Senior Center,10467.0,40.86967,-73.869106,11.0,15.0,336.0,2101742.0,2045420100.0,Bronxdale                                                                  
148,Bronx,Throggs Neck Addition,550 Balcom Avenue,Occupied,Kips Bay Boys & Girls Club/Dept for the Aging,Community Center,10465.0,40.820911,-73.825943,10.0,13.0,144.0,2091470.0,2055640001.0,Schuylerville-Throgs Neck-Edgewater Park                                   
149,Bronx,Union Avenue,950 Union Avenue,Occupied,Presbyterian Senior Services,Senior Center,10459.0,40.822812,-73.901821,3.0,17.0,12901.0,2005015.0,2026780001.0,Longwood                                                                   
150,Bronx,Forest,955 Tinton Avenue,Occupied,Southeast Bronx Neighborhood Centers,Community Center,10456.0,40.823096,-73.902991,3.0,16.0,133.0,2091964.0,2026390001.0,Morrisania-Melrose                                                         
151,Brooklyn,Cooper Park,292 Frost Street,Occupied,"Sheltering Arms Chidren and Family Services, Inc.",Child Care - Early Learn,11222.0,40.718895,-73.939633,1.0,34.0,449.0,3327829.0,3028670001.0,East Williamsburg                                                          
152,Manhattan,Seward Park Extension,60 Essex Street,Occupied,"Grand Street Settlement, Inc.",Child Care - Early Learn,10002.0,40.717011,-73.988987,3.0,1.0,18.0,1083429.0,1003510001.0,Chinatown                                                                  
153,Manhattan,Rutgers,200 Madison Street,Occupied,YMCA of Greater New York ,Community Center,10002.0,40.712608,-73.990358,3.0,1.0,6.0,1077512.0,1002550001.0,Lower East Side                                                            
154,Manhattan,Gompers,80 Pitt Street,Occupied,"Grand Street Settlement, Inc.",Child Care ,10002.0,40.718328,-73.98245,3.0,2.0,2201.0,1084357.0,1003380001.0,Lower East Side                                                            
155,Manhattan,Polo Grounds Towers,2965 Eighth Avenue,Occupied,Church on the Hill,Senior Center,10039.0,40.830242,-73.9365,10.0,9.0,24302.0,1084520.0,1021060003.0,Central Harlem North-Polo Grounds                                          
156,Queens,FOREST HILLS COOP (108TH STREET-62ND DRIVE),110-01 62nd Drive,Occupied,"Queens Community House, Inc.",Child Care ,11375.0,40.736372,-73.848731,6.0,29.0,745.0,4000000.0,4021620176.0,Forest Hills                                                               
157,Queens,Pomonok,67-09 Kissena Blvd,Occupied,"Queens Community House, Inc.",Senior Center,11367.0,40.735033,-73.814726,8.0,24.0,122702.0,4455430.0,4067920030.0,Pomonok-Flushing Heights-Hillcrest                                         
158,Queens,FOREST HILLS COOP (108TH STREET-62ND DRIVE),108-25 62nd Drive,Occupied,"Queens Community House, Inc.",Community Center,11375.0,40.73591,-73.850212,6.0,29.0,745.0,4432108.0,4021590002.0,Forest Hills                                                               
159,Manhattan,Harlem River,207 West 151 Street,NYCHA HOLD,NYCHA,Vacant,10030.0,40.82554,-73.936544,10.0,9.0,236.0,1084155.0,1020370011.0,Central Harlem North-Polo Grounds                                          
160,Manhattan,Lavanburg,126-142 Baruch Place,Occupied,"Henry Street Settlement, Inc.",Other - Family / Urban Family Ctr,10002.0,40.7182,-73.976826,3.0,2.0,1002.0,1077594.0,1003250001.0,Lower East Side                                                            
161,Manhattan,Meltzer Towers,94 East 1st Street,Occupied,"University Settlement Society of New York, Inc.",Senior Center,10009.0,40.722827,-73.987402,3.0,2.0,3002.0,1005743.0,1004290021.0,East Village                                                               
162,Bronx,Patterson,308 East 145th Street,Occupied,East Side House Settlement,Senior Center,10451.0,40.815197,-73.922179,1.0,8.0,51.0,2091115.0,2023240001.0,Mott Haven-Port Morris                                                     
163,Brooklyn,Pennsylvania Avenue-Wortman Avenue,895 Pennsylvania Avenue,Occupied,CAMBA,Community Center,11207.0,40.655966,-73.888652,5.0,42.0,1104.0,3324011.0,3043690001.0,East New York                                                              
164,Bronx,Claremont Rehab,1105 Teller Avenue,NYCHA HOLD,NYCHA,Vacant,10456.0,40.829927,-73.913001,4.0,16.0,175.0,2002283.0,2024340080.0,East Concourse-Concourse Village                                           
165,Brooklyn,Coney Island I (Site 8),2950 W 35th Street,Occupied,Jewish Association Services For the Aged,NORC,11224.0,40.573838,-74.000493,13.0,47.0,342.0,3189511.0,3070460022.0,Seagate-Coney Island                                                       
166,Brooklyn,Kingsborough,133 Kingsborough 1st Walk,Occupied,"Bedford Stuyvesant Early Childhood Development Ctr., Inc.",Child Care ,11233.0,40.675367,-73.927198,8.0,41.0,307.0,3324601.0,3013440001.0,Crown Heights North                                                        
167,Brooklyn,Stuyvesant Gardens II,706 Quincy Street,Occupied,"New York Child Resource Center's, Inc.",Child Care ,11221.0,40.689085,-73.932109,3.0,36.0,293.0,3379547.0,3016310001.0,Stuyvesant Heights                                                         
168,Manhattan,Chelsea,420 West 26th Street,Occupied,I Have A Dream Foundation-NY,Other - Education / IHAD Literacy,10001.0,40.748985,-74.001361,4.0,3.0,93.0,1083580.0,1007230015.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
169,Brooklyn,Berry Street,71 South 10th Street,Vacant ,NYCHA,Vacant,11211.0,40.70822,-73.96607,1.0,33.0,547.0,3341979.0,3021450018.0,North Side-South Side                                                      
170,Manhattan,Smith,50 Madison Street,Occupied,"Hamilton-Madison House, Inc.",Child Care ,10038.0,40.711958,-73.997825,3.0,1.0,25.0,1077420.0,1001110100.0,Chinatown                                                                  
171,Brooklyn,Taylor Street-Wythe Avenue,80 Clymer Street,Occupied,El Puente De Williamsburg,Community Center,11211.0,40.705037,-73.965992,1.0,33.0,545.0,3251702.0,3021750030.0,Williamsburg                                                               
172,Bronx,Betances Site IV,528 East 146th Street,Occupied,"Sheltering Arms Chidren and Family Services, Inc.",Child Care - Early Learn,10455.0,40.812728,-73.915397,1.0,8.0,43.0,2093913.0,2022720038.0,Mott Haven-Port Morris                                                     
173,Queens,Carlton Manor,72-05 & 71-15 Beach Channel Drive,Occupied,"Bethel Mission Station Church, Inc.",Child Care ,11692.0,40.583775,-73.839659,14.0,32.0,93401.0,,,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
174,Bronx,Pelham Parkway,2425 Williamsbridge Road,Occupied,Bronx Jewish Community Council,NORC,10469.0,40.862002,-73.857686,11.0,13.0,324.0,2114842.0,2044440001.0,Bronxdale                                                                  
175,Manhattan,Wald,934 East Fourth Walk,Vacant ,NYCHA,Vacant,10009.0,40.720627,-73.97636,3.0,2.0,20.0,1078057.0,1003560001.0,Lower East Side                                                            
176,Staten Island,Berry Houses,211 Jefferson St.,Occupied,Research Foundation of the State University of New York,Other - ATTAIN LAB,10306.0,40.586661,-74.100928,2.0,50.0,11401.0,5109569.0,5035320500.0,Old Town-Dongan Hills-South Beach                                          
177,Brooklyn,Sumner,862 Park Avenue,Occupied,NYCHA,Senior Center,11206.0,40.698582,-73.940736,3.0,36.0,28502.0,3324728.0,3015800001.0,Stuyvesant Heights                                                         
178,Manhattan,Vladeck,334 Madison Street,Occupied,"Henry Street Settlement, Inc.",Senior Center,10002.0,40.713266,-73.983237,3.0,2.0,202.0,1077526.0,1002600001.0,Lower East Side                                                            
179,Brooklyn,Red Hook East,110 West 9th Street,Occupied,Good Shepherd Services,Community Center,11231.0,40.676024,-74.002318,6.0,38.0,85.0,3339411.0,3005380001.0,Carroll Gardens-Columbia Street-Red Hook                                   
180,Manhattan,Drew Hamilton,2672 Frederick Douglas Blvd.,Occupied,"Children's Aid Society, Inc.",Child Care - Early Learn,10030.0,40.820987,-73.943261,10.0,9.0,232.0,1060427.0,1020280001.0,Central Harlem North-Polo Grounds                                          
181,Staten Island,Todt Hill,255 Westwood Avenue,Occupied,Jewish Community Center of Staten Island,Community Center,10314.0,40.606563,-74.118774,2.0,49.0,173.0,5108965.0,5007060001.0,New Springville-Bloomfield-Travis                                          
182,Brooklyn,Ocean Hill,305 MacDougal Street,Vacant ,NYCHA,Vacant,11233.0,40.680579,-73.908412,16.0,37.0,369.0,3041566.0,3015280033.0,Ocean Hill                                                                 
183,Brooklyn,Gravesend,3146 Bayview Avenue,Vacant ,NYCHA,Vacant,11224.0,40.578512,-73.998034,13.0,47.0,330.0,3331093.0,3069640002.0,Seagate-Coney Island                                                       
184,Bronx,Pelham Parkway,785 Pelham Pkway N,Occupied,Mosholu Montefiore Community Center Inc.,Community Center,10467.0,40.857915,-73.864614,11.0,13.0,328.0,2093364.0,2043490001.0,Bronxdale                                                                  
185,Bronx,Marble Hill,5470 Broadway,Occupied,Marble Hill Nursery School,Child Care ,10463.0,40.876363,-73.907343,8.0,10.0,309.0,1082781.0,1022150116.0,Marble Hill-Inwood                                                         
186,Manhattan,131 Saint Nicholas Avenue,131 Saint Nicholas Avenue,NYCHA HOLD,NYCHA,Vacant,10026.0,40.803994,-73.952721,10.0,9.0,218.0,1058378.0,1019220041.0,Central Harlem South                                                       
187,Manhattan,DeHostos Apartments,696 Amsterdam Avenue,Occupied,"Stryker's Bay Neighborhood Council, Inc./The Dome Project",Community Center,10024.0,40.792623,-73.971422,7.0,6.0,179.0,1033648.0,1012410025.0,Upper West Side                                                            
188,Brooklyn,Van Dyke II,430 Dumont Avenue,Occupied,"Wayside Out-Reach Development Corporation, Inc.",Senior Center,11212.0,40.664982,-73.903308,16.0,41.0,910.0,3328126.0,3037940001.0,Brownsville                                                                
189,Bronx,Gun Hill,745 Magenta Street,Occupied,Mosholu Montefiore Community Center Inc.,Community Center,10467.0,40.874944,-73.86502,12.0,12.0,374.0,2093516.0,2046290050.0,Williamsbridge-Olinville                                                   
190,Manhattan,Johnson,1829 Lexington Avenue,Occupied,Union Settlement Association,Child Care - Early Learn,10029.0,40.796762,-73.942968,11.0,8.0,182.0,1087213.0,1016400021.0,East Harlem North                                                          
191,Brooklyn,Nostrand,3043 Avenue W,Occupied,Kings Bay YM-YWHA,Community Center,11229.0,40.596429,-73.936452,15.0,46.0,572.0,3320779.0,3073890001.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
192,Manhattan,Amsterdam,243 West 64th Street,Occupied,"Lincoln Square Neighborhood Center, Inc.",Child Care - Early Learn,10023.0,40.774214,-73.986937,7.0,6.0,151.0,1030340.0,1011560020.0,Lincoln Square                                                             
193,Brooklyn,Kingsborough,342 Kingsborough 3rd Walk,NYCHA HOLD,NYCHA,Vacant- health clinic,11233.0,40.675303,-73.925818,8.0,41.0,307.0,3331198.0,3013440001.0,Crown Heights North                                                        
194,Manhattan,Harborview Terrace,530 West 55th Street,Occupied,"Find Aid for The Aged, Inc.",Senior Center,10019.0,40.768258,-73.990588,4.0,6.0,135.0,1027059.0,1010830015.0,Clinton                                                                    
195,Bronx,Boston Secor,3540 Bivona Street,Occupied,Mosholu Montefiore Community Center Inc.,Community Center,10475.0,40.883026,-73.833227,12.0,12.0,46202.0,2093879.0,2052630070.0,Co-op City                                                                 
196,Bronx,Butler,1458 Webster Avenue,Occupied,"South Bronx Head Start Program, Inc.",Child Care ,10456.0,40.837926,-73.906331,3.0,16.0,14702.0,2092076.0,2028950001.0,Claremont-Bathgate                                                         
197,Brooklyn,Gravesend,2757 W 33rd Street,Occupied,"Labor Industry for Education, Inc",Child Care - Early Learn,11224.0,40.578145,-74.00018,13.0,47.0,330.0,3331093.0,3069640002.0,Seagate-Coney Island                                                       
198,Brooklyn,Marlboro,2298 West 8th Street,Occupied,Jewish Community Council of Coney Island,Senior Center,11223.0,40.592081,-73.978468,13.0,47.0,382.0,3322179.0,3071400016.0,Gravesend                                                                  
199,Bronx,Castle Hill,625 Castle Hill Avenue,Occupied,Kips Bay Boys & Girls Club/Dept for the Aging,Senior Center,10473.0,40.819754,-73.848209,9.0,18.0,86.0,2092673.0,2035700001.0,Soundview-Castle Hill-Clason Point-Harding Park                            
200,Brooklyn,Cypress Hills,720 Euclid Avenue,Occupied,Colony South Brooklyn Houses,Child Care ,11208.0,40.669298,-73.870437,5.0,42.0,1210.0,3337053.0,3042920061.0,East New York                                                              
201,Manhattan,Wagner,435 East 120th Street,Occupied,SCAN Supportive Children's Advocacy Network,Community Center,10035.0,40.798041,-73.932186,11.0,8.0,192.0,1081287.0,1018080001.0,East Harlem North                                                          
202,Brooklyn,Cooper Park,76 Kingsland Avenue,Occupied,St. Nicks Alliance,Community Center,11211.0,40.718374,-73.940419,1.0,34.0,449.0,3332781.0,3028670001.0,East Williamsburg                                                          
203,Bronx,Adams,755 East 152nd Street,Vacant ,NYCHA,Vacant,10455.0,40.815818,-73.90699,1.0,17.0,79.0,2091979.0,2026540002.0,Melrose South-Mott Haven North                                             
204,Queens,Queensbridge North,10-25 41st Avenue,Occupied,"Jacob A. Riis Neighborhood Settlement, Inc.",Senior Center,11101.0,40.755488,-73.945328,1.0,26.0,25.0,4433386.0,4004700100.0,Queensbridge-Ravenswood-Long Island City                                   
205,Manhattan,Douglas I,865 Columbus Avenue ,Occupied,"Children's Aid Society, Inc.",Other - Office Space,10025.0,40.79693,-73.964551,7.0,7.0,189.0,1081300.0,1018360001.0,Upper West Side                                                            
206,Queens,Woodside,50-19 Broadway,Occupied,Goodwill Industries of Greater New York,Community Center,11377.0,40.754972,-73.910468,1.0,26.0,163.0,4431001.0,4007380050.0,Astoria                                                                    
207,Manhattan,Lehman Village,1589 Madison Avenue,Occupied,SCAN Supportive Children's Advocacy Network,Community Center,10029.0,40.794311,-73.948979,11.0,8.0,17401.0,1078857.0,1016130023.0,East Harlem South                                                          
208,Bronx,Sedgwick,1553 University Avenue,Occupied,Catholic Charities Community Services Archdiocese of NY,Community Center,10453.0,40.846111,-73.921662,5.0,16.0,20501.0,2092105.0,2028770001.0,University Heights-Morris Heights                                          
209,Manhattan,UPACA 6 (Site 6),1940 Lexington Avenue,Vacant ,NYCHA,Vacant,10035.0,40.80073,-73.940093,11.0,9.0,196.0,1054368.0,1017680012.0,East Harlem North                                                          
210,Bronx,Murphy,1811 Crotona Avenue,Occupied,East Tremont Child Care & Development Center,Child Care - Early Learn,10457.0,40.842893,-73.893457,6.0,15.0,36902.0,2092141.0,2029440001.0,East Tremont                                                               
211,Brooklyn,Roosevelt II,400 Hart Street,Occupied,Fort Greene Senior Citizens Council,Senior Center,11206.0,40.694725,-73.93519,3.0,36.0,287.0,3341752.0,3015950024.0,Stuyvesant Heights                                                         
212,Brooklyn,Roosevelt,388 Pulaski Street,Occupied,Cumberland Hospital ,Health Clinic,11206.0,40.694049,-73.934552,3.0,36.0,289.0,3324972.0,3015980001.0,Stuyvesant Heights                                                         
213,Manhattan,Johnson,173 East 112th Street,Vacant ,NYCHA,Vacant,10029.0,40.795653,-73.942449,11.0,8.0,182.0,1089897.0,1016400021.0,East Harlem North                                                          
214,Brooklyn,Van Dyke I,330 Powell Street,Occupied,"DB Grant Associates, Inc.",Other - Jobs Plus,11212.0,40.666184,-73.903097,16.0,41.0,910.0,3000000.0,3037770001.0,Brownsville                                                                
215,Bronx,Bailey Avenue-West 193rd Street,2660 Bailey Avenue,Occupied,"Regional Aid For Interim Needs, Inc.",Senior Center,10463.0,40.870747,-73.906859,7.0,14.0,269.0,2000000.0,2032390025.0,Kingsbridge Heights                                                        
216,Manhattan,Carver,55 East 102nd Street,Occupied,Institute for the Puerto Rican/Hispanic Elderly,Senior Center,10029.0,40.79084,-73.950853,11.0,8.0,168.0,1082659.0,1016080023.0,East Harlem South                                                          
217,Manhattan,Riis,80 Avenue D,Occupied,"Grand Street Settlement, Inc.",Community Center,10009.0,40.722565,-73.976832,3.0,2.0,24.0,1077552.0,1003620001.0,Lower East Side                                                            
218,Queens,Ocean Bay Apartments (Bayside),57-10 Beach Channel Dr,Occupied,"Action Center for Education and Community Development, Inc.",Community Center,11692.0,40.59476,-73.787436,14.0,31.0,97203.0,4436449.0,4160020001.0,Hammels-Arverne-Edgemere                                                   
219,Manhattan,Clinton,120 East 110th Street,Reserved - application on file,NYCHA,Child Care ,10029.0,40.795119,-73.945194,11.0,8.0,172.0,1078931.0,1016370001.0,East Harlem South                                                          
220,Brooklyn,Tilden,630 Mother Gaston Blvd.,Occupied,"Wayside Out-Reach Development Corporation, Inc.",Senior Center,11212.0,40.663471,-73.905278,16.0,41.0,912.0,3326549.0,3035760001.0,Brownsville                                                                
221,Manhattan,Chelsea Addition,441 West 26th Street,Occupied,Hudson Guild,Health Clinic,10001.0,40.749196,-74.001815,4.0,3.0,97.0,1012827.0,1007240010.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
222,Manhattan,Rangel,159-36 Harlem River Drive,Occupied,Catholic Charities Community Services Archdiocese of NY,Community Center,10039.0,40.833365,-73.935456,10.0,9.0,24302.0,1084184.0,1021060320.0,Central Harlem North-Polo Grounds                                          
223,Bronx,College Ave (1020),1020 College Avenue,Vacant ,NYCHA,Vacant,10456.0,40.82904,-73.915532,4.0,16.0,175.0,2002209.0,2024330001.0,East Concourse-Concourse Village                                           
224,Manhattan,Isaacs,415 East 93rd Street,Occupied,Stanley M. Isaacs Neighborhood Center,Senior Center,10128.0,40.780904,-73.945112,8.0,5.0,152.0,1082367.0,1015730001.0,Yorkville                                                                  
225,Bronx,Pelham Parkway,2222 Wallace Avenue,Occupied,"Bronx House, Inc.",Child Care ,10467.0,40.858343,-73.864649,11.0,13.0,328.0,2093364.0,2043490001.0,Bronxdale                                                                  
226,Queens,Astoria,4-25 Astoria Blvd,Occupied,Urban Upbound,Other - Jobs Plus,11102.0,40.772889,-73.93328,1.0,22.0,87.0,4430788.0,4004900101.0,Old Astoria                                                                
227,Queens,Woodside,50-37 Newtown Road,Occupied,Samaritan Village,Senior Center,11377.0,40.753724,-73.911047,1.0,26.0,163.0,4430993.0,4007360002.0,Astoria                                                                    
228,Manhattan,Harlem River,2627 7th Avenue,Occupied,YMCA of Greater New York ,Community Center,10039.0,40.825565,-73.936197,10.0,9.0,236.0,1060197.0,1020160060.0,Central Harlem North-Polo Grounds                                          
229,Manhattan,Lincoln,60 East 135th Street,Occupied,NYCHA,Senior Center,10037.0,40.81161,-73.934935,11.0,9.0,210.0,1081120.0,1017570020.0,East Harlem North                                                          
230,Manhattan,Vladeck,351 Madison Street ,Occupied,"Henry Street Settlement, Inc.",NORC,10002.0,40.71334,-73.982772,3.0,2.0,202.0,1083404.0,1002670024.0,Lower East Side                                                            
231,Staten Island,South Beach,155 Norway Avenue,Occupied,United Activities Unlimited Inc,Community Center,10305.0,40.594347,-74.079224,2.0,50.0,64.0,5109514.0,5032430100.0,Grasmere-Arrochar-Ft. Wadsworth                                            
232,Brooklyn,Van Dyke I ,392 Blake Avenue,Occupied,Medgar Evers,Community Center,11212.0,40.66635,-73.904776,16.0,41.0,910.0,3394294.0,3037770001.0,Brownsville                                                                
233,Brooklyn,Cypress Hills,475 Fountain Avenue,Occupied,"Directions For Our Youth, Inc.",Community Center,11208.0,40.668288,-73.873005,5.0,42.0,1210.0,3337041.0,3042920061.0,East New York                                                              
234,Bronx,Gun Hill,3440 White Plains Road,Occupied,Northeast Bronx Day Care Center,Child Care - Early Learn,10467.0,40.876472,-73.866945,12.0,12.0,374.0,2093518.0,2046290050.0,Williamsbridge-Olinville                                                   
235,Queens,Ocean Bay Apts/Oceanside,339 Beach 54th Street,NYCHA HOLD,NYCHA,Vacant,11692.0,40.593555,-73.784408,14.0,31.0,97204.0,4436420.0,4158920001.0,Hammels-Arverne-Edgemere                                                   
236,Bronx,Soundview,1674 Seward Avenue,Occupied,NYCHA,Senior Center,10473.0,40.818255,-73.869832,9.0,18.0,20.0,2092638.0,2035510001.0,Soundview-Castle Hill-Clason Point-Harding Park                            
237,Brooklyn,Lafayette Gardens,434 DeKalb Avenue,Occupied,Cumberland Hospital ,Health Clinic,11205.0,40.690361,-73.960108,3.0,35.0,233.0,3321871.0,3019380001.0,Bedford                                                                    
238,Manhattan,Lincoln,2112 Madison Avenue,Occupied,"East Harlem Block Nursery, Inc.",Child Care ,10037.0,40.810664,-73.937064,11.0,9.0,210.0,1081115.0,1017570001.0,East Harlem North                                                          
239,Bronx,East 180th Street-Monterey Avenue,2120 Quarry Road,Occupied,NYC Department of Education,Child Care ,10457.0,40.851045,-73.893292,6.0,15.0,37504.0,2011852.0,2030620006.0,East Tremont                                                               
240,Brooklyn,Williams Plaza,323 Roebling Street,Occupied,El Puente De Williamsburg,Community Center,11211.0,40.708266,-73.960991,1.0,33.0,525.0,3341975.0,3021400026.0,North Side-South Side                                                      
241,Manhattan,Seward Park Extension,56 Essex Street,Occupied,"Grand Street Settlement, Inc.",Community Center,10002.0,40.716838,-73.989077,3.0,1.0,18.0,1083429.0,1003510001.0,Chinatown                                                                  
242,Brooklyn,Glenwood,5816 Farragut Road,Occupied,Sesame Flyers International Inc.,Community Center,11234.0,40.636749,-73.920568,18.0,45.0,94402.0,3331003.0,3079780001.0,Flatlands                                                                  
243,Bronx,Webster,421 East 168th Street,Vacant ,NYCHA,Vacant,10456.0,40.832005,-73.908709,3.0,16.0,145.0,2091186.0,2023950001.0,Claremont-Bathgate                                                         
244,Bronx,Millbrook,201 St. Anns Avenue,Occupied,East Side House Settlement,Other - Jobs Plus,10454.0,40.805742,-73.918238,1.0,8.0,25.0,2090986.0,2022630019.0,Mott Haven-Port Morris                                                     
245,Brooklyn,Breukelen,715 East 105th Street,Occupied,"Police Athletic League, Inc.",Community Center,11236.0,40.648732,-73.896005,18.0,42.0,982.0,3321523.0,3081930001.0,Canarsie                                                                   
246,Manhattan,Fort Washington Avenue Rehab,99 Ft Washington Avenue,Occupied,"Riverstone Senior Life Services, Inc.",Senior Center,10032.0,40.83851,-73.943738,12.0,7.0,247.0,1063346.0,1021360235.0,Washington Heights South                                                   
247,Manhattan,Riis,152-154 Avenue D,NYCHA HOLD,NYCHA,Vacant,10009.0,40.725076,-73.975009,3.0,2.0,24.0,1077543.0,1003670001.0,Lower East Side                                                            
248,Bronx,Moore,515 Jackson Avenue,Occupied,"Bronxworks, Inc.",Senior Center,10455.0,40.812353,-73.909401,1.0,8.0,35.0,2091284.0,2025570083.0,Mott Haven-Port Morris                                                     
249,Bronx,Mitchel,188 Lincoln Avenue,Occupied,East Side House Settlement,Senior Center,10454.0,40.809874,-73.927933,1.0,8.0,23.0,2091142.0,2023110001.0,Mott Haven-Port Morris                                                     
250,Brooklyn,Brevoort,280 Ralph Avenue,Occupied,"Ridgewood-Bushwick Sr Citizens Council, Inc.",Senior Center,11233.0,40.679794,-73.922153,3.0,41.0,381.0,3325173.0,3016880001.0,Crown Heights North                                                        
251,Queens,Beach 41st ,426 Beach 40th Street,Occupied,Child Center of New York,Community Center,11691.0,40.596249,-73.772408,14.0,31.0,97203.0,4302129.0,4159550003.0,Hammels-Arverne-Edgemere                                                   
252,Manhattan,Riis,108 Avenue D,Occupied,Chinese-American Planning Council,Child Care ,10009.0,40.723492,-73.976164,3.0,2.0,24.0,1077507.0,1003620001.0,Lower East Side                                                            
253,Brooklyn,Whitman,285 Myrtle Avenue,Occupied,Brooklyn Bureau of Comm. Service,Other - Office Space,11205.0,40.693423,-73.977206,2.0,35.0,2901.0,3345021.0,3020400001.0,Fort Greene                                                                
254,Bronx,Davidson,1221 Prospect Avenue,Occupied,Graham Windham Services to Families & Children,Community Center,10459.0,40.827264,-73.898476,3.0,17.0,131.0,2005038.0,2026800019.0,Longwood                                                                   
255,Manhattan,Baruch,110-120 Baruch Drive,Occupied,"Henry Street Settlement, Inc.",Child Care - Early Learn,10002.0,40.718774,-73.977424,3.0,2.0,1002.0,1078034.0,1003230001.0,Lower East Side                                                            
256,Queens,Conlon-Lihfe Towers,92-33 170th Street,Occupied,Jamaica Service Program for Older Adults (JSPOA),Senior Center,11433.0,40.706193,-73.789136,12.0,27.0,444.0,4457492.0,4102120033.0,Jamaica                                                                    
257,Brooklyn,Wyckoff Gardens,272 Wyckoff Street,Occupied,Colony South Brooklyn Houses,Community Center,11217.0,40.68342,-73.984081,6.0,33.0,127.0,3336056.0,3003940001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
258,Manhattan,Public School 39 (Conversion),120 West 140th Street,Occupied,"ARC XVI Ft. Washington, Inc.",Senior Center,10030.0,40.817579,-73.939272,10.0,9.0,230.0,1060054.0,1020080013.0,Central Harlem North-Polo Grounds                                          
259,Queens,Bland,133-16 Roosevelt Avenue,Occupied,"League For Better Community Life, Inc.",Child Care - Early Learn,11354.0,40.758288,-73.833832,7.0,20.0,871.0,4443446.0,4050370008.0,Flushing                                                                   
260,Manhattan,Smith,60 Madison Street,Occupied,Gouvenier Hospital ,Health Clinic,10038.0,40.712019,-73.997309,3.0,1.0,25.0,1077421.0,1001110100.0,Chinatown                                                                  
261,Brooklyn,Lafayette Gardens,470 Dekalb Avenue,NYCHA HOLD,NYCHA,Vacant,11205.0,40.690588,-73.958131,3.0,35.0,233.0,3346319.0,3019380001.0,Bedford                                                                    
262,Queens,Queensbridge North,10-25 41st Avenue,Occupied,"Jacob A. Riis Neighborhood Settlement, Inc.",Community Center,11101.0,40.755488,-73.945328,1.0,26.0,25.0,4433386.0,4004700100.0,Queensbridge-Ravenswood-Long Island City                                   
263,Brooklyn,Marcy,582 Park Avenue,NYCHA HOLD,NYCHA,Vacant,11206.0,40.697302,-73.951996,3.0,36.0,255.0,3324244.0,3017380001.0,Bedford                                                                    
264,Bronx,Castle Hill,2165 Randall Avenue,Occupied,Leake & Watts Children's Services Inc.,Child Care ,10473.0,40.818918,-73.848836,9.0,18.0,86.0,2092673.0,2035700001.0,Soundview-Castle Hill-Clason Point-Harding Park                            
