,organizationname,brooklyn,bronx,manhattan,queens,staten_island,fax,phone,aging,anti_discrimination_human_rights,arts_culture,business,child_care_parent_information,community_service_volunteerism,counseling_support_groups,disabilities,domestic_violence,education,employment_job_training,health,homelessness,housing,immigration,legal_services,lesbian_gay_bisexual_and_or_transgender,personal_finance_financial_education,professional_association,veterans_military_families,victim_services,youth_services,faith_based_organization,foundation,is_registered_with_the_attorney_general_s_office,new_york_city_agency,none_of_the_above,nonprofit,other_government_organization,published,address1,city,url,nourl,description,outsideloc,location_1,borough,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,address2,postcode,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,outsidelocdesc
253,St. Nicholas Neighborhood Preservation Corporation,Y,N,N,N,N,,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"11 Catherine Street, 3rd Fl",Brooklyn,,N,,,"{'latitude': '40.713264', 'longitude': '-73.937387'}",BROOKLYN ,40.713264,-73.937387,1.0,34.0,481.0,3331619.0,3029210023.0,East Williamsburg                                                          ,,11211.0,17613.0,36.0,2.0,30.0,56.0,
254,Chabad Lubavitch of West Brighton,Y,N,N,N,N,,7189469833.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,2997 Ocean Parkway,Brooklyn,,,,,"{'latitude': '40.577413', 'longitude': '-73.968267'}",BROOKLYN ,40.577413,-73.968267,13.0,48.0,362.0,3244597.0,3086690088.0,Brighton Beach                                                             ,,11235.0,13826.0,21.0,2.0,15.0,35.0,
255,"Bailey House, Inc.",Y,Y,Y,Y,N,2126332932.0,2126332500.0,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,275 7th Avenue,New York,http://www.baileyhouse.org,N,"Founded in 1983, Bailey House was the nation's first provider of supportive housing for people living with AIDS. Our successful housing programs have become the models that have ensured effective services for homeless people with HIV/AIDS throughout the country and around the world.

Bailey House provides housing and bi-lingual social services to persons living with HIV/AIDS in New York City.

Services include: Community-based intensive care management; housing placement assistance; temporary housing for post-incarcerated individuals; crisis intervention; mental health assessment/counseling; substance abuse pretreatment; health care coordination and education; client advocacy services; bereavement counseling; support groups; permanency planning; independent living skills training; structured recreation activities; referrals to local HIV care providers and others; and peer education.

Bailey House operates a 44-unit residence in Greenwich Village for adults who need continuous on-site support services; a Family Services Program at Schafer Hall in East Harlem with 30 two-bedroom units for single parents with HIV/AIDS and their children; and a Supportive Housing Apartment Program with 110 apartments throughout NYC (excluding Staten Island).  Of these twenty apartments are set aside for chronically homeless individuals living with HIV/AIDS.",N,"{'latitude': '40.745743', 'longitude': '-73.994435'}",MANHATTAN,40.745743,-73.994435,4.0,3.0,91.0,1015000.0,1008010001.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,,10001.0,11722.0,12.0,4.0,10.0,7.0,
256,Centro Civico Colombiano,N,N,N,Y,N,7182712598.0,7186994833.0,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,90-37 Corona Avenue,Elmhurst,http://www.centrocivicocolombiano.com,N,"Services include computer class, Karate class, Spanish class, Colombian dancing, third-age program yoga, American citizenship, immigration, G.E.D., and a library.",N,"{'latitude': '40.74206', 'longitude': '-73.874254'}",QUEENS   ,40.74206,-73.874254,4.0,25.0,471.0,4039585.0,4015860039.0,Elmhurst                                                                   ,,11373.0,14784.0,66.0,3.0,5.0,68.0,
257,Sunset Park Health Council,Y,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,150 55th Street,Brooklyn,,N,,,"{'latitude': '40.646941', 'longitude': '-74.02093'}",BROOKLYN ,40.646941,-74.02093,7.0,38.0,22.0,3014856.0,3008280001.0,Sunset Park West                                                           ,c/o Larry McReynolds,11220.0,18180.0,9.0,2.0,7.0,45.0,
258,Korean American Association for Rehabilitation of the Disabled,N,N,N,Y,N,7186614429.0,7184453929.0,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"35-20 147 Street, Annex #2-F",Flushing,http://www.kaard.org,N,,,"{'latitude': '40.765966', 'longitude': '-73.819632'}",QUEENS   ,40.765966,-73.819632,7.0,20.0,1163.0,4308862.0,4050047501.0,Murray Hill                                                                ,,11354.0,13832.0,22.0,3.0,3.0,67.0,
259,South Brooklyn Business Outreach Center (BOC Network),Y,N,N,N,N,7188582119.0,7182535262.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Published,1546 Coney Island Avenue,Brooklyn,http://www.bocnet.org/boc/home.html,N,,,"{'latitude': '40.619583', 'longitude': '-73.964202'}",BROOKLYN ,40.619583,-73.964202,12.0,44.0,454.0,3171987.0,3065460008.0,Ocean Parkway South                                                        ,Suite 2L,11230.0,13513.0,2.0,2.0,18.0,39.0,
260,City Harvest,N,N,Y,N,N,,9173518700.0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"575 8th Avenue, 4th Floor",New York,http://www.cityharvest.org,N,"Now serving New York City for more than 25 years, City Harvest is the world's first food rescue organization, dedicated to feeding the city's hungry men, women, and children.  This year, City Harvest will collect 26 million pounds of excess food from all segments of the food industry, including restaurants, grocers, corporate cafeterias, manufacturers, and farms.  This food is then delivered free of charge to more than 600 community food programs throughout New York City using a fleet of trucks and bikes as well as volunteers on foot. Each week, City Harvest helps over 260,000 hungry New Yorkers find their next meal.",N,"{'latitude': '40.754952', 'longitude': '-73.991467'}",MANHATTAN,40.754952,-73.991467,4.0,3.0,115.0,1013644.0,1007620033.0,Clinton                                                                    ,,10018.0,12080.0,12.0,4.0,10.0,8.0,
261,Nav Nirmaan Foundation,N,N,N,Y,N,,7184784588.0,N,N,N,N,N,N,Y,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"87-08 Justice Avenue, Room CS",Elmhurst,,Y,"Assists persons who are directly or indirectly affected by alcoholism, chemical dependency, family counseling, domestiv violence, mental and emotional illness, and mental retardation.",N,"{'latitude': '40.737456', 'longitude': '-73.876222'}",QUEENS   ,40.737456,-73.876222,4.0,25.0,473.0,4045404.0,4018427501.0,Elmhurst                                                                   ,,11373.0,14784.0,66.0,3.0,5.0,68.0,
262,The Brooklyn Childcare Collective,Y,N,N,N,N,,7183621792.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,30 Third Ave.,Brooklyn,http://www.brooklynchildcarecollective.org,N,,,"{'latitude': '40.68581', 'longitude': '-73.980385'}",BROOKLYN ,40.68581,-73.980385,2.0,33.0,39.0,3000753.0,3001797503.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,,11231.0,17619.0,68.0,2.0,38.0,54.0,
263,Echoing Green Foundation,N,N,Y,N,N,2126899010.0,2126891165.0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,494 Eighth Avenue,New York,http://www.echoinggreen.org,N,"To accelerate social change, Echoing Green invests in and supports outstanding emerging social entrepreneurs to launch new organizations that deliver bold, high-impact solutions. Through a two-year fellowship program, we help our network of visionaries develop new solutions to societyâ€™s most difficult problems. These social entrepreneurs and their organizations work to solve deeply-rooted social, environmental, economic, and political inequities to ensure equal access and to help all individuals reach their potential.",N,"{'latitude': '40.752657', 'longitude': '-73.99311'}",MANHATTAN,40.752657,-73.99311,5.0,3.0,109.0,1014419.0,1007840077.0,Midtown-Midtown South                                                      ,Second Floor,10001.0,11722.0,11.0,4.0,10.0,8.0,
264,Center for Comprehensive Care,N,N,Y,N,N,2125236023.0,2125236050.0,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,1111 Amsterdam Ave.,New York,http://www.centerforcare.org/about.html,N,The CCC provides comprehensive health and mental health services to individuals living with HIV/AIDS.,N,"{'latitude': '40.805841', 'longitude': '-73.961751'}",MANHATTAN,40.805841,-73.961751,9.0,7.0,20101.0,1056035.0,1018670001.0,Morningside Heights                                                        ,Stuyvesant 7,10025.0,12424.0,37.0,4.0,23.0,17.0,
265,Global Action Project,N,N,Y,N,N,2125949574.0,2125949577.0,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,4 West 37th St,New York,http://www.global-action.org,N,,N,"{'latitude': '40.750559', 'longitude': '-73.983708'}",MANHATTAN,40.750559,-73.983708,5.0,4.0,84.0,1015939.0,1008380054.0,Midtown-Midtown South                                                      ,2nd Floor,10018.0,12080.0,11.0,4.0,51.0,8.0,
266,Jewish Community Council of Greater Coney Island,Y,N,N,N,N,7189468240.0,7184495000.0,Y,N,N,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,3001 West 37th Street,Brooklyn,http://www.jccgci.org,N,"The Jewish Community Council of Greater Coney Island is a not-for-profit organization providing supportive services to the frail elderly, vocationally disadvantaged poor, refugees, and educationally at-risk youth of our communities and enhancing the management capacity of NYC's Nonprofits.",N,"{'latitude': '40.573177', 'longitude': '-74.002509'}",BROOKLYN ,40.573177,-74.002509,13.0,47.0,340.0,3189617.0,3070650001.0,Seagate-Coney Island                                                       ,,11224.0,18184.0,21.0,2.0,45.0,35.0,
267,WET Productions,N,N,Y,N,N,,2126820265.0,N,Y,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,"441 Lexington Ave, PH",New York,http://www.wetweb.org,N,"WWET is a 501(c)3 non profit production company, founded in 1999 to produce media that challenges female stereo-types and advocates for equality. WET develops, produces and promotes innovative, non-niched, female generated work in theater, film television and a city-wide outreach empowerment program for teenage girls: WETâ€™s Risk Takers Film Series. For more information, please visit www.wetweb.org.",N,"{'latitude': '40.752726', 'longitude': '-73.974793'}",MANHATTAN,40.752726,-73.974793,6.0,4.0,92.0,1036174.0,1012990022.0,Turtle Bay-East Midtown                                                    ,,10017.0,12079.0,71.0,4.0,51.0,9.0,
268,Association of Junior Leagues International,N,N,Y,N,N,2124817196.0,2129518300.0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Published,80 Maiden Lane Room 305,New York,http://www.ajli.org,N,"The Association of Junior Leagues International Inc. (AJLI) is an organization of women committed to promoting voluntarism, developing the potential of women and improving communities through the effective action and leadership of trained volunteers.",,"{'latitude': '40.707116', 'longitude': '-74.007329'}",MANHATTAN,40.707116,-74.007329,1.0,1.0,7.0,1001015.0,1000420031.0,Battery Park City-Lower Manhattan                                          ,,10038.0,13096.0,56.0,4.0,32.0,1.0,
269,"Gay, Lesbian, and Straight Education Network",N,N,Y,N,N,2127270254.0,2127270135.0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,90 Broad Street,New York,http://www.glsen.org,N,,N,"{'latitude': '40.703954', 'longitude': '-74.011592'}",MANHATTAN,40.703954,-74.011592,1.0,1.0,9.0,1000025.0,1000100016.0,Battery Park City-Lower Manhattan                                          ,2nd Floor,10004.0,11725.0,56.0,4.0,32.0,1.0,
270,Children's Safety Project,N,N,Y,N,N,2129241091.0,2122424140.0,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,27 Barrow St.,New York,http://www.greenwichhouse.org/safety.htm,N,"Children's Safety Project provides treatment for children, adolescents, and young adults ages 3-21 who have experienced or witnessed physical or sexual abuse, dating violence, or domestic violence as well as any other violent crimes.",N,,,,,,,,,,,,,,,,,,
271,"Sports and Arts In Schools Foundation, Inc.",N,N,N,Y,N,,,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"58-12 Queens Boulevard, Ste. 1",Woodside,,N,,,"{'latitude': '40.741828', 'longitude': '-73.907281'}",QUEENS   ,40.741828,-73.907281,2.0,26.0,245.0,4454475.0,4023137501.0,Woodside                                                                   ,,11377.0,14787.0,53.0,3.0,33.0,66.0,
272,Friends of Crown Heights Educational Center,Y,N,N,N,N,,7186388686.0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,671 Prospect Place,Brooklyn,,,,,"{'latitude': '40.674695', 'longitude': '-73.954594'}",BROOKLYN ,40.674695,-73.954594,8.0,35.0,221.0,3030896.0,3012240045.0,Crown Heights North                                                        ,,11216.0,17618.0,16.0,2.0,48.0,49.0,
273,"Bronx Council On The Arts, Inc.",N,Y,N,N,N,,7189319500.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,1738 Hone Avenue,Bronx,http://www.bronxarts.org/,N,"Bronx Council on the Arts (BCA) is celebrating over 45 years as a private, non-profit membership organization that is the official cultural agency of Bronx County. Recognized nationally as a leading arts service organization in providing cultural services and arts programs, BCA serves a multicultural constituency in excess of 1.2 million residents. BCA provides an array of services to 5,000 artists and more than 250 arts and community-based organizations.",N,"{'latitude': '40.848065', 'longitude': '-73.854058'}",BRONX    ,40.848065,-73.854058,11.0,13.0,254.0,2044837.0,2041040001.0,Van Nest-Morris Park-Westchester Square                                    ,,10461.0,11270.0,59.0,5.0,12.0,32.0,
274,Queensborough Community College - Center for Immigration,N,N,N,Y,N,7182815140.0,7186316611.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"222-05 56 Avenue, Library Building, Room 431",Bayside,http://www.qcc.cuny.edu,N,"Free legal advice regarding immigration issues which include citizenship application and information, application for permanent residency, appeals to immigration, employment-based visa, Infopass immigration appointments, inquiry of case status, political asylum, US passport filing, change of status, advice on most other immigration issues, update immigration documents and diversity lottery.  All counseling is confidential.",,"{'latitude': '40.75349', 'longitude': '-73.757957'}",QUEENS   ,40.75349,-73.757957,11.0,23.0,138501.0,4439440.0,4074900002.0,Oakland Gardens                                                            ,,11364.0,14506.0,26.0,3.0,16.0,69.0,
275,Ceres Gallery,N,N,Y,N,N,,2122264725.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"584-88 Broadway, Suite 306",New York,http://www.ceresgallery.org/,N,"Founded in 1983 as a program of the New York Feminist Art Institute, Ceres is a non-profit alternative center dedicated to the promotion of contemporary women in the arts. We serve as a supportive base for a diversity of artistic and political views. Ceres has become a venue for female and male writers, musicians and dancers, and storytellers to perform and take risks. We believe that the arts provide an important social service and that there is inherent power in art to enhance and enrich the quality and depth of our lives.",,"{'latitude': '40.724743', 'longitude': '-73.997341'}",MANHATTAN,40.724743,-73.997341,2.0,1.0,43.0,1079998.0,1005110008.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,,10012.0,12075.0,57.0,4.0,32.0,2.0,
276,Cooper Square Community Development & Business Association,N,N,Y,N,N,,2122288210.0,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,61 East 4th Street,New York,,,,,"{'latitude': '40.726755', 'longitude': '-73.990735'}",MANHATTAN,40.726755,-73.990735,3.0,2.0,38.0,1082642.0,1004600056.0,East Village                                                               ,,10003.0,11724.0,70.0,4.0,50.0,5.0,
277,Emunah of America,N,N,Y,N,N,,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,370 Seventh Ave,New York,,,,,"{'latitude': '40.74879', 'longitude': '-73.992244'}",MANHATTAN,40.74879,-73.992244,5.0,3.0,101.0,1014343.0,1007800036.0,Midtown-Midtown South                                                      ,,10001.0,11722.0,11.0,4.0,10.0,8.0,
278,Glenridge Senior Citizen Center,N,N,N,Y,N,7184177053.0,7183865136.0,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,59-03 Summerfield Street,Ridgewood,,,,,,,,,,,,,,,,,,,,,,
279,Brooklyn Women's Services,Y,N,N,N,N,7187484253.0,7187481234.0,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,9201 Fourth Ave.- 2nd Fl.,Brooklyn,http://www.brooklynwomensservices.com,N,"As a woman today, you are more aware of your health needs than ever before. From nutrition and exercise to the prevention and early detection of disease, you are assuming a greater role in your wellness. Brooklyn Womenâ€™s Services (BWS) affiliated with Maimonides Medical Center is a resource that you can turn to for every aspect of your health care, focusing on both your physical and emotional health needs. 

Since 1995, as one of the New York areaâ€™s first comprehensive womenâ€™s health programs, BWS has taken care of the whole woman. We offer you a full range of services, all on-site. In addition to traditional medical services, if you would like information on alternative therapies, we can help you understand the different options such as massage, acupuncture, and homeopathic medicine to possibly supplement your current treatment.

Brooklyn Womenâ€™s Services believes that the key to disease prevention is education, and we want to provide you with the information that you need to make informed decisions about your health care. To this end, we offer free health education and prevention seminars, health fairs, and screenings, newsletters and patient literature.

Knowing that women have a great many demands on their time, BWS offers obstetrics and gynecology, and primary care. This not only alleviates the need to go to many different medical offices for care, but also creates a continuity of care among providers to insure that we meet all of your health care needs.",N,,,,,,,,,,,,,,,,,,
280,Grace Outreach,N,Y,N,N,N,7183286128.0,7183280580.0,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,378 East 151st Street,Bronx,http://www.graceoutreachbronx.org,N,"Grace Outrach fills a critical community need in the South Bronx by providing women who have not finished high school a path to strengthening their academic skills, pursuing college, or employment training, and finding good-paying jobs.   Through its unique program of education, coaching and mentoring, Grace Outreach helps women - most of whom have children - to acquire the skills and confidence they need to build a better life for themselves and their families.  Since 2005, over 350 women have earned their high school equivalency diploma and are attending college, completing training and have secured new and better jobs.",N,"{'latitude': '40.817722', 'longitude': '-73.917956'}",BRONX    ,40.817722,-73.917956,1.0,17.0,65.0,2097105.0,2023970017.0,Melrose South-Mott Haven North                                             ,5th Floor,10455.0,10933.0,49.0,5.0,43.0,23.0,
281,"Associated Beth Rivkah Schools, Inc",Y,N,N,N,N,,7185992386.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,310 Crown Street,Brooklyn,http://www.bethrivkah.edu/,N,"The Mission of Beth Rivkah is to provide and promote the highest quality Judaic and general education to Jewish girls. Our aim is to inspire and empower students to reach personal excellence, and to be responsible members of American society. Within a warm nurturing environment we, cultivate within students a love for learning, guide them in developing academic and social skills, and foster responsibility in each individual child. 

The breadth and depth of a Beis Rivkah education nurtures within students a commitment to community, to life-long learning and teaching, and to using Torah and Chassidic values as a guide in making life's decisions.",N,"{'latitude': '40.666214', 'longitude': '-73.9496'}",BROOKLYN ,40.666214,-73.9496,9.0,35.0,319.0,3034180.0,3012970023.0,Crown Heights South                                                        ,,11225.0,13509.0,17.0,2.0,48.0,44.0,
282,East River Development Alliance,N,N,N,Y,N,7187291288.0,7187840877.0,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,12-11 40th Ave,Long Island City,http://www.erdalliance.org,N,"The East River Development Alliance (ERDA) is a non-profit organization in Long Island City, Queens, working to transform and improve New York City public housing neighborhoods by providing residents with the tools and opportunities necessary for self-sufficiency and economic mobility.  ERDA currently works in Queensbridge, Ravenswood, Astoria and Woodside Houses and provides technical support to leadership in public housing developments throughout New York City.",,"{'latitude': '40.755973', 'longitude': '-73.942645'}",QUEENS   ,40.755973,-73.942645,1.0,26.0,85.0,4005332.0,4004720624.0,Queensbridge-Ravenswood-Long Island City                                   ,,11101.0,16858.0,39.0,3.0,33.0,72.0,
283,"Federation Employment and Guidance Service, Inc.",N,N,Y,N,N,,2123668401.0,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"315 Hudson Street, 7th Fl.",New York,,,,,"{'latitude': '40.72631', 'longitude': '-74.00749'}",MANHATTAN,40.72631,-74.00749,2.0,3.0,37.0,1010362.0,1005970012.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,,10013.0,12076.0,57.0,4.0,10.0,1.0,
284,"Boys & Girls Harbor, Inc",N,N,Y,N,N,,2124272244.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,1 East 104th Street,New York,http://www.boysandgirlsharbor.net/,N,"The mission of Boys & Girls Harbor is to empower children and their families to become full, productive participants in society through education, cultural enrichment and social services. The Harbor was founded in 1937 by Tony Duke as a small, innovative summer camp for disadvantaged immigrant children. Today, the Harbor is an outstanding organization providing education and character development for over 2,500 children coming from East Harlem, Harlem and the South Bronx each year. The Harbor was one of the first organizations to open a charter school in New York State, and in 2005 added the Emily N. Carey Harbor School to its educational core. Other Harbor programs include pre-school, after-school, literacy training, substance abuse prevention, college preparation, workforce readiness and a conservatory for the performing arts.",N,"{'latitude': '40.792888', 'longitude': '-73.951826'}",MANHATTAN,40.792888,-73.951826,11.0,8.0,168.0,1051499.0,1016100001.0,East Harlem South                                                          ,,10029.0,12426.0,7.0,4.0,35.0,14.0,
285,CODEPINK Women for Peace,N,N,Y,N,N,,6467231781.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"630 9th Avenue, 2nd floor",New York,http://www.codepinkalert.org/,N,"CODEPINK is a women-initiated grassroots peace and social justice movement dedicated to ending the war in Iraq, preventing future wars, and directing our nation's resources to life-affirming activities such as healthcare and education.",Y,"{'latitude': '40.760038', 'longitude': '-73.991449'}",MANHATTAN,40.760038,-73.991449,4.0,3.0,121.0,1024982.0,1010350001.0,Clinton                                                                    ,,10036.0,13094.0,12.0,4.0,10.0,8.0,"Santa Monica, San Francisco, Washington, D.C."
286,Polish & Slavic Center,Y,N,N,N,N,7183835159.0,7183835290.0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,,Brooklyn,http://polishslaviccenter.org,N,"Services include:immigration and legal services;after school program; pre-kindergarten program; senior citizens' club; English Language 
Courses, and other social service.",N,,,,,,,,,,,,11222.0,,,,,,
287,Leukemia & Lymphoma Society/New York City Chapter,N,N,Y,N,N,,2124489206.0,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Published,"475 Park Avenue South, 8th Floor",New York,http://www.leukemia-lymphoma.org/all_page?item_id=5077,N,,,"{'latitude': '40.745646', 'longitude': '-73.982378'}",MANHATTAN,40.745646,-73.982378,5.0,2.0,72.0,1018471.0,1008870095.0,Murray Hill-Kips Bay                                                       ,,10016.0,12078.0,11.0,4.0,50.0,8.0,
288,Catholic Migration Services,N,N,N,Y,N,,7186515490.0,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"51-27 Queens Blvd., 2nd Floor",Woodside,http://www.catholicmigration.org,N,"Services:

ENGLISH AS A SECOND LANGUAGE PROGRAM:

English as a second language (ESL) classes are given in various parishes throughout Queens. Daytime and evening sessions are available for beginning, intermediate,and advanced students.

CITIZENSHIP CLASSES AND EXAMS

Classes in preparation for U.S. citizenship are offered four times per year in February, May, August, and November.  The INS- approved US citizenship test is offered four times per year in March, June, September, and December.

IMMIGRATION LEGAL ASSISTANCE

The legal department offers consultations on any immigration problem.

OCCUPATIONAL TRAINING

Training is offerd in basic computer skills, computer graphics, workplace and residential cleaning and culinary arts.

NEWSLETTER: ""Welcome""",,"{'latitude': '40.742571', 'longitude': '-73.91352'}",QUEENS   ,40.742571,-73.91352,2.0,26.0,25302.0,4030860.0,4013200047.0,Hunters Point-Sunnyside-West Maspeth                                       ,,11377.0,14787.0,53.0,3.0,33.0,66.0,
289,George C. Conliffe Child Care Center,Y,N,N,N,N,,7187781498.0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,1435 Prospect Place,Brooklyn,,,,,"{'latitude': '40.673175', 'longitude': '-73.929039'}",BROOKLYN ,40.673175,-73.929039,8.0,36.0,347.0,3036100.0,3013610066.0,Crown Heights North                                                        ,,11213.0,17615.0,16.0,2.0,49.0,49.0,
290,Bedford Stuyvesant Restoration Corporation,Y,N,N,N,N,,7186366902.0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"1368 Fulton Street, 3rdbFl",Brooklyn,http://www.restorationplaza.org/,N,"Bedford Stuyvesant Restoration Corporation, the nation's first community development corporation, partners with residents and business to improve the quality of life of Central Brooklyn by fostering economic self sufficiency, enhancing family stability and growth, promoting the arts and culture and transforming the neighborhood into a safe, vibrant place to live, work and visit.",N,"{'latitude': '40.680175', 'longitude': '-73.945717'}",BROOKLYN ,40.680175,-73.945717,3.0,36.0,247.0,3053786.0,3018620014.0,Crown Heights North                                                        ,,11216.0,17618.0,69.0,2.0,49.0,51.0,
291,"Caribbean Women's Health Association, Inc.",Y,Y,Y,Y,N,7188262948.0,7188262942.0,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,21 Snyder Ave.,Brooklyn,http://www.cwha.org,N,"Caribbean Women's Health Association Inc. is a community-based, non-profit organization with a twenty-five year track record, whose mission is to provide culturally sensitive, comprehensive, immigration, healthcare and social support services to its diverse constituents.",N,"{'latitude': '40.648574', 'longitude': '-73.957531'}",BROOKLYN ,40.648574,-73.957531,14.0,40.0,794.0,3117220.0,3051030008.0,Erasmus                                                                    ,2nd Floor,11226.0,13510.0,60.0,2.0,11.0,43.0,
292,"Immigrant Social Services, Inc.",N,N,Y,N,N,2125711848.0,2125711840.0,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,137 Henry Street,New York,http://www.issnyonline.org,N,"Immigrant Social Services is a non-profit organization dedicated to improving the quality of life of youth and families in the Greater Chinatown and Lower East Side communities.

We offer extensive after-school and summer camp programs to approximately 800 children in the Chinatown / Lower East Side neighborhoods. Also included in our suite of services is an academic and career advancement program for immigrant youth, an educational and recreational arts and athletic program for youth, a drug prevention program, and children and family counseling services. 

There are also current plans underway to operate a center for immigrant services.",N,"{'latitude': '40.71333', 'longitude': '-73.990827'}",MANHATTAN,40.71333,-73.990827,3.0,1.0,6.0,1003564.0,1002830015.0,Lower East Side                                                            ,,10002.0,11723.0,70.0,4.0,32.0,4.0,
