,school_year,school_dbn,community_school_district,city_council_district,school_name,of_students_in_grades_6_8,of_students_in_grades_6_8_1,_,of_8th_graders,of_8th_graders_who_have,__1
279,2015-16,17K181,17.0,45.0,P.S. 181 Brooklyn,265,156,58.90%,92,65,70.60%
280,2015-16,17K189,17.0,41.0,P.S. 189 The Bilingual Center,397,s,s,146,s,s
281,2015-16,17K246,17.0,40.0,M.S. 246 Walt Whitman,491,363,73.90%,206,135,65.50%
282,2015-16,17K334,17.0,36.0,Middle School for Academic and Social Excellence,74,s,s,40,s,s
283,2015-16,17K340,17.0,35.0,I.S. 340,202,196,97.00%,56,51,91.10%
284,2015-16,17K352,17.0,35.0,Ebbets Field Middle School,192,89,46.30%,91,88,96.70%
285,2015-16,17K353,17.0,35.0,Elijah Stroud Middle School,206,189,91.80%,99,90,90.90%
286,2015-16,17K354,17.0,36.0,The School of Integrated Learning,212,s,s,80,s,s
287,2015-16,17K382,17.0,40.0,Academy for College Preparation and Career Exploration: A College Board School,133,76,57.10%,53,42,79.30%
288,2015-16,17K394,17.0,36.0,M.S. K394,189,181,95.80%,77,72,93.50%
289,2015-16,17K484,17.0,41.0,Ronald Edmonds Learning Center II,137,83,60.60%,50,46,92.00%
290,2015-16,17K531,17.0,40.0,"School for Human Rights, The",s,s,s,s,s,s
291,2015-16,17K533,17.0,40.0,School for Democracy and Leadership,s,s,s,s,s,s
292,2015-16,17K543,17.0,40.0,"Science, Technology and Research Early College High School at Erasmus",193,s,s,60,s,s
293,2015-16,17K590,17.0,35.0,Medgar Evers College Preparatory School,309,s,s,93,s,s
294,2015-16,17K722,17.0,41.0,New Heights Middle School,275,s,s,99,s,s
295,2015-16,18K066,18.0,42.0,P.S. 66,315,304,96.50%,109,103,94.50%
296,2015-16,18K068,18.0,46.0,I.S. 068 Isaac Bildersee,480,s,s,212,s,s
297,2015-16,18K211,18.0,46.0,I.S. 211 John Wilson,590,471,79.80%,225,196,87.10%
298,2015-16,18K235,18.0,41.0,P.S. 235 Janice Marie Knight School,294,82,27.90%,82,82,100.00%
299,2015-16,18K285,18.0,45.0,I.S. 285 Meyer Levin,712,237,33.30%,300,161,53.70%
300,2015-16,18K366,18.0,46.0,The Science And Medicine Middle School,489,54,11.00%,173,54,31.20%
301,2015-16,18K581,18.0,41.0,East Flatbush Community Research School,134,64,47.80%,s,s,s
302,2015-16,18K588,18.0,41.0,Middle School for Art and Philosophy,221,97,43.90%,94,94,100.00%
303,2015-16,18K598,18.0,41.0,Middle School of Marketing and Legal Studies,187,s,s,74,s,s
304,2015-16,18K763,18.0,45.0,Brooklyn Science and Engineering Academy,148,147,99.30%,s,s,s
305,2015-16,19K089,19.0,37.0,P.S. 089 Cypress Hills,178,177,99.40%,63,63,100.00%
306,2015-16,19K171,19.0,37.0,I.S. 171 Abraham Lincoln,552,297,53.80%,256,20,7.80%
307,2015-16,19K218,19.0,42.0,J.H.S. 218 James P. Sinnott,436,299,68.60%,184,184,100.00%
308,2015-16,19K292,19.0,42.0,J.H.S. 292 Margaret S. Douglas,637,106,16.60%,239,92,38.50%
309,2015-16,19K306,19.0,42.0,P.S. 306 Ethan Allen,151,68,45.00%,56,33,58.90%
310,2015-16,19K311,19.0,42.0,Essence School,114,s,s,s,s,s
311,2015-16,19K364,19.0,42.0,I.S. 364 Gateway,307,188,61.20%,102,58,56.90%
312,2015-16,19K404,19.0,42.0,Academy for Young Writers,199,199,100.00%,69,69,100.00%
313,2015-16,19K409,19.0,42.0,East New York Family Academy,207,s,s,69,s,s
314,2015-16,19K422,19.0,46.0,Spring Creek Community School,221,s,s,73,s,s
315,2015-16,19K452,19.0,42.0,Frederick Douglass Academy VIII Middle School,305,300,98.40%,99,97,98.00%
316,2015-16,19K654,19.0,42.0,Van Siclen Community Middle School,314,170,54.10%,114,18,15.80%
317,2015-16,19K661,19.0,37.0,Vista Academy,359,135,37.60%,129,129,100.00%
318,2015-16,19K662,19.0,37.0,Liberty Avenue Middle School,436,400,91.70%,153,143,93.50%
319,2015-16,19K663,19.0,42.0,School of the Future Brooklyn,154,110,71.40%,55,12,21.80%
320,2015-16,19K678,19.0,42.0,East New York Middle School of Excellence,254,166,65.40%,86,s,s
321,2015-16,19K760,19.0,37.0,Highland Park Community School,207,103,49.80%,s,s,s
322,2015-16,20K030,20.0,43.0,P.S./I.S. 30 Mary White Ovington,403,403,100.00%,150,150,100.00%
323,2015-16,20K062,20.0,40.0,J.H.S. 062 Ditmas,"1,196",692,57.90%,442,s,s
324,2015-16,20K104,20.0,43.0,P.S./I.S. 104 The Fort Hamilton School,491,478,97.40%,160,159,99.40%
325,2015-16,20K163,20.0,43.0,P.S. 163 Bath Beach,232,115,49.60%,69,56,81.20%
326,2015-16,20K180,20.0,44.0,The SEEALL Academy,503,s,s,154,s,s
327,2015-16,20K187,20.0,38.0,The Christa McAuliffe School\I.S. 187,992,710,71.60%,368,367,99.70%
328,2015-16,20K192,20.0,44.0,P.S. 192 - The Magnet School for Math and Science Inquiry,178,s,s,59,59,100.00%
329,2015-16,20K201,20.0,43.0,J.H.S. 201 The Dyker Heights,"1,484","1,464",98.70%,475,474,99.80%
330,2015-16,20K220,20.0,38.0,J.H.S. 220 John J. Pershing,"1,441",980,68.00%,460,112,24.30%
331,2015-16,20K223,20.0,44.0,J.H.S. 223 The Montauk,"1,013",590,58.20%,343,294,85.70%
332,2015-16,20K227,20.0,38.0,J.H.S. 227 Edward B. Shallow,"1,313","1,164",88.70%,446,429,96.20%
333,2015-16,20K229,20.0,43.0,P.S. 229 Dyker,321,190,59.20%,91,91,100.00%
334,2015-16,20K259,20.0,43.0,J.H.S. 259 William Mckinley,"1,621",591,36.50%,495,495,100.00%
335,2015-16,20K609,20.0,44.0,Urban Assembly School for Criminal Justice,197,127,64.50%,s,s,s
336,2015-16,20K686,20.0,44.0,Brooklyn School of Inquiry,154,s,s,s,s,s
337,2015-16,21K095,21.0,47.0,P.S. 095 The Gravesend,141,s,s,50,s,s
338,2015-16,21K096,21.0,44.0,I.S. 096 Seth Low,669,390,58.30%,234,11,4.70%
339,2015-16,21K098,21.0,48.0,I.S. 98 Bay Academy,"1,486","1,463",98.40%,465,456,98.10%
340,2015-16,21K099,21.0,44.0,P.S. 099 Isaac Asimov,249,249,100.00%,76,76,100.00%
341,2015-16,21K121,21.0,44.0,P.S. 121 Nelson A. Rockefeller,85,85,100.00%,31,31,100.00%
342,2015-16,21K209,21.0,48.0,P.S. 209 Margaret Mead,180,115,63.90%,68,65,95.60%
343,2015-16,21K225,21.0,48.0,P.S. K225 - The Eileen E. Zaglin,387,s,s,140,s,s
344,2015-16,21K226,21.0,44.0,P.S. 226 Alfred De B.Mason,296,s,s,90,s,s
345,2015-16,21K228,21.0,47.0,I.S. 228 David A. Boody,"1,372",905,66.00%,417,390,93.50%
346,2015-16,21K238,21.0,44.0,P.S. 238 Anne Sullivan,172,69,40.10%,47,44,93.60%
347,2015-16,21K239,21.0,47.0,Mark Twain I.S. 239 for the Gifted & Talented,"1,333","1,034",77.60%,477,416,87.20%
348,2015-16,21K281,21.0,47.0,I.S. 281 Joseph B Cavallaro,"1,191",767,64.40%,416,384,92.30%
349,2015-16,21K288,21.0,47.0,P.S. 288 The Shirley Tanyhill,s,s,s,s,s,s
350,2015-16,21K303,21.0,47.0,I.S. 303 Herbert S. Eisenberg,506,s,s,188,s,s
351,2015-16,21K468,21.0,47.0,Kingsborough Early College School,237,s,s,56,s,s
352,2015-16,21K690,21.0,47.0,Brooklyn Studio Secondary School,255,88,34.50%,87,87,100.00%
353,2015-16,22K014,22.0,48.0,J.H.S. 014 Shell Bank,560,559,99.80%,194,194,100.00%
354,2015-16,22K078,22.0,46.0,J.H.S. 078 Roy H. Mann,653,428,65.50%,258,255,98.80%
355,2015-16,22K109,22.0,45.0,P.S. 109,266,265,99.60%,s,s,s
356,2015-16,22K206,22.0,48.0,P.S. 206 Joseph F Lamb,358,224,62.60%,114,112,98.30%
357,2015-16,22K207,22.0,46.0,P.S. 207 Elizabeth G. Leary,407,261,64.10%,113,112,99.10%
358,2015-16,22K234,22.0,48.0,J.H.S. 234 Arthur W. Cunningham,"1,991","1,586",79.70%,638,524,82.10%
359,2015-16,22K240,22.0,45.0,Andries Hudde,843,498,59.10%,301,157,52.20%
360,2015-16,22K278,22.0,46.0,J.H.S. 278 Marine Park,935,11,1.20%,323,s,s
361,2015-16,22K381,22.0,48.0,I. S. 381,304,129,42.40%,112,86,76.80%
362,2015-16,23K041,23.0,42.0,P.S. 041 Francis White,159,159,100.00%,40,40,100.00%
363,2015-16,23K137,23.0,41.0,P.S./I.S. 137 Rachel Jean Mitchell,95,29,30.50%,34,s,s
364,2015-16,23K155,23.0,37.0,P.S./ I.S. 155 Nicholas Herkimer,137,137,100.00%,56,56,100.00%
365,2015-16,23K165,23.0,42.0,P.S. 165 Ida Posner,115,39,33.90%,35,34,97.10%
366,2015-16,23K178,23.0,41.0,P.S. 178 Saint Clair Mckelway,110,s,s,50,s,s
367,2015-16,23K184,23.0,42.0,P.S. 184 Newport,124,17,13.70%,s,s,s
368,2015-16,23K284,23.0,41.0,"The Gregory Jocko Jackson School of Sports, Art, and Technology",201,189,94.00%,84,83,98.80%
369,2015-16,23K323,23.0,41.0,P.S./I.S. 323,184,35,19.00%,60,33,55.00%
370,2015-16,23K327,23.0,41.0,P.S. 327 Dr. Rose B. English,152,57,37.50%,63,s,s
371,2015-16,23K363,23.0,37.0,Brownsville Collaborative Middle School,99,68,68.70%,s,s,s
372,2015-16,23K392,23.0,41.0,I.S. 392,257,s,s,62,s,s
373,2015-16,23K518,23.0,42.0,Kappa V (Knowledge and Power Preparatory Academy),189,118,62.40%,58,58,100.00%
374,2015-16,23K522,23.0,41.0,Mott Hall IV,183,118,64.50%,80,77,96.20%
375,2015-16,23K644,23.0,41.0,Eagle Academy for Young Men II,256,s,s,99,s,s
376,2015-16,23K664,23.0,37.0,Brooklyn Environmental Exploration School (BEES),113,s,s,44,s,s
377,2015-16,23K668,23.0,42.0,Riverdale Avenue Middle School,114,65,57.00%,44,39,88.60%
378,2015-16,23K671,23.0,41.0,Mott Hall Bridges Academy,199,190,95.50%,66,58,87.90%
379,2015-16,23K697,23.0,41.0,Teachers Preparatory High School,71,45,63.40%,24,22,91.70%
380,2015-16,24Q005,24.0,25.0,I.S. 5 - The Walter Crowley Intermediate School,"1,828",764,41.80%,595,525,88.20%
381,2015-16,24Q049,24.0,30.0,P.S. 049 Dorothy Bonawit Kole,386,s,s,112,s,s
382,2015-16,24Q058,24.0,30.0,P.S. 58 - The School of Heroes,127,112,88.20%,s,s,s
383,2015-16,24Q061,24.0,21.0,I.S. 061 Leonardo Da Vinci,"2,207",57,2.60%,812,39,4.80%
384,2015-16,24Q073,24.0,30.0,I.S. 73 - The Frank Sansivieri Intermediate School,"2,000",969,48.40%,680,376,55.30%
385,2015-16,24Q077,24.0,34.0,I.S. 077,"1,027",386,37.60%,356,119,33.40%
386,2015-16,24Q087,24.0,30.0,P.S./I.S. 087 Middle Village,175,109,62.30%,s,s,s
387,2015-16,24Q093,24.0,30.0,I.S. 093 Ridgewood,"1,143","1,006",88.00%,366,293,80.00%
388,2015-16,24Q102,24.0,25.0,P.S. 102 Bayview,382,380,99.50%,117,117,100.00%
389,2015-16,24Q113,24.0,30.0,P.S./I.S. 113 Anthony J. Pranzo,363,11,3.00%,110,s,s
390,2015-16,24Q119,24.0,30.0,I.S. 119 The Glendale,701,13,1.90%,242,s,s
391,2015-16,24Q125,24.0,26.0,I.S. 125 Thom J. McCann Woodside,"1,498",403,26.90%,551,329,59.70%
392,2015-16,24Q128,24.0,30.0,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",305,199,65.20%,93,93,100.00%
393,2015-16,24Q153,24.0,30.0,P.S. 153 Maspeth Elem,146,s,s,s,s,s
394,2015-16,24Q311,24.0,21.0,Corona Arts and Sciences Academy,300,147,49.00%,90,33,36.70%
395,2015-16,24Q560,24.0,26.0,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",114,s,s,s,s,s
396,2015-16,25Q025,25.0,19.0,I.S. 025 Adrien Block,873,11,1.30%,277,s,s
397,2015-16,25Q164,25.0,24.0,P.S. 164 Queens Valley,242,240,99.20%,68,68,100.00%
398,2015-16,25Q185,25.0,19.0,J.H.S. 185 Edward Bleeker,"1,567",28,1.80%,551,s,s
399,2015-16,25Q189,25.0,20.0,J.H.S. 189 Daniel Carter Beard,693,690,99.60%,219,216,98.60%
400,2015-16,25Q194,25.0,19.0,J.H.S. 194 William Carr,"1,120","1,049",93.70%,351,338,96.30%
401,2015-16,25Q200,25.0,24.0,P.S./M.S. 200 - The Pomonok School & STAR Academy,158,s,s,45,s,s
402,2015-16,25Q219,25.0,24.0,P.S. 219 Paul Klapper,253,s,s,83,s,s
403,2015-16,25Q237,25.0,20.0,I.S. 237,"1,261","1,124",89.10%,428,365,85.30%
404,2015-16,25Q250,25.0,24.0,I.S. 250 The Robert F. Kennedy Community Middle School,391,236,60.40%,114,100,87.70%
405,2015-16,25Q252,25.0,24.0,"Queens School of Inquiry, The",235,215,91.50%,79,59,74.70%
406,2015-16,25Q281,25.0,20.0,East-West School of International Studies,320,101,31.60%,98,98,100.00%
407,2015-16,25Q285,25.0,19.0,World Journalism Preparatory: A College Board School,232,155,66.80%,80,79,98.80%
408,2015-16,25Q294,25.0,19.0,BELL Academy,367,367,100.00%,96,96,100.00%
409,2015-16,25Q499,25.0,24.0,"The Queens College School for Math, Science and Technology",167,161,96.40%,56,56,100.00%
410,2015-16,26Q067,26.0,19.0,J.H.S. 067 Louis Pasteur,897,802,89.40%,287,193,67.30%
411,2015-16,26Q074,26.0,23.0,J.H.S. 074 Nathaniel Hawthorne,"1,124",379,33.70%,364,s,s
412,2015-16,26Q158,26.0,19.0,M.S. 158 Marie Curie,"1,086",373,34.30%,372,367,98.70%
413,2015-16,26Q172,26.0,23.0,Irwin Altman Middle School 172,986,s,s,341,s,s
414,2015-16,26Q178,26.0,23.0,P.S./ IS 178 Holliswood,185,s,s,64,s,s
415,2015-16,26Q216,26.0,24.0,J.H.S. 216 George J. Ryan,"1,417",478,33.70%,472,472,100.00%
416,2015-16,26Q266,26.0,23.0,P.S./I.S. 266,229,s,s,80,s,s
417,2015-16,27Q042,27.0,31.0,P.S./M.S 042 R. Vernam,214,144,67.30%,68,68,100.00%
418,2015-16,27Q043,27.0,31.0,P.S. 043,245,140,57.10%,69,57,82.60%
419,2015-16,27Q045,27.0,28.0,P.S. 045 Clarence Witherspoon,29,s,s,s,s,s
420,2015-16,27Q047,27.0,32.0,P.S. 047 Chris Galas,49,s,s,s,s,s
421,2015-16,27Q053,27.0,31.0,M.S. 053 Brian Piccolo,317,170,53.60%,105,54,51.40%
422,2015-16,27Q105,27.0,31.0,P.S. 105 The Bay School,261,85,32.60%,91,83,91.20%
423,2015-16,27Q114,27.0,32.0,P.S./M.S. 114 Belle Harbor,110,s,s,s,s,s
424,2015-16,27Q124,27.0,28.0,P.S. 124 Osmond A Church,488,309,63.30%,180,164,91.10%
425,2015-16,27Q137,27.0,32.0,M.S. 137 America's School of Heroes,"1,917","1,305",68.10%,636,636,100.00%
426,2015-16,27Q146,27.0,32.0,P.S. 146 Howard Beach,205,204,99.50%,67,66,98.50%
427,2015-16,27Q183,27.0,31.0,P.S. 183 Dr. Richard R. Green,174,139,79.90%,45,45,100.00%
428,2015-16,27Q202,27.0,32.0,J.H.S. 202 Robert H. Goddard,"1,060",951,89.70%,349,289,82.80%
429,2015-16,27Q207,27.0,32.0,P.S. 207 Rockwood Park,231,144,62.30%,71,71,100.00%
430,2015-16,27Q210,27.0,32.0,J.H.S. 210 Elizabeth Blackwell,"1,882","1,722",91.50%,654,632,96.60%
431,2015-16,27Q226,27.0,28.0,J.H.S. 226 Virgil I. Grissom,934,279,29.90%,339,252,74.30%
432,2015-16,27Q232,27.0,32.0,P.S. 232 Lindenwood,299,183,61.20%,87,87,100.00%
433,2015-16,27Q262,27.0,32.0,Channel View School for Research,232,92,39.70%,58,s,s
434,2015-16,27Q282,27.0,31.0,Knowledge and Power Preparatory Academy VI,259,250,96.50%,87,82,94.20%
435,2015-16,27Q297,27.0,28.0,Hawtree Creek Middle School,361,90,24.90%,s,s,s
436,2015-16,27Q309,27.0,31.0,Academy of Medical Technology: A College Board School,209,199,95.20%,74,71,96.00%
437,2015-16,27Q318,27.0,32.0,Waterside School For Leadership,215,40,18.60%,67,39,58.20%
438,2015-16,27Q319,27.0,31.0,Village Academy,330,s,s,118,s,s
439,2015-16,27Q323,27.0,32.0,Scholars' Academy,756,734,97.10%,263,252,95.80%
440,2015-16,27Q333,27.0,31.0,Goldie Maple Academy,124,s,s,44,s,s
441,2015-16,28Q008,28.0,27.0,J.H.S. 008 Richard S. Grossley,368,254,69.00%,137,115,83.90%
442,2015-16,28Q072,28.0,28.0,Catherine & Count Basie Middle School 72,609,186,30.50%,289,100,34.60%
443,2015-16,28Q099,28.0,29.0,P.S. 099 Kew Gardens,79,s,s,s,s,s
444,2015-16,28Q101,28.0,29.0,P.S. 101 School in the Gardens,25,s,s,s,s,s
445,2015-16,28Q157,28.0,29.0,J.H.S. 157 Stephen A. Halsey,"1,521","1,427",93.80%,503,454,90.30%
446,2015-16,28Q167,28.0,29.0,Metropolitan Expeditionary Learning School,368,s,s,116,s,s
447,2015-16,28Q190,28.0,29.0,J.H.S. 190 Russell Sage,"1,051","1,005",95.60%,364,323,88.70%
448,2015-16,28Q217,28.0,24.0,J.H.S. 217 Robert A. Van Wyck,"1,621","1,036",63.90%,579,514,88.80%
449,2015-16,28Q284,28.0,27.0,York Early College Academy,278,183,65.80%,94,91,96.80%
450,2015-16,28Q287,28.0,27.0,The Emerson School,346,210,60.70%,105,90,85.70%
451,2015-16,28Q310,28.0,24.0,Queens Collegiate: A College Board School,240,151,62.90%,83,s,s
452,2015-16,28Q332,28.0,28.0,Redwood Middle School,201,s,s,s,s,s
453,2015-16,28Q358,28.0,24.0,M.S. 358,123,s,s,s,s,s
454,2015-16,28Q680,28.0,24.0,Queens Gateway to Health Sciences Secondary School,274,183,66.80%,91,91,100.00%
455,2015-16,28Q896,28.0,24.0,"Young Women's Leadership School, Queens",236,159,67.40%,s,s,s
456,2015-16,29Q059,29.0,27.0,I.S. 059 Springfield Gardens,556,405,72.80%,183,151,82.50%
457,2015-16,29Q109,29.0,23.0,Jean Nuzzi Intermediate School,991,343,34.60%,345,339,98.30%
458,2015-16,29Q116,29.0,27.0,P.S./I.S. 116 William C. Hughley,169,s,s,43,s,s
459,2015-16,29Q138,29.0,31.0,P.S./M.S. 138 Sunrise,314,178,56.70%,94,76,80.80%
460,2015-16,29Q147,29.0,27.0,P.S./M.S. 147 Ronald McNair,220,70,31.80%,69,69,100.00%
461,2015-16,29Q192,29.0,27.0,I.S. 192 The Linden,522,436,83.50%,177,171,96.60%
462,2015-16,29Q208,29.0,23.0,P.S./I.S. 208,269,s,s,87,s,s
463,2015-16,29Q238,29.0,27.0,I.S. 238 - Susan B. Anthony Academy,"1,522",884,58.10%,519,393,75.70%
464,2015-16,29Q259,29.0,27.0,Pathways College Preparatory School: A College Board School,213,s,s,58,s,s
465,2015-16,29Q268,29.0,27.0,P.S./I.S. 268,183,s,s,52,s,s
466,2015-16,29Q270,29.0,31.0,The Gordon Parks School,239,138,57.70%,71,71,100.00%
467,2015-16,29Q283,29.0,31.0,Preparatory Academy for Writers: A College Board School,165,s,s,53,s,s
468,2015-16,29Q289,29.0,31.0,Queens United Middle School,239,229,95.80%,79,79,100.00%
469,2015-16,29Q295,29.0,23.0,P.S./I.S. 295,183,111,60.70%,53,48,90.60%
470,2015-16,29Q327,29.0,27.0,Eagle Academy for Young Men III,234,234,100.00%,75,75,100.00%
471,2015-16,29Q355,29.0,31.0,Collaborative Arts Middle School,400,14,3.50%,149,s,s
472,2015-16,29Q356,29.0,31.0,Community Voices Middle School,375,371,98.90%,153,151,98.70%
473,2015-16,30Q010,30.0,22.0,I.S. 010 Horace Greeley,794,743,93.60%,300,298,99.30%
474,2015-16,30Q011,30.0,26.0,P.S. 011 Kathryn Phelan,145,143,98.60%,s,s,s
475,2015-16,30Q078,30.0,26.0,P.S./I.S. 78Q,96,91,94.80%,29,29,100.00%
476,2015-16,30Q084,30.0,22.0,P.S. 084 Steinway,14,14,100.00%,s,s,s
477,2015-16,30Q111,30.0,26.0,P.S. 111 Jacob Blackwell,98,33,33.70%,34,32,94.10%
478,2015-16,30Q122,30.0,22.0,P.S. 122 Mamie Fay,284,284,100.00%,92,92,100.00%
479,2015-16,30Q126,30.0,22.0,Albert Shanker School for Visual and Performing Arts,580,209,36.00%,207,207,100.00%
480,2015-16,30Q127,30.0,21.0,P.S. 127 Aerospace Science Magnet School,397,391,98.50%,127,125,98.40%
481,2015-16,30Q141,30.0,22.0,I.S. 141 The Steinway,"1,148",755,65.80%,387,387,100.00%
482,2015-16,30Q145,30.0,25.0,I.S. 145 Joseph Pulitzer,"1,945","1,173",60.30%,684,511,74.70%
483,2015-16,30Q150,30.0,26.0,P.S. 150 Queens,104,53,51.00%,s,s,s
484,2015-16,30Q204,30.0,26.0,I.S. 204 Oliver W. Holmes,485,455,93.80%,171,166,97.10%
485,2015-16,30Q227,30.0,21.0,I.S. 227 Louis Armstrong,"1,386","1,055",76.10%,457,168,36.80%
486,2015-16,30Q230,30.0,25.0,I.S. 230,"1,204","1,123",93.30%,334,294,88.00%
487,2015-16,30Q235,30.0,22.0,Academy for New Americans,207,s,s,68,s,s
488,2015-16,30Q286,30.0,22.0,"Young Women's Leadership School, Astoria",243,79,32.50%,78,78,100.00%
489,2015-16,30Q291,30.0,26.0,Hunters Point Community Middle School,369,10,2.70%,122,s,s
490,2015-16,30Q300,30.0,22.0,The 30th Avenue School (G&T Citywide),75,s,s,s,s,s
491,2015-16,30Q580,30.0,26.0,Baccalaureate School for Global Education,186,92,49.50%,80,45,56.30%
492,2015-16,31R002,31.0,50.0,I.S. R002 George L. Egbert,819,557,68.00%,259,208,80.30%
493,2015-16,31R007,31.0,51.0,I.S. 007 Elias Bernstein,"1,191",s,s,411,s,s
494,2015-16,31R024,31.0,51.0,I.S. 024 Myra S. Barnes,"1,292",887,68.70%,454,443,97.60%
495,2015-16,31R027,31.0,49.0,I.S. 027 Anning S. Prall,"1,038",644,62.00%,373,321,86.10%
496,2015-16,31R028,31.0,49.0,The Eagle Academy for Young Men of Staten Island,124,39,31.50%,s,s,s
497,2015-16,31R034,31.0,51.0,I.S. 034 Tottenville,"1,170","1,122",95.90%,387,356,92.00%
498,2015-16,31R048,31.0,50.0,P.S. 048 William G. Wilcox,315,s,s,s,s,s
499,2015-16,31R049,31.0,49.0,I.S. 49 Berta A. Dreyfus,785,476,60.60%,279,216,77.40%
500,2015-16,31R051,31.0,50.0,I.S. 051 Edwin Markham,"1,284",875,68.20%,468,346,73.90%
501,2015-16,31R061,31.0,49.0,I.S. 061 William A Morris,"1,108",752,67.90%,384,341,88.80%
502,2015-16,31R063,31.0,51.0,Marsh Avenue School for Expeditionary Learning,437,s,s,137,s,s
503,2015-16,31R072,31.0,51.0,I.S. 072 Rocco Laurie,"1,326",848,64.00%,437,413,94.50%
504,2015-16,31R075,31.0,51.0,I.S. 075 Frank D. Paulo,"1,386",973,70.20%,470,344,73.20%
505,2015-16,31R080,31.0,50.0,The Michael J. Petrides School,284,s,s,s,s,s
506,2015-16,31R861,31.0,49.0,Staten Island School of Civic Leadership,298,10,3.40%,97,s,s
507,2015-16,32K045,32.0,37.0,P.S./I.S. 045 Horace E. Greene,201,s,s,60,s,s
508,2015-16,32K162,32.0,34.0,J.H.S. 162 The Willoughby,472,408,86.40%,168,152,90.50%
509,2015-16,32K291,32.0,37.0,J.H.S. 291 Roland Hayes,345,228,66.10%,128,115,89.80%
510,2015-16,32K347,32.0,34.0,I.S. 347 School of Humanities,300,s,s,109,s,s
511,2015-16,32K349,32.0,34.0,"I.S. 349 Math, Science & Tech.",305,111,36.40%,122,111,91.00%
512,2015-16,32K377,32.0,37.0,P.S. 377 Alejandrina B. De Gautier,162,99,61.10%,54,52,96.30%
513,2015-16,32K383,32.0,37.0,J.H.S. 383 Philippa Schuyler,894,26,2.90%,283,25,8.80%
514,2015-16,32K384,32.0,37.0,P.S. /I.S. 384 Frances E. Carter,203,202,99.50%,79,79,100.00%
515,2015-16,32K554,32.0,37.0,All City Leadership Secondary School,181,62,34.30%,61,61,100.00%
516,2015-16,32K562,32.0,37.0,Evergreen Middle School for Urban Exploration,302,291,96.40%,111,101,91.00%
517,2015-16,75K036,75.0,42.0,P.S. 36,89,89,100.00%,26,26,100.00%
518,2015-16,75K053,75.0,38.0,P.S. K053,118,s,s,48,s,s
519,2015-16,75K077,75.0,48.0,P.S. K077,57,s,s,20,s,s
520,2015-16,75K140,75.0,36.0,P.S. K140,96,94,97.90%,30,30,100.00%
521,2015-16,75K141,75.0,40.0,P.S. K141,151,s,s,60,s,s
522,2015-16,75K231,75.0,44.0,P.S. K231,58,s,s,25,s,s
523,2015-16,75K368,75.0,36.0,P.S. 368,87,47,54.00%,31,21,67.70%
524,2015-16,75K369,75.0,33.0,P.S. K369 - Coy L. Cox School,188,85,45.20%,62,36,58.10%
525,2015-16,75K370,75.0,48.0,P.S. 370,68,s,s,11,s,s
526,2015-16,75K372,75.0,39.0,P.S. 372 -The Children's School,s,s,s,s,s,s
527,2015-16,75K396,75.0,41.0,P.S. K396,91,s,s,s,s,s
528,2015-16,75K721,75.0,47.0,P.S. K721 - Brooklyn Occupational Training Center,s,s,s,s,s,s
529,2015-16,75K771,75.0,48.0,P.S. K771,95,60,63.20%,25,18,72.00%
530,2015-16,75K811,75.0,48.0,P.S. K811 Connie Lekas School,45,12,26.70%,19,10,52.60%
531,2015-16,75M035,75.0,3.0,P.S. 035,s,s,s,s,s,s
532,2015-16,75M079,75.0,9.0,P.S. M079 - Horan School,s,s,s,s,s,s
533,2015-16,75M094,75.0,1.0,P.S. M094,69,s,s,26,s,s
534,2015-16,75M138,75.0,9.0,P.S. 138,138,10,7.20%,54,s,s
535,2015-16,75M169,75.0,4.0,P.S. M169 - Robert F. Kennedy,117,15,12.80%,45,s,s
536,2015-16,75M226,75.0,2.0,P.S. M226,62,s,s,21,s,s
537,2015-16,75M721,75.0,3.0,P.S. M721 - Manhattan Occupational Training Center,s,s,s,s,s,s
538,2015-16,75M811,75.0,6.0,P.S. M811 - Mickey Mantle School,95,23,24.20%,34,10,29.40%
539,2015-16,75Q004,75.0,23.0,P.S. Q004,62,62,100.00%,10,10,100.00%
540,2015-16,75Q009,75.0,30.0,P.S. 009,204,162,79.40%,73,62,84.90%
541,2015-16,75Q023,75.0,23.0,P.S. Q023 @ Queens Children Center,75,16,21.30%,34,12,35.30%
542,2015-16,75Q075,75.0,34.0,Robert E. Peary School,154,37,24.00%,s,s,s
543,2015-16,75Q177,75.0,20.0,P.S. Q177,137,40,29.20%,59,10,16.90%
544,2015-16,75Q224,75.0,23.0,P.S. Q224,73,35,47.90%,20,11,55.00%
545,2015-16,75Q233,75.0,29.0,P.S. Q233,81,s,s,s,s,s
546,2015-16,75Q255,75.0,24.0,P.S. Q255,85,s,s,s,s,s
547,2015-16,75Q277,75.0,26.0,The Riverview School,67,s,s,25,s,s
548,2015-16,75Q811,75.0,23.0,P.S. Q811,45,45,100.00%,22,22,100.00%
549,2015-16,75Q993,75.0,23.0,P.S. Q993,79,63,79.80%,34,24,70.60%
550,2015-16,75R025,75.0,51.0,South Richmond High School I.S./P.S. 25,178,140,78.60%,56,45,80.40%
551,2015-16,75R037,75.0,51.0,P.S. R037,62,s,s,10,s,s
