,rownumber,animalname,animalgender,animalbirth,breedname,zipcode,licenseissueddate,licenseexpireddate,extract_year
232,233,WYLIE,M,2010,German Shepherd Dog,10014,2014-09-30T00:00:00.000,2019-09-30T00:00:00.000,2016
233,234,COPPER,M,2007,"Welsh Corgi, Cardigan",10022,2014-09-30T00:00:00.000,2016-09-30T00:00:00.000,2016
234,235,KODIE,M,2012,Border Collie,10301,2014-09-30T00:00:00.000,2017-09-30T00:00:00.000,2016
235,236,TIKUIOE,M,2014,Yorkshire Terrier,11373,2014-10-01T00:00:00.000,2017-10-01T00:00:00.000,2016
236,237,SPIKE,M,2012,Unknown,10023,2014-10-01T00:00:00.000,2016-10-31T00:00:00.000,2016
237,238,RICKY,M,2003,Chihuahua,10011,2014-10-01T00:00:00.000,2017-10-30T00:00:00.000,2016
238,239,DARCY,F,2010,Dachshund,10014,2014-10-01T00:00:00.000,2016-10-01T00:00:00.000,2016
239,240,HUNDLEY,M,2012,Chihuahua,11105,2014-10-01T00:00:00.000,2017-10-05T00:00:00.000,2016
240,241,DAYO,M,2011,Unknown,10306,2014-10-01T00:00:00.000,2019-10-02T00:00:00.000,2016
241,242,MCHUMBA,M,2012,Rhodesian Ridgeback,10306,2014-10-01T00:00:00.000,2019-10-20T00:00:00.000,2016
242,243,KUMBUKA,F,2010,Rhodesian Ridgeback,10306,2014-10-01T00:00:00.000,2019-10-22T00:00:00.000,2016
243,244,UMA,F,2009,Rottweiler,10456,2014-10-01T00:00:00.000,2017-10-19T00:00:00.000,2016
244,245,RAYE,F,2008,Unknown,11105,2014-10-01T00:00:00.000,2017-02-11T00:00:00.000,2016
245,246,JAKE,M,2013,Puggle,10026,2014-10-01T00:00:00.000,2017-10-01T00:00:00.000,2016
246,247,PEBBLE,F,2012,Maltese,11249,2014-10-01T00:00:00.000,2017-10-19T00:00:00.000,2016
247,248,PRINCESS,F,2008,Lhasa Apso,11694,2014-10-01T00:00:00.000,2017-10-28T00:00:00.000,2016
248,249,LOUIE,M,2008,Papillon,11105,2014-10-01T00:00:00.000,2017-09-07T00:00:00.000,2016
249,250,MADDIE,F,2007,Labrador Retriever Crossbreed,10471,2014-10-01T00:00:00.000,2016-05-26T00:00:00.000,2016
250,251,SIMBA,M,2012,Golden Retriever,11426,2014-10-02T00:00:00.000,2017-10-02T00:00:00.000,2016
251,252,JAKE,M,2012,Norwich Terrier,10027,2014-10-02T00:00:00.000,2016-11-25T00:00:00.000,2016
252,253,WINSTON,M,2013,Wheaton Terrier,10021,2014-10-02T00:00:00.000,2018-10-02T00:00:00.000,2016
253,254,MAXIMUS,M,2010,Dachshund Smooth Coat,11222,2014-10-02T00:00:00.000,2017-10-02T00:00:00.000,2016
254,255,LUCY,F,2012,Dalmatian,11231,2014-10-02T00:00:00.000,2016-10-02T00:00:00.000,2016
255,256,OONA,F,2013,Yorkshire Terrier,10021,2014-10-02T00:00:00.000,2018-10-02T00:00:00.000,2016
256,257,LEO,M,2010,Rhodesian Ridgeback,11201,2014-10-02T00:00:00.000,2017-01-28T00:00:00.000,2016
257,258,FRANNY,F,2014,German Shepherd Dog,10011,2014-10-02T00:00:00.000,2019-10-02T00:00:00.000,2016
258,259,OZ,M,2013,Yorkshire Terrier,10021,2014-10-02T00:00:00.000,2018-10-02T00:00:00.000,2016
259,260,MAXX,M,2014,Cane Corso,10301,2014-10-03T00:00:00.000,2016-10-03T00:00:00.000,2016
260,261,BOOMER,M,2013,Collie Crossbreed,10461,2014-10-03T00:00:00.000,2017-10-03T00:00:00.000,2016
261,262,B,F,2013,Unknown,10003,2014-10-03T00:00:00.000,2019-10-23T00:00:00.000,2016
262,263,EDDIE,M,2011,Maltese,11225,2014-10-03T00:00:00.000,2016-08-28T00:00:00.000,2016
263,264,JOANIE,F,2010,Chihuahua,11209,2014-10-03T00:00:00.000,2017-10-03T00:00:00.000,2016
264,265,MAXI,M,2013,"Poodle, Toy",10282,2014-10-03T00:00:00.000,2016-10-03T00:00:00.000,2016
265,266,BLUE,F,2009,American Pit Bull Terrier/Pit Bull,11218,2014-10-03T00:00:00.000,2016-02-27T00:00:00.000,2016
266,267,VALENTINA,F,2011,Yorkshire Terrier,11229,2014-10-03T00:00:00.000,2016-08-26T00:00:00.000,2016
267,268,EZE,M,2008,"Poodle, Standard",10002,2014-10-03T00:00:00.000,2017-09-23T00:00:00.000,2016
268,269,REILY,F,2007,Maltese,11225,2014-10-03T00:00:00.000,2016-10-07T00:00:00.000,2016
269,270,LLOYD,M,2006,Boston Terrier,10025,2014-10-03T00:00:00.000,2016-10-03T00:00:00.000,2016
270,271,YOSHI,F,2009,Chihuahua,11378,2014-10-04T00:00:00.000,2019-10-04T00:00:00.000,2016
271,272,LOLA,F,2002,Dachshund,10011,2014-10-04T00:00:00.000,2017-10-04T00:00:00.000,2016
272,273,BUTCH,M,2012,Shih Tzu,10459,2014-10-04T00:00:00.000,2016-10-04T00:00:00.000,2016
273,274,BARKLEY,F,2013,Jack Russell Terrier,11201,2014-10-04T00:00:00.000,2017-10-02T00:00:00.000,2016
274,275,BUDDY,M,2014,Labrador Retriever Crossbreed,10016,2014-10-04T00:00:00.000,2019-10-04T00:00:00.000,2016
275,276,QUEENIE,F,2004,Dachshund Smooth Coat,10003,2014-10-04T00:00:00.000,2017-10-04T00:00:00.000,2016
276,277,ALISTAIR,M,2012,Labradoodle,10011,2014-10-04T00:00:00.000,2016-10-04T00:00:00.000,2016
277,278,INDIANA,M,2013,Vizsla,10075,2014-10-04T00:00:00.000,2016-11-24T00:00:00.000,2016
278,279,ZOEY,F,2012,American Pit Bull Mix / Pit Bull Mix,11416,2014-10-04T00:00:00.000,2017-10-04T00:00:00.000,2016
279,280,LAYLA,F,2013,Havanese,10065,2014-10-04T00:00:00.000,2019-10-04T00:00:00.000,2016
280,281,DASHIELL,M,2001,Unknown,11201,2014-10-05T00:00:00.000,2016-10-31T00:00:00.000,2016
281,282,SENSATION,F,2014,Mastiff,10035,2014-10-05T00:00:00.000,2016-10-05T00:00:00.000,2016
282,283,SEAVER,M,2013,Labrador Retriever Crossbreed,11106,2014-10-05T00:00:00.000,2019-10-06T00:00:00.000,2016
283,284,BETSY,F,2006,Unknown,10021,2014-10-05T00:00:00.000,2019-10-31T00:00:00.000,2016
284,285,ADELINE,F,2013,"Poodle, Toy",10036,2014-10-05T00:00:00.000,2019-10-05T00:00:00.000,2016
285,286,SIMBA,M,2014,Beagle,11385,2014-10-05T00:00:00.000,2016-10-05T00:00:00.000,2016
286,287,BUDDY,M,2010,Cocker Spaniel,10038,2014-10-05T00:00:00.000,2019-10-15T00:00:00.000,2016
287,288,BLU,M,2014,Cane Corso,11216,2014-10-05T00:00:00.000,2019-10-05T00:00:00.000,2016
288,289,BOURNE,M,2014,Golden Retriever,11201,2014-10-05T00:00:00.000,2017-10-05T00:00:00.000,2016
289,290,TEMPTATION,M,2014,Mastiff,10035,2014-10-05T00:00:00.000,2016-10-05T00:00:00.000,2016
290,291,COOKIE,F,2007,Yorkshire Terrier,11222,2014-10-06T00:00:00.000,2016-10-06T00:00:00.000,2016
291,292,ZAI,M,2010,Belgian Malinois,11221,2014-10-06T00:00:00.000,2017-10-06T00:00:00.000,2016
292,293,REMY,M,2011,Bichon Frise,11355,2014-10-06T00:00:00.000,2017-10-06T00:00:00.000,2016
293,294,NUCKY,F,2012,"Bull Dog, French",11222,2014-10-06T00:00:00.000,2019-04-22T00:00:00.000,2016
294,295,LILY,F,2007,Labrador Retriever,11378,2014-10-06T00:00:00.000,2019-10-06T00:00:00.000,2016
295,296,DANNY,M,2006,Unknown,10471,2014-10-06T00:00:00.000,2017-10-07T00:00:00.000,2016
296,297,BEAR,M,2013,Poodle,11215,2014-10-06T00:00:00.000,2019-10-06T00:00:00.000,2016
297,298,GRACIE,F,2002,Unknown,10304,2014-10-06T00:00:00.000,2016-10-30T00:00:00.000,2016
298,299,SWEETIE,F,2011,Unknown,11235,2014-10-06T00:00:00.000,2019-10-11T00:00:00.000,2016
299,300,JASMINE,F,2007,Chihuahua,10304,2014-10-06T00:00:00.000,2016-10-01T00:00:00.000,2016
300,301,ANGEL,M,2008,Yorkshire Terrier,11222,2014-10-06T00:00:00.000,2016-10-06T00:00:00.000,2016
301,302,SCOUT,F,2013,"Poodle, Miniature",10023,2014-10-06T00:00:00.000,2016-10-06T00:00:00.000,2016
302,303,TUNA,F,2005,Toy Fox Terrier,11221,2014-10-06T00:00:00.000,2017-10-06T00:00:00.000,2016
303,304,CHEWY,M,2003,Greyhound,10314,2014-10-06T00:00:00.000,2016-03-29T00:00:00.000,2016
304,305,BROOKLYN,F,2011,Unknown,10003,2014-10-07T00:00:00.000,2019-10-24T00:00:00.000,2016
305,306,JORDAN,F,2007,American Staffordshire Terrier,10040,2014-10-07T00:00:00.000,2016-10-07T00:00:00.000,2016
306,307,BANDIT,M,2014,Shih Tzu,10001,2014-10-07T00:00:00.000,2016-10-07T00:00:00.000,2016
307,308,SPENCER,F,2014,German Shepherd Crossbreed,11215,2014-10-07T00:00:00.000,2019-10-07T00:00:00.000,2016
308,309,MIA,F,2009,Miniature American Shepherd,11106,2014-10-07T00:00:00.000,2019-10-07T00:00:00.000,2016
309,310,SKIPPY,M,2004,Jack Russell Terrier,11215,2014-10-07T00:00:00.000,2017-10-07T00:00:00.000,2016
310,311,CUSHI,M,2011,Yorkshire Terrier,11372,2014-10-07T00:00:00.000,2016-02-17T00:00:00.000,2016
311,312,TRAVIS,M,2007,"Poodle, Miniature",10007,2014-10-07T00:00:00.000,2017-10-07T00:00:00.000,2016
312,313,MAYBELLENE,F,2007,Unknown,11222,2014-10-07T00:00:00.000,2017-05-07T00:00:00.000,2016
313,314,DAX,M,2009,"Welsh Corgi, Cardigan",10021,2014-10-07T00:00:00.000,2019-10-07T00:00:00.000,2016
314,315,BEEZIE,F,2013,French Bulldog,10012,2014-10-08T00:00:00.000,2017-10-08T00:00:00.000,2016
315,316,HENDRIX,M,2012,Shih Tzu,11375,2014-10-08T00:00:00.000,2019-10-08T00:00:00.000,2016
316,317,CLARA,F,2012,Border Collie,11205,2014-10-08T00:00:00.000,2017-10-08T00:00:00.000,2016
317,318,OTIS,M,2011,Labrador Retriever Crossbreed,11231,2014-10-08T00:00:00.000,2019-06-08T00:00:00.000,2016
318,319,BENJAMIN,M,2014,Standard Schnauzer,10032,2014-10-08T00:00:00.000,2016-10-08T00:00:00.000,2016
319,320,CODY,M,2012,Siberian Husky,11105,2014-10-08T00:00:00.000,2016-10-08T00:00:00.000,2016
320,321,WAXEY,M,2009,Chihuahua,10039,2014-10-08T00:00:00.000,2016-01-09T00:00:00.000,2016
321,322,PRINCE,M,2011,Labrador Retriever,11228,2014-10-08T00:00:00.000,2017-10-08T00:00:00.000,2016
322,323,BENDELS,M,2005,Maltese,10023,2014-10-09T00:00:00.000,2017-10-09T00:00:00.000,2016
323,324,LUNA,F,2012,Shih Tzu,10039,2014-10-09T00:00:00.000,2017-10-09T00:00:00.000,2016
324,325,RIVER,F,2013,Australian Shepherd,10012,2014-10-09T00:00:00.000,2016-08-06T00:00:00.000,2016
325,326,SASHA,F,2008,Yorkshire Terrier,11224,2014-10-09T00:00:00.000,2019-12-14T00:00:00.000,2016
326,327,DOORY,M,2011,Unknown,11106,2014-10-09T00:00:00.000,2016-10-09T00:00:00.000,2016
327,328,ZAPPA,M,2008,Border Collie,11205,2014-10-09T00:00:00.000,2016-10-09T00:00:00.000,2016
328,329,ALEX,M,2011,Yorkshire Terrier,10023,2014-10-09T00:00:00.000,2016-10-09T00:00:00.000,2016
329,330,DELILAH,F,2007,German Shepherd Crossbreed,10024,2014-10-09T00:00:00.000,2019-10-11T00:00:00.000,2016
330,331,ELLA,F,2012,Shih Tzu,10023,2014-10-09T00:00:00.000,2016-10-09T00:00:00.000,2016
331,332,BIANCO,M,2008,Maltese,11102,2014-10-09T00:00:00.000,2016-11-12T00:00:00.000,2016
332,333,POLLY,F,2013,Yorkshire Terrier,10011,2014-10-09T00:00:00.000,2019-10-09T00:00:00.000,2016
333,334,SCOOBY,F,2013,Unknown,10475,2014-10-09T00:00:00.000,2019-11-08T00:00:00.000,2016
334,335,NIKKO,M,2010,Siberian Husky,10038,2014-10-09T00:00:00.000,2016-10-14T00:00:00.000,2016
335,336,MOJO,M,2010,German Shepherd Crossbreed,11222,2014-10-09T00:00:00.000,2016-10-29T00:00:00.000,2016
336,337,LAYLA,F,2011,"Bull Dog, French",10011,2014-10-09T00:00:00.000,2017-12-11T00:00:00.000,2016
337,338,ZOEY,F,2007,Puggle,11228,2014-10-09T00:00:00.000,2019-10-09T00:00:00.000,2016
338,339,MURPHY,M,2012,Labradoodle,10016,2014-10-09T00:00:00.000,2019-07-18T00:00:00.000,2016
339,340,WATSON,M,2013,Beagle,11238,2014-10-09T00:00:00.000,2019-10-10T00:00:00.000,2016
340,341,DIESEL,M,2010,Unknown,11201,2014-10-10T00:00:00.000,2019-09-19T00:00:00.000,2016
341,342,PENNY,F,2012,Bassett Hound,10002,2014-10-10T00:00:00.000,2016-10-10T00:00:00.000,2016
342,343,CHANTILLY,F,2012,Brittany Spaniel,11415,2014-10-10T00:00:00.000,2016-10-10T00:00:00.000,2016
343,344,DODGER,M,2010,Unknown,10280,2014-10-10T00:00:00.000,2017-09-30T00:00:00.000,2016
344,345,LUNA,F,2012,Rottweiler,10451,2014-10-10T00:00:00.000,2016-10-10T00:00:00.000,2016
345,346,VALENTINE,F,1998,Jack Russell Terrier,10022,2014-10-10T00:00:00.000,2016-01-30T00:00:00.000,2016
346,347,BETSY,F,2011,Labrador Retriever,11375,2014-10-10T00:00:00.000,2019-08-01T00:00:00.000,2016
347,348,BOOMER,F,2011,Boston Terrier,11101,2014-10-10T00:00:00.000,2019-10-10T00:00:00.000,2016
348,349,TOOTSIE,F,2008,Staffordshire Bull Terrier,11385,2014-10-10T00:00:00.000,2017-08-08T00:00:00.000,2016
349,350,HUMPHREY,M,2013,Golden Retriever,10017,2014-10-11T00:00:00.000,2016-10-11T00:00:00.000,2016
350,351,AJ,M,2012,Golden Retriever,10075,2014-10-11T00:00:00.000,2017-10-11T00:00:00.000,2016
351,352,TUCKER,M,2006,Shih Tzu,11221,2014-10-11T00:00:00.000,2017-10-11T00:00:00.000,2016
352,353,PHOENXI,F,2006,Maltese,10128,2014-10-11T00:00:00.000,2019-10-11T00:00:00.000,2016
353,354,OLIVIA,F,2008,Havanese,10026,2014-10-11T00:00:00.000,2017-08-19T00:00:00.000,2016
354,355,DIZZY,M,2012,Beagle Crossbreed,10023,2014-10-11T00:00:00.000,2017-10-11T00:00:00.000,2016
355,356,XIAO,F,2007,Shih Tzu,10280,2014-10-11T00:00:00.000,2019-10-11T00:00:00.000,2016
356,357,BODHI,M,2005,Unknown,11231,2014-10-11T00:00:00.000,2019-09-09T00:00:00.000,2016
357,358,COCO,F,2011,Labradoodle,10065,2014-10-11T00:00:00.000,2017-10-11T00:00:00.000,2016
358,359,FRANKIE,F,2013,"Schnauzer, Standard",10025,2014-10-11T00:00:00.000,2019-10-11T00:00:00.000,2016
359,360,REGGIE,M,2009,"Collie, Smooth Coat",11209,2014-10-11T00:00:00.000,2017-10-12T00:00:00.000,2016
360,361,CYPHA,M,2006,Unknown,10452,2014-10-11T00:00:00.000,2017-03-17T00:00:00.000,2016
361,362,DUDLEY,M,2003,"Schnauzer, Miniature",10025,2014-10-11T00:00:00.000,2016-09-30T00:00:00.000,2016
362,363,TOBY,M,2011,Golden Retriever,10025,2014-10-11T00:00:00.000,2017-10-11T00:00:00.000,2016
363,364,LUCKY,M,2013,Maltese,11101,2014-10-11T00:00:00.000,2019-10-11T00:00:00.000,2016
364,365,WALLY,M,2009,"Bull Dog, French",11228,2014-10-11T00:00:00.000,2017-08-11T00:00:00.000,2016
365,366,RAMIRO,M,2014,Golden Retriever,10029,2014-10-11T00:00:00.000,2016-10-11T00:00:00.000,2016
366,367,JASPER,M,2010,Jack Russell Terrier,10451,2014-10-11T00:00:00.000,2019-10-11T00:00:00.000,2016
367,368,FELLA,M,2003,Lhasa Apso,10023,2014-10-11T00:00:00.000,2019-10-11T00:00:00.000,2016
368,369,BARKLEY,F,2014,Labradoodle,10128,2014-10-11T00:00:00.000,2019-10-11T00:00:00.000,2016
369,370,AMY,F,2001,Labrador Retriever Crossbreed,10023,2014-10-11T00:00:00.000,2016-10-11T00:00:00.000,2016
370,371,CHARLIE,M,2013,Vizsla,10025,2014-10-11T00:00:00.000,2019-10-11T00:00:00.000,2016
371,372,SHADOW,F,2004,Unknown,11231,2014-10-12T00:00:00.000,2016-10-02T00:00:00.000,2016
372,373,BENZO,M,2006,Unknown,10128,2014-10-12T00:00:00.000,2017-10-27T00:00:00.000,2016
373,374,PERLA,F,2004,Unknown,10471,2014-10-12T00:00:00.000,2016-12-31T00:00:00.000,2016
374,375,SORU,M,2010,Labrador Retriever Crossbreed,11238,2014-10-13T00:00:00.000,2019-10-13T00:00:00.000,2016
375,376,HERMAN,M,2012,Jack Russell Terrier,11358,2014-10-13T00:00:00.000,2017-10-13T00:00:00.000,2016
376,377,BONACKER,M,2008,American English Coonhound,10025,2014-10-13T00:00:00.000,2017-10-13T00:00:00.000,2016
377,378,BEAR,M,2013,Labrador Retriever Crossbreed,10031,2014-10-13T00:00:00.000,2016-09-24T00:00:00.000,2016
378,379,TALULLAH,F,2014,Chihuahua,10011,2014-10-13T00:00:00.000,2019-10-13T00:00:00.000,2016
379,380,SHADOW,M,2012,Labrador Retriever,11218,2014-10-13T00:00:00.000,2016-10-13T00:00:00.000,2016
380,381,LEROY,M,2010,"Bull Dog, French",10013,2014-10-13T00:00:00.000,2019-03-27T00:00:00.000,2016
381,382,MAX,M,2013,Pomeranian,11358,2014-10-13T00:00:00.000,2017-07-14T00:00:00.000,2016
382,383,OSCAR,M,2012,Border Collie,11106,2014-10-14T00:00:00.000,2016-10-14T00:00:00.000,2016
383,384,IVY,F,2004,Unknown,10065,2014-10-14T00:00:00.000,2016-01-21T00:00:00.000,2016
384,385,SAMMY,M,2007,Australian Shepherd,10027,2014-10-14T00:00:00.000,2019-10-14T00:00:00.000,2016
385,386,GOBI,M,2014,Labrador Retriever,10128,2014-10-14T00:00:00.000,2019-10-14T00:00:00.000,2016
386,387,ELLIE,F,2010,Jack Russell Terrier,11106,2014-10-14T00:00:00.000,2016-10-14T00:00:00.000,2016
387,388,ZACK,M,2010,"Poodle, Miniature",10028,2014-10-14T00:00:00.000,2017-10-14T00:00:00.000,2016
388,389,ROXIE,F,2007,Labrador Retriever,10028,2014-10-14T00:00:00.000,2017-09-24T00:00:00.000,2016
389,390,CHEWBACCA,M,2014,German Shepherd Dog,11204,2014-10-14T00:00:00.000,2019-10-14T00:00:00.000,2016
390,391,ROMEO,M,2007,Chihuahua,10022,2014-10-14T00:00:00.000,2016-07-11T00:00:00.000,2016
391,392,BAILEY,F,2006,Unknown,10019,2014-10-14T00:00:00.000,2016-03-23T00:00:00.000,2016
392,393,HUMFREY,M,2009,Shih Tzu,10021,2014-10-14T00:00:00.000,2017-10-14T00:00:00.000,2016
393,394,LOUIS,M,2000,Portuguese Water Dog,10024,2014-10-14T00:00:00.000,2016-10-17T00:00:00.000,2016
394,395,RO,F,2009,Labrador Retriever Crossbreed,11215,2014-10-14T00:00:00.000,2016-02-01T00:00:00.000,2016
395,396,JUNE,F,2011,Collie Crossbreed,11105,2014-10-14T00:00:00.000,2016-09-29T00:00:00.000,2016
396,397,BETTY,F,2012,"Bull Dog, French",11206,2014-10-15T00:00:00.000,2016-10-06T00:00:00.000,2016
397,398,MADELINA,F,2012,Beagle Crossbreed,10034,2014-10-15T00:00:00.000,2019-10-02T00:00:00.000,2016
398,399,GIZMO,M,2003,Chihuahua,10023,2014-10-15T00:00:00.000,2017-10-15T00:00:00.000,2016
399,400,SASHA,F,2002,Miniature Pinscher,11235,2014-10-15T00:00:00.000,2016-10-15T00:00:00.000,2016
400,401,JENNY,F,2012,Silky Terrier,10312,2014-10-16T00:00:00.000,2019-12-21T00:00:00.000,2016
401,402,LEXY,F,2006,Yorkshire Terrier,10019,2014-10-16T00:00:00.000,2016-10-16T00:00:00.000,2016
402,403,GABE,M,2012,Rhodesian Ridgeback,11215,2014-10-16T00:00:00.000,2017-10-16T00:00:00.000,2016
403,404,CARLY,F,2014,Doberman Pinscher,10309,2014-10-16T00:00:00.000,2019-10-16T00:00:00.000,2016
404,405,JJYODAA,M,2010,Shih Tzu,10314,2014-10-16T00:00:00.000,2019-10-16T00:00:00.000,2016
405,406,LOL,F,2008,Rottweiler,10314,2014-10-16T00:00:00.000,2016-09-17T00:00:00.000,2016
406,407,EMMY,F,2014,Doberman Pinscher,10309,2014-10-16T00:00:00.000,2019-10-16T00:00:00.000,2016
407,408,ME,F,2004,Miniature Pinscher,11434,2014-10-16T00:00:00.000,2016-02-28T00:00:00.000,2016
408,409,CASPER,M,2012,Beagle,11414,2014-10-16T00:00:00.000,2019-02-17T00:00:00.000,2016
409,410,SAM,M,2007,Labrador Retriever,11418,2014-10-16T00:00:00.000,2016-10-30T00:00:00.000,2016
410,411,LYDIA,F,2011,Beagle Crossbreed,10014,2014-10-16T00:00:00.000,2017-10-16T00:00:00.000,2016
411,412,BARTHOLOMEW,M,2007,Jack Russell Terrier,11238,2014-10-16T00:00:00.000,2016-10-16T00:00:00.000,2016
412,413,MILEY,M,2007,Yorkshire Terrier,10016,2014-10-17T00:00:00.000,2019-10-17T00:00:00.000,2016
413,414,LUKE,M,2012,Border Terrier,10025,2014-10-17T00:00:00.000,2016-10-17T00:00:00.000,2016
414,415,BLU,F,2009,Yorkshire Terrier,10016,2014-10-17T00:00:00.000,2019-10-17T00:00:00.000,2016
415,416,BACON,M,2001,Shiba Inu,10002,2014-10-17T00:00:00.000,2019-10-27T00:00:00.000,2016
416,417,SOFIE,F,2013,Bichon Frise,11238,2014-10-17T00:00:00.000,2019-10-25T00:00:00.000,2016
417,418,FRITZ,M,2005,"Schnauzer, Miniature",10009,2014-10-17T00:00:00.000,2019-10-17T00:00:00.000,2016
418,419,NAKIA,F,2012,American Pit Bull Mix / Pit Bull Mix,10026,2014-10-17T00:00:00.000,2017-10-17T00:00:00.000,2016
419,420,BRIX,F,2006,Puggle,10013,2014-10-17T00:00:00.000,2017-08-29T00:00:00.000,2016
420,421,CHESTER,M,2008,Labrador Retriever Crossbreed,11375,2014-10-18T00:00:00.000,2016-02-20T00:00:00.000,2016
421,422,ROSIE,F,2013,American Pit Bull Mix / Pit Bull Mix,10470,2014-10-18T00:00:00.000,2019-10-18T00:00:00.000,2016
422,423,ELVIS,M,2009,Yorkshire Terrier,10035,2014-10-18T00:00:00.000,2019-10-18T00:00:00.000,2016
423,424,GUINNESS,M,2012,Beagle Crossbreed,11379,2014-10-18T00:00:00.000,2019-10-18T00:00:00.000,2016
424,425,ROOSEVELT,M,2012,Beagle Crossbreed,11379,2014-10-18T00:00:00.000,2019-10-18T00:00:00.000,2016
425,426,TACO,M,2014,Unknown,10461,2014-10-18T00:00:00.000,2017-10-18T00:00:00.000,2016
426,427,PUFFY,F,2002,"Poodle, Miniature",10037,2014-10-18T00:00:00.000,2016-10-18T00:00:00.000,2016
427,428,ROSS,M,2014,Bichon Frise,11238,2014-10-18T00:00:00.000,2019-10-18T00:00:00.000,2016
428,429,STELLA,F,2010,Yorkshire Terrier,10035,2014-10-18T00:00:00.000,2019-10-18T00:00:00.000,2016
429,430,HARLEY,F,2012,German Shepherd Crossbreed,10470,2014-10-18T00:00:00.000,2019-10-18T00:00:00.000,2016
430,431,CUPCAKES,F,2011,Yorkshire Terrier,10037,2014-10-18T00:00:00.000,2017-10-18T00:00:00.000,2016
431,432,ROCKY,M,2013,Dachshund,11101,2014-10-18T00:00:00.000,2017-10-18T00:00:00.000,2016
432,433,RAWLY,M,2001,"Poodle, Toy",10023,2014-10-18T00:00:00.000,2016-10-18T00:00:00.000,2016
433,434,TITUS,M,2013,Scottish Terrier,11233,2014-10-19T00:00:00.000,2016-08-11T00:00:00.000,2016
434,435,KITA,F,2014,Shiba Inu,11222,2014-10-19T00:00:00.000,2017-10-19T00:00:00.000,2016
435,436,BUDDY,M,2013,German Shepherd Crossbreed,11385,2014-10-19T00:00:00.000,2017-10-19T00:00:00.000,2016
436,437,ZOE,F,2014,Poodle,10013,2014-10-19T00:00:00.000,2016-10-19T00:00:00.000,2016
437,438,BARKLEY,F,2010,American Pit Bull Mix / Pit Bull Mix,10075,2014-10-19T00:00:00.000,2019-11-13T00:00:00.000,2016
438,439,CASSIE,F,2011,Belgian Malinois,11211,2014-10-19T00:00:00.000,2019-09-16T00:00:00.000,2016
439,440,HATCHI,M,2011,Maltese,10027,2014-10-20T00:00:00.000,2017-10-20T00:00:00.000,2016
440,441,MELODY,F,2007,Maltese,10128,2014-10-20T00:00:00.000,2019-10-20T00:00:00.000,2016
441,442,BEANS,M,2011,Beagle,10040,2014-10-20T00:00:00.000,2016-10-20T00:00:00.000,2016
442,443,LOCA,F,2009,Cavalier King Charles Spaniel,10009,2014-10-20T00:00:00.000,2016-06-04T00:00:00.000,2016
443,444,HENRIK,M,2009,German Shepherd Crossbreed,11358,2014-10-20T00:00:00.000,2016-09-08T00:00:00.000,2016
444,445,BROOKE,F,2009,Bull Terrier,11233,2014-10-20T00:00:00.000,2019-02-24T00:00:00.000,2016
445,446,ONYX,M,2009,"Schnauzer, Standard",11368,2014-10-20T00:00:00.000,2016-06-01T00:00:00.000,2016
446,447,MAGICK,M,2010,Siberian Husky,11219,2014-10-21T00:00:00.000,2017-10-21T00:00:00.000,2016
447,448,KOKO,F,2013,Chihuahua,10462,2014-10-21T00:00:00.000,2018-11-11T00:00:00.000,2016
448,449,DULCE,F,2009,"Poodle, Miniature",11373,2014-10-21T00:00:00.000,2016-08-21T00:00:00.000,2016
449,450,TIGER,M,2010,German Shepherd Dog,11354,2014-10-21T00:00:00.000,2017-10-21T00:00:00.000,2016
450,451,SAM,M,2008,"Bull Dog, English",11220,2014-10-21T00:00:00.000,2017-08-04T00:00:00.000,2016
451,452,BENNY,M,2008,Unknown,10012,2014-10-21T00:00:00.000,2016-10-21T00:00:00.000,2016
452,453,LUNA,F,2010,Unknown,11215,2014-10-21T00:00:00.000,2019-09-02T00:00:00.000,2016
453,454,WILLIS,M,2010,"Bull Dog, English",11209,2014-10-21T00:00:00.000,2016-10-21T00:00:00.000,2016
454,455,MAX,M,2008,Unknown,11211,2014-10-21T00:00:00.000,2017-08-31T00:00:00.000,2016
455,456,HOWARD,M,2012,Pomeranian,11238,2014-10-22T00:00:00.000,2016-09-25T00:00:00.000,2016
456,457,JADE,F,2010,Schipperkee,10461,2014-10-22T00:00:00.000,2017-04-28T00:00:00.000,2016
457,458,WATSON,M,2012,Wheaton Terrier,11215,2014-10-22T00:00:00.000,2019-10-22T00:00:00.000,2016
458,459,JACKSON,M,2014,French Bulldog,10009,2014-10-22T00:00:00.000,2019-10-22T00:00:00.000,2016
459,460,ROCKY,M,2010,Yorkshire Terrier,11223,2014-10-22T00:00:00.000,2017-10-22T00:00:00.000,2016
460,461,MAX,M,2013,Yorkshire Terrier,11373,2014-10-22T00:00:00.000,2016-09-25T00:00:00.000,2016
461,462,ZIPPY,F,2010,Scottish Terrier,11221,2014-10-22T00:00:00.000,2017-11-20T00:00:00.000,2016
462,463,APOLLO,M,2006,Brittany Spaniel,11222,2014-10-22T00:00:00.000,2017-10-18T00:00:00.000,2016
463,464,RIO,M,2006,Labrador Retriever,11101,2014-10-22T00:00:00.000,2017-10-22T00:00:00.000,2016
464,465,WINSTON,M,2005,Norfolk Terrier,10128,2014-10-22T00:00:00.000,2019-11-30T00:00:00.000,2016
